Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Brenden Aaronson","usUSA","FW,MF","Leeds United","engPremier League","25-026","2000","11","8","711","7.9","1","1","2","1","0","0","1","0","1.7","1.7","1.3","3.0","17","21","38","0.13","0.13","0.25","0.13","0.25","0.21","0.17","0.38","0.21","0.38",
"Jones El-Abdellaoui","maMAR","MF,FW","Celta Vigo","esLa Liga","19-309","2006","5","0","110","1.2","0","0","0","0","0","0","0","0","0.9","0.9","0.1","0.9","12","0","27","0.00","0.00","0.00","0.00","0.00","0.73","0.04","0.77","0.73","0.77",
"Himad Abdelli","dzALG","MF","Angers","frLigue 1","26-000","1999","9","7","618","6.9","1","0","1","0","1","1","0","0","1.1","0.3","0.3","0.6","25","51","11","0.15","0.00","0.15","0.00","0.00","0.16","0.04","0.21","0.05","0.09",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","31-332","1993","5","5","300","3.3","0","0","0","0","0","0","2","1","0.0","0.0","0.4","0.4","6","2","11","0.00","0.00","0.00","0.00","0.00","0.00","0.12","0.12","0.00","0.12",
"Salis Abdul Samed","ghGHA","MF","Nice","frLigue 1","25-236","2000","8","5","352","3.9","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","2","4","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Saud Abdulhamid","saKSA","DF","Lens","frLigue 1","26-122","1999","9","1","204","2.3","0","1","1","0","0","0","0","0","0.0","0.0","0.5","0.5","3","13","21","0.00","0.44","0.44","0.00","0.44","0.02","0.20","0.22","0.02","0.22",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","32-289","1993","12","12","1,036","11.5","0","0","0","0","0","0","4","0","0.5","0.5","0.5","1.0","13","66","12","0.00","0.00","0.00","0.00","0.00","0.05","0.04","0.09","0.05","0.09",
"Matthis Abline","frFRA","FW,MF","Nantes","frLigue 1","22-234","2003","12","9","888","9.9","2","2","4","2","0","1","2","0","2.6","1.8","1.1","2.9","34","24","57","0.20","0.20","0.41","0.20","0.41","0.27","0.11","0.38","0.19","0.30",
"Abner","brBRA","DF","Lyon","frLigue 1","25-174","2000","6","6","450","5.0","0","0","0","0","0","0","2","1","0.6","0.6","0.2","0.9","9","23","14","0.00","0.00","0.00","0.00","0.00","0.13","0.04","0.17","0.13","0.17",
"Zakaria Aboukhlal","maMAR","FW,MF","Torino","itSerie A","25-272","2000","5","1","119","1.3","0","0","0","0","0","0","1","0","0.2","0.2","0.0","0.2","6","3","3","0.00","0.00","0.00","0.00","0.00","0.13","0.00","0.13","0.13","0.13",
"Abdel Abqar","maMAR","DF","Getafe","esLa Liga","26-252","1999","7","6","507","5.6","0","1","1","0","0","0","4","0","0.2","0.2","0.4","0.6","2","8","0","0.00","0.18","0.18","0.00","0.18","0.04","0.06","0.10","0.04","0.10",
"Francis Abu","ghGHA","MF","Toulouse","frLigue 1","24-204","2001","8","7","526","5.8","0","0","0","0","0","0","2","0","0.1","0.1","0.0","0.2","1","20","10","0.00","0.00","0.00","0.00","0.00","0.02","0.01","0.03","0.02","0.03",
"Giorgi Abuashvili","geGEO","FW,MF","Metz","frLigue 1","22-282","2003","8","4","279","3.1","1","0","1","1","0","0","1","0","0.3","0.3","0.2","0.5","10","9","16","0.32","0.00","0.32","0.32","0.32","0.09","0.05","0.15","0.09","0.15",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","37-280","1988","7","7","622","6.9","0","0","0","0","0","0","1","0","0.0","0.0","0.1","0.1","6","25","0","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.01",
"Ragnar Ache","deGER","FW","Köln","deBundesliga","27-112","1998","10","2","343","3.8","1","2","3","1","0","0","1","0","2.0","2.0","0.7","2.7","1","7","8","0.26","0.52","0.79","0.26","0.79","0.53","0.19","0.72","0.53","0.72",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","19-196","2006","5","4","349","3.9","1","0","1","1","0","0","0","0","0.6","0.6","0.0","0.6","4","11","0","0.26","0.00","0.26","0.26","0.26","0.16","0.00","0.16","0.16","0.16",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","25-292","2000","10","4","492","5.5","2","1","3","2","0","0","1","0","2.5","2.5","0.1","2.6","10","6","21","0.37","0.18","0.55","0.37","0.55","0.46","0.02","0.48","0.46","0.48",
"Che Adams","sctSCO","FW,MF","Torino","itSerie A","29-127","1996","11","4","484","5.4","2","0","2","2","0","0","0","0","1.7","1.7","0.1","1.9","3","8","33","0.37","0.00","0.37","0.37","0.37","0.32","0.03","0.35","0.32","0.35",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","26-276","1999","11","11","952","10.6","1","1","2","1","0","0","4","0","0.4","0.4","0.1","0.5","6","40","6","0.09","0.09","0.19","0.09","0.19","0.04","0.01","0.05","0.04","0.05",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","24-164","2001","8","7","434","4.8","1","1","2","1","0","0","1","0","1.6","1.6","1.2","2.7","2","4","26","0.21","0.21","0.41","0.21","0.41","0.33","0.24","0.57","0.33","0.57",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","28-054","1997","7","3","381","4.2","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","2","15","0","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.01",
"Jayden Addai","nlNED","FW","Como","itSerie A","20-083","2005","6","3","338","3.8","1","0","1","1","0","0","2","0","0.5","0.5","0.2","0.6","14","10","34","0.27","0.00","0.27","0.27","0.27","0.12","0.04","0.17","0.12","0.17",
"Karim Adeyemi","deGER","MF,FW","Dortmund","deBundesliga","23-303","2002","10","7","503","5.6","2","1","3","2","0","0","2","0","1.6","1.6","1.6","3.2","17","12","54","0.36","0.18","0.54","0.36","0.54","0.29","0.28","0.57","0.29","0.57",
"Simon Adingra","ciCIV","FW,MF","Sunderland","engPremier League","23-320","2002","7","4","300","3.3","0","0","0","0","0","0","1","0","0.1","0.1","0.6","0.7","7","2","34","0.00","0.00","0.00","0.00","0.00","0.04","0.18","0.22","0.04","0.22",
"Amine Adli","maMAR","FW,MF","Bournemouth","engPremier League","25-191","2000","8","1","217","2.4","0","0","0","0","0","0","0","0","0.1","0.1","0.2","0.3","8","6","22","0.00","0.00","0.00","0.00","0.00","0.04","0.07","0.12","0.04","0.12",
"Vasilije Adžić","meMNE","MF","Juventus","itSerie A","19-189","2006","5","1","126","1.4","1","0","1","1","0","0","0","0","0.2","0.2","0.2","0.4","1","9","7","0.71","0.00","0.71","0.71","0.71","0.15","0.11","0.26","0.15","0.26",
