Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Max Aarons","engENG","DF","Norwich City","engPremier League","21","2000","34","32","2,881","32.0","0","2","2","0","0","0","8","0","0.8","0.8","1.7","2.5","78","117","85","0.00","0.06","0.06","0.00","0.06","0.03","0.05","0.08","0.03","0.08",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","33","1987","34","34","2,983","33.1","2","0","2","2","0","0","5","1","1.2","1.2","0.8","2.0","23","119","14","0.06","0.00","0.06","0.06","0.06","0.04","0.02","0.06","0.04","0.06",
"Salis Abdul Samed","ghGHA","MF","Clermont Foot","frLigue 1","21","2000","31","29","2,462","27.4","1","0","1","1","0","0","12","3","0.7","0.7","0.9","1.6","24","108","47","0.04","0.00","0.04","0.04","0.04","0.03","0.03","0.06","0.03","0.06",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","28","1993","34","34","2,956","32.8","0","2","2","0","0","0","9","0","1.5","1.5","3.7","5.1","30","171","73","0.00","0.06","0.06","0.00","0.06","0.04","0.11","0.16","0.04","0.16",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","21","2000","1","1","45","0.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Dickson Abiama","ngNGA","FW","Greuther Fürth","deBundesliga","22","1998","24","5","726","8.1","0","1","1","0","0","0","3","0","1.8","1.8","1.3","3.2","14","17","38","0.00","0.12","0.12","0.00","0.12","0.23","0.16","0.39","0.23","0.39",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","18","2003","7","1","103","1.1","0","0","0","0","0","0","0","0","0.3","0.3","0.0","0.3","1","2","6","0.00","0.00","0.00","0.00","0.00","0.24","0.00","0.24","0.24","0.24",
"Tammy Abraham","engENG","FW","Roma","itSerie A","23","1997","37","36","3,084","34.3","17","4","21","14","3","3","9","0","20.7","18.4","4.8","23.2","41","70","199","0.50","0.12","0.61","0.41","0.53","0.60","0.14","0.74","0.54","0.68",
"Luis Abram","pePER","DF","Granada","esLa Liga","25","1996","8","6","560","6.2","0","0","0","0","0","0","2","0","0.3","0.3","0.0","0.3","1","10","1","0.00","0.00","0.00","0.00","0.00","0.05","0.00","0.05","0.05","0.05",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","33","1988","30","29","2,536","28.2","4","0","4","4","0","0","2","1","2.4","2.4","0.5","2.9","31","119","10","0.14","0.00","0.14","0.14","0.14","0.09","0.02","0.10","0.09","0.10",
"Ragnar Ache","deGER","MF,FW","Eint Frankfurt","deBundesliga","23","1998","13","1","259","2.9","0","1","1","0","0","0","0","0","0.4","0.4","0.4","0.9","8","2","29","0.00","0.35","0.35","0.00","0.35","0.14","0.16","0.30","0.14","0.30",
"Mohamed Achi","frFRA","MF","Nantes","frLigue 1","19","2002","1","0","10","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","29","1991","31","26","2,260","25.1","1","3","4","1","0","0","10","0","1.2","1.2","2.9","4.1","73","131","153","0.04","0.12","0.16","0.04","0.16","0.05","0.11","0.16","0.05","0.16",
"Che Adams","sctSCO","FW","Southampton","engPremier League","25","1996","30","23","2,039","22.7","7","3","10","7","0","0","0","0","7.1","7.1","3.0","10.1","19","33","153","0.31","0.13","0.44","0.31","0.44","0.31","0.13","0.45","0.31","0.45",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","22","1999","24","12","1,351","15.0","0","1","1","0","0","0","5","0","0.2","0.2","0.9","1.0","20","96","23","0.00","0.07","0.07","0.00","0.07","0.01","0.06","0.07","0.01","0.07",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","28","1993","13","2","331","3.7","1","0","1","1","0","0","0","0","0.7","0.7","0.5","1.2","9","9","26","0.27","0.00","0.27","0.27","0.27","0.18","0.14","0.31","0.18","0.31",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","17","2003","8","2","352","3.9","0","0","0","0","0","0","1","0","0.4","0.4","0.5","0.8","5","16","13","0.00","0.00","0.00","0.00","0.00","0.09","0.12","0.21","0.09","0.21",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","21","2000","25","13","1,256","14.0","3","2","5","3","0","0","3","0","4.3","4.3","2.1","6.4","51","56","105","0.21","0.14","0.36","0.21","0.36","0.31","0.15","0.46","0.31","0.46",
"Yacine Adli","frFRA","MF,FW","Bordeaux","frLigue 1","21","2000","36","25","2,260","25.1","1","7","8","1","0","0","5","0","2.0","2.0","5.7","7.7","66","164","99","0.04","0.28","0.32","0.04","0.32","0.08","0.23","0.31","0.08","0.31",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","24","1997","12","4","443","4.9","0","0","0","0","0","0","1","0","0.1","0.1","0.4","0.5","2","19","9","0.00","0.00","0.00","0.00","0.00","0.02","0.08","0.10","0.02","0.10",
"Felix Afena-Gyan","ghGHA","FW,MF","Roma","itSerie A","18","2003","17","6","668","7.4","2","0","2","2","0","0","5","1","1.7","1.7","0.6","2.2","19","7","77","0.27","0.00","0.27","0.27","0.27","0.22","0.08","0.30","0.22","0.30",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","25","1996","24","17","1,616","18.0","0","1","1","0","0","0","4","0","0.2","0.2","0.7","0.8","15","57","40","0.00","0.06","0.06","0.00","0.06","0.01","0.04","0.05","0.01","0.05",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4","4","360","4.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
