Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Brenden Aaronson","usUSA","MF,FW","Leeds United","engPremier League","21","2000","36","28","2,372","26.4","1","3","4","1","0","0","2","0","3.9","3.9","4.2","8.1","43","86","151","0.04","0.11","0.15","0.04","0.15","0.15","0.16","0.31","0.15","0.31",
"Paxten Aaronson","usUSA","MF,DF","Eint Frankfurt","deBundesliga","18","2003","7","0","173","1.9","0","0","0","0","0","0","1","0","0.2","0.2","0.0","0.2","8","6","15","0.00","0.00","0.00","0.00","0.00","0.09","0.03","0.11","0.09","0.11",
"James Abankwah","ieIRL","DF","Udinese","itSerie A","18","2004","2","1","63","0.7","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"George Abbott","engENG","MF","Tottenham","engPremier League","16","2005","1","0","1","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","34","1987","37","37","3,330","37.0","1","2","3","1","0","0","6","0","2.4","2.4","1.0","3.4","40","215","10","0.03","0.05","0.08","0.03","0.08","0.06","0.03","0.09","0.06","0.09",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","22","1999","30","24","2,137","23.7","2","2","4","2","0","0","3","0","1.4","1.4","2.9","4.3","58","151","111","0.08","0.08","0.17","0.08","0.17","0.06","0.12","0.18","0.06","0.18",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","22","2000","33","33","2,894","32.2","1","1","2","1","0","0","6","1","0.9","0.9","1.6","2.5","33","165","44","0.03","0.03","0.06","0.03","0.06","0.03","0.05","0.08","0.03","0.08",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","29","1993","29","28","2,342","26.0","0","1","1","0","0","0","7","1","0.5","0.5","1.3","1.8","13","143","14","0.00","0.04","0.04","0.00","0.04","0.02","0.05","0.07","0.02","0.07",
"Oliver Abildgaard","dkDEN","MF","Hellas Verona","itSerie A","26","1996","13","6","592","6.6","0","0","0","0","0","0","2","0","0.1","0.1","0.4","0.6","2","15","8","0.00","0.00","0.00","0.00","0.00","0.02","0.07","0.09","0.02","0.09",
"Matthis Abline","frFRA","FW,MF","Auxerre","frLigue 1","19","2003","19","8","806","9.0","2","1","3","1","1","2","1","0","3.6","2.0","0.7","2.7","14","8","49","0.22","0.11","0.33","0.11","0.22","0.40","0.08","0.47","0.22","0.30",
"Matthis Abline","frFRA","FW,MF","Rennes","frLigue 1","19","2003","11","0","107","1.2","1","0","1","1","0","0","0","0","0.8","0.8","0.3","1.0","4","2","11","0.84","0.00","0.84","0.84","0.84","0.65","0.22","0.87","0.65","0.87",
"Abner","brBRA","DF","Betis","esLa Liga","22","2000","13","7","607","6.7","0","0","0","0","0","0","2","0","1.7","1.7","0.1","1.8","8","16","25","0.00","0.00","0.00","0.00","0.00","0.25","0.02","0.27","0.25","0.27",
"Zakaria Aboukhlal","maMAR","FW,MF","Toulouse","frLigue 1","22","2000","37","28","2,473","27.5","10","5","15","10","0","0","4","0","11.5","11.5","3.3","14.7","100","72","276","0.36","0.18","0.55","0.36","0.55","0.42","0.12","0.54","0.42","0.54",
"Tammy Abraham","engENG","FW","Roma","itSerie A","24","1997","38","24","2,189","24.3","8","3","11","8","0","0","2","0","10.8","10.8","3.7","14.5","35","54","141","0.33","0.12","0.45","0.33","0.45","0.44","0.15","0.60","0.44","0.60",
"Christian Acella","itITA","MF","Cremonese","itSerie A","20","2002","1","0","15","0.2","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","34","1988","31","25","2,425","26.9","0","2","2","0","0","0","4","0","1.0","1.0","1.1","2.1","39","100","32","0.00","0.07","0.07","0.00","0.07","0.04","0.04","0.08","0.04","0.08",
"Álvaro Aceves","esESP","GK","Valladolid","esLa Liga","19","2003","1","0","13","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Mohamed Achi","frFRA","FW","Nantes","frLigue 1","20","2002","2","0","36","0.4","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.2","2","3","1","0.00","0.00","0.00","0.00","0.00","0.30","0.08","0.39","0.30","0.39",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","30","1991","30","21","1,912","21.2","3","2","5","3","0","0","10","3","1.2","1.2","4.3","5.5","49","102","94","0.14","0.09","0.24","0.14","0.24","0.05","0.20","0.26","0.05","0.26",
"Che Adams","sctSCO","FW","Southampton","engPremier League","26","1996","28","23","1,992","22.1","5","3","8","5","0","0","1","0","6.7","6.7","2.8","9.5","17","34","115","0.23","0.14","0.36","0.23","0.36","0.30","0.13","0.43","0.30","0.43",
"Tyler Adams","usUSA","MF","Leeds United","engPremier League","23","1999","24","24","2,156","24.0","0","0","0","0","0","0","6","1","0.1","0.1","1.4","1.5","19","136","20","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.06","0.00","0.06",
"Sargis Adamyan","amARM","FW,MF","Köln","deBundesliga","29","1993","24","4","644","7.2","1","2","3","1","0","0","3","0","3.4","3.4","0.8","4.1","12","24","58","0.14","0.28","0.42","0.14","0.42","0.47","0.11","0.58","0.47","0.58",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","24","1997","25","23","2,085","23.2","1","0","1","1","0","0","4","0","0.7","0.7","0.4","1.1","16","95","3","0.04","0.00","0.04","0.04","0.04","0.03","0.02","0.05","0.03","0.05",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","18","2003","5","0","107","1.2","0","0","0","0","0","0","2","0","0.1","0.1","0.0","0.1","1","3","1","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.06","0.06","0.06",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","20","2002","24","20","1,386","15.4","6","5","11","6","0","1","9","0","5.0","4.3","3.7","8.0","49","47","131","0.39","0.32","0.71","0.39","0.71","0.33","0.24","0.57","0.28","0.52",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","22","2000","26","16","1,435","15.9","5","3","8","5","0","0","2","2","5.0","5.0","1.7","6.7","46","49","137","0.31","0.19","0.50","0.31","0.50","0.31","0.11","0.42","0.31","0.42",
"Yacine Adli","frFRA","MF,FW","Milan","itSerie A","22","2000","6","1","144","1.6","0","0","0","0","0","0","1","0","0.1","0.1","0.3","0.3","7","10","8","0.00","0.00","0.00","0.00","0.00","0.05","0.16","0.22","0.05","0.22",
"Michel Aebischer","chSUI","FW,MF","Bologna","itSerie A","25","1997","32","18","1,542","17.1","1","0","1","1","0","0","4","0","1.5","1.5","0.6","2.1","14","46","85","0.06","0.00","0.06","0.06","0.06","0.08","0.04","0.12","0.08","0.12",
"Felix Afena-Gyan","ghGHA","FW,MF","Cremonese","itSerie A","19","2003","23","7","817","9.1","0","0","0","0","0","0","4","0","1.9","1.9","0.1","2.0","22","8","54","0.00","0.00","0.00","0.00","0.00","0.21","0.02","0.22","0.21","0.22",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","25","1997","29","27","2,388","26.5","0","3","3","0","0","0","5","3","1.7","1.7","2.4","4.1","15","131","8","0.00","0.11","0.11","0.00","0.11","0.06","0.09","0.15","0.06","0.15",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","21","2000","8","7","675","7.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Lucien Agoume","frFRA","MF","Troyes","frLigue 1","20","2002","15","14","1,094","12.2","0","1","1","0","0","0","5","0","0.8","0.8","1.1","1.9","9","93","10","0.00","0.08","0.08","0.00","0.08","0.07","0.09","0.16","0.07","0.16",
"Felix Agu","ngNGA","DF,FW","Werder Bremen","deBundesliga","22","1999","3","0","49","0.5","0","0","0","0","0","0","0","0","0.0","0.0","0.1","0.1","0","2","2","0.00","0.00","0.00","0.00","0.00","0.07","0.14","0.22","0.07","0.22",
"Álvaro Aguado","esESP","MF","Valladolid","esLa Liga","26","1996","34","18","1,888","21.0","1","2","3","1","0","0","4","0","1.0","1.0","2.2","3.2","29","139","50","0.05","0.10","0.14","0.05","0.14","0.05","0.11","0.15","0.05","0.15",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","23","1998","34","23","2,131","23.7","0","1","1","0","0","0","5","0","1.5","1.5","3.0","4.5","81","110","100","0.00","0.04","0.04","0.00","0.04","0.06","0.13","0.19","0.06","0.19",
"Nayef Aguerd","maMAR","DF","West Ham","engPremier League","26","1996","18","17","1,595","17.7","2","0","2","2","0","0","4","0","2.2","2.2","0.5","2.7","2","25","4","0.11","0.00","0.11","0.11","0.11","0.13","0.03","0.15","0.13","0.15",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","29","1993","20","14","1,172","13.0","0","0","0","0","0","0","3","0","0.2","0.2","0.9","1.1","29","102","78","0.00","0.00","0.00","0.00","0.00","0.02","0.07","0.09","0.02","0.09",
"Naouirou Ahamada","frFRA","MF,FW","Crystal Palace","engPremier League","20","2002","8","0","94","1.0","0","0","0","0","0","0","1","0","0.2","0.2","0.1","0.2","1","2","11","0.00","0.00","0.00","0.00","0.00","0.15","0.07","0.22","0.15","0.22",
"Naouirou Ahamada","frFRA","MF","Stuttgart","deBundesliga","20","2002","17","17","1,398","15.5","2","2","4","2","0","0","4","1","0.8","0.8","1.2","2.1","43","56","54","0.13","0.13","0.26","0.13","0.26","0.05","0.08","0.13","0.05","0.13",
