Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Amar Ahmed","seSWE","FW","Troyes","frLigue 1","18","2004","1","0","20","0.2","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","28","1994","30","16","1,300","14.4","3","1","4","3","0","0","4","1","1.2","1.2","1.1","2.3","25","50","37","0.21","0.07","0.28","0.21","0.28","0.08","0.08","0.16","0.08","0.16",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","26","1995","35","35","3,119","34.7","3","0","3","3","0","0","6","1","1.0","1.0","0.1","1.1","15","95","2","0.09","0.00","0.09","0.09","0.09","0.03","0.00","0.03","0.03","0.03",
"Ola Aina","ngNGA","DF","Torino","itSerie A","25","1996","19","9","876","9.7","1","1","2","1","0","0","5","0","0.8","0.8","2.1","2.9","35","43","43","0.10","0.10","0.21","0.10","0.21","0.08","0.21","0.29","0.08","0.29",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","21","2001","21","9","1,076","12.0","1","0","1","1","0","0","4","0","0.7","0.7","1.0","1.7","30","43","76","0.08","0.00","0.08","0.08","0.08","0.06","0.08","0.14","0.06","0.14",
"Emanuel Aiwum","atAUT","DF","Cremonese","itSerie A","21","2000","23","17","1,653","18.4","0","0","0","0","0","0","3","0","0.2","0.2","0.4","0.6","19","46","7","0.00","0.00","0.00","0.00","0.00","0.01","0.02","0.03","0.01","0.03",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","24","1998","9","9","763","8.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.1","10","31","12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","28","1994","13","9","771","8.6","1","0","1","0","1","1","1","0","3.3","2.5","0.8","3.3","2","13","55","0.12","0.00","0.12","0.00","0.00","0.38","0.10","0.48","0.29","0.39",
"Ludovic Ajorque","frFRA","FW,MF","Mainz 05","deBundesliga","28","1994","17","15","1,211","13.5","6","1","7","6","0","0","5","0","4.6","4.6","1.7","6.4","5","31","85","0.45","0.07","0.52","0.45","0.52","0.34","0.13","0.47","0.34","0.47",
"Manuel Akanji","chSUI","DF","Manchester City","engPremier League","27","1995","29","24","2,287","25.4","0","1","1","0","0","0","2","0","1.3","1.3","0.4","1.7","24","116","17","0.00","0.04","0.04","0.00","0.04","0.05","0.02","0.07","0.05","0.07",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","27","1995","26","22","1,873","20.8","1","0","1","1","0","0","2","0","1.6","1.6","0.7","2.3","25","140","30","0.05","0.00","0.05","0.05","0.05","0.07","0.04","0.11","0.07","0.11",
"Sergio Akieme","esESP","DF","Almería","esLa Liga","24","1997","29","27","2,297","25.5","1","0","1","1","0","0","5","0","1.5","1.5","2.0","3.5","60","58","84","0.04","0.00","0.04","0.04","0.04","0.06","0.08","0.14","0.06","0.14",
"Babatunde Akinsola","ngNGA","FW","Valladolid","esLa Liga","19","2003","1","0","11","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","0","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","20","2002","11","5","402","4.5","0","0","0","0","0","0","3","0","0.5","0.5","0.5","0.9","9","16","42","0.00","0.00","0.00","0.00","0.00","0.10","0.11","0.21","0.10","0.21",
"Paul Akouokou","ciCIV","MF,DF","Betis","esLa Liga","24","1997","12","3","447","5.0","0","0","0","0","0","0","3","0","0.2","0.2","0.0","0.2","1","10","1","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.03","0.03","0.03",
"Jean-Daniel Akpa-Akpro","ciCIV","MF,FW","Empoli","itSerie A","29","1992","24","16","1,356","15.1","1","1","2","1","0","0","9","2","1.5","1.5","1.0","2.4","19","39","37","0.07","0.07","0.13","0.07","0.13","0.10","0.06","0.16","0.10","0.16",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","27","1995","28","21","1,950","21.7","0","0","0","0","0","0","11","0","0.6","0.6","0.5","1.2","17","85","23","0.00","0.00","0.00","0.00","0.00","0.03","0.03","0.05","0.03","0.05",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","30","1992","23","21","1,838","20.4","1","3","4","1","0","0","3","0","0.8","0.8","1.1","1.9","16","67","60","0.05","0.15","0.20","0.05","0.20","0.04","0.05","0.09","0.04","0.09",
"Ángel Alarcón","esESP","FW,MF","Barcelona","esLa Liga","18","2004","4","0","25","0.3","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","2","0.00","0.00","0.00","0.00","0.00","0.15","0.00","0.15","0.15","0.15",
"Tomás Alarcón","clCHI","MF","Cádiz","esLa Liga","23","1999","4","2","223","2.5","0","0","0","0","0","0","2","1","0.0","0.0","0.1","0.1","2","9","6","0.00","0.00","0.00","0.00","0.00","0.01","0.03","0.04","0.01","0.04",
"Lucas Alario","arARG","FW,MF","Eint Frankfurt","deBundesliga","29","1992","20","2","331","3.7","1","0","1","1","0","0","0","0","1.4","1.4","0.0","1.5","2","8","17","0.27","0.00","0.27","0.27","0.27","0.39","0.01","0.40","0.39","0.40",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","33","1989","24","14","1,419","15.8","2","3","5","2","0","0","6","1","0.8","0.8","6.2","7.0","42","141","157","0.13","0.19","0.32","0.13","0.32","0.05","0.40","0.44","0.05","0.44",
"Luis Alberto","esESP","MF","Lazio","itSerie A","29","1992","35","27","2,442","27.1","6","7","13","5","1","2","4","0","4.4","2.7","7.0","9.7","73","248","94","0.22","0.26","0.48","0.18","0.44","0.16","0.26","0.42","0.10","0.36",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","36","1985","25","24","2,119","23.5","0","0","0","0","0","0","6","0","0.1","0.1","0.0","0.1","12","100","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01",
"Marc Albrighton","engENG","FW,MF","Leicester City","engPremier League","32","1989","6","1","237","2.6","1","0","1","1","0","0","0","0","0.3","0.3","0.9","1.3","4","7","18","0.38","0.00","0.38","0.38","0.38","0.13","0.34","0.48","0.13","0.48",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","31","1991","18","14","1,254","13.9","0","0","0","0","0","0","2","0","0.4","0.4","1.1","1.5","13","120","24","0.00","0.00","0.00","0.00","0.00","0.03","0.08","0.11","0.03","0.11",
"Carlos Alcaraz","arARG","MF,FW","Southampton","engPremier League","19","2002","18","13","1,029","11.4","4","2","6","4","0","0","3","0","1.9","1.9","0.7","2.6","20","28","32","0.35","0.17","0.52","0.35","0.52","0.17","0.06","0.23","0.17","0.23",
"Rubén Alcaraz","esESP","MF","Cádiz","esLa Liga","31","1991","31","22","2,043","22.7","3","0","3","1","2","3","11","1","4.0","1.6","1.3","2.9","30","105","20","0.13","0.00","0.13","0.04","0.04","0.18","0.06","0.23","0.07","0.13",
"Omar Alderete","pyPAR","DF","Getafe","esLa Liga","25","1996","25","23","2,047","22.7","1","1","2","1","0","0","9","0","0.6","0.6","0.8","1.4","28","96","8","0.04","0.04","0.09","0.04","0.09","0.03","0.03","0.06","0.03","0.06",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","27","1995","31","13","1,311","14.6","0","1","1","0","0","0","13","1","1.2","1.2","2.4","3.6","52","16","103","0.00","0.07","0.07","0.00","0.07","0.08","0.17","0.25","0.08","0.25",
"Doğan Alemdar","trTUR","GK","Rennes","frLigue 1","19","2002","6","4","406","4.5","0","0","0","0","0","0","1","0","0.0","0.0","0.1","0.1","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.03","0.00","0.03",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","24","1998","35","26","2,119","23.5","2","2","4","2","0","0","12","1","2.3","2.3","1.6","3.9","24","87","78","0.08","0.08","0.17","0.08","0.17","0.10","0.07","0.17","0.10","0.17",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","23","1998","37","34","2,923","32.5","2","9","11","2","0","0","5","0","2.4","2.4","11.5","13.8","43","235","139","0.06","0.28","0.34","0.06","0.34","0.07","0.35","0.43","0.07","0.43",
"Alejandro Alfaro","esESP","MF","Elche","esLa Liga","20","2002","1","0","15","0.2","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Ángel Algobia","esESP","MF","Getafe","esLa Liga","23","1999","26","11","1,138","12.6","0","0","0","0","0","0","3","0","0.3","0.3","0.6","0.9","10","42","11","0.00","0.00","0.00","0.00","0.00","0.02","0.05","0.07","0.02","0.07",
"Mohamed Ali Cho","frFRA","FW,MF","Real Sociedad","esLa Liga","18","2004","19","5","587","6.5","1","2","3","1","0","0","1","0","1.8","1.8","1.7","3.4","30","8","63","0.15","0.31","0.46","0.15","0.46","0.27","0.25","0.52","0.27","0.52",
"Faride Alidou","deGER","DF,MF","Eint Frankfurt","deBundesliga","21","2001","15","0","182","2.0","0","1","1","0","0","0","0","0","0.1","0.1","0.5","0.6","8","16","24","0.00","0.49","0.49","0.00","0.49","0.05","0.24","0.28","0.05","0.28",
"Alisson","brBRA","GK","Liverpool","engPremier League","29","1992","37","37","3,330","37.0","0","1","1","0","0","0","1","0","0.0","0.0","0.3","0.3","0","3","0","0.00","0.03","0.03","0.00","0.03","0.00","0.01","0.01","0.00","0.01",
"Jim Allevinah","gaGAB","DF,FW","Clermont Foot","frLigue 1","27","1995","36","25","2,244","24.9","1","1","2","1","0","0","2","0","2.5","2.5","2.0","4.5","82","59","141","0.04","0.04","0.08","0.04","0.08","0.10","0.08","0.18","0.10","0.18",
"Dele Alli","engENG","MF","Everton","engPremier League","26","1996","2","0","40","0.4","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Domingos André Ribeiro Almeida","ptPOR","MF","Valencia","esLa Liga","22","2000","34","29","2,539","28.2","2","4","6","2","0","0","3","0","1.4","1.4","3.4","4.9","74","197","71","0.07","0.14","0.21","0.07","0.21","0.05","0.12","0.17","0.05","0.17",
"Miguel Almirón","pyPAR","FW","Newcastle Utd","engPremier League","28","1994","34","29","2,491","27.7","11","2","13","11","0","0","2","0","8.0","8.0","3.2","11.1","77","124","264","0.40","0.07","0.47","0.40","0.47","0.29","0.11","0.40","0.29","0.40",
"Marcos Alonso","esESP","DF","Barcelona","esLa Liga","31","1990","24","11","1,172","13.0","1","0","1","1","0","0","3","0","0.9","0.9","0.3","1.2","26","71","13","0.08","0.00","0.08","0.08","0.08","0.07","0.03","0.09","0.07","0.09",
"Mickaël Alphonse","gpGLP","DF","Ajaccio","frLigue 1","33","1989","26","14","1,361","15.1","0","0","0","0","0","0","2","1","0.5","0.5","0.6","1.1","30","51","34","0.00","0.00","0.00","0.00","0.00","0.03","0.04","0.08","0.03","0.08",
"Agustín Álvarez","uyURU","FW,MF","Sassuolo","itSerie A","21","2001","22","1","368","4.1","1","1","2","1","0","0","1","0","1.5","1.5","0.4","1.9","2","6","19","0.24","0.24","0.49","0.24","0.49","0.36","0.10","0.46","0.36","0.46",
"Éder Álvarez Balanta","coCOL","MF,FW","Schalke 04","deBundesliga","29","1993","6","3","238","2.6","0","0","0","0","0","0","3","0","0.1","0.1","0.3","0.4","3","12","0","0.00","0.00","0.00","0.00","0.00","0.05","0.10","0.15","0.05","0.15",
"Carlos Álvarez","esESP","MF","Sevilla","esLa Liga","18","2003","1","0","10","0.1","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Gastón Álvarez","uyURU","DF","Getafe","esLa Liga","22","2000","22","16","1,501","16.7","2","0","2","2","0","0","7","1","0.5","0.5","0.2","0.8","11","38","27","0.12","0.00","0.12","0.12","0.12","0.03","0.01","0.05","0.03","0.05",
"Julián Álvarez","arARG","FW,MF","Manchester City","engPremier League","22","2000","31","13","1,465","16.3","9","0","9","8","1","1","0","0","7.0","6.2","1.8","8.0","38","37","99","0.55","0.00","0.55","0.49","0.49","0.43","0.11","0.54","0.38","0.49",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","27","1995","28","27","2,332","25.9","1","1","2","1","0","0","7","1","0.8","0.8","1.1","1.9","32","152","8","0.04","0.04","0.08","0.04","0.08","0.03","0.04","0.07","0.03","0.07",
"Ibrahim Amadou","frFRA","DF,MF","Angers","frLigue 1","29","1993","7","4","424","4.7","0","0","0","0","0","0","2","0","0.1","0.1","0.1","0.1","0","5","5","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.03","0.01","0.03",
"Selim Amallah","maMAR","MF,FW","Valladolid","esLa Liga","25","1996","7","3","267","3.0","2","1","3","2","0","0","2","1","0.9","0.9","0.3","1.1","11","10","9","0.67","0.34","1.01","0.67","1.01","0.29","0.09","0.38","0.29","0.38",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","27","1994","20","18","1,610","17.9","0","0","0","0","0","0","1","0","1.1","1.1","0.5","1.6","23","66","5","0.00","0.00","0.00","0.00","0.00","0.06","0.03","0.09","0.06","0.09",
"Amath","snSEN","MF,FW","Mallorca","esLa Liga","26","1996","28","12","1,227","13.6","2","0","2","2","0","0","2","1","2.7","2.7","0.8","3.5","33","16","69","0.15","0.00","0.15","0.15","0.15","0.20","0.06","0.25","0.20","0.25",
"Jordan Amavi","frFRA","DF","Getafe","esLa Liga","28","1994","5","1","200","2.2","0","0","0","0","0","0","2","1","0.0","0.0","0.0","0.0","4","5","5","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Lukáš Ambros","czCZE","MF","Wolfsburg","deBundesliga","18","2004","1","0","17","0.2","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Kelvin Amian","frFRA","DF","Spezia","itSerie A","24","1998","30","26","2,372","26.4","0","1","1","0","0","0","7","1","2.7","2.7","2.3","5.0","53","102","72","0.00","0.04","0.04","0.00","0.04","0.10","0.09","0.19","0.10","0.19",
"Bruno Amione","arARG","DF","Hellas Verona","itSerie A","20","2002","1","1","58","0.6","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Bruno Amione","arARG","DF","Sampdoria","itSerie A","20","2002","26","25","2,086","23.2","1","1","2","1","0","0","10","1","0.9","0.9","0.6","1.5","11","54","9","0.04","0.04","0.09","0.04","0.09","0.04","0.03","0.06","0.04","0.06",
"Nadiem Amiri","deGER","MF,FW","Leverkusen","deBundesliga","25","1996","25","9","977","10.9","4","1","5","3","1","1","6","0","1.9","1.1","1.1","2.2","30","55","30","0.37","0.09","0.46","0.28","0.37","0.17","0.10","0.27","0.10","0.20",
"Samuel Amo-Ameyaw","engENG","MF","Southampton","engPremier League","16","2006","1","0","4","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","2","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.86","0.86","0.00","0.86",
"Ethan Ampadu","wlsWAL","DF,MF","Spezia","itSerie A","21","2000","31","31","2,639","29.3","0","1","1","0","0","0","10","1","1.1","1.1","1.1","2.2","28","125","10","0.00","0.03","0.03","0.00","0.03","0.04","0.04","0.07","0.04","0.07",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","25","1996","29","24","1,998","22.2","0","1","1","0","0","0","11","0","0.5","0.5","1.1","1.6","36","176","24","0.00","0.05","0.05","0.00","0.05","0.02","0.05","0.07","0.02","0.07",
"Ayoub Amraoui","maMAR","DF,FW","Nice","frLigue 1","18","2004","7","3","294","3.3","0","0","0","0","0","0","1","0","0.0","0.0","0.1","0.1","6","13","18","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.04","0.00","0.04",
"Joachim Andersen","dkDEN","DF","Crystal Palace","engPremier League","26","1996","32","32","2,782","30.9","1","0","1","1","0","0","8","0","1.8","1.8","1.3","3.1","16","105","7","0.03","0.00","0.03","0.03","0.03","0.06","0.04","0.10","0.06","0.10",
"Elliot Anderson","engENG","MF,FW","Newcastle Utd","engPremier League","19","2002","22","3","410","4.6","0","1","1","0","0","0","0","0","1.0","1.0","1.3","2.3","23","24","35","0.00","0.22","0.22","0.00","0.22","0.22","0.28","0.50","0.22","0.50",
"Felipe Anderson","brBRA","FW","Lazio","itSerie A","29","1993","38","35","2,958","32.9","9","2","11","9","0","0","3","0","6.0","6.0","4.8","10.9","83","114","224","0.27","0.06","0.33","0.27","0.33","0.18","0.15","0.33","0.18","0.33",
"Benjamin André","frFRA","MF","Lille","frLigue 1","31","1990","34","33","2,916","32.4","1","1","2","1","0","0","12","0","1.6","1.6","1.8","3.4","41","309","46","0.03","0.03","0.06","0.03","0.06","0.05","0.06","0.11","0.05","0.11",
