Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","26","1990","28","25","2,184","24.3","5","1","6","5","0","0","7","0","3.1","3.1","2.1","5.2","46","92","86","0.21","0.04","0.25","0.21","0.25","0.13","0.09","0.21","0.13","0.21",
"Rolando Aarons","engENG","MF,FW","Newcastle Utd","engPremier League","21","1995","4","1","139","1.5","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","7","3","4","0.00","0.00","0.00","0.00","0.00","0.04","0.00","0.04","0.04","0.04",
"Rolando Aarons","engENG","MF,FW","Hellas Verona","itSerie A","21","1995","11","6","517","5.7","0","0","0","0","0","0","0","0","0.2","0.2","0.2","0.3","9","17","31","0.00","0.00","0.00","0.00","0.00","0.03","0.03","0.06","0.03","0.06",
"Ignazio Abate","itITA","DF","Milan","itSerie A","30","1986","17","11","1,057","11.7","1","0","1","1","0","0","3","0","0.2","0.2","0.5","0.7","20","81","65","0.09","0.00","0.09","0.09","0.09","0.01","0.04","0.06","0.01","0.06",
"Aymen Abdennour","tnTUN","DF","Marseille","frLigue 1","27","1989","8","6","499","5.5","0","0","0","0","0","0","3","0","0.1","0.1","0.0","0.1","2","12","0","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.02","0.02","0.02",
"Aly Abeid","mrMTN","DF","Levante","esLa Liga","19","1997","1","1","77","0.9","0","0","0","0","0","0","0","0","0.0","0.0","0.1","0.1","2","1","3","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.08","0.00","0.08",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","24","1992","19","14","1,176","13.1","0","1","1","0","0","0","2","0","1.0","1.0","0.3","1.3","20","49","14","0.00","0.08","0.08","0.00","0.08","0.07","0.02","0.10","0.07","0.10",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","31","1986","27","27","2,302","25.6","0","2","2","0","0","0","3","0","0.4","0.4","0.7","1.1","17","103","7","0.00","0.08","0.08","0.00","0.08","0.01","0.03","0.04","0.01","0.04",
"Tammy Abraham","engENG","FW","Swansea City","engPremier League","19","1997","31","15","1,726","19.2","5","1","6","5","0","0","0","0","6.8","6.8","1.6","8.4","19","20","104","0.26","0.05","0.31","0.26","0.31","0.35","0.08","0.44","0.35","0.44",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","27","1990","12","11","850","9.4","0","0","0","0","0","0","2","0","0.2","0.2","0.4","0.7","8","38","18","0.00","0.00","0.00","0.00","0.00","0.02","0.05","0.07","0.02","0.07",
"Francesco Acerbi","itITA","DF","Sassuolo","itSerie A","29","1988","38","38","3,420","38.0","0","0","0","0","0","0","4","0","1.0","1.0","0.7","1.7","35","141","14","0.00","0.00","0.00","0.00","0.00","0.03","0.02","0.04","0.03","0.04",
"Afriyie Acquah","ghGHA","MF","Torino","itSerie A","25","1992","22","9","951","10.6","1","0","1","1","0","0","5","1","0.4","0.4","0.6","1.0","24","60","24","0.09","0.00","0.09","0.09","0.09","0.04","0.06","0.10","0.04","0.10",
"Charlie Adam","sctSCO","MF","Stoke City","engPremier League","31","1985","11","5","411","4.6","0","0","0","0","0","1","2","1","1.6","0.9","1.2","2.1","6","30","9","0.00","0.00","0.00","0.00","0.00","0.36","0.27","0.63","0.19","0.46",
"Antonio Adán","esESP","GK","Betis","esLa Liga","30","1987","30","30","2,700","30.0","0","2","2","0","0","0","4","0","0.0","0.0","0.7","0.7","0","0","0","0.00","0.07","0.07","0.00","0.07","0.00","0.02","0.02","0.00","0.02",
"Aday","esESP","DF","Girona","esLa Liga","29","1987","31","20","1,835","20.4","2","0","2","1","1","2","10","0","2.8","1.3","1.6","2.9","82","61","156","0.10","0.00","0.10","0.05","0.05","0.14","0.08","0.22","0.06","0.14",
