Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","28","1990","29","29","2,507","27.9","3","2","5","2","1","1","0","0","2.1","1.3","3.7","5.1","60","143","89","0.11","0.07","0.18","0.07","0.14","0.08","0.13","0.21","0.05","0.18",
"Max Aarons","engENG","DF","Norwich City","engPremier League","19","2000","36","36","3,240","36.0","0","1","1","0","0","0","7","0","0.6","0.6","3.9","4.5","92","78","151","0.00","0.03","0.03","0.00","0.03","0.02","0.11","0.12","0.02","0.12",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","31","1987","28","28","2,520","28.0","3","0","3","3","0","0","0","0","1.7","1.7","1.2","2.9","21","96","6","0.11","0.00","0.11","0.11","0.11","0.06","0.04","0.10","0.06","0.10",
"Suleiman Abdullahi","ngNGA","FW,MF","Union Berlin","deBundesliga","22","1996","6","1","157","1.7","1","0","1","1","0","0","1","0","1.1","1.1","0.2","1.3","2","3","10","0.57","0.00","0.57","0.57","0.57","0.65","0.09","0.74","0.65","0.74",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","26","1992","25","20","1,817","20.2","1","2","3","1","0","0","5","0","1.5","1.5","1.8","3.3","25","104","42","0.05","0.10","0.15","0.05","0.15","0.07","0.09","0.16","0.07","0.16",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","19","2000","15","6","623","6.9","0","0","0","0","0","0","2","0","0.3","0.3","1.2","1.5","12","10","33","0.00","0.00","0.00","0.00","0.00","0.05","0.17","0.22","0.05","0.22",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","33","1986","20","19","1,688","18.8","2","0","2","2","0","0","2","1","1.6","1.6","0.1","1.7","18","99","12","0.11","0.00","0.11","0.11","0.11","0.08","0.01","0.09","0.08","0.09",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","21","1997","34","25","2,215","24.6","15","3","18","15","0","0","2","0","16.4","16.4","2.7","19.0","31","34","134","0.61","0.12","0.73","0.61","0.73","0.67","0.11","0.77","0.67","0.77",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","29","1990","13","8","663","7.4","0","0","0","0","0","0","3","0","0.5","0.5","0.1","0.6","8","27","13","0.00","0.00","0.00","0.00","0.00","0.07","0.02","0.08","0.07","0.08",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","31","1988","36","36","3,162","35.1","2","2","4","2","0","0","4","0","2.4","2.4","1.7","4.2","57","150","36","0.06","0.06","0.11","0.06","0.11","0.07","0.05","0.12","0.07","0.12",
"Che Adams","sctSCO","FW","Southampton","engPremier League","23","1996","30","12","1,111","12.3","4","2","6","4","0","0","0","0","5.3","5.3","1.7","7.0","20","16","87","0.32","0.16","0.49","0.32","0.49","0.43","0.14","0.57","0.43","0.57",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","20","1999","14","10","953","10.6","0","0","0","0","0","0","0","0","0.4","0.4","0.6","1.0","11","34","49","0.00","0.00","0.00","0.00","0.00","0.04","0.06","0.10","0.04","0.10",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","26","1993","15","6","746","8.3","5","1","6","5","0","0","1","0","5.9","5.9","0.6","6.5","19","16","67","0.60","0.12","0.72","0.60","0.72","0.71","0.08","0.78","0.71","0.78",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","32","1987","1","0","25","0.3","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Bobby Adekanye","nlNED","FW","Lazio","itSerie A","20","1999","11","0","188","2.1","1","0","1","1","0","0","1","0","1.4","1.4","0.2","1.6","6","2","12","0.48","0.00","0.48","0.48","0.48","0.65","0.09","0.74","0.65","0.74",
"Claud Adjapong","itITA","DF","Hellas Verona","itSerie A","21","1998","5","2","231","2.6","0","0","0","0","0","0","0","0","0.2","0.2","0.0","0.2","4","5","16","0.00","0.00","0.00","0.00","0.00","0.09","0.00","0.09","0.09","0.09",
"Amine Adli","maMAR","MF,FW","Toulouse","frLigue 1","19","2000","4","0","46","0.5","0","0","0","0","0","0","1","0","0.0","0.0","0.1","0.1","4","3","5","0.00","0.00","0.00","0.00","0.00","0.00","0.13","0.13","0.00","0.13",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","19","2000","21","11","1,020","11.3","3","3","6","3","0","0","3","0","0.8","0.8","2.2","3.0","38","65","47","0.26","0.26","0.53","0.26","0.53","0.07","0.19","0.26","0.07","0.26",
"Adrián","esESP","GK","Liverpool","engPremier League","32","1987","11","9","875","9.7","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Aritz Aduriz","esESP","FW,MF","Athletic Club","esLa Liga","38","1981","14","0","208","2.3","1","0","1","1","0","1","3","0","1.6","0.8","0.0","0.8","2","6","15","0.43","0.00","0.43","0.43","0.43","0.67","0.00","0.67","0.33","0.33",
"Lumor Agbenyenu","ghGHA","DF","Mallorca","esLa Liga","22","1996","23","20","1,805","20.1","1","0","1","1","0","0","5","1","0.3","0.3","1.6","1.9","60","69","66","0.05","0.00","0.05","0.05","0.05","0.01","0.08","0.09","0.01","0.09",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","23","1996","31","23","2,099","23.3","1","1","2","1","0","0","5","1","0.8","0.8","0.7","1.5","26","56","49","0.04","0.04","0.09","0.04","0.09","0.03","0.03","0.07","0.03","0.07",
"Lucien Agoume","frFRA","MF","Inter","itSerie A","17","2002","3","0","68","0.8","0","0","0","0","0","0","1","0","0.0","0.0","0.1","0.1","1","7","2","0.00","0.00","0.00","0.00","0.00","0.00","0.11","0.11","0.00","0.11",
"Kevin Agudelo","coCOL","MF,FW","Fiorentina","itSerie A","20","1998","3","1","64","0.7","0","0","0","0","0","0","0","0","0.2","0.2","0.1","0.3","1","4","8","0.00","0.00","0.00","0.00","0.00","0.26","0.14","0.40","0.26","0.40",
"Kevin Agudelo","coCOL","MF,FW","Genoa","itSerie A","20","1998","10","7","666","7.4","1","1","2","1","0","0","5","1","1.2","1.2","1.6","2.8","39","41","34","0.14","0.14","0.27","0.14","0.27","0.17","0.21","0.38","0.17","0.38",
"Nayef Aguerd","maMAR","DF","Dijon","frLigue 1","23","1996","11","11","957","10.6","1","0","1","1","0","0","2","0","0.3","0.3","0.0","0.3","0","27","0","0.09","0.00","0.09","0.09","0.09","0.03","0.00","0.03","0.03","0.03",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","31","1988","24","18","1,452","16.1","16","3","19","14","2","3","1","0","14.5","12.1","2.3","14.4","35","34","105","0.99","0.19","1.18","0.87","1.05","0.90","0.14","1.04","0.75","0.89",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","26","1993","19","11","1,072","11.9","0","2","2","0","0","0","2","2","0.2","0.2","1.8","2.0","32","52","80","0.00","0.17","0.17","0.00","0.17","0.02","0.15","0.17","0.02","0.17",
"Emmanuel Agyemang-Badu","ghGHA","MF","Hellas Verona","itSerie A","28","1990","10","2","230","2.6","0","0","0","0","0","0","2","0","0.0","0.0","0.0","0.0","2","7","1","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.01",
