Name,Value,Fee,From,Direction
"Yassine Benrahou","€2.00m","loan transfer","Nîmes Olympique","Left","G. Bordeaux"
"Lucas Buadés","-","-","Nîmes Olympique","Left","Nîmes B"
"Antoine Valério","-","-","Nîmes Olympique","Left","Nîmes B"
"Kelyan Guessoum","-","-","Nîmes Olympique","Left","Nîmes B"
"Théo Sainte-Luce","-","-","Nîmes Olympique","Left","Nîmes B"
"Lucas Dias","-","-","Nîmes Olympique","Left","Nîmes B"
"Kévin Denkey","€300k","End of loanJun 30, 2019","Nîmes Olympique","Left","AS Béziers"
"Téji Savanier","€12.00m","€9.50m","Nîmes Olympique","Joined","Montpellier"
"Denis Bouanga","€6.00m","€4.50m","Nîmes Olympique","Joined","Saint-Étienne"
"Sada Thioub","€5.50m","€3.50m","Nîmes Olympique","Joined","Angers SCO"
"Antonin Bobichon","€5.00m","€1.50m","Nîmes Olympique","Joined","Angers SCO"
"Umut Bozok","€4.00m","€1.50m","Nîmes Olympique","Joined","FC Lorient"
"Martin Sourzac","€300k","free transfer","Nîmes Olympique","Joined","AS Nancy"
"Panagiotis Vlachodimos","€700k","free transfer","Nîmes Olympique","Joined","Sonnenhof-Gr."
"Hervé Lybohy","€150k","free transfer","Nîmes Olympique","Joined","AS Nancy"
"Pierrick Valdivia","€600k","free transfer","Nîmes Olympique","Joined","Guingamp"
"Baptiste Valette","€1.00m","free transfer","Nîmes Olympique","Joined","AS Nancy"
"Rachid Alioui","€4.00m","free transfer","Nîmes Olympique","Joined","Angers SCO"
"Abdel Malik Hsissane","€200k","free transfer","Nîmes Olympique","Joined","Le Puy Foot"
"Théo Sainte-Luce","€300k","loan transfer","Nîmes Olympique","Joined","G. Ajaccio"
"Féthi Harek","-","-","Nîmes Olympique","Joined","Retired"
"Baptiste Guillaume","€3.00m","End of loanJun 30, 2019","Nîmes Olympique","Joined","Angers SCO"
"Jordan Ferri","€4.00m","End of loanJun 30, 2019","Nîmes Olympique","Joined","Lyon"
"Faitout Maouassa","€8.00m","End of loanJun 30, 2019","Nîmes Olympique","Joined","Stade Rennais"
"Wissam Ben Yedder","€40.00m","€40.00m","AS Monaco","Left","Sevilla FC"
"Gelson Martins","€28.00m","€30.00m","AS Monaco","Left","Atlético"
"Aurélien Tchouaméni","€14.00m","€18.00m","AS Monaco","Left","G. Bordeaux"
"Guillermo Maripán","€15.00m","€18.00m","AS Monaco","Left","Alavés"
"Youssouf Fofana","€6.00m","€15.00m","AS Monaco","Left","R. Strasbourg"
"Benjamin Lecomte","€17.00m","€13.50m","AS Monaco","Left","Montpellier"
"Henry Onyekuru","€13.00m","€13.50m","AS Monaco","Left","Everton"
"Jean Marcelin","€1.50m","€10.00m","AS Monaco","Left","AJ Auxerre"
"Arthur Zagré","-","€10.00m","AS Monaco","Left","PSG"
"Strahinja Pavlović","€8.00m","€10.00m","AS Monaco","Left","Partizan"
"Ruben Aguilar","€8.00m","€8.00m","AS Monaco","Left","Montpellier"
"Radoslaw Majecki","€5.00m","€7.00m","AS Monaco","Left","Legia Warszawa"
"Jean-Kévin Augustin","€16.00m","Loan fee:€4.00m","AS Monaco","Left","Leipzig"
"Tiemoué Bakayoko","€35.00m","Loan fee:€3.00m","AS Monaco","Left","Chelsea"
"Islam Slimani","€5.00m","loan transfer","AS Monaco","Left","Leicester"
"Wilson Isidor","€150k","-","AS Monaco","Left","Monaco B"
"Paul Nardi","€2.00m","End of loanJun 30, 2019","AS Monaco","Left","Cercle Brugge"
"Irvin Cardona","€1.50m","End of loanJun 30, 2019","AS Monaco","Left","Cercle Brugge"
"Jonathan Mexique","€400k","End of loanJun 30, 2019","AS Monaco","Left","SO Cholet"
"Gabriel Boschilia","€7.50m","End of loanJun 30, 2019","AS Monaco","Left","FC Nantes"
"Keita Baldé","€25.00m","End of loanJun 30, 2019","AS Monaco","Left","Inter"
"Ibrahima Diallo","€2.50m","End of loanJun 30, 2019","AS Monaco","Left","Stade Brestois"
"Samuel Grandsir","€3.00m","End of loanJun 30, 2019","AS Monaco","Left","R. Strasbourg"
"Gil Dias","€2.50m","End of loanJun 30, 2019","AS Monaco","Left","Olympiacos"
"Jordi Mboula","€2.00m","End of loanJan 28, 2020","AS Monaco","Left","Cercle Brugge"
"Youssef Aït Bennasser","€10.00m","End of loanJun 30, 2019","AS Monaco","Left","Saint-Étienne"
"Pelé","€4.50m","End of loanJun 30, 2019","AS Monaco","Left","Nott'm Forest"
"Antonio Barreca","€7.00m","End of loanJun 30, 2019","AS Monaco","Left","Newcastle"
"Adama Traoré","€2.20m","End of loanJun 30, 2019","AS Monaco","Left","Cercle Brugge"
"Loïc Badiashile","€800k","End of loanJun 30, 2019","AS Monaco","Left","Stade Rennais"
"Youri Tielemans","€38.00m","End of loanJun 30, 2019","AS Monaco","Left","Leicester"
"Jorge","€4.00m","End of loanDec 31, 2019","AS Monaco","Left","Santos"
"Loïc Badiashile","€700k","End of loanDec 31, 2019","AS Monaco","Left","Cercle Brugge"
"Youri Tielemans","€38.00m","€45.00m","AS Monaco","Joined","Leicester"
"Rony Lopes","€25.00m","€25.00m","AS Monaco","Joined","Sevilla FC"
"Ronaël Pierre-Gabriel","€4.00m","€5.50m","AS Monaco","Joined","Mainz"
"Djibril Sidibé","€15.00m","Loan fee:€2.50m","AS Monaco","Joined","Everton"
"Ibrahima Diallo","€2.50m","€2.00m","AS Monaco","Joined","Stade Brestois"
"Irvin Cardona","€1.50m","€1.50m","AS Monaco","Joined","Stade Brestois"
"Paul Nardi","€2.00m","€1.50m","AS Monaco","Joined","FC Lorient"
"Henry Onyekuru","€10.00m","Loan fee:€750k","AS Monaco","Joined","Galatasaray"
"Jonathan Mexique","€400k","free transfer","AS Monaco","Joined","SO Cholet"
"Radamel Falcao","€10.00m","free transfer","AS Monaco","Joined","Galatasaray"
"Khéphren Thuram","€500k","free transfer","AS Monaco","Joined","Nice"
"Loïc Badiashile","€800k","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Nacer Chadli","€8.00m","loan transfer","AS Monaco","Joined","RSC Anderlecht"
"Jean-Eudes Aholou","€7.00m","loan transfer","AS Monaco","Joined","Saint-Étienne"
"Samuel Grandsir","€3.00m","loan transfer","AS Monaco","Joined","Stade Brestois"
"Lyle Foster","€1.00m","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Jordi Mboula","€3.00m","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Youssef Aït Bennasser","€10.00m","loan transfer","AS Monaco","Joined","G. Bordeaux"
"Julien Serrano","€1.50m","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Strahinja Pavlović","€8.00m","loan transfer","AS Monaco","Joined","Partizan"
"Sofiane Diop","€5.00m","loan transfer","AS Monaco","Joined","FC Sochaux"
"Wilson Isidor","€150k","loan transfer","AS Monaco","Joined","Stade Lavallois"
"Kévin N'Doram","€4.00m","loan transfer","AS Monaco","Joined","FC Metz"
"Giulian Biancone","€500k","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Gabriel Boschilia","€3.50m","?","AS Monaco","Joined","Internacional"
"Pelé","€4.50m","loan transfer","AS Monaco","Joined","Reading"
"Adama Traoré","€2.20m","loan transfer","AS Monaco","Joined","FC Metz"
"Antonio Barreca","€7.00m","loan transfer","AS Monaco","Joined","Genoa"
"Radoslaw Majecki","€5.00m","loan transfer","AS Monaco","Joined","Legia Warszawa"
"Jordi Mboula","€2.00m","loan transfer","AS Monaco","Joined","SD Huesca"
"Gil Dias","€4.00m","loan transfer","AS Monaco","Joined","Granada CF"
"Naldo","€250k","-","AS Monaco","Joined","Without Club"
"Andrea Raggi","€250k","-","AS Monaco","Joined","Without Club"
"Loïc Badiashile","€700k","loan transfer","AS Monaco","Joined","Amiens SC"
"Jean-Kévin Augustin","€14.00m","End of loanJan 26, 2020","AS Monaco","Joined","Leipzig"
"William Vainqueur","€1.25m","End of loanJun 30, 2019","AS Monaco","Joined","Antalyaspor"
"Gelson Martins","€28.00m","End of loanJun 30, 2019","AS Monaco","Joined","Atlético"
"Carlos Vinícius","€7.00m","End of loanJun 30, 2019","AS Monaco","Joined","Napoli"
"Georges-Kevin N'Koudou","€5.00m","End of loanJun 30, 2019","AS Monaco","Joined","Tottenham"
"Téji Savanier","€12.00m","€9.50m","Montpellier HSC","Left","Nîmes Olympique"
"Andy Delort","€12.50m","€4.50m","Montpellier HSC","Left","Toulouse"
"Arnaud Souquet","€3.50m","€2.80m","Montpellier HSC","Left","KAA Gent"
"Jordan Ferri","€4.00m","€2.00m","Montpellier HSC","Left","Lyon"
"Gerónimo Rulli","€10.00m","Loan fee:€1.50m","Montpellier HSC","Left","Real Sociedad"
"Il-lok Yun","€1.10m","free transfer","Montpellier HSC","Left","Yokohama F. M."
"Joris Chotard","-","-","Montpellier HSC","Left","Montpellier B"
"Thibaut Vargas","-","-","Montpellier HSC","Left","Montpellier U19"
"Thibault Tamas","-","-","Montpellier HSC","Left","Montpellier B"
"Clément Vidal","-","-","Montpellier HSC","Left","Montpellier B"
"Amir Aduev","-","-","Montpellier HSC","Left","Montpellier B"
"Giovanni Sio","€2.00m","End of loanJun 30, 2019","Montpellier HSC","Left","Ittihad Kalba"
"Morgan Poaty","€1.00m","End of loanJun 30, 2019","Montpellier HSC","Left","Troyes"
"Isaac Mbenza","€5.00m","End of loanJun 30, 2019","Montpellier HSC","Left","Huddersfield"
"Benjamin Lecomte","€17.00m","€13.50m","Montpellier HSC","Joined","Monaco"
"Isaac Mbenza","€5.00m","€12.50m","Montpellier HSC","Joined","Huddersfield"
"Ruben Aguilar","€8.00m","€8.00m","Montpellier HSC","Joined","Monaco"
"Ellyes Skhiri","€12.00m","€6.00m","Montpellier HSC","Joined","1.FC Köln"
"Jeremie Porsan-Clemente","€250k","free transfer","Montpellier HSC","Joined","Saint-Étienne B"
"Paul Lasne","€2.50m","free transfer","Montpellier HSC","Joined","Stade Brestois"
"Bryan Passi","€150k","free transfer","Montpellier HSC","Joined","Chamois Niort"
"Yanis Ammour","€150k","loan transfer","Montpellier HSC","Joined","AS Béziers"
"Giovanni Sio","€2.00m","?","Montpellier HSC","Joined","Genclerbirligi"
"Morgan Poaty","€1.00m","?","Montpellier HSC","Joined","Guingamp"
"Mathías Suárez","€1.30m","loan transfer","Montpellier HSC","Joined","Nacional"
"Petar Skuletic","€800k","loan transfer","Montpellier HSC","Joined","Sivasspor"
"Facundo Píriz","€1.00m","-","Montpellier HSC","Joined","Without Club"
"Jonathan Ligali","-","-","Montpellier HSC","Joined","Retired"
"Andy Delort","€12.50m","End of loanJun 30, 2019","Montpellier HSC","Joined","Toulouse"
"Ludovic Blas","€5.00m","€8.00m","FC Nantes","Left","Guingamp"
"Renaud Emond","€4.50m","€4.00m","FC Nantes","Left","Standard Liège"
"Marcus Coco","€3.00m","€3.00m","FC Nantes","Left","Guingamp"
"Molla Wagué","€1.00m","€1.20m","FC Nantes","Left","Udinese"
"Abou Ba","€600k","€1.00m","FC Nantes","Left","AS Nancy"
"Alban Lafont","€17.00m","Loan fee:€800k","FC Nantes","Left","Fiorentina"
"Dennis Appiah","€1.50m","€750k","FC Nantes","Left","RSC Anderlecht"
"Bridge Ndilu","€400k","free transfer","FC Nantes","Left","Stade Lavallois"
"Mehdi Abeid","€1.75m","free transfer","FC Nantes","Left","Dijon"
"Denis Petric","€400k","free transfer","FC Nantes","Left","Guingamp"
"Cristian Benavente","€5.50m","loan transfer","FC Nantes","Left","Pyramids FC"
"Moses Simon","€3.00m","loan transfer","FC Nantes","Left","Levante"
"Abdoul Kader Bamba","-","-","FC Nantes","Left","FC Nantes B"
"Batista Mendy","-","-","FC Nantes","Left","FC Nantes B"
"Roli Pereira de Sa","€100k","-","FC Nantes","Left","FC Nantes B"
"Imrân Louza","-","-","FC Nantes","Left","FC Nantes B"
"Josué Homawoo","-","-","FC Nantes","Left","FC Nantes B"
"Élie Youan","-","-","FC Nantes","Left","FC Nantes B"
"Anthony Limbombe","€5.00m","End of loanDec 31, 2019","FC Nantes","Left","Standard Liège"
"Yassine El Ghanassy","€1.00m","End of loanJun 30, 2019","FC Nantes","Left","Al-Raed"
"Santy Ngom","€500k","End of loanJun 30, 2019","FC Nantes","Left","AS Nancy"
"Koffi Djidji","€5.00m","End of loanJun 30, 2019","FC Nantes","Left","Torino"
"Diego Carlos","€13.00m","€15.00m","FC Nantes","Joined","Sevilla FC"
"Valentin Rongier","€15.00m","€13.00m","FC Nantes","Joined","Marseille"
"Lucas Lima","€6.50m","€6.00m","FC Nantes","Joined","Al-Ahli"
"Koffi Djidji","€5.00m","€3.00m","FC Nantes","Joined","Torino"
"Anthony Limbombe","€6.00m","Loan fee:€1.00m","FC Nantes","Joined","Standard Liège"
"Santy Ngom","€500k","€500k","FC Nantes","Joined","SM Caen"
"Ciprian Tătărușanu","€2.50m","free transfer","FC Nantes","Joined","Lyon"
"Enock Kwateng","€4.00m","free transfer","FC Nantes","Joined","G. Bordeaux"
"Abou Ba","€600k","loan transfer","FC Nantes","Joined","Aris Saloniki"
"Maxime Dupé","€1.00m","loan transfer","FC Nantes","Joined","Clermont Foot"
"Randal Kolo Muani","€300k","loan transfer","FC Nantes","Joined","US Boulogne"
"Quentin Braat","€150k","loan transfer","FC Nantes","Joined","Chamois Niort"
"Joris Kayembe","€500k","?","FC Nantes","Joined","R Charleroi SC"
"Lucas Evangelista","€4.00m","loan transfer","FC Nantes","Joined","Vit. Guimarães"
"Yassine El Ghanassy","€1.00m","-","FC Nantes","Joined","Without Club"
"Majeed Waris","€3.50m","End of loanJun 30, 2019","FC Nantes","Joined","Porto"
"Antonio Mance","€500k","End of loanJun 30, 2019","FC Nantes","Joined","AS Trencin"
"Valentin Eysseric","€3.00m","End of loanJun 30, 2019","FC Nantes","Joined","Fiorentina"
"Edgar Ié","€3.50m","End of loanJun 30, 2019","FC Nantes","Joined","Lille"
"Gabriel Boschilia","€7.50m","End of loanJun 30, 2019","FC Nantes","Joined","Monaco"
"Kasper Dolberg","€18.00m","€20.50m","OGC Nice","Left","Ajax"
"Alexis Claude-Maurice","€7.50m","€13.00m","OGC Nice","Left","FC Lorient"
"Stanley Nsoki","€8.50m","€12.50m","OGC Nice","Left","PSG"
"Hicham Boudaoui","€1.40m","€4.00m","OGC Nice","Left","Paradou AC"
"Adam Ounas","€10.00m","Loan fee:€2.20m","OGC Nice","Left","Napoli"
"Khéphren Thuram","€500k","free transfer","OGC Nice","Left","Monaco"
"Moussa Wagué","€7.50m","loan transfer","OGC Nice","Left","Barcelona"
"Dan Ndoye","€1.00m","?","OGC Nice","Left","Lausanne-Sport"
"Alexis Trouillet","-","?","OGC Nice","Left","Rennes B"
"Riza Durmisi","€2.50m","loan transfer","OGC Nice","Left","Lazio"
"Andy Pelmard","-","-","OGC Nice","Left","OGC Nice B"
"Lamine Diaby-Fadiga","-","-","OGC Nice","Left","OGC Nice B"
"Vincent Marcel","€400k","End of loanJun 30, 2019","OGC Nice","Left","Troyes"
"Adrien Tamèze","€4.80m","End of loanAug 2, 2020","OGC Nice","Left","Atalanta"
"Romain Perraud","€1.50m","End of loanJun 30, 2019","OGC Nice","Left","Paris FC"
"Allan Saint-Maximin","€25.00m","€18.00m","OGC Nice","Joined","Newcastle"
"Romain Perraud","€1.50m","€2.00m","OGC Nice","Joined","Stade Brestois"
"Olivier Boscagli","€3.00m","€2.00m","OGC Nice","Joined","PSV"
"Adrien Tamèze","€6.00m","Loan fee:€512k","OGC Nice","Joined","Atalanta"
"Mickaël Le Bihan","€900k","€500k","OGC Nice","Joined","AJ Auxerre"
"Vincent Marcel","€400k","€100k","OGC Nice","Joined","Guimarães B"
"Lamine Diaby-Fadiga","€1.00m","free transfer","OGC Nice","Joined","Paris FC"
"Christophe Jallet","€500k","free transfer","OGC Nice","Joined","Amiens SC"
"Racine Coly","€2.50m","loan transfer","OGC Nice","Joined","Famalicão"
"Eddy Sylvestre","-","loan transfer","OGC Nice","Joined","AJ Auxerre"
"Jean-Victor Makengo","€4.00m","loan transfer","OGC Nice","Joined","Toulouse"
"Rémi Walter","€2.00m","?","OGC Nice","Joined","Y. Malatyaspor"
"Bassem Srarfi","€2.50m","?","OGC Nice","Joined","Zulte Waregem"
"Ihsan Sacko","€2.00m","loan transfer","OGC Nice","Joined","Troyes"
"Dan Ndoye","€1.00m","loan transfer","OGC Nice","Joined","Lausanne-Sport"
"Mouez Hassen","€1.00m","-","OGC Nice","Joined","Without Club"
"Abdou Diallo","€35.00m","€32.00m","Paris Saint-Germain","Left","Dortmund"
"Idrissa Gueye","€25.00m","€30.00m","Paris Saint-Germain","Left","Everton"
"Pablo Sarabia","€40.00m","€18.00m","Paris Saint-Germain","Left","Sevilla FC"
"Keylor Navas","€10.00m","€15.00m","Paris Saint-Germain","Left","Real Madrid"
"Ander Herrera","€25.00m","free transfer","Paris Saint-Germain","Left","Man Utd"
"Marcin Bulka","-","free transfer","Paris Saint-Germain","Left","Chelsea U23"
"Mitchel Bakker","€500k","free transfer","Paris Saint-Germain","Left","Ajax U21"
"Mauro Icardi","€80.00m","loan transfer","Paris Saint-Germain","Left","Inter"
"Sergio Rico","€12.00m","loan transfer","Paris Saint-Germain","Left","Sevilla FC"
"Junior Dina Ebimbe","-","-","Paris Saint-Germain","Left","Paris SG B"
"Adil Aouchiche","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Tanguy Nianzou","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Moussa Sissako","-","-","Paris Saint-Germain","Left","Paris SG B"
"Arthur Zagré","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Garissone Innocent","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Jesé","€3.20m","End of loanApr 22, 2020","Paris Saint-Germain","Left","Sporting"
"Jesé","€5.00m","End of loanJun 30, 2019","Paris Saint-Germain","Left","Real Betis"
"Giovani Lo Celso","€50.00m","End of loanJun 30, 2019","Paris Saint-Germain","Left","Real Betis"
"Kevin Trapp","€10.00m","End of loanJun 30, 2019","Paris Saint-Germain","Left","Frankfurt"
"Rémy Descamps","€1.20m","End of loanJun 30, 2019","Paris Saint-Germain","Left","Clermont Foot"
"Grzegorz Krychowiak","€18.00m","End of loanJun 30, 2019","Paris Saint-Germain","Left","Loko Moscow"
"Giovani Lo Celso","€50.00m","€22.00m","Paris Saint-Germain","Joined","Real Betis"
"Christopher Nkunku","€12.00m","€19.50m","Paris Saint-Germain","Joined","Leipzig"
"Moussa Diaby","€12.00m","€15.00m","Paris Saint-Germain","Joined","Leverkusen"
"Stanley Nsoki","€8.50m","€12.50m","Paris Saint-Germain","Joined","Nice"
"Grzegorz Krychowiak","€18.00m","€12.00m","Paris Saint-Germain","Joined","Loko Moscow"
"Timothy Weah","€6.00m","€10.00m","Paris Saint-Germain","Joined","Lille"
"Arthur Zagré","-","€10.00m","Paris Saint-Germain","Joined","Monaco"
"Kevin Trapp","€10.00m","€7.00m","Paris Saint-Germain","Joined","Frankfurt"
"Alphonse Areola","€17.50m","Loan fee:€2.00m","Paris Saint-Germain","Joined","Real Madrid"
"Jesé","€5.00m","Loan fee:€2.00m","Paris Saint-Germain","Joined","Sporting"
"Rémy Descamps","€1.20m","€400k","Paris Saint-Germain","Joined","R Charleroi SC"
"Gianluigi Buffon","€1.00m","free transfer","Paris Saint-Germain","Joined","Juventus"
"Adrien Rabiot","€35.00m","free transfer","Paris Saint-Germain","Joined","Juventus"
"Dani Alves","€2.50m","free transfer","Paris Saint-Germain","Joined","São Paulo"
"Junior Dina Ebimbe","-","loan transfer","Paris Saint-Germain","Joined","Le Havre AC"
"Moussa Sissako","-","loan transfer","Paris Saint-Germain","Joined","Standard Liège"
"Sébastien Cibois","€250k","-","Paris Saint-Germain","Joined","Without Club"
"Sergio Rico","€8.00m","End of loanAug 24, 2020","Paris Saint-Germain","Joined","Sevilla FC"
"Predrag Rajković","€3.50m","€5.00m","Stade Reims","Left","M. Tel Aviv"
"Kaj Sierhuis","€1.00m","€4.00m","Stade Reims","Left","Ajax U21"
"Björn Engels","€6.00m","€4.00m","Stade Reims","Left","Olympiacos"
"Dario Maresic","€3.00m","€3.00m","Stade Reims","Left","Sturm Graz"
"Wout Faes","€3.00m","€3.00m","Stade Reims","Left","KV Oostende"
"Dereck Kutesa","€1.75m","€1.70m","Stade Reims","Left","FC St. Gallen"
"Anastasios Donis","€4.00m","Loan fee:€1.00m","Stade Reims","Left","Stuttgart"
"Marshall Munetsi","€550k","free transfer","Stade Reims","Left","Orlando Pirates"
"Timothé Nkada","€150k","free transfer","Stade Reims","Left","Stade Rennais"
"Yehvann Diouf","€300k","free transfer","Stade Reims","Left","Troyes"
"El Bilal Touré","€150k","?","Stade Reims","Left","AFE"
"Nathanaël Mbuku","-","-","Stade Reims","Left","Stade Reims B"
"Virgile Pinson","-","-","Stade Reims","Left","Stade Reims B"
"Patrick Bahanack","€200k","End of loanJun 30, 2019","Stade Reims","Left","Ergotelis"
"Aly Ndom","€600k","End of loanJun 30, 2019","Stade Reims","Left","SM Caen"
"Grejohn Kyei","€600k","End of loanJun 30, 2019","Stade Reims","Left","Lens"
"Lenny Vallier","€300k","End of loanJun 30, 2019","Stade Reims","Left","Pau FC"
"Grégory Berthier","€600k","End of loanJun 30, 2019","Stade Reims","Left","Red Star FC"
"Yohan Roche","€300k","End of loanJun 30, 2019","Stade Reims","Left","Rodez AF"
"Rémi Oudin","€11.00m","€10.00m","Stade Reims","Joined","G. Bordeaux"
"Björn Engels","€6.00m","€8.00m","Stade Reims","Joined","Aston Villa"
"Edouard Mendy","€9.00m","€7.60m","Stade Reims","Joined","Stade Rennais"
"Thomas Fontaine","€1.00m","€1.00m","Stade Reims","Joined","FC Lorient"
"Patrick Bahanack","€200k","free transfer","Stade Reims","Joined","PAS Lamia"
"Virgile Piechocki","€150k","free transfer","Stade Reims","Joined","G. Ajaccio"
"Yohan Roche","€300k","free transfer","Stade Reims","Joined","Rodez AF"
"Pablo Chavarría","€2.50m","free transfer","Stade Reims","Joined","RCD Mallorca"
"Aly Ndom","€600k","?","Stade Reims","Joined","AJ Auxerre"
"Grejohn Kyei","€600k","?","Stade Reims","Joined","Servette FC"
"Hyun-jun Suk","€2.00m","?","Stade Reims","Joined","Troyes"
"Wout Faes","€3.00m","loan transfer","Stade Reims","Joined","KV Oostende"
"Johann Carrasso","-","-","Stade Reims","Joined","Retired"
"Lenny Vallier","€300k","-","Stade Reims","Joined","Stade Reims B"
"Grégory Berthier","€600k","-","Stade Reims","Joined","Stade Reims B"
"Moussa Bana","€150k","-","Stade Reims","Joined","Without Club"
"Marvin Martin","€700k","-","Stade Reims","Joined","Without Club"
"Abdul Rahman Baba","€5.00m","End of loanJun 30, 2019","Stade Reims","Joined","Chelsea"
"Sheyi Ojo","€2.00m","End of loanJun 30, 2019","Stade Reims","Joined","Liverpool"
"Björn Engels","€6.00m","End of loanJun 30, 2019","Stade Reims","Joined","Olympiacos"
"Raphinha","€8.00m","€21.00m","Stade Rennais FC","Left","Sporting"
"M'Baye Niang","€12.00m","€15.00m","Stade Rennais FC","Left","Torino"
"Flavien Tait","€8.00m","€9.00m","Stade Rennais FC","Left","Angers SCO"
"Edouard Mendy","€9.00m","€7.60m","Stade Rennais FC","Left","Stade Reims"
"Jonas Martin","€5.00m","€4.00m","Stade Rennais FC","Left","R. Strasbourg"
"Metehan Güclü","-","€1.50m","Stade Rennais FC","Left","Paris SG B"
"Romain Salin","€200k","free transfer","Stade Rennais FC","Left","Sporting"
"Hakim El Mokeddem","€300k","free transfer","Stade Rennais FC","Left","Toulouse"
"Jérémy Morel","€250k","free transfer","Stade Rennais FC","Left","Lyon"
"Riffi Mandanda","€400k","free transfer","Stade Rennais FC","Left","US Boulogne"
"Steven Nzonzi","€13.50m","loan transfer","Stade Rennais FC","Left","Roma"
"Joris Gnagnon","€6.00m","loan transfer","Stade Rennais FC","Left","Sevilla FC"
"Lucas Da Cunha","-","-","Stade Rennais FC","Left","Rennes B"
"Yann Gboho","€150k","-","Stade Rennais FC","Left","Rennes B"
"Timothé Nkada","€150k","-","Stade Rennais FC","Left","Rennes B"
"Pépé Bonet","-","-","Stade Rennais FC","Left","Rennes U19"
"Sacha Boey","€250k","-","Stade Rennais FC","Left","Rennes B"
"Denis-Will Poha","€1.25m","End of loanJun 30, 2019","Stade Rennais FC","Left","AS Nancy"
"Faitout Maouassa","€8.00m","End of loanJun 30, 2019","Stade Rennais FC","Left","Nîmes Olympique"
"Diafra Sakho","€2.00m","End of loanJun 30, 2019","Stade Rennais FC","Left","Bursaspor"
"Jordan Tell","€800k","End of loanJun 30, 2019","Stade Rennais FC","Left","US Orléans"
"Brandon Thomas","€2.00m","End of loanJun 30, 2019","Stade Rennais FC","Left","CA Osasuna"
"Ismaïla Sarr","€30.00m","€30.00m","Stade Rennais FC","Joined","Watford"
"Ramy Bensebaini","€8.00m","€8.00m","Stade Rennais FC","Joined","Mönchengladbach"
"Tomas Koubek","€6.00m","€7.50m","Stade Rennais FC","Joined","Augsburg"
"Benjamin André","€10.00m","€7.00m","Stade Rennais FC","Joined","Lille"
"Brandon Thomas","€2.00m","€2.00m","Stade Rennais FC","Joined","CA Osasuna"
"Nicolas Janvier","€300k","€50k","Stade Rennais FC","Joined","Guimarães B"
"Edvinas Gertmonas","€300k","free transfer","Stade Rennais FC","Joined","Žalgiris"
"Abdoulaye Diallo","€1.00m","free transfer","Stade Rennais FC","Joined","Genclerbirligi"
"Mexer","€4.00m","free transfer","Stade Rennais FC","Joined","G. Bordeaux"
"Timothé Nkada","€150k","free transfer","Stade Rennais FC","Joined","Stade Reims"
"Ludovic Baal","€500k","free transfer","Stade Rennais FC","Joined","Stade Brestois"
"Armand Laurienté","€300k","loan transfer","Stade Rennais FC","Joined","FC Lorient"
"Jordan Tell","€800k","loan transfer","Stade Rennais FC","Joined","SM Caen"
"Hakim El Mokeddem","€300k","loan transfer","Stade Rennais FC","Joined","Stade Lavallois"
"Souleyman Doumbia","€2.00m","loan transfer","Stade Rennais FC","Joined","Angers SCO"
"Diafra Sakho","€1.50m","-","Stade Rennais FC","Joined","Without Club"
"Mehdi Zeffane","€2.00m","-","Stade Rennais FC","Joined","Without Club"
"Hatem Ben Arfa","€6.00m","-","Stade Rennais FC","Joined","Without Club"
"Romain Danzé","-","-","Stade Rennais FC","Joined","Retired"
"Loïc Badiashile","€800k","End of loanJun 30, 2019","Stade Rennais FC","Joined","Monaco"
"M'Baye Niang","€12.00m","End of loanJun 30, 2019","Stade Rennais FC","Joined","Torino"
"Denis Bouanga","€6.00m","€4.50m","AS Saint-Étienne","Left","Nîmes Olympique"
"Ryad Boudebouz","€6.00m","€3.50m","AS Saint-Étienne","Left","Real Betis"
"Zaydou Youssouf","€4.00m","€2.00m","AS Saint-Étienne","Left","G. Bordeaux"
"Sergi Palencia","€6.00m","€2.00m","AS Saint-Étienne","Left","Barcelona"
"Miguel Trauco","€1.75m","€1.00m","AS Saint-Étienne","Left","Flamengo"
"Yvann Maçon","€50k","€450k","AS Saint-Étienne","Left","USL Dunkerque"
"Alpha Sissoko","€500k","free transfer","AS Saint-Étienne","Left","Clermont Foot"
"Harold Moukoudi","€3.00m","free transfer","AS Saint-Étienne","Left","Le Havre AC"
"William Saliba","€12.00m","loan transfer","AS Saint-Étienne","Left","Arsenal"
"Jean-Eudes Aholou","€7.00m","loan transfer","AS Saint-Étienne","Left","Monaco"
"Yohan Cabaye","€2.00m","-","AS Saint-Étienne","Left","Without Club"
"Stefan Bajic","€150k","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Charles Abi","€500k","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Wesley Fofana","-","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Vágner Dias","€800k","-","AS Saint-Étienne","Left","Saint-Étienne B"
