Name,Value,Fee,From,Direction
"Vukasin Jovanovic","€1.00m","€3.00m","FC Girondins Bordeaux","Left","Zenit S-Pb"
"Paul Baysse","€2.50m","€1.00m","FC Girondins Bordeaux","Left","Málaga CF"
"Alexandre Mendy","€1.25m","€600k","FC Girondins Bordeaux","Left","Guingamp"
"Benoît Costil","€7.50m","free transfer","FC Girondins Bordeaux","Left","Stade Rennais"
"Matheus Pereira","€350k","loan transfer","FC Girondins Bordeaux","Left","Juventus"
"Soualiho Meïté","€7.00m","loan transfer","FC Girondins Bordeaux","Left","Monaco"
"Martin Braithwaite","€7.50m","loan transfer","FC Girondins Bordeaux","Left","Middlesbrough"
"Zaydou Youssouf","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Jules Koundé","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Olivier Verdon","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Aaron Boupendza","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Gaëtan Poussin","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Théo Pellenard","€400k","End of loanJun 30, 2016","FC Girondins Bordeaux","Left","Paris FC"
"Cédric Yambéré","€2.00m","End of loanJun 30, 2017","FC Girondins Bordeaux","Left","APOEL Nicosia"
"Pablo","€1.25m","End of loanDec 31, 2017","FC Girondins Bordeaux","Left","Corinthians"
"Isaac Kiese Thelin","€1.50m","End of loanAug 29, 2017","FC Girondins Bordeaux","Left","RSC Anderlecht"
"Frédéric Guilbert","€2.50m","End of loanJun 30, 2017","FC Girondins Bordeaux","Left","SM Caen"
"Kévin Soni","€250k","End of loanJun 30, 2017","FC Girondins Bordeaux","Left","Pau FC"
"Enzo Crivelli","€4.00m","End of loanJun 30, 2017","FC Girondins Bordeaux","Left","SC Bastia"
"Adam Ounas","€4.00m","€12.00m","FC Girondins Bordeaux","Joined","Napoli"
"Enzo Crivelli","€4.00m","€4.00m","FC Girondins Bordeaux","Joined","Angers SCO"
"Thomas Touré","€1.50m","€3.00m","FC Girondins Bordeaux","Joined","Angers SCO"
"Isaac Kiese Thelin","€1.50m","€2.75m","FC Girondins Bordeaux","Joined","RSC Anderlecht"
"Nicolas Pallois","€3.50m","€2.00m","FC Girondins Bordeaux","Joined","FC Nantes"
"Jérémy Ménez","€6.00m","€1.50m","FC Girondins Bordeaux","Joined","Antalyaspor"
"Frédéric Guilbert","€2.50m","€1.50m","FC Girondins Bordeaux","Joined","SM Caen"
"Mauro Arambarri","€1.25m","€1.00m","FC Girondins Bordeaux","Joined","Boston River"
"Cédric Yambéré","€2.00m","€500k","FC Girondins Bordeaux","Joined","Dijon"
"Cédric Carrasso","€1.00m","free transfer","FC Girondins Bordeaux","Joined","Galatasaray"
"Kévin Soni","€250k","free transfer","FC Girondins Bordeaux","Joined","CF Peralada"
"Paul Bernardoni","€800k","loan transfer","FC Girondins Bordeaux","Joined","Clermont Foot"
"Daniel Mancini","€1.25m","loan transfer","FC Girondins Bordeaux","Joined","Tours FC"
"Aaron Boupendza","-","loan transfer","FC Girondins Bordeaux","Joined","Pau FC"
"Diego Rolán","€8.00m","loan transfer","FC Girondins Bordeaux","Joined","Málaga CF"
"Vukasin Jovanovic","€5.00m","loan transfer","FC Girondins Bordeaux","Joined","SD Eibar"
"Jérémy Toulalan","-","-","FC Girondins Bordeaux","Joined","Retired"
"Nicolas Maurice-Belay","€1.00m","-","FC Girondins Bordeaux","Joined","Without Club"
"Abdou Traoré","€600k","-","FC Girondins Bordeaux","Joined","Without Club"
"Matheus Pereira","€350k","End of loanJan 31, 2018","FC Girondins Bordeaux","Joined","Juventus"
"Vukasin Jovanovic","€1.25m","End of loanJun 30, 2017","FC Girondins Bordeaux","Joined","Zenit S-Pb"
"Youssouf Sabaly","€4.50m","End of loanJun 30, 2017","FC Girondins Bordeaux","Joined","PSG"
"Alexander Djiku","€1.25m","€2.00m","SM Caen","Left","SC Bastia"
"Frédéric Guilbert","€2.50m","€1.50m","SM Caen","Left","G. Bordeaux"
"Stef Peeters","€1.50m","€1.35m","SM Caen","Left","Sint-Truiden"
"Jan Repas","€500k","€1.00m","SM Caen","Left","NK Domzale"
"Timo Stavitski","€100k","€600k","SM Caen","Left","RoPS"
"Baissama Sankoh","€800k","€500k","SM Caen","Left","Guingamp"
"Adama Mbengue","-","free transfer","SM Caen","Left","Diambars FC"
"Brice Samba","€400k","free transfer","SM Caen","Left","Marseille"
"Youssef Aït Bennasser","€3.00m","loan transfer","SM Caen","Left","Monaco"
"Enzo Crivelli","€4.00m","loan transfer","SM Caen","Left","Angers SCO"
"Yoël Armougom","-","-","SM Caen","Left","SM Caen B"
"Jessy Deminguet","-","-","SM Caen","Left","SM Caen B"
"Durel Avounou","-","-","SM Caen","Left","SM Caen B"
"Jordan N'Kololo","€600k","End of loanJun 30, 2017","SM Caen","Left","Stade Lavallois"
"Christian Kouakou","€1.00m","End of loanJun 30, 2017","SM Caen","Left","Nîmes Olympique"
"Florian Le Joncour","€250k","End of loanJun 30, 2017","SM Caen","Left","US Avranches"
"Jean-Victor Makengo","€900k","€6.00m","SM Caen","Joined","Nice"
"Alaeddine Yahia","€250k","free transfer","SM Caen","Joined","AS Nancy"
"Syam Ben Youssef","€1.25m","free transfer","SM Caen","Joined","Kasimpasa"
"Jordan Adéoti","€2.00m","free transfer","SM Caen","Joined","AJ Auxerre"
"Louis Deschateaux","€150k","free transfer","SM Caen","Joined","US Alençon"
"Pape Sané","€1.00m","loan transfer","SM Caen","Joined","AJ Auxerre"
"Chaker Alhadhur","€600k","loan transfer","SM Caen","Joined","LB Châteauroux"
"Yann Karamoh","€3.00m","loan transfer","SM Caen","Joined","Inter"
"Emmanuel Imorou","€1.50m","loan transfer","SM Caen","Joined","Cercle Brugge"
"Paul Reulet","€300k","loan transfer","SM Caen","Joined","US Boulogne"
"Valentin Voisin","€150k","loan transfer","SM Caen","Joined","US Avranches"
"Jonathan Delaplace","€1.00m","?","SM Caen","Joined","FC Lorient"
"Jeff Louis","€500k","loan transfer","SM Caen","Joined","Quevilly Rouen"
"Steed Malbranque","-","-","SM Caen","Joined","Career break"
"Nicolas Seube","-","-","SM Caen","Joined","Retired"
"Frédéric Guilbert","€2.50m","End of loanJun 30, 2017","SM Caen","Joined","G. Bordeaux"
"Benjamin Jeannot","€2.00m","€2.00m","Dijon FCO","Left","FC Lorient"
"Wesley Lautoa","€2.00m","€1.50m","Dijon FCO","Left","FC Lorient"
"Wesley Saïd","€1.50m","€1.50m","Dijon FCO","Left","Stade Rennais"
"Cédric Yambéré","€2.00m","€500k","Dijon FCO","Left","G. Bordeaux"
"Eden Massouema","€150k","free transfer","Dijon FCO","Left","Paris FC"
"Xeka","€1.25m","loan transfer","Dijon FCO","Left","Lille"
"Naïm Sliti","€1.75m","loan transfer","Dijon FCO","Left","Lille"
"Papy Djilobodji","€5.00m","loan transfer","Dijon FCO","Left","Sunderland"
"Erwan Maury","€200k","End of loanJun 30, 2017","Dijon FCO","Left","Quevilly Rouen"
"Enzo Basilio","€100k","End of loanJun 30, 2017","Dijon FCO","Left","Quevilly Rouen"
"Jessy Benet","€300k","End of loanJun 30, 2017","Dijon FCO","Left","US Avranches"
"Mamadou Thiam","€800k","End of loanJun 30, 2017","Dijon FCO","Left","Clermont Foot"
"Loïs Diony","€3.00m","€10.00m","Dijon FCO","Joined","Saint-Étienne"
"Pierre Lees-Melou","€2.50m","€4.00m","Dijon FCO","Joined","Nice"
"Mamadou Thiam","€800k","€1.00m","Dijon FCO","Joined","Barnsley"
"Yohann Rivière","€250k","free transfer","Dijon FCO","Joined","US Créteil-L"
"Jordan Lotiès","€500k","free transfer","Dijon FCO","Joined","KAS Eupen"
"Anthony Belmonte","€400k","free transfer","Dijon FCO","Joined","Levski Sofia"
"Jérémie Bela","€1.25m","free transfer","Dijon FCO","Joined","Albacete"
"Enzo Basilio","€100k","loan transfer","Dijon FCO","Joined","Rodez AF"
"Jessy Benet","€300k","loan transfer","Dijon FCO","Joined","Grenoble"
"Ádám Lang","€1.25m","loan transfer","Dijon FCO","Joined","AS Nancy"
"Yunis Abdelhamid","€1.00m","?","Dijon FCO","Joined","Stade Reims"
"Dylan Bahamboula","€800k","loan transfer","Dijon FCO","Joined","G. Ajaccio"
"Marvin Martin","€500k","End of loanJun 30, 2017","Dijon FCO","Joined","Lille"
"Marcus Thuram","€600k","€600k","EA Guingamp","Left","FC Sochaux"
