Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","32","1987","1","0","25","0.3","0","0.00","1","1","100.0","0","0","0","0","","0","0","0","0","",
"Adrián","esESP","GK","Liverpool","engPremier League","32","1987","11","9","875","9.7","10","1.03","27","17","63.0","9","0","0","2","22.2","0","0","0","0","",
"Rúnar Alex Rúnarsson","isISL","GK","Dijon","frLigue 1","24","1995","11","9","900","10.0","17","1.70","47","31","63.8","1","2","6","0","0.0","0","0","0","0","",
"Enrico Alfonso","itITA","GK","Brescia","itSerie A","31","1988","4","4","279","3.1","4","1.29","11","7","63.6","1","0","3","1","25.0","0","0","0","0","",
"Alisson","brBRA","GK","Liverpool","engPremier League","26","1992","29","29","2,543","28.3","23","0.81","80","58","72.5","23","3","3","13","44.8","1","1","0","0","0.0",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","32","1986","4","4","180","2.0","1","0.50","3","2","66.7","1","1","0","1","25.0","0","0","0","0","",
"Lorenzo Andrenacci","itITA","GK","Brescia","itSerie A","24","1995","6","5","531","5.9","16","2.71","44","28","63.6","0","1","4","0","0.0","1","0","0","1","",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","35","1984","13","13","1,170","13.0","16","1.23","51","36","68.6","5","4","4","3","23.1","1","0","0","1","",
"Alphonse Areola","frFRA","GK","Real Madrid","esLa Liga","26","1993","4","4","360","4.0","5","1.25","14","9","78.6","3","1","0","1","25.0","2","2","0","0","0.0",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","26","1993","3","3","270","3.0","2","0.67","3","1","33.3","2","0","1","2","66.7","0","0","0","0","",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","24","1994","33","33","2,970","33.0","47","1.42","99","54","54.5","18","4","11","8","24.2","2","2","0","0","0.0",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","30","1989","34","34","3,060","34.0","41","1.21","145","104","75.2","17","4","13","11","32.4","6","5","1","0","16.7",
