Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4","4","360","4.0","5","1.25","20","15","75.0","1","2","1","1","25.0","0","0","0","0","",
"Doğan Alemdar","trTUR","GK","Rennes","frLigue 1","18","2002","12","12","1,080","12.0","13","1.08","36","22","66.7","6","1","5","4","33.3","2","1","1","0","50.0",
"Alisson","brBRA","GK","Liverpool","engPremier League","28","1992","36","36","3,240","36.0","24","0.67","99","76","75.8","27","7","2","20","55.6","0","0","0","0","",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","28","1993","1","1","90","1.0","1","1.00","3","2","66.7","0","0","1","0","0.0","0","0","0","0","",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","26","1994","4","4","360","4.0","2","0.50","13","11","84.6","2","1","1","2","50.0","0","0","0","0","",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","32","1989","6","6","540","6.0","9","1.50","28","19","71.4","2","2","2","0","0.0","1","1","0","0","0.0",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","24","1997","29","29","2,560","28.4","48","1.69","130","82","63.8","8","5","16","5","17.2","2","1","1","0","50.0",
"Daniel Bachmann","atAUT","GK","Watford","engPremier League","27","1994","12","12","1,080","12.0","28","2.33","72","46","65.3","1","0","11","0","0.0","3","3","0","0","0.0",
"Édgar Badía","esESP","GK","Elche","esLa Liga","29","1992","24","24","2,160","24.0","35","1.46","114","78","75.4","8","5","11","5","20.8","9","7","1","1","12.5",
"Nicola Bagnolini","itITA","GK","Bologna","itSerie A","17","2004","1","0","3","0.0","0","0.00","1","1","100.0","0","0","0","1","","0","0","0","0","",
"Stefan Bajic","frFRA","GK","Saint-Étienne","frLigue 1","19","2001","7","4","510","5.7","13","2.29","29","16","62.1","0","1","3","0","0.0","2","2","0","0","0.0",
"Francesco Bardi","itITA","GK","Bologna","itSerie A","29","1992","2","2","177","2.0","2","1.02","9","7","77.8","1","1","0","0","0.0","0","0","0","0","",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","31","1990","33","33","2,970","33.0","57","1.73","155","98","64.5","12","7","14","8","24.2","4","2","1","1","33.3",
"Asmir Begović","baBIH","GK","Everton","engPremier League","34","1987","3","3","270","3.0","8","2.67","18","11","61.1","1","0","2","1","33.3","1","1","0","0","0.0",
"Vid Belec","siSVN","GK","Salernitana","itSerie A","31","1990","23","21","1,938","21.5","49","2.28","135","87","65.9","3","2","16","1","4.8","5","3","1","1","25.0",
"Walter Benítez","arARG","GK","Nice","frLigue 1","28","1993","37","37","3,330","37.0","35","0.95","141","105","78.0","20","7","10","14","37.8","5","4","1","0","20.0",
"Alessandro Berardi","itITA","GK","Hellas Verona","itSerie A","30","1991","1","1","90","1.0","3","3.00","7","4","57.1","0","1","0","0","0.0","0","0","0","0","",
"Etrit Berisha","alALB","GK","Torino","itSerie A","32","1989","10","10","900","10.0","8","0.80","41","32","85.4","3","4","3","4","40.0","3","2","1","0","33.3",
"Paul Bernardoni","frFRA","GK","Angers","frLigue 1","24","1997","13","13","1,170","13.0","19","1.46","46","27","65.2","4","5","4","4","30.8","3","3","0","0","0.0",
"Paul Bernardoni","frFRA","GK","Saint-Étienne","frLigue 1","24","1997","19","19","1,710","19.0","37","1.95","93","58","65.6","5","5","9","3","15.8","5","5","0","0","0.0",
"Dimitry Bertaud","cdCOD","GK","Montpellier","frLigue 1","23","1998","11","9","833","9.3","20","2.16","57","37","68.4","2","3","4","2","22.2","2","2","0","0","0.0",
"Marco Bizot","nlNED","GK","Brest","frLigue 1","30","1991","38","38","3,420","38.0","57","1.50","170","115","68.8","13","9","16","7","18.4","4","4","0","0","0.0",
