Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave% 
"Péter Gulácsi","huHUN","GK","RB Leipzig","deBundesliga","27","1990","33","33","2,970","33.0","52","1.58","147","95","68.0","15","8","10","6","18.2","5","5","0","0","0.0",
"Régis Gurtner","frFRA","GK","Amiens","frLigue 1","30","1986","37","37","3,330","37.0","41","1.11","171","130","78.4","12","9","16","11","29.7","4","4","0","0","0.0",
"Ben Hamer","engENG","GK","Leicester City","engPremier League","29","1987","4","3","275","3.1","7","2.29","13","6","53.8","0","1","2","1","33.3","1","1","0","0","0.0",
"Samir Handanović","siSVN","GK","Inter","itSerie A","33","1984","38","38","3,420","38.0","30","0.79","117","91","76.1","20","12","6","17","44.7","2","2","0","0","0.0",
"Joe Hart","engENG","GK","West Ham","engPremier League","30","1987","19","19","1,710","19.0","39","2.05","91","51","61.5","3","6","10","4","21.1","5","4","1","0","20.0",
"Tom Heaton","engENG","GK","Burnley","engPremier League","31","1986","4","4","305","3.4","4","1.18","12","8","66.7","2","1","1","0","0.0","0","0","0","0","",
"Wayne Hennessey","wlsWAL","GK","Crystal Palace","engPremier League","30","1987","27","27","2,430","27.0","41","1.52","127","88","68.5","8","6","13","7","25.9","1","1","0","0","0.0",
"Iago Herrerín","esESP","GK","Athletic Club","esLa Liga","29","1988","8","8","720","8.0","6","0.75","30","23","86.7","3","4","1","4","50.0","3","2","1","0","33.3",
"Marwin Hitz","chSUI","GK","Augsburg","deBundesliga","29","1987","32","32","2,880","32.0","42","1.31","159","116","74.2","10","10","12","9","28.1","2","1","1","0","50.0",
"Timo Horn","deGER","GK","Köln","deBundesliga","24","1993","34","34","3,060","34.0","70","2.06","201","130","69.2","5","7","22","5","14.7","9","8","1","0","11.1",
"Lukáš Hrádecký","fiFIN","GK","Eint Frankfurt","deBundesliga","27","1989","34","34","3,060","34.0","45","1.32","133","90","67.7","14","7","13","7","20.6","3","2","0","1","0.0",
"Gorka Iraizoz","esESP","GK","Girona","esLa Liga","36","1981","9","8","765","8.5","13","1.53","36","25","63.9","1","3","4","2","25.0","0","0","0","0","",
"Eldin Jakupović","chSUI","GK","Leicester City","engPremier League","32","1984","2","2","180","2.0","6","3.00","13","8","53.8","1","0","1","0","0.0","0","0","0","0","",
"Rune Jarstein","noNOR","GK","Hertha BSC","deBundesliga","32","1984","31","31","2,790","31.0","44","1.42","140","97","72.1","10","10","11","7","22.6","6","5","0","1","0.0",
"Karl-Johan Johnsson","seSWE","GK","Guingamp","frLigue 1","27","1990","38","38","3,420","38.0","59","1.55","171","111","68.4","12","11","15","11","28.9","7","5","2","0","28.6",
"Bingourou Kamara","snSEN","GK","Strasbourg","frLigue 1","20","1996","19","19","1,692","18.8","32","1.70","86","54","65.1","4","6","9","2","10.5","2","2","0","0","0.0",
"Loris Karius","deGER","GK","Liverpool","engPremier League","24","1993","19","19","1,710","19.0","14","0.74","45","30","73.3","11","5","3","10","52.6","3","2","1","0","33.3",
"Orestis Karnezis","grGRE","GK","Watford","engPremier League","32","1985","15","14","1,292","14.4","24","1.67","56","32","62.5","4","3","7","4","28.6","3","3","0","0","0.0",
"Eiji Kawashima","jpJPN","GK","Metz","frLigue 1","34","1983","29","29","2,569","28.5","60","2.10","167","106","64.1","5","7","17","2","6.9","2","0","2","0","100.0",
"Hervé Koffi","bfBFA","GK","Lille","frLigue 1","20","1996","4","4","360","4.0","11","2.75","20","10","50.0","0","1","3","0","0.0","1","1","0","0","0.0",
"Tomáš Koubek","czCZE","GK","Rennes","frLigue 1","24","1992","34","34","3,060","34.0","36","1.06","127","91","73.2","16","8","10","10","29.4","5","2","2","1","50.0",
"Maksym Koval","uaUKR","GK","La Coruña","esLa Liga","24","1992","2","2","121","1.3","3","2.23","5","2","40.0","","1","1","","","","","","","",
"Thomas Kraft","deGER","GK","Hertha BSC","deBundesliga","29","1988","3","3","270","3.0","2","0.67","14","12","92.9","0","3","0","1","33.3","1","1","0","0","0.0",
"Alban Lafont","ciCIV","GK","Toulouse","frLigue 1","18","1999","38","38","3,420","38.0","54","1.42","158","106","69.6","9","10","19","12","31.6","6","6","0","0","0.0",
"Eugenio Lamanna","itITA","GK","Genoa","itSerie A","27","1989","1","1","90","1.0","1","1.00","3","2","66.7","0","0","1","0","0.0","0","0","0","0","",
"Benjamin Lecomte","frFRA","GK","Montpellier","frLigue 1","26","1991","38","38","3,420","38.0","33","0.87","117","84","76.1","11","18","9","14","36.8","6","5","0","1","0.0",
"Bernd Leno","deGER","GK","Leverkusen","deBundesliga","25","1992","33","33","2,970","33.0","40","1.21","110","70","68.2","15","10","8","10","30.3","5","5","0","0","0.0",
"Alexandre Letellier","frFRA","GK","Angers","frLigue 1","26","1990","13","13","1,170","13.0","17","1.31","44","28","65.9","2","7","4","1","7.7","2","2","0","0","0.0",
"Raúl Lizoain","esESP","GK","Las Palmas","esLa Liga","26","1991","11","11","990","11.0","27","2.45","66","39","62.1","1","2","8","1","9.1","2","2","0","0","0.0",
"Hugo Lloris","frFRA","GK","Tottenham","engPremier League","30","1986","36","36","3,240","36.0","35","0.97","117","82","71.8","22","7","7","15","41.7","3","2","0","1","0.0",
