Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave% 
"Wojciech Szczęsny","plPOL","GK","Juventus","itSerie A","27","1990","17","17","1,530","17.0","9","0.53","33","24","72.7","13","3","1","11","64.7","0","0","0","0","",
"Ciprian Tătărușanu","roROU","GK","Nantes","frLigue 1","31","1986","37","37","3,330","37.0","38","1.03","133","96","72.9","14","10","13","12","32.4","3","2","0","1","0.0",
"Marc-André ter Stegen","deGER","GK","Barcelona","esLa Liga","25","1992","37","37","3,330","37.0","28","0.76","126","98","79.4","27","9","1","19","51.4","2","2","0","0","0.0",
"Kevin Trapp","deGER","GK","Paris S-G","frLigue 1","27","1990","4","4","360","4.0","4","1.00","17","13","88.2","3","0","1","1","25.0","2","2","0","0","0.0",
"Philipp Tschauner","deGER","GK","Hannover 96","deBundesliga","31","1985","31","31","2,790","31.0","45","1.45","158","113","72.8","9","9","13","5","16.1","3","2","0","1","0.0",
"Przemysław Tytoń","plPOL","GK","La Coruña","esLa Liga","30","1987","2","1","97","1.1","4","3.71","5","1","20.0","0","0","1","0","0.0","0","0","0","0","",
"Sven Ulreich","deGER","GK","Bayern Munich","deBundesliga","28","1988","29","29","2,610","29.0","26","0.90","84","58","70.2","23","3","3","12","41.4","4","1","3","0","75.0",
"Francis Uzoho","ngNGA","GK","La Coruña","esLa Liga","18","1998","2","2","180","2.0","2","1.00","9","7","88.9","0","1","1","1","50.0","1","1","0","0","0.0",
"Koke Vegas","esESP","GK","Levante","esLa Liga","21","1995","1","1","90","1.0","4","4.00","8","4","50.0","0","0","1","0","0.0","0","0","0","0","",
"Rémy Vercoutre","frFRA","GK","Caen","frLigue 1","37","1980","35","35","3,103","34.5","48","1.39","132","88","66.7","9","7","19","11","31.4","4","4","0","0","0.0",
"Emiliano Viviano","itITA","GK","Sampdoria","itSerie A","31","1985","27","27","2,430","27.0","43","1.59","132","87","68.9","11","4","12","6","22.2","6","2","4","0","66.7",
"Michel Vorm","nlNED","GK","Tottenham","engPremier League","33","1983","1","1","90","1.0","1","1.00","4","4","75.0","0","1","0","0","0.0","0","0","0","0","",
"Roman Weidenfeller","deGER","GK","Dortmund","deBundesliga","36","1980","2","1","91","1.0","4","3.96","7","3","42.9","0","1","0","0","0.0","0","0","0","0","",
"Axel Werner","arARG","GK","Atlético Madrid","esLa Liga","21","1996","1","1","90","1.0","0","0.00","3","3","100.0","1","0","0","1","100.0","0","0","0","0","",
"Yoel","esESP","GK","Eibar","esLa Liga","28","1988","1","1","90","1.0","0","0.00","5","5","100.0","0","1","0","1","100.0","0","0","0","0","",
"Erwin Zelazny","frFRA","GK","Troyes","frLigue 1","25","1991","17","17","1,530","17.0","28","1.65","92","64","71.7","3","3","11","3","17.6","2","2","0","0","0.0",
"Robin Zentner","deGER","GK","Mainz 05","deBundesliga","22","1994","15","15","1,350","15.0","27","1.80","70","44","67.1","3","5","7","2","13.3","4","4","0","0","0.0",
"Luca Zidane","dzALG","GK","Real Madrid","esLa Liga","19","1998","1","1","90","1.0","2","2.00","4","2","50.0","0","1","0","0","0.0","0","0","0","0","",
"Ron-Robert Zieler","deGER","GK","Stuttgart","deBundesliga","28","1989","34","34","3,060","34.0","36","1.06","155","117","79.4","15","6","13","12","35.3","6","4","2","0","33.3",
