Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Jonathan Fischer","dkDEN","GK","Metz","frLigue 1","24-021","2001","14","13","1,184","13.2","27","2.05","71","44","67.6","3","2","8","3","23.1","5","4","1","0","20.0",
"Mark Flekken","nlNED","GK","Leverkusen","deBundesliga","32-170","1993","12","12","1,080","12.0","17","1.42","52","36","71.2","7","2","3","3","25.0","2","2","0","0","0.0",
"Joan García","esESP","GK","Barcelona","esLa Liga","24-210","2001","8","8","720","8.0","5","0.62","22","17","81.8","7","1","0","4","50.0","1","1","0","0","0.0",
"Paulo Gazzaniga","arARG","GK","Girona","esLa Liga","33-332","1992","12","12","1,032","11.5","19","1.66","65","46","73.8","2","5","5","2","16.7","2","2","0","0","0.0",
"David de Gea","esESP","GK","Fiorentina","itSerie A","35-023","1990","12","12","1,080","12.0","19","1.58","57","37","71.9","0","6","6","2","16.7","4","3","1","0","25.0",
"Kamil Grabara","plPOL","GK","Wolfsburg","deBundesliga","26-326","1999","11","11","990","11.0","21","1.91","55","33","63.6","2","2","7","1","9.1","3","1","1","1","50.0",
"Dominik Greif","skSVK","GK","Lyon","frLigue 1","28-238","1997","9","9","810","9.0","12","1.33","29","17","58.6","3","3","3","4","44.4","1","0","1","0","100.0",
"Péter Gulácsi","huHUN","GK","RB Leipzig","deBundesliga","35-208","1990","12","12","1,080","12.0","13","1.08","40","27","67.5","8","2","2","6","50.0","0","0","0","0","",
"Dean Henderson","engENG","GK","Crystal Palace","engPremier League","28-263","1997","12","12","1,080","12.0","9","0.75","35","26","77.1","5","5","2","6","50.0","1","1","0","0","0.0",
"Mads Hermansen","dkDEN","GK","West Ham","engPremier League","25-142","2000","4","4","360","4.0","11","2.75","20","9","45.0","1","0","3","1","25.0","0","0","0","0","",
"Sergio Herrera","esESP","GK","Osasuna","esLa Liga","32-178","1993","14","14","1,260","14.0","18","1.29","69","51","78.3","3","3","8","3","21.4","3","3","0","0","0.0",
"Daniel Heuer Fernandes","ptPOR","GK","Hamburger SV","deBundesliga","33-017","1992","11","11","990","11.0","17","1.55","57","39","71.9","2","3","6","3","27.3","2","1","1","0","50.0",
"Lukáš Hrádecký","fiFIN","GK","Monaco","frLigue 1","36-006","1989","5","5","438","4.9","8","1.64","20","12","70.0","3","0","2","1","20.0","3","2","0","1","0.0",
"Franco Israel","uyURU","GK","Torino","itSerie A","25-222","2000","7","7","630","7.0","13","1.86","33","20","66.7","2","2","3","3","42.9","2","2","0","0","0.0",
"Karl Jakob Hein","eeEST","GK","Werder Bremen","deBundesliga","23-231","2002","2","2","180","2.0","4","2.00","15","11","80.0","1","0","1","1","50.0","1","1","0","0","0.0",
"Karl-Johan Johnsson","seSWE","GK","Strasbourg","frLigue 1","35-306","1990","1","1","90","1.0","0","0.00","2","2","100.0","1","0","0","1","100.0","0","0","0","0","",
"Sam Johnstone","engENG","GK","Wolves","engPremier League","32-250","1993","8","8","720","8.0","16","2.00","40","26","60.0","0","2","6","0","0.0","0","0","0","0","",
"Luiz Lúcio Reis Júnior","brBRA","GK","Villarreal","esLa Liga","24-320","2001","10","10","900","10.0","5","0.50","30","24","86.7","8","1","1","6","60.0","2","1","1","0","50.0",
"Filip Jørgensen","dkDEN","GK","Chelsea","engPremier League","23-228","2002","1","0","84","0.9","2","2.14","3","1","33.3","0","0","0","0","","0","0","0","0","",
"Bingourou Kamara","snSEN","GK","Lorient","frLigue 1","29-040","1996","3","3","270","3.0","8","2.67","15","7","46.7","1","0","2","1","33.3","1","0","0","1","",
"Caoimhín Kelleher","ieIRL","GK","Brentford","engPremier League","27-007","1998","13","13","1,170","13.0","20","1.54","46","27","60.9","6","1","6","2","15.4","3","2","1","0","33.3",
"Gregor Kobel","chSUI","GK","Dortmund","deBundesliga","27-359","1997","12","12","1,080","12.0","11","0.92","37","26","73.0","7","4","1","6","50.0","1","1","0","0","0.0",
"Hervé Koffi","bfBFA","GK","Angers","frLigue 1","29-045","1996","13","13","1,170","13.0","15","1.15","71","54","80.3","4","4","5","4","30.8","4","1","2","1","66.7",
"Philipp Köhn","chSUI","GK","Monaco","frLigue 1","27-242","1998","10","9","822","9.1","17","1.86","38","22","60.5","4","2","3","1","11.1","2","2","0","0","0.0",
"Vladyslav Krapyvtsov","uaUKR","GK","Girona","esLa Liga","20-158","2005","2","1","136","1.5","6","3.97","9","3","44.4","0","0","1","0","0.0","1","1","0","0","0.0",
"Senne Lammens","beBEL","GK","Manchester Utd","engPremier League","23-146","2002","6","6","540","6.0","8","1.33","22","14","63.6","3","2","1","1","16.7","0","0","0","0","",
"Nicola Leali","itITA","GK","Genoa","itSerie A","32-286","1993","13","13","1,170","13.0","20","1.54","50","31","64.0","2","5","6","2","15.4","2","2","0","0","0.0",
"Bernd Leno","deGER","GK","Fulham","engPremier League","33-271","1992","13","13","1,170","13.0","17","1.31","51","35","70.6","5","2","6","3","23.1","3","2","0","1","0.0",
"Donovan Léon","gfGUF","GK","Auxerre","frLigue 1","33-027","1992","12","12","1,034","11.5","16","1.39","55","40","72.7","2","3","7","3","25.0","2","1","1","0","50.0",
"Anthony Lopes","ptPOR","GK","Nantes","frLigue 1","35-060","1990","12","12","1,078","12.0","17","1.42","60","44","75.0","2","4","6","2","16.7","2","2","0","0","0.0",
"Pau López","esESP","GK","Betis","esLa Liga","30-352","1994","7","7","630","7.0","7","1.00","25","17","72.0","4","2","1","2","28.6","1","0","1","0","100.0",
"Mike Maignan","frFRA","GK","Milan","itSerie A","30-150","1995","12","12","1,045","11.6","9","0.78","41","30","82.9","7","4","1","5","41.7","4","2","2","0","50.0",
"Radosław Majecki","plPOL","GK","Brest","frLigue 1","26-014","1999","10","10","864","9.6","15","1.56","41","26","65.9","1","4","5","3","30.0","1","1","0","0","0.0",
"Pape Mamadou Sy","snSEN","GK","Metz","frLigue 1","28-212","1997","1","1","76","0.8","4","4.74","8","4","50.0","","","1","","","","","","","",
"Giorgi Mamardashvili","geGEO","GK","Liverpool","engPremier League","25-062","2000","5","5","450","5.0","10","2.00","27","16","66.7","1","0","4","1","20.0","2","1","1","0","50.0",
"Emiliano Martínez","arARG","GK","Aston Villa","engPremier League","33-089","1992","10","10","900","10.0","8","0.80","30","21","73.3","6","2","2","3","30.0","1","0","1","0","100.0",
"Josep Martinez","esESP","GK","Inter","itSerie A","27-187","1998","2","2","180","2.0","1","0.50","5","4","80.0","2","0","0","1","50.0","0","0","0","0","",
"Alex Meret","itITA","GK","Napoli","itSerie A","28-253","1997","4","4","360","4.0","4","1.00","12","8","75.0","3","0","1","2","50.0","1","1","0","0","0.0",
"Vanja Milinković-Savić","rsSRB","GK","Napoli","itSerie A","28-283","1997","8","8","720","8.0","7","0.87","20","11","70.0","5","1","2","2","25.0","3","1","2","0","66.7",
"Lorenzo Montipò","itITA","GK","Hellas Verona","itSerie A","29-283","1996","13","13","1,170","13.0","20","1.54","54","34","63.0","0","6","7","3","23.1","1","0","1","0","100.0",
"Arijanet Muric","xkKVX","GK","Sassuolo","itSerie A","27-023","1998","12","12","1,080","12.0","14","1.17","61","48","80.3","5","2","5","4","33.3","2","2","0","0","0.0",
"Juan Musso","arARG","GK","Atlético Madrid","esLa Liga","31-208","1994","1","1","90","1.0","0","0.00","1","1","100.0","1","0","0","1","100.0","0","0","0","0","",
"Yvon Mvogo","chSUI","GK","Lorient","frLigue 1","31-177","1994","10","10","900","10.0","19","1.90","37","19","59.5","1","5","4","0","0.0","5","4","0","1","0.0",
"Manuel Neuer","deGER","GK","Bayern Munich","deBundesliga","39-248","1986","11","11","990","11.0","9","0.82","22","13","59.1","10","1","0","5","45.5","0","0","0","0","",
"Moritz Nicolas","deGER","GK","Gladbach","deBundesliga","28-040","1997","12","12","1,080","12.0","19","1.58","59","40","71.2","3","4","5","5","41.7","2","2","0","0","0.0",
"Obed Nkambadio","frFRA","GK","Paris FC","frLigue 1","22-296","2003","11","11","990","11.0","20","1.82","43","22","58.1","2","3","6","1","9.1","4","2","1","1","33.3",
"Alexander Nübel","deGER","GK","Stuttgart","deBundesliga","29-061","1996","11","11","990","11.0","15","1.36","48","34","75.0","7","1","3","4","36.4","3","3","0","0","0.0",
"Ørjan Nyland","noNOR","GK","Sevilla","esLa Liga","35-081","1990","4","4","360","4.0","7","1.75","16","9","62.5","1","1","2","1","25.0","1","1","0","0","0.0",
"Jan Oblak","siSVN","GK","Atlético Madrid","esLa Liga","32-327","1993","13","13","1,170","13.0","11","0.85","35","24","71.4","8","4","1","5","38.5","1","1","0","0","0.0",
"Maduka Okoye","ngNGA","GK","Udinese","itSerie A","26-094","1999","7","7","630","7.0","11","1.57","28","16","71.4","3","1","3","2","28.6","4","3","1","0","25.0",
"Berke Özer","trTUR","GK","Lille","frLigue 1","25-189","2000","11","11","990","11.0","14","1.27","35","20","60.0","7","2","2","3","27.3","1","0","1","0","100.0",
"Alberto Paleari","itITA","GK","Torino","itSerie A","33-093","1992","5","5","450","5.0","8","1.60","20","12","65.0","1","3","1","2","40.0","1","1","0","0","0.0",
"Iñaki Peña","esESP","GK","Elche","esLa Liga","26-273","1999","8","8","720","8.0","11","1.37","36","25","72.2","1","3","4","2","25.0","1","1","0","0","0.0",
"Mike Penders","beBEL","GK","Strasbourg","frLigue 1","20-122","2005","12","12","1,080","12.0","17","1.42","49","32","67.3","6","1","5","5","41.7","2","1","1","0","50.0",
"Mattia Perin","itITA","GK","Juventus","itSerie A","33-020","1992","2","2","180","2.0","2","1.00","6","4","66.7","1","0","1","0","0.0","0","0","0","0","",
"Lucas Perri","brBRA","GK","Leeds United","engPremier League","27-355","1997","8","8","720","8.0","17","2.12","36","19","58.3","2","1","5","2","25.0","2","2","0","0","0.0",
"Massimo Pessina","itITA","GK","Bologna","itSerie A","17-340","2007","1","0","83","0.9","0","0.00","1","1","100.0","0","0","0","1","","0","0","0","0","",
"Đorđe Petrović","rsSRB","GK","Bournemouth","engPremier League","26-053","1999","13","13","1,170","13.0","23","1.77","61","38","65.6","5","4","4","4","30.8","2","2","0","0","0.0",
"Jordan Pickford","engENG","GK","Everton","engPremier League","31-268","1994","13","13","1,170","13.0","17","1.31","55","37","70.9","5","3","5","4","30.8","2","1","1","0","50.0",
"Nick Pope","engENG","GK","Newcastle Utd","engPremier League","33-225","1992","12","12","1,066","11.8","13","1.10","51","39","74.5","4","3","5","5","41.7","0","0","0","0","",
"Ivan Provedel","itITA","GK","Lazio","itSerie A","31-258","1994","13","13","1,170","13.0","10","0.77","58","48","82.8","5","3","5","7","53.8","0","0","0","0","",
"Ionuț Radu","roROU","GK","Celta Vigo","esLa Liga","28-186","1997","13","13","1,170","13.0","18","1.38","61","43","73.8","3","7","3","1","7.7","5","2","1","2","33.3",
"Diant Ramaj","deGER","GK","Heidenheim","deBundesliga","24-072","2001","12","12","1,080","12.0","27","2.25","65","38","61.5","2","2","8","0","0.0","2","2","0","0","0.0",
"Aaron Ramsdale","engENG","GK","Newcastle Utd","engPremier League","27-200","1998","2","1","104","1.2","3","2.60","5","2","60.0","1","0","0","0","0.0","1","1","0","0","0.0",
"Federico Ravaglia","itITA","GK","Bologna","itSerie A","26-019","1999","2","2","180","2.0","0","0.00","6","6","100.0","2","0","0","2","100.0","0","0","0","0","",
"David Raya","esESP","GK","Arsenal","engPremier League","30-076","1995","12","12","1,080","12.0","6","0.50","23","17","73.9","9","2","1","7","58.3","0","0","0","0","",
"Álex Remiro","esESP","GK","Real Sociedad","esLa Liga","30-251","1995","13","13","1,170","13.0","18","1.38","45","28","62.2","4","4","5","1","7.7","1","1","0","0","0.0",
"Guillaume Restes","frFRA","GK","Toulouse","frLigue 1","20-264","2005","14","14","1,260","14.0","19","1.36","46","27","67.4","4","5","5","4","28.6","4","4","0","0","0.0",
"Lasse Rieß","deGER","GK","Mainz 05","deBundesliga","24-126","2001","3","2","202","2.2","8","3.56","17","9","58.8","0","0","2","0","0.0","1","1","0","0","0.0",
"Robin Risser","frFRA","GK","Lens","frLigue 1","20-363","2004","13","13","1,170","13.0","11","0.85","46","34","80.4","9","1","3","4","30.8","4","2","1","1","33.3",
"Robin Roefs","nlNED","GK","Sunderland","engPremier League","22-317","2003","13","13","1,170","13.0","13","1.00","59","45","78.0","6","4","3","4","30.8","1","0","1","0","100.0",
"Leo Román","esESP","GK","Mallorca","esLa Liga","25-147","2000","10","10","900","10.0","15","1.50","47","31","72.3","2","3","5","1","10.0","3","2","1","0","33.3",
"Gerónimo Rulli","arARG","GK","Marseille","frLigue 1","33-194","1992","11","11","990","11.0","11","1.00","42","32","76.2","6","2","3","4","36.4","1","1","0","0","0.0",
"Mathew Ryan","auAUS","GK","Levante","esLa Liga","33-236","1992","12","12","1,080","12.0","21","1.75","61","41","67.2","2","3","7","2","16.7","1","1","0","0","0.0",
"Frederik Rønnow","dkDEN","GK","Union Berlin","deBundesliga","33-118","1992","12","12","1,080","12.0","19","1.58","57","38","71.9","4","3","5","3","25.0","3","3","0","0","0.0",
"José Sá","ptPOR","GK","Wolves","engPremier League","32-317","1993","4","4","360","4.0","11","2.75","16","5","31.3","0","0","4","0","0.0","0","0","0","0","",
"Brice Samba","frFRA","GK","Rennes","frLigue 1","31-219","1994","14","14","1,260","14.0","18","1.29","54","35","72.2","6","6","2","4","28.6","4","3","1","0","25.0",
"Robert Sánchez","esESP","GK","Chelsea","engPremier League","28-012","1997","12","12","994","11.0","9","0.81","28","19","67.9","7","2","3","6","50.0","0","0","0","0","",
"Kauã Santos","brBRA","GK","Eint Frankfurt","deBundesliga","22-233","2003","4","4","360","4.0","13","3.25","21","8","38.1","1","1","2","0","0.0","0","0","0","0","",
"Razvan Sava","roROU","GK","Udinese","itSerie A","23-162","2002","6","6","540","6.0","9","1.50","21","12","57.1","2","2","2","1","16.7","0","0","0","0","",
"Marvin Schwäbe","deGER","GK","Köln","deBundesliga","30-219","1995","12","12","1,080","12.0","20","1.67","60","39","71.7","4","3","5","2","16.7","4","3","1","0","25.0",
"Matz Sels","beBEL","GK","Nott'ham Forest","engPremier League","33-277","1992","12","12","1,080","12.0","20","1.67","60","40","71.7","3","3","6","1","8.3","3","3","0","0","0.0",
"Adrian Šemper","hrCRO","GK","Pisa","itSerie A","27-322","1998","12","12","1,080","12.0","16","1.33","58","42","72.4","1","7","4","4","33.3","0","0","0","0","",
"Marco Silvestri","itITA","GK","Cremonese","itSerie A","34-273","1991","4","4","360","4.0","7","1.75","22","15","68.2","0","3","1","0","0.0","0","0","0","0","",
"Unai Simón","esESP","GK","Athletic Club","esLa Liga","28-172","1997","14","14","1,260","14.0","17","1.21","52","36","67.3","6","2","6","4","28.6","0","0","0","0","",
"Antonio Sivera","esESP","GK","Alavés","esLa Liga","29-111","1996","14","14","1,260","14.0","15","1.07","47","32","70.2","4","3","7","2","14.3","1","1","0","0","0.0",
"Łukasz Skorupski","plPOL","GK","Bologna","itSerie A","34-209","1991","10","10","817","9.1","8","0.88","26","18","76.9","5","3","2","3","30.0","2","2","0","0","0.0",
"Yann Sommer","chSUI","GK","Inter","itSerie A","36-348","1988","10","10","900","10.0","12","1.20","35","23","71.4","6","0","4","4","40.0","2","2","0","0","0.0",
"David Soria","esESP","GK","Getafe","esLa Liga","32-240","1993","14","14","1,260","14.0","15","1.07","59","46","76.3","6","2","6","4","28.6","1","1","0","0","0.0",
"Zion Suzuki","jpJPN","GK","Parma","itSerie A","23-101","2002","11","11","990","11.0","14","1.27","50","35","74.0","1","5","5","3","27.3","2","1","1","0","50.0",
"Mile Svilar","rsSRB","GK","Roma","itSerie A","26-095","1999","12","12","1,080","12.0","6","0.50","41","35","85.4","9","0","3","6","50.0","0","0","0","0","",
"Wojciech Szczęsny","plPOL","GK","Barcelona","esLa Liga","35-226","1990","6","6","540","6.0","11","1.83","27","15","63.0","4","0","2","0","0.0","2","1","1","0","50.0",
"Arnau Tenas","esESP","GK","Villarreal","esLa Liga","24-184","2001","3","3","270","3.0","6","2.00","12","6","58.3","1","1","1","0","0.0","1","1","0","0","0.0",
"Pietro Terracciano","itITA","GK","Milan","itSerie A","35-267","1990","2","1","125","1.4","0","0.00","4","4","100.0","1","0","0","2","200.0","0","0","0","0","",
"James Trafford","engENG","GK","Manchester City","engPremier League","23-051","2002","3","3","270","3.0","4","1.33","15","11","80.0","1","0","2","1","33.3","1","1","0","0","0.0",
"Kevin Trapp","deGER","GK","Paris FC","frLigue 1","35-145","1990","3","3","270","3.0","6","2.00","13","7","69.2","2","0","1","1","33.3","2","2","0","0","0.0",
"Stefano Turati","itITA","GK","Sassuolo","itSerie A","24-086","2001","1","1","90","1.0","2","2.00","4","2","50.0","0","0","1","0","0.0","0","0","0","0","",
"Jonas Urbig","deGER","GK","Bayern Munich","deBundesliga","22-114","2003","1","1","90","1.0","0","0.00","0","0","","1","0","0","1","100.0","1","0","0","1","",
"Álvaro Vallés","esESP","GK","Betis","esLa Liga","28-128","1997","6","6","540","6.0","7","1.17","22","16","68.2","1","4","1","1","16.7","0","0","0","0","",
"Nikola Vasilj","baBIH","GK","St. Pauli","deBundesliga","29-363","1995","12","12","1,080","12.0","24","2.00","64","38","62.5","2","1","9","1","8.3","2","0","2","0","100.0",
"Bart Verbruggen","nlNED","GK","Brighton","engPremier League","23-104","2002","12","12","1,080","12.0","16","1.33","42","27","66.7","5","4","3","2","16.7","3","2","1","0","33.3",
"Guglielmo Vicario","itITA","GK","Tottenham","engPremier League","29-054","1996","13","13","1,170","13.0","16","1.23","55","39","70.9","5","3","5","4","30.8","0","0","0","0","",
"Odysseas Vlachodimos","grGRE","GK","Sevilla","esLa Liga","31-218","1994","9","9","810","9.0","14","1.56","47","33","76.6","4","0","5","2","22.2","4","3","0","1","0.0",
"Robin Zentner","deGER","GK","Mainz 05","deBundesliga","31-033","1994","9","9","786","8.7","11","1.26","35","25","68.6","1","3","5","0","0.0","0","0","0","0","",
"Michael Zetterer","deGER","GK","Eint Frankfurt","deBundesliga","30-141","1995","7","7","630","7.0","9","1.29","27","18","70.4","5","1","1","2","28.6","1","1","0","0","0.0",
