Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Julen Agirrezabala","esESP","GK","Valencia","esLa Liga","24-339","2000","13","13","1,170","13.0","21","1.62","60","38","68.3","3","4","6","4","30.8","3","2","1","0","33.3",
"Alisson","brBRA","GK","Liverpool","engPremier League","33-059","1992","7","7","630","7.0","10","1.43","23","13","56.5","5","0","2","2","28.6","0","0","0","0","",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","32-276","1993","8","8","720","8.0","14","1.75","46","32","73.9","2","2","4","0","0.0","2","2","0","0","0.0",
"Noah Atubolu","deGER","GK","Freiburg","deBundesliga","23-189","2002","11","11","990","11.0","20","1.82","46","25","56.5","3","4","4","3","27.3","1","0","1","0","100.0",
"Emil Audero","idIDN","GK","Cremonese","itSerie A","28-316","1997","8","8","720","8.0","9","1.13","41","32","80.5","3","2","3","3","37.5","1","1","0","0","0.0",
"Mio Backhaus","deGER","GK","Werder Bremen","deBundesliga","21-228","2004","10","10","900","10.0","17","1.70","50","34","70.0","3","4","3","2","20.0","2","2","0","0","0.0",
"Augusto Batalla","arARG","GK","Rayo Vallecano","esLa Liga","29-214","1996","13","13","1,170","13.0","14","1.08","52","38","76.9","4","4","5","5","38.5","2","2","0","0","0.0",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","35-181","1990","12","12","1,080","12.0","17","1.42","50","33","70.0","7","2","3","2","16.7","2","2","0","0","0.0",
"Altay Bayındır","trTUR","GK","Manchester Utd","engPremier League","27-230","1998","6","6","540","6.0","11","1.83","24","13","54.2","2","1","3","0","0.0","0","0","0","0","",
"Lucas Bergström","fiFIN","GK","Mallorca","esLa Liga","23-086","2002","4","4","360","4.0","7","1.75","19","12","63.2","1","1","2","1","25.0","0","0","0","0","",
"Marco Bizot","nlNED","GK","Aston Villa","engPremier League","34-265","1991","2","2","180","2.0","3","1.50","7","4","71.4","0","1","1","1","50.0","1","1","0","0","0.0",
"Arnaud Bodart","beBEL","GK","Lille","frLigue 1","27-264","1998","2","2","180","2.0","3","1.50","6","3","66.7","0","0","2","0","0.0","1","1","0","0","0.0",
"Jean Butez","frFRA","GK","Como","itSerie A","30-175","1995","13","13","1,170","13.0","7","0.54","44","37","86.4","6","6","1","6","46.2","1","1","0","0","0.0",
"Elia Caprile","itITA","GK","Cagliari","itSerie A","24-097","2001","13","13","1,170","13.0","19","1.46","65","46","70.8","2","5","6","2","15.4","0","0","0","0","",
"Patrik Carlgren","seSWE","GK","Nantes","frLigue 1","33-326","1992","2","1","92","1.0","2","1.96","5","3","60.0","0","1","0","0","0.0","0","0","0","0","",
"Marco Carnesecchi","itITA","GK","Atalanta","itSerie A","25-152","2000","12","12","1,080","12.0","14","1.17","49","35","73.5","2","7","3","2","16.7","2","1","1","0","50.0",
"Lucas Chevalier","frFRA","GK","Paris S-G","frLigue 1","24-024","2001","14","14","1,260","14.0","12","0.86","38","26","68.4","9","3","2","7","50.0","2","0","1","1","100.0",
"Edoardo Corvi","itITA","GK","Parma","itSerie A","24-252","2001","2","2","180","2.0","3","1.50","7","4","71.4","1","0","1","0","0.0","1","1","0","0","0.0",
"Grégoire Coudert","frFRA","GK","Brest","frLigue 1","26-241","1999","4","3","302","3.4","8","2.38","18","11","61.1","2","0","1","0","0.0","1","1","0","0","0.0",
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","33-203","1992","13","13","1,170","13.0","12","0.92","37","25","73.0","10","2","1","6","46.2","2","2","0","0","0.0",
"Pablo Cuñat","esESP","GK","Levante","esLa Liga","23-216","2002","2","2","180","2.0","5","2.50","14","10","64.3","0","0","2","0","0.0","0","0","0","0","",
"Finn Dahmen","deGER","GK","Augsburg","deBundesliga","27-248","1998","12","12","1,080","12.0","27","2.25","59","32","57.6","3","1","8","1","8.3","3","2","1","0","33.3",
"Karl Darlow","wlsWAL","GK","Leeds United","engPremier League","35-053","1990","5","5","450","5.0","8","1.60","20","13","60.0","1","1","3","0","0.0","0","0","0","0","",
"Jeffrey De Lange","nlNED","GK","Marseille","frLigue 1","27-243","1998","3","3","270","3.0","3","1.00","11","8","72.7","3","0","0","1","33.3","0","0","0","0","",
"Théo De Percin","mqMTQ","GK","Auxerre","frLigue 1","24-301","2001","3","2","226","2.5","4","1.59","11","7","63.6","0","0","2","0","0.0","0","0","0","0","",
"Rémy Descamps","frFRA","GK","Lyon","frLigue 1","29-158","1996","4","4","360","4.0","3","0.75","12","10","75.0","3","0","1","3","75.0","0","0","0","0","",
"Michele Di Gregorio","itITA","GK","Juventus","itSerie A","28-126","1997","11","11","990","11.0","10","0.91","31","21","71.0","5","5","1","4","36.4","2","1","0","1","0.0",
"Mory Diaw","snSEN","GK","Le Havre","frLigue 1","32-161","1993","13","13","1,170","13.0","20","1.54","53","34","67.9","3","5","5","4","30.8","3","3","0","0","0.0",
"Yehvann Diouf","snSEN","GK","Nice","frLigue 1","26-014","1999","13","13","1,170","13.0","23","1.77","74","50","74.3","5","2","6","2","15.4","5","4","1","0","20.0",
"Matías Dituro","arARG","GK","Elche","esLa Liga","38-206","1987","6","6","540","6.0","6","1.00","21","15","76.2","2","4","0","1","16.7","1","1","0","0","0.0",
"Marko Dmitrović","rsSRB","GK","Espanyol","esLa Liga","33-310","1992","13","13","1,170","13.0","16","1.23","57","42","73.7","6","3","4","4","30.8","1","1","0","0","0.0",
"Gianluigi Donnarumma","itITA","GK","Manchester City","engPremier League","26-278","1999","10","10","900","10.0","8","0.80","26","17","69.2","7","1","2","4","40.0","1","0","1","0","100.0",
"Martin Dúbravka","skSVK","GK","Burnley","engPremier League","36-319","1989","13","13","1,170","13.0","27","2.08","73","49","68.5","3","1","9","2","15.4","4","4","0","0","0.0",
"Aarón Escandell","esESP","GK","Oviedo","esLa Liga","30-064","1995","14","14","1,260","14.0","22","1.57","94","70","78.7","2","3","9","3","21.4","4","2","2","0","50.0",
"Wladimiro Falcone","itITA","GK","Lecce","itSerie A","30-232","1995","12","12","1,080","12.0","16","1.33","53","37","73.6","2","4","6","5","41.7","2","2","0","0","0.0",
