Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Adrián","esESP","GK","Betis","esLa Liga","37","1987","19","19","1,710","19.0","27","1.42","76","49","65.8","10","5","4","3","15.8","1","1","0","0","0.0",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","23","2000","14","14","1,206","13.4","9","0.67","34","24","76.5","9","4","1","5","35.7","2","1","1","0","50.0",
"Ben Alexander Voll","deGER","GK","St. Pauli","deBundesliga","23","2000","2","1","91","1.0","2","1.98","5","3","60.0","0","1","0","0","0.0","0","0","0","0","",
"Alisson","brBRA","GK","Liverpool","engPremier League","31","1992","28","28","2,508","27.9","29","1.04","100","73","72.0","18","7","3","9","32.1","1","1","0","0","0.0",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","31","1993","26","25","2,260","25.1","41","1.63","115","77","64.3","5","7","13","5","20.0","0","0","0","0","",
"Kepa Arrizabalaga","esESP","GK","Bournemouth","engPremier League","29","1994","31","31","2,790","31.0","39","1.26","134","95","73.9","13","7","11","8","25.8","4","4","0","0","0.0",
"Noah Atubolu","deGER","GK","Freiburg","deBundesliga","22","2002","26","26","2,307","25.6","37","1.44","120","81","69.2","12","6","8","10","38.5","2","0","2","0","100.0",
"Emil Audero","idIDN","GK","Como","itSerie A","27","1997","8","8","720","8.0","18","2.25","34","16","58.8","2","2","4","0","0.0","4","4","0","0","0.0",
"Brandon Austin","engENG","GK","Tottenham","engPremier League","25","1999","1","1","90","1.0","2","2.00","4","2","50.0","0","0","1","0","0.0","0","0","0","0","",
"Augusto Batalla","arARG","GK","Rayo Vallecano","esLa Liga","28","1996","32","32","2,880","32.0","39","1.22","133","93","75.2","10","12","10","8","25.0","8","6","2","0","25.0",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","34","1990","28","28","2,520","28.0","53","1.89","138","84","63.0","6","8","14","4","14.3","5","2","3","0","60.0",
"Altay Bayındır","trTUR","GK","Manchester Utd","engPremier League","26","1998","4","4","360","4.0","10","2.50","17","8","41.2","1","0","3","1","25.0","0","0","0","0","",
"Daniel Bentley","engENG","GK","Wolves","engPremier League","31","1993","2","2","180","2.0","4","2.00","12","8","66.7","1","0","1","1","50.0","0","0","0","0","",
"Dimitry Bertaud","cdCOD","GK","Montpellier","frLigue 1","26","1998","4","4","360","4.0","11","2.75","21","10","57.1","1","0","3","0","0.0","2","2","0","0","0.0",
"Marco Bizot","nlNED","GK","Brest","frLigue 1","33","1991","32","32","2,880","32.0","54","1.69","128","74","64.1","14","5","13","10","31.3","10","8","1","1","11.1",
"Jean Butez","frFRA","GK","Como","itSerie A","29","1995","19","18","1,666","18.5","20","1.08","68","48","73.5","8","4","6","5","27.8","2","2","0","0","0.0",
"Marcin Bułka","plPOL","GK","Nice","frLigue 1","24","1999","34","34","3,060","34.0","41","1.21","161","120","75.8","17","9","8","8","23.5","3","2","1","0","33.3",
"Elia Caprile","itITA","GK","Cagliari","itSerie A","22","2001","18","18","1,620","18.0","22","1.22","66","44","68.2","5","4","9","5","27.8","1","1","0","0","0.0",
"Elia Caprile","itITA","GK","Napoli","itSerie A","22","2001","4","3","325","3.6","1","0.28","8","7","87.5","3","0","0","3","100.0","0","0","0","0","",
"Dani Cárdenas","esESP","GK","Rayo Vallecano","esLa Liga","27","1997","6","6","540","6.0","6","1.00","20","14","70.0","3","1","2","2","33.3","0","0","0","0","",
"Tiago Cardoso","luLUX","GK","Gladbach","deBundesliga","18","2006","5","4","380","4.2","3","0.71","23","20","87.0","2","1","1","2","50.0","0","0","0","0","",
"Patrik Carlgren","seSWE","GK","Nantes","frLigue 1","32","1992","5","4","417","4.6","7","1.51","28","21","75.0","1","2","1","1","25.0","0","0","0","0","",
"Marco Carnesecchi","itITA","GK","Atalanta","itSerie A","24","2000","34","34","3,060","34.0","34","1.00","129","97","75.2","19","7","8","13","38.2","2","2","0","0","0.0",
"Lucas Chevalier","frFRA","GK","Lille","frLigue 1","22","2001","34","34","3,060","34.0","36","1.06","126","91","74.6","17","9","8","11","32.4","4","4","0","0","0.0",
"Leandro Chichizola","arARG","GK","Parma","itSerie A","34","1990","1","1","90","1.0","3","3.00","6","3","50.0","0","0","1","0","0.0","0","0","0","0","",
"Jasper Cillessen","nlNED","GK","Las Palmas","esLa Liga","35","1989","27","27","2,335","25.9","42","1.62","128","85","70.3","6","8","13","3","11.1","8","4","3","1","42.9",
"Giuseppe Ciocci","itITA","GK","Cagliari","itSerie A","22","2002","1","0","9","0.1","0","0.00","0","0","","0","0","0","0","","0","0","0","0","",
"Diego Conde","esESP","GK","Villarreal","esLa Liga","25","1998","22","22","1,962","21.8","33","1.51","94","62","68.1","11","6","5","2","9.1","4","3","0","1","0.0",
"Grégoire Coudert","frFRA","GK","Brest","frLigue 1","25","1999","2","2","180","2.0","5","2.50","13","9","61.5","1","0","1","0","0.0","0","0","0","0","",
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","32","1992","30","30","2,700","30.0","29","0.97","104","76","75.0","20","6","4","11","36.7","3","3","0","0","0.0",
"Finn Dahmen","deGER","GK","Augsburg","deBundesliga","26","1998","19","19","1,710","19.0","19","1.00","82","65","79.3","7","6","6","9","47.4","2","2","0","0","0.0",
"Thomas Dähne","deGER","GK","Holstein Kiel","deBundesliga","30","1994","9","9","810","9.0","19","2.11","55","36","69.1","2","2","5","0","0.0","3","2","1","0","33.3",
"Théo De Percin","mqMTQ","GK","Auxerre","frLigue 1","23","2001","2","2","180","2.0","3","1.50","9","5","77.8","0","1","1","1","50.0","2","1","1","0","50.0",
"Rémy Descamps","frFRA","GK","Lyon","frLigue 1","28","1996","1","1","90","1.0","2","2.00","6","4","66.7","0","0","1","0","0.0","0","0","0","0","",
"Arthur Desmas","frFRA","GK","Le Havre","frLigue 1","30","1994","18","18","1,620","18.0","38","2.11","93","54","61.3","5","0","13","3","16.7","3","2","1","0","33.3",
"Michele Di Gregorio","itITA","GK","Juventus","itSerie A","27","1997","33","33","2,970","33.0","32","0.97","103","71","73.8","16","13","4","14","42.4","5","5","0","0","0.0",
"Stole Dimitrievski","mkMKD","GK","Valencia","esLa Liga","30","1993","4","4","360","4.0","6","1.50","12","6","58.3","0","2","2","0","0.0","2","1","0","1","0.0",
