Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Yehvann Diouf","snSEN","GK","Reims","frLigue 1","20","1999","2","1","135","1.5","1","0.67","6","5","100.0","0","0","1","0","0.0","1","1","0","0","0.0",
"Marko Dmitrović","rsSRB","GK","Eibar","esLa Liga","28","1992","35","35","3,120","34.7","49","1.41","129","79","64.3","6","11","18","9","25.7","5","3","1","1","25.0",
"Jaume Doménech","esESP","GK","Valencia","esLa Liga","29","1990","28","28","2,520","28.0","42","1.50","130","88","70.8","5","12","11","4","14.3","6","4","2","0","33.3",
"Gianluigi Donnarumma","itITA","GK","Milan","itSerie A","21","1999","37","37","3,330","37.0","38","1.03","126","88","71.4","24","6","7","14","37.8","4","2","1","1","33.3",
"Bartłomiej Drągowski","plPOL","GK","Fiorentina","itSerie A","22","1997","36","36","3,148","35.0","55","1.57","141","85","66.7","9","12","15","7","19.4","10","8","2","0","20.0",
"Matthieu Dreyer","frFRA","GK","Lorient","frLigue 1","31","1989","15","15","1,350","15.0","25","1.67","56","32","66.1","5","5","5","2","13.3","6","6","0","0","0.0",
"Martin Dúbravka","skSVK","GK","Newcastle Utd","engPremier League","31","1989","13","13","1,170","13.0","19","1.46","62","44","71.0","5","5","3","3","23.1","1","1","0","0","0.0",
"Ederson","brBRA","GK","Manchester City","engPremier League","26","1993","36","36","3,240","36.0","28","0.78","93","65","77.4","25","5","6","19","52.8","8","7","1","0","12.5",
"Aarón Escandell","esESP","GK","Granada","esLa Liga","24","1995","5","5","450","5.0","8","1.60","24","16","66.7","1","1","3","1","20.0","0","0","0","0","",
"Jokin Ezkieta","esESP","GK","Athletic Club","esLa Liga","23","1996","1","1","90","1.0","2","2.00","3","1","33.3","0","0","1","0","0.0","0","0","0","0","",
"Łukasz Fabiański","plPOL","GK","West Ham","engPremier League","35","1985","35","35","3,150","35.0","44","1.26","138","97","70.3","17","8","10","10","28.6","5","3","1","1","25.0",
"Ralf Fährmann","deGER","GK","Schalke 04","deBundesliga","31","1988","22","22","1,876","20.8","50","2.40","143","94","67.1","3","3","16","3","13.6","4","3","1","0","25.0",
"Wuilker Faríñez","veVEN","GK","Lens","frLigue 1","22","1998","3","1","107","1.2","3","2.52","7","4","71.4","0","0","1","0","0.0","1","1","0","0","0.0",
"Aitor Fernández","esESP","GK","Levante","esLa Liga","29","1991","29","29","2,610","29.0","44","1.52","120","78","65.8","8","11","10","3","10.3","3","3","0","0","0.0",
"Álvaro Fernández","esESP","GK","Huesca","esLa Liga","22","1998","22","22","1,980","22.0","32","1.45","95","64","68.4","5","5","12","5","22.7","2","2","0","0","0.0",
"Andrés Fernández","esESP","GK","Huesca","esLa Liga","33","1986","16","16","1,440","16.0","21","1.31","54","34","66.7","2","8","6","4","25.0","3","3","0","0","0.0",
"Marco Festa","itITA","GK","Crotone","itSerie A","28","1992","1","1","90","1.0","1","1.00","8","7","87.5","0","1","0","0","0.0","0","0","0","0","",
"Mark Flekken","nlNED","GK","Freiburg","deBundesliga","27","1993","3","3","270","3.0","6","2.00","18","12","77.8","1","1","1","0","0.0","3","2","0","1","0.0",
"Fraser Forster","engENG","GK","Southampton","engPremier League","32","1988","8","8","720","8.0","11","1.37","31","19","71.0","4","0","4","2","25.0","3","2","1","0","33.3",
"Daniel Fuzato","brBRA","GK","Roma","itSerie A","23","1997","5","5","450","5.0","7","1.40","26","19","73.1","2","1","2","2","40.0","0","0","0","0","",
"Manuel Gasparini","itITA","GK","Udinese","itSerie A","18","2002","1","0","3","0.0","0","0.00","0","0","","0","0","0","0","","0","0","0","0","",
"Paulo Gazzaniga","arARG","GK","Elche","esLa Liga","28","1992","8","8","720","8.0","9","1.13","22","14","63.6","3","1","4","2","25.0","1","1","0","0","0.0",
"David de Gea","esESP","GK","Manchester Utd","engPremier League","29","1990","26","26","2,295","25.5","32","1.25","90","59","68.9","12","9","5","9","34.6","4","4","0","0","0.0",
"Rafał Gikiewicz","plPOL","GK","Augsburg","deBundesliga","32","1987","34","34","3,060","34.0","54","1.59","178","126","73.0","10","6","18","7","20.6","9","6","1","2","14.3",
"David Gil","esESP","GK","Cádiz","esLa Liga","26","1994","4","4","360","4.0","10","2.50","17","7","47.1","0","1","3","0","0.0","1","1","0","0","0.0",
"Pierluigi Gollini","itITA","GK","Atalanta","itSerie A","25","1995","25","25","2,156","24.0","26","1.09","65","38","66.2","14","8","3","9","36.0","6","4","2","0","33.3",
"Alfred Gomis","snSEN","GK","Dijon","frLigue 1","26","1993","5","5","450","5.0","10","2.00","31","22","77.4","0","1","4","0","0.0","3","3","0","0","0.0",
"Alfred Gomis","snSEN","GK","Rennes","frLigue 1","26","1993","22","22","1,980","22.0","25","1.14","76","52","71.1","7","5","10","5","22.7","4","3","0","1","0.0",
"Etienne Green","engENG","GK","Saint-Étienne","frLigue 1","20","2000","8","8","720","8.0","8","1.00","28","19","78.6","4","1","3","3","37.5","4","2","1","1","33.3",
"Lennart Grill","deGER","GK","Leverkusen","deBundesliga","21","1999","4","4","360","4.0","7","1.75","21","14","66.7","1","0","3","1","25.0","0","0","0","0","",
"Vicente Guaita","esESP","GK","Crystal Palace","engPremier League","33","1987","37","37","3,330","37.0","64","1.73","169","104","63.9","11","8","18","8","21.6","4","3","1","0","25.0",
"Péter Gulácsi","huHUN","GK","RB Leipzig","deBundesliga","30","1990","33","33","2,970","33.0","30","0.91","80","50","66.3","19","8","6","15","45.5","3","3","0","0","0.0",
"Samir Handanović","siSVN","GK","Inter","itSerie A","36","1984","37","37","3,240","36.0","33","0.92","110","76","73.6","27","7","3","14","37.8","6","4","2","0","33.3",
"Dean Henderson","engENG","GK","Manchester Utd","engPremier League","23","1997","13","12","1,125","12.5","12","0.96","51","39","76.5","9","2","1","4","33.3","0","0","0","0","",
"Sergio Herrera","esESP","GK","Osasuna","esLa Liga","27","1993","33","32","2,958","32.9","40","1.22","126","86","71.4","10","8","14","10","31.3","7","4","2","1","33.3",
"Marwin Hitz","chSUI","GK","Dortmund","deBundesliga","32","1987","16","16","1,395","15.5","16","1.03","44","29","68.2","11","2","3","7","43.8","2","2","0","0","0.0",
"Timo Horn","deGER","GK","Köln","deBundesliga","27","1993","34","34","3,009","33.4","59","1.76","155","95","66.5","8","9","17","5","14.7","8","7","1","0","12.5",
"Lukáš Hrádecký","fiFIN","GK","Leverkusen","deBundesliga","30","1989","29","29","2,565","28.5","29","1.02","83","55","66.3","13","9","7","8","27.6","2","1","1","0","50.0",
"Rune Jarstein","noNOR","GK","Hertha BSC","deBundesliga","35","1984","8","8","720","8.0","13","1.62","33","20","63.6","2","1","5","1","12.5","2","1","1","0","50.0",
"Sam Johnstone","engENG","GK","West Brom","engPremier League","27","1993","37","37","3,330","37.0","74","2.00","234","162","71.4","4","11","22","6","16.2","11","7","1","3","12.5",
"Bingourou Kamara","snSEN","GK","Strasbourg","frLigue 1","23","1996","8","8","720","8.0","14","1.75","32","19","59.4","2","0","6","2","25.0","1","1","0","0","0.0",
"Loris Karius","deGER","GK","Union Berlin","deBundesliga","27","1993","4","3","292","3.2","1","0.31","4","4","75.0","1","2","0","2","66.7","0","0","0","0","",
"Eiji Kawashima","jpJPN","GK","Strasbourg","frLigue 1","37","1983","24","24","2,160","24.0","31","1.29","91","59","69.2","8","7","9","8","33.3","5","3","1","1","25.0",
"Caoimhín Kelleher","ieIRL","GK","Liverpool","engPremier League","21","1998","2","2","180","2.0","1","0.50","7","6","85.7","1","0","1","1","50.0","0","0","0","0","",
"Gregor Kobel","chSUI","GK","Stuttgart","deBundesliga","22","1997","33","33","2,970","33.0","54","1.64","157","102","68.8","11","9","13","5","15.2","7","5","2","0","28.6",
"Alban Lafont","ciCIV","GK","Nantes","frLigue 1","21","1999","38","38","3,420","38.0","55","1.45","168","113","73.2","9","13","16","5","13.2","12","10","1","1","9.1",
"Michael Langer","atAUT","GK","Schalke 04","deBundesliga","35","1985","3","2","239","2.7","12","4.52","24","13","50.0","0","0","2","0","0.0","0","0","0","0","",
"Gautier Larsonneur","frFRA","GK","Brest","frLigue 1","23","1997","35","35","3,150","35.0","62","1.77","169","108","68.0","10","7","18","6","17.1","10","8","1","1","11.1",
"Jean-Louis Leca","frFRA","GK","Lens","frLigue 1","34","1985","37","37","3,313","36.8","51","1.39","136","88","69.9","15","12","10","8","21.6","10","10","0","0","0.0",
"Benjamin Lecomte","frFRA","GK","Monaco","frLigue 1","29","1991","28","28","2,520","28.0","27","0.96","68","42","64.7","18","5","5","13","46.4","3","3","0","0","0.0",
"Jeremías Ledesma","arARG","GK","Cádiz","esLa Liga","27","1993","32","32","2,880","32.0","45","1.41","127","82","70.9","10","10","12","9","28.1","9","8","1","0","11.1",
"Bernd Leno","deGER","GK","Arsenal","engPremier League","28","1992","35","35","3,131","34.8","37","1.06","117","83","69.2","17","6","12","11","31.4","2","1","1","0","50.0",
"Karlo Letica","hrCRO","GK","Sampdoria","itSerie A","23","1997","1","1","90","1.0","0","0.00","1","1","100.0","1","0","0","1","100.0","0","0","0","0","",
"Hugo Lloris","frFRA","GK","Tottenham","engPremier League","33","1986","38","38","3,420","38.0","45","1.18","155","113","77.4","18","8","12","12","31.6","10","10","0","0","0.0",
"Niklas Lomb","deGER","GK","Leverkusen","deBundesliga","27","1993","2","1","135","1.5","3","2.00","8","5","62.5","0","1","0","0","0.0","0","0","0","0","",
"Anthony Lopes","ptPOR","GK","Lyon","frLigue 1","29","1990","38","38","3,420","38.0","43","1.13","134","92","71.6","22","10","6","11","28.9","7","5","1","1","16.7",
"Pau López","esESP","GK","Roma","itSerie A","25","1994","21","20","1,817","20.2","29","1.44","85","59","69.4","10","4","6","4","20.0","3","3","0","0","0.0",
"Andreas Luthe","deGER","GK","Union Berlin","deBundesliga","33","1987","31","31","2,768","30.8","42","1.37","132","89","71.2","11","12","8","5","16.1","5","4","1","0","20.0",
"Mike Maignan","frFRA","GK","Lille","frLigue 1","25","1995","38","38","3,420","38.0","23","0.61","107","85","79.4","24","11","3","21","55.3","2","1","1","0","50.0",
"Radosław Majecki","plPOL","GK","Monaco","frLigue 1","20","1999","1","1","90","1.0","1","1.00","2","1","50.0","1","0","0","0","0.0","0","0","0","0","",
"Steve Mandanda","frFRA","GK","Marseille","frLigue 1","35","1985","37","37","3,330","37.0","45","1.22","127","83","66.9","16","12","9","8","21.6","3","3","0","0","0.0",
"Niccolò Manfredini","itITA","GK","Benevento","itSerie A","32","1988","1","1","90","1.0","1","1.00","5","4","80.0","0","1","0","0","0.0","0","0","0","0","",
"Vito Mannone","itITA","GK","Monaco","frLigue 1","32","1988","9","9","810","9.0","14","1.56","33","19","63.6","5","1","3","2","22.2","2","2","0","0","0.0",
"Federico Marchetti","itITA","GK","Genoa","itSerie A","37","1983","4","4","334","3.7","11","2.96","18","7","38.9","0","1","3","0","0.0","0","0","0","0","",
"Emiliano Martínez","arARG","GK","Aston Villa","engPremier League","27","1992","38","38","3,420","38.0","46","1.21","186","133","78.0","16","7","15","15","39.5","6","5","1","0","16.7",
"Josep Martinez","esESP","GK","RB Leipzig","deBundesliga","22","1998","1","1","90","1.0","2","2.00","4","2","50.0","0","0","1","0","0.0","0","0","0","0","",
"Jordi Masip","esESP","GK","Valladolid","esLa Liga","31","1989","25","25","2,250","25.0","40","1.60","115","75","68.7","4","9","12","2","8.0","4","4","0","0","0.0",
"Alex McCarthy","engENG","GK","Southampton","engPremier League","30","1989","30","30","2,700","30.0","57","1.90","147","91","65.3","8","7","15","7","23.3","6","6","0","0","0.0",
"Edouard Mendy","snSEN","GK","Chelsea","engPremier League","28","1992","31","31","2,745","30.5","25","0.82","81","56","71.6","17","7","7","16","51.6","3","2","1","0","33.3",
"Edouard Mendy","snSEN","GK","Rennes","frLigue 1","28","1992","1","1","90","1.0","1","1.00","1","0","0.0","0","1","0","0","0.0","0","0","0","0","",
"Alex Meret","itITA","GK","Napoli","itSerie A","23","1997","22","22","1,980","22.0","29","1.32","81","53","66.7","13","5","4","6","27.3","2","2","0","0","0.0",
"Illan Meslier","frFRA","GK","Leeds United","engPremier League","20","2000","35","35","3,150","35.0","52","1.49","188","137","76.6","16","5","14","11","31.4","9","8","1","0","11.1",
"Vanja Milinković-Savić","rsSRB","GK","Torino","itSerie A","23","1997","5","5","450","5.0","6","1.20","20","14","75.0","2","2","1","1","20.0","1","1","0","0","0.0",
"Antonio Mirante","itITA","GK","Roma","itSerie A","37","1983","13","13","1,153","12.8","22","1.72","56","36","64.3","6","3","4","5","38.5","3","2","1","0","33.3",
"Lorenzo Montipò","itITA","GK","Benevento","itSerie A","24","1996","37","37","3,330","37.0","74","2.00","172","103","59.3","7","11","19","7","18.9","5","4","1","0","20.0",
"Jessy Moulin","frFRA","GK","Saint-Étienne","frLigue 1","34","1986","29","29","2,610","29.0","42","1.45","100","60","62.0","8","9","12","9","31.0","4","4","0","0","0.0",
"Florian Müller","deGER","GK","Freiburg","deBundesliga","22","1997","31","31","2,790","31.0","46","1.48","157","112","72.0","11","8","12","6","19.4","3","2","1","0","33.3",
"Juan Musso","arARG","GK","Udinese","itSerie A","26","1994","35","35","3,147","35.0","51","1.46","149","98","74.5","9","10","16","8","22.9","13","13","0","0","0.0",
"Paul Nardi","frFRA","GK","Lorient","frLigue 1","26","1994","23","23","2,070","23.0","43","1.87","111","68","64.9","6","4","13","3","13.0","5","4","0","1","0.0",
"Keylor Navas","crCRC","GK","Paris S-G","frLigue 1","33","1986","29","29","2,520","28.0","18","0.64","92","73","81.5","21","3","5","14","48.3","2","1","1","0","50.0",
"Neto","brBRA","GK","Barcelona","esLa Liga","31","1989","7","7","630","7.0","6","0.86","24","18","83.3","3","2","2","3","42.9","2","2","0","0","0.0",
"Manuel Neuer","deGER","GK","Bayern Munich","deBundesliga","34","1986","33","33","2,970","33.0","42","1.27","123","80","66.7","24","5","4","9","27.3","3","1","1","1","50.0",
"Will Norris","engENG","GK","Burnley","engPremier League","26","1993","2","2","180","2.0","4","2.00","6","2","33.3","0","0","2","0","0.0","0","0","0","0","",
"Alexander Nübel","deGER","GK","Bayern Munich","deBundesliga","23","1996","1","1","90","1.0","2","2.00","4","2","50.0","0","1","0","0","0.0","0","0","0","0","",
"Jan Oblak","siSVN","GK","Atlético Madrid","esLa Liga","27","1993","38","38","3,420","38.0","25","0.66","122","98","80.3","26","8","4","18","47.4","4","1","2","1","66.7",
"Robin Olsen","seSWE","GK","Everton","engPremier League","30","1990","7","7","630","7.0","9","1.29","30","21","73.3","2","3","2","2","28.6","1","1","0","0","0.0",
"Jonas Omlin","chSUI","GK","Montpellier","frLigue 1","26","1994","31","31","2,673","29.7","51","1.72","155","106","74.2","10","10","11","2","6.5","11","11","0","0","0.0",
"Stefan Ortega","deGER","GK","Arminia","deBundesliga","27","1992","34","34","3,060","34.0","52","1.53","170","118","72.4","9","8","17","11","32.4","6","5","1","0","16.7",
"David Ospina","coCOL","GK","Napoli","itSerie A","31","1988","16","16","1,440","16.0","12","0.75","42","30","78.6","11","0","5","8","50.0","3","3","0","0","0.0",
"Alexandre Oukidja","dzALG","GK","Metz","frLigue 1","32","1988","34","34","3,058","34.0","38","1.12","127","89","77.2","12","10","12","8","23.5","10","9","1","0","10.0",
"Fernando Pacheco","esESP","GK","Alavés","esLa Liga","28","1992","38","37","3,349","37.2","57","1.53","141","84","61.7","9","11","17","9","24.3","3","3","0","0","0.0",
"Daniele Padelli","itITA","GK","Inter","itSerie A","34","1985","1","0","45","0.5","1","2.00","2","1","100.0","0","0","0","0","","1","1","0","0","0.0",
"Alberto Paleari","itITA","GK","Genoa","itSerie A","27","1992","3","2","206","2.3","3","1.31","12","9","75.0","1","0","1","1","50.0","0","0","0","0","",
"Ivor Pandur","hrCRO","GK","Hellas Verona","itSerie A","20","2000","4","4","332","3.7","6","1.63","13","7","53.8","0","3","1","0","0.0","0","0","0","0","",
"Rui Patrício","ptPOR","GK","Wolves","engPremier League","32","1988","37","37","3,329","37.0","51","1.38","148","99","70.3","12","9","16","10","27.0","8","7","1","0","12.5",
"Jiří Pavlenka","czCZE","GK","Werder Bremen","deBundesliga","28","1992","34","34","3,060","34.0","57","1.68","157","101","66.2","7","10","17","6","17.6","6","4","2","0","33.3",
"Bailey Peacock-Farrell","nirNIR","GK","Burnley","engPremier League","23","1996","4","4","360","4.0","14","3.50","24","10","41.7","0","0","4","0","0.0","0","0","0","0","",
"Gianluca Pegolo","itITA","GK","Sassuolo","itSerie A","39","1981","1","1","90","1.0","0","0.00","1","1","100.0","0","1","0","1","100.0","0","0","0","0","",
"Yohann Pelé","frFRA","GK","Marseille","frLigue 1","37","1982","1","1","90","1.0","2","2.00","5","3","60.0","0","0","1","0","0.0","0","0","0","0","",
"Philipp Pentke","deGER","GK","Hoffenheim","deBundesliga","35","1985","3","3","270","3.0","3","1.00","13","10","76.9","1","2","0","0","0.0","0","0","0","0","",
"Juan Pérez","esESP","GK","Osasuna","esLa Liga","24","1996","3","3","270","3.0","3","1.00","8","5","75.0","1","1","1","1","33.3","1","1","0","0","0.0",
"Mattia Perin","itITA","GK","Genoa","itSerie A","27","1992","32","32","2,879","32.0","44","1.38","158","116","76.6","9","11","12","8","25.0","7","7","0","0","0.0",
"Pavao Pervan","atAUT","GK","Wolfsburg","deBundesliga","32","1987","2","2","180","2.0","4","2.00","14","10","71.4","0","1","1","0","0.0","0","0","0","0","",
"Jordan Pickford","engENG","GK","Everton","engPremier League","26","1994","31","31","2,742","30.5","39","1.28","128","90","71.1","15","5","11","10","32.3","3","2","0","1","0.0",
"Carlo Pinsoglio","itITA","GK","Juventus","itSerie A","30","1990","1","0","23","0.3","1","3.91","2","1","50.0","0","0","0","0","","0","0","0","0","",
"Nick Pope","engENG","GK","Burnley","engPremier League","28","1992","32","32","2,880","32.0","37","1.16","149","113","77.2","10","9","13","11","34.4","3","3","0","0","0.0",
"Ivan Provedel","itITA","GK","Spezia","itSerie A","26","1994","29","29","2,610","29.0","55","1.90","131","75","62.6","6","10","13","4","13.8","7","6","1","0","14.3",
"Anthony Racioppi","chSUI","GK","Dijon","frLigue 1","21","1998","21","21","1,890","21.0","33","1.57","93","59","67.7","2","6","13","3","14.3","4","3","1","0","25.0",
"Ionuț Radu","roROU","GK","Inter","itSerie A","23","1997","2","1","135","1.5","1","0.67","6","5","83.3","1","0","0","0","0.0","0","0","0","0","",
"Rafael","brBRA","GK","Spezia","itSerie A","38","1982","3","2","207","2.3","5","2.17","18","13","72.2","0","1","1","1","50.0","0","0","0","0","",
"Predrag Rajković","rsSRB","GK","Reims","frLigue 1","24","1995","37","37","3,285","36.5","49","1.34","162","112","72.2","9","15","13","10","27.0","7","4","2","1","33.3",
"Aaron Ramsdale","engENG","GK","Sheffield Utd","engPremier League","22","1998","38","38","3,420","38.0","63","1.66","206","145","70.9","7","2","29","5","13.2","4","3","0","1","0.0",
"Darren Randolph","ieIRL","GK","West Ham","engPremier League","33","1987","3","3","270","3.0","3","1.00","9","6","66.7","2","0","1","1","33.3","0","0","0","0","",
"Federico Ravaglia","itITA","GK","Bologna","itSerie A","20","1999","4","4","360","4.0","10","2.50","19","10","52.6","0","1","3","0","0.0","1","1","0","0","0.0",
"Pepe Reina","esESP","GK","Lazio","itSerie A","37","1982","29","29","2,610","29.0","41","1.41","113","74","70.8","18","3","8","9","31.0","8","8","0","0","0.0",
"Álex Remiro","esESP","GK","Real Sociedad","esLa Liga","25","1995","38","38","3,420","38.0","38","1.00","105","67","66.7","17","11","10","14","36.8","5","3","1","1","25.0",
"Baptiste Reynet","frFRA","GK","Nîmes","frLigue 1","29","1990","38","38","3,420","38.0","71","1.87","196","122","66.8","9","8","21","8","21.1","10","6","3","1","33.3",
