Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Adrián","esESP","GK","Liverpool","engPremier League","33","1987","3","3","270","3.0","9","3.00","18","9","50.0","1","1","1","1","33.3","0","0","0","0","",
"Rúnar Alex Rúnarsson","isISL","GK","Arsenal","engPremier League","25","1995","1","0","16","0.2","0","0.00","2","2","100.0","0","0","0","0","","0","0","0","0","",
"Alisson","brBRA","GK","Liverpool","engPremier League","27","1992","33","33","2,970","33.0","32","0.97","115","82","75.7","18","8","7","10","30.3","8","4","1","3","20.0",
"Saturnin Allagbé","bjBEN","GK","Dijon","frLigue 1","26","1993","12","12","1,080","12.0","30","2.50","66","36","56.1","2","2","8","3","25.0","3","1","1","1","50.0",
"Nícolas Andrade","brBRA","GK","Udinese","itSerie A","32","1988","2","2","180","2.0","5","2.50","6","1","16.7","1","0","1","0","0.0","0","0","0","0","",
"Ángel","esESP","GK","Granada","esLa Liga","18","2002","1","1","90","1.0","2","2.00","9","6","88.9","0","0","1","0","0.0","2","1","1","0","50.0",
"Alphonse Areola","frFRA","GK","Fulham","engPremier League","27","1993","36","36","3,240","36.0","48","1.33","161","114","73.9","5","13","18","9","25.0","6","6","0","0","0.0",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","25","1994","7","6","585","6.5","8","1.23","23","15","69.6","2","2","2","2","33.3","1","1","0","0","0.0",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","31","1989","36","36","3,240","36.0","40","1.11","118","79","72.0","15","13","8","10","27.8","9","7","1","1","12.5",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","23","1997","37","37","3,330","37.0","54","1.46","173","118","72.8","14","7","16","6","16.2","9","7","2","0","22.2",
"Édgar Badía","esESP","GK","Elche","esLa Liga","28","1992","30","30","2,700","30.0","46","1.53","141","92","70.9","5","11","14","5","16.7","9","5","3","1","37.5",
"Stefan Bajic","frFRA","GK","Saint-Étienne","frLigue 1","18","2001","1","1","90","1.0","4","4.00","4","0","0.0","0","0","1","0","0.0","1","0","0","1","",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","30","1990","31","31","2,790","31.0","51","1.65","132","81","65.9","10","8","13","6","19.4","9","6","2","1","25.0",
"Walter Benítez","arARG","GK","Nice","frLigue 1","27","1993","38","38","3,420","38.0","53","1.39","176","123","73.9","15","7","16","9","23.7","7","7","0","0","0.0",
"Alessandro Berardi","itITA","GK","Hellas Verona","itSerie A","29","1991","1","0","28","0.3","0","0.00","1","1","100.0","0","0","0","0","","0","0","0","0","",
"Paul Bernardoni","frFRA","GK","Angers","frLigue 1","23","1997","38","38","3,420","38.0","58","1.53","139","82","63.3","12","8","18","9","23.7","8","7","1","0","12.5",
"Dimitry Bertaud","cdCOD","GK","Montpellier","frLigue 1","22","1998","9","7","745","8.3","11","1.33","42","31","76.2","4","2","1","3","42.9","1","1","0","0","0.0",
"Rubén Blanco","esESP","GK","Celta Vigo","esLa Liga","25","1995","19","19","1,637","18.2","27","1.48","61","34","57.4","7","6","6","4","21.1","1","1","0","0","0.0",
"Elias Bördner","deGER","GK","Eint Frankfurt","deBundesliga","18","2002","1","1","90","1.0","1","1.00","6","5","83.3","1","0","0","0","0.0","0","0","0","0","",
"Yassine Bounou","maMAR","GK","Sevilla","esLa Liga","29","1991","33","33","2,970","33.0","28","0.85","106","78","77.4","21","5","7","15","45.5","6","4","2","0","33.3",
"Claudio Bravo","clCHI","GK","Betis","esLa Liga","37","1983","20","20","1,800","20.0","25","1.25","75","50","72.0","8","8","4","7","35.0","5","4","1","0","20.0",
"Fabian Bredlow","deGER","GK","Stuttgart","deBundesliga","25","1995","1","1","90","1.0","1","1.00","9","8","88.9","1","0","0","0","0.0","0","0","0","0","",
"Gianluigi Buffon","itITA","GK","Juventus","itSerie A","42","1978","8","8","720","8.0","5","0.62","21","15","85.7","7","1","0","3","37.5","3","2","1","0","33.3",
"Roman Bürki","chSUI","GK","Dortmund","deBundesliga","29","1990","19","18","1,665","18.5","30","1.62","92","62","71.7","9","2","7","4","22.2","4","4","0","0","0.0",
"Jack Butland","engENG","GK","Crystal Palace","engPremier League","27","1993","1","1","90","1.0","2","2.00","5","3","60.0","1","0","0","0","0.0","0","0","0","0","",
"David Button","engENG","GK","West Brom","engPremier League","31","1989","1","1","90","1.0","2","2.00","6","4","66.7","1","0","0","0","0.0","0","0","0","0","",
"Marcin Bułka","plPOL","GK","Paris S-G","frLigue 1","20","1999","1","1","90","1.0","1","1.00","3","2","66.7","0","0","1","0","0.0","0","0","0","0","",
"Willy Caballero","arARG","GK","Chelsea","engPremier League","38","1981","1","1","90","1.0","3","3.00","3","0","0.0","0","1","0","0","0.0","0","0","0","0","",
"Marc-Aurèle Caillard","frFRA","GK","Metz","frLigue 1","26","1994","5","4","361","4.0","10","2.49","23","13","69.6","0","1","3","0","0.0","3","3","0","0","0.0",
"Dani Cárdenas","esESP","GK","Levante","esLa Liga","23","1997","8","8","720","8.0","11","1.37","39","28","71.8","1","3","4","1","12.5","1","0","0","1","",
"Scott Carson","engENG","GK","Manchester City","engPremier League","34","1985","1","1","90","1.0","3","3.00","5","1","60.0","1","0","0","0","0.0","2","1","1","0","50.0",
"Kiko Casilla","esESP","GK","Leeds United","engPremier League","33","1986","3","3","270","3.0","2","0.67","10","8","80.0","2","0","1","1","33.3","0","0","0","0","",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","28","1992","32","32","2,880","32.0","33","1.03","108","74","72.2","17","9","6","14","43.8","5","3","2","0","40.0",
"Sébastien Cibois","frFRA","GK","Brest","frLigue 1","22","1998","3","3","270","3.0","4","1.33","11","7","72.7","1","1","1","1","33.3","1","1","0","0","0.0",
"Alberto Cifuentes","esESP","GK","Cádiz","esLa Liga","41","1979","2","2","180","2.0","3","1.50","6","2","50.0","1","0","1","1","50.0","0","0","0","0","",
"Jasper Cillessen","nlNED","GK","Valencia","esLa Liga","31","1989","10","10","900","10.0","11","1.10","45","33","77.8","5","1","4","3","30.0","2","1","1","0","50.0",
"Simone Colombi","itITA","GK","Parma","itSerie A","29","1991","2","2","180","2.0","7","3.50","10","3","40.0","0","0","2","0","0.0","1","1","0","0","0.0",
"Andrea Consigli","itITA","GK","Sassuolo","itSerie A","33","1987","37","37","3,330","37.0","56","1.51","185","129","71.9","17","10","10","7","18.9","5","4","1","0","20.0",
"Alex Cordaz","itITA","GK","Crotone","itSerie A","37","1983","36","36","3,240","36.0","91","2.53","207","118","58.5","6","3","27","2","5.6","5","5","0","0","0.0",
"Angelo da Costa Júnior","brBRA","GK","Bologna","itSerie A","36","1983","6","6","540","6.0","9","1.50","27","18","70.4","0","5","1","1","16.7","1","1","0","0","0.0",
"Benoît Costil","frFRA","GK","Bordeaux","frLigue 1","33","1987","38","38","3,420","38.0","56","1.47","156","100","68.6","13","6","19","14","36.8","8","7","1","0","12.5",
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","28","1992","38","38","3,420","38.0","28","0.74","116","88","81.9","25","9","4","17","44.7","8","7","1","0","12.5",
"Alessio Cragno","itITA","GK","Cagliari","itSerie A","26","1994","34","34","3,060","34.0","53","1.56","182","129","73.6","6","10","18","6","17.6","5","5","0","0","0.0",
"Gian Crespi","itITA","GK","Crotone","itSerie A","19","2001","1","1","90","1.0","0","0.00","1","1","100.0","0","1","0","1","100.0","0","0","0","0","",
"Finn Dahmen","deGER","GK","Mainz 05","deBundesliga","22","1998","3","3","270","3.0","10","3.33","20","10","55.0","1","0","2","0","0.0","1","1","0","0","0.0",
"Karl Darlow","wlsWAL","GK","Newcastle Utd","engPremier League","29","1990","25","25","2,250","25.0","43","1.72","126","84","68.3","7","4","14","4","16.0","4","3","1","0","25.0",
