Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Wojciech Szczęsny","plPOL","GK","Juventus","itSerie A","28","1990","28","28","2,520","28.0","20","0.71","81","61","76.5","22","5","1","11","39.3","3","1","1","1","50.0",
"Ciprian Tătărușanu","roROU","GK","Nantes","frLigue 1","32","1986","27","27","2,391","26.6","30","1.13","95","62","69.5","8","6","13","7","25.9","4","1","3","0","75.0",
"Marc-André ter Stegen","deGER","GK","Barcelona","esLa Liga","26","1992","35","35","3,150","35.0","32","0.91","116","85","73.3","25","8","2","16","45.7","1","1","0","0","0.0",
"Pietro Terracciano","itITA","GK","Fiorentina","itSerie A","28","1990","2","2","180","2.0","3","1.50","11","8","72.7","0","1","1","0","0.0","0","0","0","0","",
"Pietro Terracciano","itITA","GK","Empoli","itSerie A","28","1990","8","8","720","8.0","10","1.25","35","26","71.4","1","2","5","2","25.0","0","0","0","0","",
"Kevin Trapp","deGER","GK","Eint Frankfurt","deBundesliga","28","1990","33","33","2,938","32.6","48","1.47","158","111","70.3","14","9","10","8","24.2","1","1","0","0","0.0",
"Mark Travers","ieIRL","GK","Bournemouth","engPremier League","19","1999","2","2","180","2.0","5","2.50","13","9","61.5","1","0","1","1","50.0","0","0","0","0","",
"Philipp Tschauner","deGER","GK","Hannover 96","deBundesliga","32","1985","1","1","90","1.0","3","3.00","6","3","66.7","0","0","1","0","0.0","1","1","0","0","0.0",
"Sven Ulreich","deGER","GK","Bayern Munich","deBundesliga","29","1988","9","8","757","8.4","9","1.07","23","14","69.6","4","3","1","2","25.0","3","2","0","1","0.0",
"Tomáš Vaclík","czCZE","GK","Sevilla","esLa Liga","29","1989","33","33","2,970","33.0","44","1.33","143","98","72.0","13","8","12","8","24.2","5","4","1","0","20.0",
"Koke Vegas","esESP","GK","Levante","esLa Liga","22","1995","1","1","90","1.0","2","2.00","8","6","75.0","0","1","0","0","0.0","0","0","0","0","",
"Emiliano Viviano","itITA","GK","SPAL","itSerie A","32","1985","17","17","1,525","16.9","25","1.48","84","59","75.0","7","3","7","3","17.6","4","4","0","0","0.0",
"Michel Vorm","nlNED","GK","Tottenham","engPremier League","34","1983","2","2","180","2.0","4","2.00","13","9","69.2","0","0","2","0","0.0","0","0","0","0","",
"Axel Werner","arARG","GK","Huesca","esLa Liga","22","1996","6","6","540","6.0","16","2.67","32","17","53.1","1","1","4","0","0.0","1","1","0","0","0.0",
"Yoel","esESP","GK","Valladolid","esLa Liga","29","1988","3","3","270","3.0","6","2.00","12","6","58.3","0","2","1","0","0.0","1","1","0","0","0.0",
"Robin Zentner","deGER","GK","Mainz 05","deBundesliga","23","1994","10","10","900","10.0","14","1.40","49","35","71.4","4","4","2","2","20.0","0","0","0","0","",
"Luca Zidane","dzALG","GK","Real Madrid","esLa Liga","20","1998","1","1","90","1.0","2","2.00","3","1","33.3","1","0","0","0","0.0","0","0","0","0","",
"Ron-Robert Zieler","deGER","GK","Stuttgart","deBundesliga","29","1989","34","34","3,060","34.0","70","2.06","179","113","62.0","7","7","20","6","17.6","3","2","0","1","0.0",
