Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","22","2000","4","2","238","2.6","4","1.51","12","8","66.7","1","0","1","2","100.0","0","0","0","0","",
"Alisson","brBRA","GK","Liverpool","engPremier League","30","1992","28","28","2,520","28.0","30","1.07","109","80","73.4","16","8","4","8","28.6","1","1","0","0","0.0",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","30","1993","31","31","2,699","30.0","53","1.77","188","136","74.5","11","9","11","4","12.9","7","5","2","0","28.6",
"Simone Aresti","itITA","GK","Cagliari","itSerie A","37","1986","1","0","1","0.0","1","90.00","1","0","100.0","0","0","0","0","","1","1","0","0","0.0",
"Kepa Arrizabalaga","esESP","GK","Real Madrid","esLa Liga","28","1994","14","13","1,198","13.3","9","0.68","38","30","76.3","10","2","1","8","61.5","0","0","0","0","",
"Noah Atubolu","deGER","GK","Freiburg","deBundesliga","21","2002","34","34","3,060","34.0","58","1.71","158","99","65.2","11","9","14","10","29.4","5","3","2","0","40.0",
"Emil Audero","idIDN","GK","Inter","itSerie A","26","1997","4","4","337","3.7","3","0.80","11","8","72.7","2","1","1","2","50.0","0","0","0","0","",
"Nicola Bagnolini","itITA","GK","Bologna","itSerie A","19","2004","1","0","5","0.1","0","0.00","1","1","100.0","0","0","0","0","","0","0","0","0","",
"Augusto Batalla","arARG","GK","Granada","esLa Liga","27","1996","17","17","1,530","17.0","28","1.65","86","58","67.4","3","4","10","3","17.6","0","0","0","0","",
"Daniel Batz","deGER","GK","Mainz 05","deBundesliga","32","1991","4","4","360","4.0","3","0.75","17","14","82.4","0","2","2","1","25.0","0","0","0","0","",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","33","1990","34","34","3,060","34.0","66","1.94","211","143","69.7","13","7","14","2","5.9","5","2","3","0","60.0",
"Alaa Bellaarouch","maMAR","GK","Strasbourg","frLigue 1","21","2002","15","15","1,350","15.0","26","1.73","63","37","63.5","4","2","9","2","13.3","4","3","1","0","25.0",
"Daniel Bentley","engENG","GK","Wolves","engPremier League","30","1993","5","3","383","4.3","7","1.64","15","8","53.3","1","0","2","1","33.3","0","0","0","0","",
"Etrit Berisha","alALB","GK","Empoli","itSerie A","34","1989","14","14","1,260","14.0","25","1.79","74","49","68.9","3","3","8","4","28.6","3","2","1","0","33.3",
"Dimitry Bertaud","cdCOD","GK","Montpellier","frLigue 1","25","1998","4","4","360","4.0","11","2.75","34","23","67.6","1","1","2","0","0.0","0","0","0","0","",
"Marco Bizot","nlNED","GK","Brest","frLigue 1","32","1991","32","32","2,876","32.0","34","1.06","129","94","75.2","15","10","7","13","40.6","3","2","1","0","33.3",
"Rubén Blanco","esESP","GK","Marseille","frLigue 1","28","1995","2","1","121","1.3","2","1.49","6","4","66.7","0","0","1","0","0.0","0","0","0","0","",
"Janis Blaswich","deGER","GK","RB Leipzig","deBundesliga","32","1991","21","21","1,890","21.0","30","1.43","76","46","65.8","10","4","7","5","23.8","4","4","0","0","0.0",
"Yassine Bounou","maMAR","GK","Sevilla","esLa Liga","32","1991","1","1","90","1.0","2","2.00","3","1","33.3","0","0","1","0","0.0","0","0","0","0","",
"Claudio Bravo","clCHI","GK","Betis","esLa Liga","40","1983","7","7","630","7.0","5","0.71","20","16","75.0","3","4","0","2","28.6","0","0","0","0","",
"Fabian Bredlow","deGER","GK","Stuttgart","deBundesliga","28","1995","4","4","360","4.0","3","0.75","22","19","86.4","3","1","0","1","25.0","0","0","0","0","",
"Alexander Brunst","deGER","GK","Darmstadt 98","deBundesliga","28","1995","3","3","270","3.0","10","3.33","17","7","41.2","0","1","2","0","0.0","0","0","0","0","",
"Marcin Bułka","plPOL","GK","Nice","frLigue 1","23","1999","34","34","3,060","34.0","29","0.85","105","74","77.1","15","10","9","17","50.0","8","5","3","0","37.5",
"Elia Caprile","itITA","GK","Empoli","itSerie A","21","2001","23","23","2,070","23.0","27","1.17","106","78","78.3","6","6","11","5","21.7","5","4","1","0","20.0",
"Dani Cárdenas","esESP","GK","Rayo Vallecano","esLa Liga","26","1997","1","1","90","1.0","1","1.00","1","0","0.0","0","0","1","0","0.0","0","0","0","0","",
"Marco Carnesecchi","itITA","GK","Atalanta","itSerie A","23","2000","27","27","2,425","26.9","30","1.11","107","75","75.7","15","5","7","8","29.6","7","4","2","1","33.3",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","31","1992","25","25","2,250","25.0","39","1.56","115","78","67.8","8","6","11","4","16.0","3","2","0","1","0.0",
"Michele Cerofolini","itITA","GK","Frosinone","itSerie A","24","1999","8","7","675","7.5","11","1.47","28","18","60.7","2","2","3","3","42.9","1","0","0","1","",
"Lucas Chevalier","frFRA","GK","Lille","frLigue 1","21","2001","33","33","2,969","33.0","32","0.97","123","91","76.4","16","10","7","15","45.5","5","3","2","0","40.0",
