Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","21","2000","14.0","27","14","10","14","3","8","15","53.3","7","26","2","24","11","38","12","0",
"Yacine Adli","frFRA","MF,FW","Bordeaux","frLigue 1","21","2000","25.1","43","27","22","14","7","19","68","27.9","49","33","3","30","37","80","11","2",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","24","1997","4.9","14","5","5","8","1","6","11","54.5","5","4","1","3","6","20","3","0",
"Felix Afena-Gyan","ghGHA","FW,MF","Roma","itSerie A","18","2003","7.4","10","3","1","6","3","4","7","57.1","3","4","0","4","3","13","0","0",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","25","1996","18.0","34","22","17","11","6","18","37","48.6","19","20","3","17","25","59","38","0",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","2","0",
"Lucien Agoume","frFRA","MF","Brest","frLigue 1","19","2002","20.8","51","31","24","20","7","23","45","51.1","22","30","9","21","52","103","27","1",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","22","1998","13.7","44","26","13","26","5","7","20","35.0","13","22","0","22","8","52","6","0",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","25","1996","30.4","27","18","16","11","0","14","24","58.3","10","24","14","10","24","51","127","1",
"Sergio Agüero","arARG","FW","Barcelona","esLa Liga","33","1988","1.7","1","1","0","0","1","0","2","0.0","2","0","0","0","0","1","0","0",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","28","1993","23.8","78","53","39","32","7","43","68","63.2","25","19","4","15","44","122","57","0",
"Álvaro Aguirre","esESP","FW","Rayo Vallecano","esLa Liga","21","2000","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Naouirou Ahamada","frFRA","MF,DF","Stuttgart","deBundesliga","19","2002","0.7","1","0","1","0","0","1","3","33.3","2","0","0","0","0","1","0","0",
"Anel Ahmedhodžić","baBIH","DF","Bordeaux","frLigue 1","22","1999","15.0","38","26","27","9","2","20","31","64.5","11","16","8","8","22","60","44","0",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","27","1994","11.2","16","9","4","9","3","5","19","26.3","14","8","1","7","19","35","7","0",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","25","1995","29.3","39","26","28","10","1","17","31","54.8","14","23","13","10","38","77","96","3",
"Ola Aina","ngNGA","DF","Torino","itSerie A","24","1996","16.0","27","19","11","10","6","15","23","65.2","8","17","3","14","28","55","30","0",
"Rayan Aït-Nouri","dzALG","DF,MF","Wolves","engPremier League","20","2001","20.3","64","36","46","15","3","22","44","50.0","22","24","2","22","22","86","39","1",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","23","1998","22.2","29","18","21","6","2","13","21","61.9","8","19","11","8","26","55","74","0",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","27","1994","30.4","36","25","5","19","12","7","40","17.5","33","28","3","25","8","44","31","1",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","26","1995","25.1","33","23","20","11","2","22","32","68.8","10","26","15","11","35","68","58","0",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","28","1993","20.5","43","31","26","15","2","21","37","56.8","16","26","7","19","51","94","61","0",
"Marley Aké","frFRA","FW,MF","Juventus","itSerie A","20","2001","0.9","0","0","0","0","0","0","2","0.0","2","0","0","0","1","1","0","0",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","26","1995","10.3","16","9","7","8","1","6","8","75.0","2","7","5","2","8","24","23","0",
"Ilias Akhomach","maMAR","FW","Barcelona","esLa Liga","17","2004","1.4","2","0","0","1","1","0","0","","0","0","0","0","0","2","0","0",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","19","2002","0.6","2","0","0","2","0","0","1","0.0","1","2","0","2","0","2","0","0",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","23","1997","5.7","14","9","5","7","2","8","12","66.7","4","6","0","6","11","25","6","0",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","28","1992","3.5","17","10","7","9","1","7","12","58.3","5","4","2","2","2","19","6","0",
"Kevin Akpoguma","ngNGA","DF,FW","Hoffenheim","deBundesliga","26","1995","17.0","33","19","16","11","6","16","28","57.1","12","32","2","30","20","53","29","2",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","29","1992","29.4","23","13","15","6","2","9","19","47.4","10","26","15","11","22","45","70","1",
"Sofiane Alakouch","maMAR","DF,MF","Metz","frLigue 1","23","1998","1.8","7","4","3","4","0","2","5","40.0","3","4","0","4","1","8","4","0",
"Tomás Alarcón","clCHI","MF","Cádiz","esLa Liga","22","1999","15.8","31","20","17","10","4","10","31","32.3","21","19","7","12","30","61","31","0",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","28","1992","7.3","6","5","0","2","4","2","5","40.0","3","5","0","5","1","7","6","0",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","32","1989","29.4","47","34","12","26","9","27","47","57.4","20","26","6","20","33","80","41","1",
"Josué Albert","gfGUF","DF","Clermont Foot","frLigue 1","29","1992","0.2","0","0","0","0","0","0","0","","0","0","0","0","1","1","2","0",
"Luis Alberto","esESP","MF","Lazio","itSerie A","28","1992","26.1","29","17","8","11","10","8","52","15.4","44","32","4","28","13","42","7","0",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","35","1985","27.4","26","15","20","5","1","14","18","77.8","4","24","15","9","21","47","126","1",
"Marc Albrighton","engENG","FW,DF","Leicester City","engPremier League","31","1989","12.6","31","19","16","9","6","10","47","21.3","37","15","3","12","14","45","20","0",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","27","1993","8.7","9","3","2","4","3","1","5","20.0","4","7","0","7","6","15","1","0",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","30","1991","17.0","48","29","14","24","10","10","42","23.8","32","22","2","20","26","74","13","2",
"Rubén Alcaraz","esESP","MF","Cádiz","esLa Liga","30","1991","12.3","41","20","14","24","3","22","45","48.9","23","10","2","8","13","54","14","0",
"Omar Alderete","pyPAR","DF","Valencia","esLa Liga","24","1996","26.7","53","34","34","17","2","34","53","64.2","19","30","18","12","35","88","153","0",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","26","1995","11.8","33","15","21","10","2","15","44","34.1","29","12","0","12","8","41","17","0",
"Doğan Alemdar","trTUR","GK","Rennes","frLigue 1","18","2002","12.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","9","1",
"Carles Aleñá","esESP","MF","Getafe","esLa Liga","23","1998","25.8","27","19","11","13","3","9","48","18.8","39","21","2","19","15","42","16","0",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","22","1998","31.7","40","23","19","13","8","27","60","45.0","33","22","4","18","43","83","40","0",
"Mohamed Ali Cho","frFRA","FW","Angers","frLigue 1","17","2004","20.4","10","5","1","4","5","5","17","29.4","12","17","1","16","8","18","0","1",
"Alisson","brBRA","GK","Liverpool","engPremier League","28","1992","36.0","3","1","3","0","0","3","5","60.0","2","1","0","1","0","3","28","1",
"Allan","brBRA","MF","Everton","engPremier League","30","1991","24.3","74","44","28","39","7","34","105","32.4","71","40","9","31","23","97","39","1",
"Jim Allevinah","gaGAB","FW","Clermont Foot","frLigue 1","26","1995","16.5","18","13","8","8","2","5","18","27.8","13","11","0","11","6","24","4","0",
"Dele Alli","engENG","MF","Tottenham","engPremier League","25","1996","7.3","14","8","10","3","1","5","17","29.4","12","22","5","17","6","20","16","0",
"Dele Alli","engENG","MF,FW","Everton","engPremier League","25","1996","3.8","7","2","3","4","0","0","4","0.0","4","7","2","5","6","13","10","0",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","27","1994","19.1","47","29","23","17","7","11","44","25.0","33","14","1","13","20","67","13","0",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","30","1990","24.1","41","29","20","12","9","17","36","47.2","19","29","5","24","43","84","53","0",
"Giorgio Altare","itITA","DF","Cagliari","itSerie A","22","1998","16.3","39","28","18","18","3","21","26","80.8","5","17","5","12","30","69","70","0",
"Hugo Álvarez","esESP","FW","Celta Vigo","esLa Liga","18","2003","0.1","1","0","1","0","0","0","0","","0","0","0","0","0","1","1","0",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","26","1995","20.7","24","14","15","8","1","10","18","55.6","8","21","16","5","45","69","97","0",
"Dani Alves","brBRA","DF","Barcelona","esLa Liga","38","1983","12.2","30","19","13","13","4","14","26","53.8","12","10","3","7","11","41","10","2",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","22","1998","4.5","10","4","4","5","1","4","7","57.1","3","2","1","1","10","20","10","0",
"Ibrahim Amadou","frFRA","DF,MF","Metz","frLigue 1","28","1993","9.0","16","8","10","6","0","8","15","53.3","7","4","2","2","14","30","26","0",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","19","2001","0.9","0","0","0","0","0","0","2","0.0","2","1","0","1","0","0","0","0",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","26","1994","23.6","26","13","19","7","0","19","29","65.5","10","30","22","8","21","47","93","4",
"Amath","snSEN","FW,MF","Mallorca","esLa Liga","25","1996","9.8","21","11","11","6","4","7","17","41.2","10","12","0","12","7","28","7","0",
"Jordan Amavi","frFRA","DF","Nice","frLigue 1","27","1994","4.6","16","10","8","7","1","10","17","58.8","7","3","1","2","15","31","7","0",
"Jordan Amavi","frFRA","DF,FW","Marseille","frLigue 1","27","1994","1.4","6","5","3","1","2","5","10","50.0","5","1","0","1","1","7","3","0",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","15","2005","0.8","3","2","1","1","1","2","3","66.7","1","2","0","2","3","6","1","0",
"Kelvin Amian","frFRA","DF","Spezia","itSerie A","23","1998","29.4","66","42","43","18","5","30","41","73.2","11","39","21","18","32","98","75","0",
"Nadiem Amiri","deGER","MF,FW","Genoa","itSerie A","24","1996","7.6","6","4","2","2","2","2","9","22.2","7","7","0","7","0","6","0","0",
"Nadiem Amiri","deGER","MF,FW","Leverkusen","deBundesliga","24","1996","4.1","8","4","3","2","3","4","8","50.0","4","4","2","2","5","13","0","0",
"Ethan Ampadu","wlsWAL","MF,DF","Venezia","itSerie A","20","2000","25.4","67","43","37","27","3","24","58","41.4","34","49","19","30","51","118","76","0",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","24","1996","10.5","24","13","9","13","2","11","19","57.9","8","25","8","17","5","29","6","1",
"Joachim Andersen","dkDEN","DF","Crystal Palace","engPremier League","25","1996","32.4","30","23","21","9","0","16","27","59.3","11","29","19","10","37","67","125","3",
"Felipe Anderson","brBRA","FW","Lazio","itSerie A","28","1993","32.1","71","45","30","33","8","27","99","27.3","72","65","6","59","20","91","16","0",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","30","1991","14.0","11","7","0","3","8","3","9","33.3","6","8","0","8","3","14","14","0",
"Florin Andone","roROU","FW","Cádiz","esLa Liga","28","1993","2.0","1","1","1","0","0","0","1","0.0","1","2","0","2","0","1","1","0",
"Andrés Andrade Cedeño","paPAN","DF","Arminia","deBundesliga","22","1998","11.6","27","16","18","8","1","17","35","48.6","18","16","7","9","19","46","44","0",
"Benjamin André","frFRA","MF","Lille","frLigue 1","30","1990","30.6","123","69","49","65","9","51","113","45.1","62","49","11","38","50","173","56","0",
"Fredrik André Bjørkan","noNOR","DF","Hertha BSC","deBundesliga","22","1998","3.9","12","10","7","4","1","7","9","77.8","2","6","2","4","6","18","8","0",
"Marcos André","brBRA","FW,MF","Valencia","esLa Liga","24","1996","10.8","15","11","4","6","5","5","16","31.3","11","15","0","15","7","22","13","0",
"Robert Andrich","deGER","MF","Leverkusen","deBundesliga","26","1994","20.2","33","17","18","14","1","14","28","50.0","14","19","7","12","31","64","46","0",
"José Ángel","esESP","DF","Osasuna","esLa Liga","31","1989","12.0","20","13","9","9","2","9","14","64.3","5","6","1","5","10","30","21","0",
"Angeliño","esESP","DF","RB Leipzig","deBundesliga","24","1997","25.5","28","21","14","13","1","14","30","46.7","16","24","3","21","29","57","40","0",
"Ebenezer Annan","ghGHA","DF","Bologna","itSerie A","18","2002","0.3","1","1","1","0","0","0","0","","0","0","0","0","1","2","1","0",
"Cristian Ansaldi","arARG","DF","Torino","itSerie A","34","1986","7.7","20","9","11","7","2","10","13","76.9","3","9","1","8","6","26","10","0",
"Janis Antiste","frFRA","FW","Spezia","itSerie A","18","2002","8.8","18","11","6","6","6","5","13","38.5","8","7","1","6","4","22","6","0",
"Waldemar Anton","deGER","DF","Stuttgart","deBundesliga","25","1996","28.8","40","26","22","15","3","19","32","59.4","13","27","16","11","32","72","116","1",
"Josep Antoni Gayá","esESP","DF","Mallorca","esLa Liga","21","2000","0.6","0","0","0","0","0","0","0","","0","1","0","1","1","1","3","1",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","31","1990","33.0","23","17","5","9","9","7","18","38.9","11","19","1","18","3","26","13","0",
"Christopher Antwi-Adjei","ghGHA","FW,MF","Bochum","deBundesliga","27","1994","12.6","21","18","7","8","6","6","26","23.1","20","12","0","12","1","22","8","0",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","23","1998","27.8","46","30","9","25","12","27","54","50.0","27","26","1","25","20","66","5","0",
"Adil Aouchiche","frFRA","MF,FW","Saint-Étienne","frLigue 1","19","2002","12.0","13","6","5","5","3","5","33","15.2","28","18","1","17","17","30","4","0",
"Dennis Appiah","frFRA","DF","Nantes","frLigue 1","29","1992","23.3","55","34","35","18","2","28","48","58.3","20","30","13","17","27","82","74","0",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","25","1995","29.6","62","37","19","32","11","20","68","29.4","48","35","5","30","32","94","18","0",
"Mattia Aramu","itITA","MF,FW","Venezia","itSerie A","26","1995","23.3","20","15","5","9","6","8","33","24.2","25","20","2","18","8","28","19","0",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","32","1989","17.5","45","25","18","21","6","22","52","42.3","30","24","4","20","33","78","21","0",
"Néstor Araujo","mxMEX","DF","Celta Vigo","esLa Liga","29","1991","29.1","22","14","17","5","0","9","21","42.9","12","17","10","7","27","49","105","2",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","22","1999","25.2","41","23","29","12","0","21","25","84.0","4","37","20","17","23","64","66","1",
"Cameron Archer","engENG","FW,MF","Aston Villa","engPremier League","20","2001","0.3","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","28","1993","1.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","1","0",
"Jesús Areso","esESP","DF","Osasuna","esLa Liga","22","1999","2.1","3","3","2","1","0","0","2","0.0","2","0","0","0","0","3","2","1",
"Matias Arezo","uyURU","FW,MF","Granada","esLa Liga","18","2002","1.8","5","3","2","1","2","4","9","44.4","5","1","0","1","1","6","1","0",
"Santiago Arias","coCOL","DF","Granada","esLa Liga","29","1992","4.9","12","5","8","3","1","4","9","44.4","5","8","4","4","5","17","10","0",
"Adam Armstrong","engENG","FW","Southampton","engPremier League","24","1997","15.7","10","4","2","2","6","0","6","0.0","6","13","1","12","3","13","6","0",
"Stuart Armstrong","sctSCO","MF","Southampton","engPremier League","29","1992","16.4","27","19","15","6","6","9","23","39.1","14","10","1","9","8","35","15","0",
"Marko Arnautović","atAUT","FW","Bologna","itSerie A","32","1989","29.9","17","9","1","11","5","7","30","23.3","23","13","2","11","7","24","17","0",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","27","1994","33.3","37","20","19","16","2","20","50","40.0","30","43","15","28","37","74","55","0",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","26","1994","4.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","4","0",
"Tolgay Arslan","deGER","MF","Udinese","itSerie A","30","1990","18.4","35","20","15","16","4","19","50","38.0","31","17","4","13","13","48","23","1",
"Santiago Arzamendia","pyPAR","MF","Cádiz","esLa Liga","23","1998","5.2","14","6","6","5","3","6","13","46.2","7","6","0","6","4","18","7","0",
"Takuma Asano","jpJPN","FW,MF","Bochum","deBundesliga","26","1994","17.9","11","6","3","6","2","5","19","26.3","14","14","1","13","7","18","7","0",
"Santiago Ascacíbar","arARG","MF","Hertha BSC","deBundesliga","24","1997","26.4","93","54","50","37","6","38","89","42.7","51","31","6","25","41","134","42","0",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","32","1989","6.0","0","0","0","0","0","0","1","0.0","1","0","0","0","1","1","6","0",
"Alejandro Asensio","esESP","FW","Rayo Vallecano","esLa Liga","20","2000","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Marco Asensio","esESP","FW,MF","Real Madrid","esLa Liga","25","1996","19.2","12","8","6","4","2","4","18","22.2","14","8","1","7","12","24","6","1",
"Harrison Ashby","sctSCO","DF","West Ham","engPremier League","19","2001","0.1","0","0","0","0","0","0","0","","0","1","0","1","1","1","1","0",
"Kristoffer Askildsen","noNOR","MF","Sampdoria","itSerie A","20","2001","8.4","18","6","7","11","0","9","19","47.4","10","14","7","7","15","33","15","0",
"Fisnik Asllani","xkKVX","MF,FW","Hoffenheim","deBundesliga","18","2002","0.1","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","0","0",
"Kristjan Asllani","alALB","MF","Empoli","itSerie A","19","2002","15.0","18","9","9","8","1","11","29","37.9","18","16","7","9","19","37","15","1",
"Iago Aspas","esESP","FW","Celta Vigo","esLa Liga","33","1987","34.3","14","7","1","5","8","4","24","16.7","20","23","2","21","11","25","19","0",
"Lorenz Assignon","tgTOG","DF","Rennes","frLigue 1","21","2000","6.8","15","10","11","3","1","5","9","55.6","4","3","1","2","11","26","19","0",
"Simon Asta","deGER","DF","Greuther Fürth","deBundesliga","20","2001","8.7","13","6","4","5","4","4","8","50.0","4","14","2","12","8","21","16","0",
"Youcef Atal","dzALG","DF","Nice","frLigue 1","25","1996","12.7","29","19","17","10","2","14","25","56.0","11","13","2","11","32","61","21","0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Arsenal","engPremier League","32","1989","11.5","11","5","6","4","1","3","10","30.0","7","12","1","11","0","11","4","0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Barcelona","esLa Liga","32","1989","12.0","2","2","0","1","1","0","5","0.0","5","9","1","8","2","4","4","0",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","24","1997","28.4","3","1","3","0","0","3","5","60.0","2","0","0","0","2","5","17","2",
"Tommaso Augello","itITA","DF","Sampdoria","itSerie A","26","1994","26.6","36","20","22","8","6","17","29","58.6","12","19","4","15","29","65","68","1",
"Jean-Kévin Augustin","frFRA","FW,MF","Nantes","frLigue 1","24","1997","0.9","1","0","0","0","1","0","3","0.0","3","1","0","1","0","1","0","0",
"Ludwig Augustinsson","seSWE","DF,FW","Sevilla","esLa Liga","27","1994","8.8","18","14","11","3","4","8","13","61.5","5","10","3","7","5","23","21","0",
"Serge Aurier","ciCIV","DF","Villarreal","esLa Liga","28","1992","11.2","14","9","11","2","1","4","7","57.1","3","14","7","7","11","25","25","0",
"Ezequiel Ávila","arARG","FW,MF","Osasuna","esLa Liga","27","1994","20.8","17","7","6","7","4","7","21","33.3","14","14","2","12","13","30","15","1",
"Taiwo Awoniyi","ngNGA","FW","Union Berlin","deBundesliga","23","1997","24.2","11","7","3","6","2","1","9","11.1","8","11","2","9","2","13","29","0",
"Ramzi Aya","itITA","DF","Salernitana","itSerie A","30","1990","1.5","1","1","1","0","0","1","1","100.0","0","0","0","0","0","1","4","0",
"Jordan Ayew","ghGHA","FW","Crystal Palace","engPremier League","29","1991","22.4","47","30","20","20","7","17","31","54.8","14","33","3","30","15","62","15","0",
"Kaan Ayhan","trTUR","DF","Sassuolo","itSerie A","26","1994","15.0","20","12","14","6","0","7","15","46.7","8","20","14","6","13","33","57","0",
"Luke Ayling","engENG","DF","Leeds United","engPremier League","29","1991","25.2","74","42","46","23","5","51","97","52.6","46","46","25","21","28","102","52","1",
"Karim Azamoum","frFRA","DF","Troyes","frLigue 1","31","1990","4.3","6","5","4","2","0","3","5","60.0","2","4","2","2","1","7","10","0",
"Sardar Azmoun","irIRN","FW,MF","Leverkusen","deBundesliga","26","1995","4.0","3","1","0","2","1","0","5","0.0","5","2","0","2","0","3","8","0",
"César Azpilicueta","esESP","DF","Chelsea","engPremier League","31","1989","23.0","51","28","18","27","6","16","35","45.7","19","32","9","23","23","74","65","1",
"Iddrisu Baba","ghGHA","MF","Mallorca","esLa Liga","25","1996","21.5","57","30","31","23","3","25","43","58.1","18","19","5","14","24","81","34","1",
"Carlos Bacca","coCOL","FW","Granada","esLa Liga","34","1986","5.7","4","4","2","0","2","0","3","0.0","3","5","0","5","1","5","5","0",
"Daniel Bachmann","atAUT","GK","Watford","engPremier League","27","1994","12.0","0","0","0","0","0","0","0","","0","0","0","0","1","1","5","0",
"Loïc Bade","frFRA","DF","Rennes","frLigue 1","21","2000","10.9","6","5","4","2","0","3","5","60.0","2","12","10","2","12","18","48","0",
"Milan Badelj","hrCRO","MF","Genoa","itSerie A","32","1989","31.6","64","37","25","30","9","34","80","42.5","46","39","7","32","85","149","43","0",
"Édgar Badía","esESP","GK","Elche","esLa Liga","29","1992","24.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","16","2",
"Benoît Badiashile","frFRA","DF","Monaco","frLigue 1","20","2001","20.4","36","19","21","15","0","14","23","60.9","9","18","12","6","28","64","68","1",
"Youssouph Badji","snSEN","FW,MF","Brest","frLigue 1","19","2001","1.5","1","0","0","1","0","0","1","0.0","1","0","0","0","0","1","0","0",
"Miguel Baeza","esESP","DF","Celta Vigo","esLa Liga","21","2000","0.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Nicola Bagnolini","itITA","GK","Bologna","itSerie A","17","2004","0.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Issa Bah","luLUX","FW","Venezia","itSerie A","19","2002","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Stéphane Bahoken","cmCMR","FW","Angers","frLigue 1","29","1992","12.2","13","8","2","7","4","1","9","11.1","8","15","0","15","3","16","3","0",
"Leon Bailey","jmJAM","FW,MF","Aston Villa","engPremier League","23","1997","8.5","17","11","6","8","3","6","13","46.2","7","10","1","9","1","18","2","0",
"Eric Bailly","ciCIV","DF","Manchester Utd","engPremier League","27","1994","2.4","5","4","4","0","1","3","4","75.0","1","4","2","2","3","8","11","0",
"Dénys Bain","frFRA","DF","Brest","frLigue 1","28","1993","2.0","3","3","1","2","0","1","1","100.0","0","3","1","2","3","6","5","0",
"Stefan Bajic","frFRA","GK","Saint-Étienne","frLigue 1","19","2001","5.7","0","0","0","0","0","0","0","","0","0","0","0","0","0","4","0",
"Nedim Bajrami","alALB","MF,FW","Empoli","itSerie A","22","1999","22.8","21","14","5","13","3","4","14","28.6","10","11","0","11","3","24","8","0",
"Cédric Bakambu","cdCOD","FW","Marseille","frLigue 1","30","1991","4.0","2","0","1","0","1","0","3","0.0","3","2","0","2","0","2","1","0",
"Abdoulaye Bakayoko","frFRA","DF","Saint-Étienne","frLigue 1","18","2002","3.4","15","9","13","2","0","8","12","66.7","4","5","4","1","12","27","15","0",
"Tiemoué Bakayoko","frFRA","MF","Milan","itSerie A","26","1994","5.6","19","13","9","7","3","5","16","31.3","11","8","1","7","9","28","10","2",
"Mitchel Bakker","nlNED","DF","Leverkusen","deBundesliga","21","2000","20.2","33","22","16","12","5","20","34","58.8","14","13","2","11","23","56","42","3",
"Ridle Baku","deGER","DF,FW","Wolfsburg","deBundesliga","23","1998","27.2","62","37","30","24","8","25","65","38.5","40","43","1","42","21","83","52","1",
"Dilane Bakwa","frFRA","FW,MF","Bordeaux","frLigue 1","18","2002","0.5","1","1","0","1","0","1","2","50.0","1","0","0","0","0","1","1","0",
"Tommaso Baldanzi","itITA","FW","Empoli","itSerie A","18","2003","0.2","0","0","0","0","0","0","0","","0","1","0","1","0","0","0","0",
"Alejandro Balde","esESP","DF,FW","Barcelona","esLa Liga","17","2003","2.1","2","1","1","0","1","0","0","","0","2","2","0","1","3","1","0",
"Ibrahima Baldé","frFRA","FW,MF","Lens","frLigue 1","18","2003","0.6","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
