Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Max Aarons","engENG","DF","Norwich City","engPremier League","21","2000","32.0","64","44","49","15","0","37","55","67.3","18","39","19","20","28","92","96","1",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","33","1987","33.1","48","27","34","14","0","16","32","50.0","16","50","25","25","68","116","104","0",
"Salis Abdul Samed","ghGHA","MF","Clermont Foot","frLigue 1","21","2000","27.4","43","23","25","16","2","20","57","35.1","37","18","1","17","42","85","15","0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","28","1993","32.8","110","60","44","53","13","71","166","42.8","95","58","1","57","55","165","13","0",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","21","2000","0.5","0","0","0","0","0","0","1","0.0","1","2","0","2","0","0","0","0",
"Dickson Abiama","ngNGA","FW","Greuther Fürth","deBundesliga","22","1998","8.1","11","7","4","5","2","2","10","20.0","8","12","1","11","4","15","8","0",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","18","2003","1.1","0","0","0","0","0","0","0","","0","2","0","2","0","0","1","0",
"Tammy Abraham","engENG","FW","Roma","itSerie A","23","1997","34.3","27","13","7","14","6","9","22","40.9","13","17","3","14","5","32","27","0",
"Luis Abram","pePER","DF","Granada","esLa Liga","25","1996","6.2","6","3","3","3","0","2","4","50.0","2","6","5","1","5","11","37","1",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","33","1988","28.2","25","12","15","9","1","12","19","63.2","7","37","28","9","34","59","92","0",
"Ragnar Ache","deGER","MF,FW","Eint Frankfurt","deBundesliga","23","1998","2.9","2","0","0","1","1","1","4","25.0","3","3","0","3","0","2","1","0",
"Mohamed Achi","frFRA","MF","Nantes","frLigue 1","19","2002","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","29","1991","25.1","50","29","27","14","9","30","46","65.2","16","22","5","17","14","64","25","1",
"Che Adams","sctSCO","FW","Southampton","engPremier League","25","1996","22.7","13","6","5","5","3","2","16","12.5","14","18","2","16","8","21","18","0",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","22","1999","15.0","23","7","5","16","2","7","25","28.0","18","24","1","23","16","39","19","2",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","28","1993","3.7","8","6","3","4","1","3","11","27.3","8","4","0","4","1","9","2","0",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","17","2003","3.9","15","11","5","8","2","8","16","50.0","8","0","0","0","11","26","6","0",
