Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","21","1999","0.1","0","0","0","0","0","0","0","","0","0","0","0","1","1","1","0",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","29","1990","19.7","35","22","18","17","0","19","43","44.2","24","18","6","12","30","65","40","2",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","32","1987","32.1","59","37","36","23","0","26","42","61.9","16","34","15","19","61","120","132","0",
"Sabit Abdulai","ghGHA","MF","Getafe","esLa Liga","21","1999","0.7","2","0","1","1","0","1","3","33.3","2","0","0","0","0","2","0","0",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","27","1992","14.7","34","19","16","14","4","15","30","50.0","15","9","2","7","20","54","10","0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","27","1993","32.9","145","84","64","69","12","54","162","33.3","108","64","6","58","46","191","12","0",
"Charles Abi","frFRA","FW,MF","Saint-Étienne","frLigue 1","20","2000","10.1","8","2","5","0","3","3","12","25.0","9","6","2","4","4","12","5","0",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","17","2003","0.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Pape Abou Cissé","snSEN","DF","Saint-Étienne","frLigue 1","24","1995","14.0","15","13","10","5","0","6","10","60.0","4","7","4","3","27","42","87","0",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","34","1986","13.6","18","12","13","3","2","11","17","64.7","6","13","4","9","17","35","34","0",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","22","1997","11.6","7","5","3","3","1","1","7","14.3","6","6","0","6","5","12","17","0",
"Amir Abrashi","alALB","MF,DF","Freiburg","deBundesliga","30","1990","0.7","1","1","1","0","0","0","0","","0","1","1","0","2","3","1","0",
"Gennaro Acampora","itITA","MF,FW","Spezia","itSerie A","26","1994","4.9","6","4","1","4","1","2","7","28.6","5","4","1","3","4","10","4","0",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","32","1988","31.3","51","32","34","13","4","18","40","45.0","22","24","15","9","76","127","121","2",
"Ragnar Ache","deGER","FW,DF","Eint Frankfurt","deBundesliga","22","1998","1.1","2","0","0","1","1","0","0","","0","1","0","1","1","3","1","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","28","1991","25.9","62","42","34","20","8","23","41","56.1","18","23","2","21","23","85","30","1",
"Che Adams","sctSCO","FW","Southampton","engPremier League","24","1996","29.6","25","16","4","15","6","6","17","35.3","11","20","2","18","4","29","19","1",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","21","1999","20.6","35","24","12","15","8","17","31","54.8","14","22","5","17","29","64","30","0",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","27","1993","5.3","9","4","4","3","2","7","14","50.0","7","2","0","2","6","15","1","0",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","22","1997","32.8","37","19","30","6","1","19","40","47.5","21","26","20","6","42","79","197","2",
"Bobby Adekanye","nlNED","FW,MF","Cádiz","esLa Liga","21","1999","0.4","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","1","0",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","20","2000","26.9","74","37","30","33","11","35","92","38.0","57","27","2","25","39","113","17","2",
"Andrea Adorante","itITA","FW","Parma","itSerie A","20","2000","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Adrián","esESP","GK","Liverpool","engPremier League","33","1987","3.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","3","1",
"Martin Agirregabiria","esESP","DF,MF","Alavés","esLa Liga","24","1996","17.3","32","18","17","12","3","17","33","51.5","16","9","3","6","27","59","36","0",
"Lucien Agoume","frFRA","MF","Spezia","itSerie A","18","2002","8.9","18","10","11","7","0","6","19","31.6","13","10","5","5","15","33","10","0",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","20","1999","7.8","20","9","10","9","1","10","18","55.6","8","14","3","11","12","32","18","0",
"Kevin Agudelo","coCOL","FW","Spezia","itSerie A","21","1998","15.1","39","28","9","15","15","12","34","35.3","22","30","0","30","10","49","2","0",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","24","1996","35.0","37","30","28","9","0","21","33","63.6","12","34","22","12","47","84","102","0",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","32","1988","6.2","4","1","0","2","2","2","11","18.2","9","2","0","2","2","6","0","0",
"Ruben Aguilar","frFRA","DF,MF","Monaco","frLigue 1","27","1993","24.7","63","37","32","21","10","32","52","61.5","20","30","3","27","47","110","43","1",
"Naouirou Ahamada","frFRA","MF","Stuttgart","deBundesliga","18","2002","2.8","4","1","3","1","0","1","1","100.0","0","2","0","2","1","5","1","0",
"Matteo Ahlinvi","bjBEN","MF","Nîmes","frLigue 1","21","1999","10.0","26","20","10","14","2","11","39","28.2","28","6","0","6","2","28","8","0",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","26","1994","23.8","46","25","18","25","3","19","48","39.6","29","17","5","12","53","99","32","0",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","26","1994","0.4","1","0","0","1","0","1","3","33.3","2","0","0","0","1","2","1","0",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","24","1995","14.3","26","17","17","9","0","12","21","57.1","9","7","4","3","25","51","88","1",
"Ola Aina","ngNGA","DF","Fulham","engPremier League","23","1996","29.6","37","20","22","7","8","21","43","48.8","22","22","6","16","45","82","94","2",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","19","2001","15.6","29","16","18","10","1","13","27","48.1","14","14","1","13","15","44","25","0",
"Rayan Aït-Nouri","dzALG","DF","Angers","frLigue 1","19","2001","2.1","3","2","1","2","0","3","5","60.0","2","2","1","1","4","7","1","0",
"Semi Ajayi","ngNGA","DF","West Brom","engPremier League","26","1993","30.9","40","14","34","6","0","23","41","56.1","18","51","32","19","42","82","122","2",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","26","1994","33.0","30","18","6","18","6","7","31","22.6","24","14","5","9","11","41","54","0",
