Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","25","1995","26.1","41","22","23","12","6","19","31","61.3","12","23","10","13","49","90","70","1",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","27","1993","9.6","18","14","14","4","0","10","18","55.6","8","16","3","13","19","37","33","0",
"Marley Aké","frFRA","FW","Marseille","frLigue 1","19","2001","1.6","3","3","1","0","2","0","1","0.0","1","2","0","2","0","3","1","0",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","25","1995","8.9","10","5","3","6","1","3","4","75.0","1","2","1","1","9","19","23","0",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","22","1997","4.2","11","8","2","8","1","5","8","62.5","3","3","1","2","6","17","7","0",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","27","1992","11.7","38","25","13","22","3","8","27","29.6","19","24","6","18","18","56","13","0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","25","1995","13.2","18","12","11","6","1","8","14","57.1","6","28","15","13","13","31","32","2",
"David Alaba","atAUT","DF,MF","Bayern Munich","deBundesliga","28","1992","29.7","37","21","14","19","4","17","32","53.1","15","29","13","16","43","80","60","0",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","22","1998","16.7","53","33","30","16","7","29","45","64.4","16","17","2","15","21","74","38","0",
"Jony Álamo","esESP","MF","Elche","esLa Liga","18","2001","0.8","2","1","1","0","1","0","1","0.0","1","0","0","0","1","3","0","0",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","27","1992","13.8","8","2","2","5","1","2","4","50.0","2","9","1","8","2","10","10","0",
"Jordi Alba","esESP","DF,FW","Barcelona","esLa Liga","31","1989","33.6","45","30","22","16","7","24","52","46.2","28","21","2","19","49","94","48","0",
"Luis Alberto","esESP","MF","Lazio","itSerie A","27","1992","29.1","43","24","15","19","9","15","73","20.5","58","41","2","39","13","56","11","1",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","34","1985","34.6","22","15","19","3","0","13","18","72.2","5","32","22","10","22","44","146","2",
"Marc Albrighton","engENG","DF,FW","Leicester City","engPremier League","30","1989","19.4","33","19","14","15","4","16","45","35.6","29","29","3","26","17","50","27","1",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","26","1993","17.2","6","3","1","2","3","3","7","42.9","4","8","0","8","9","15","6","0",
"Pedro Alcalá","esESP","DF","Cádiz","esLa Liga","31","1989","10.1","8","4","6","2","0","3","5","60.0","2","19","13","6","16","24","50","0",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","29","1991","20.6","61","36","20","30","11","17","49","34.7","32","26","0","26","30","91","14","0",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","29","1991","24.1","54","29","32","21","1","30","80","37.5","50","35","8","27","31","85","28","0",
"Omar Alderete","pyPAR","DF","Hertha BSC","deBundesliga","23","1996","14.4","16","10","11","5","0","7","16","43.8","9","14","10","4","21","37","61","1",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","31","1989","24.9","35","22","22","11","2","18","30","60.0","12","40","28","12","10","45","121","0",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","25","1995","9.2","14","10","8","4","2","4","23","17.4","19","14","1","13","3","17","10","0",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","22","1998","0.5","1","0","1","0","0","0","0","","0","0","0","0","0","1","0","0",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","22","1998","15.2","15","10","3","9","3","7","25","28.0","18","14","1","13","2","17","2","0",
"Rúnar Alex Rúnarsson","isISL","GK","Arsenal","engPremier League","25","1995","0.2","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","21","1998","33.7","56","33","31","18","7","36","56","64.3","20","24","3","21","49","105","50","3",
"Alfon","esESP","MF","Celta Vigo","esLa Liga","21","1999","0.4","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Mohamed Ali Cho","frFRA","FW,MF","Angers","frLigue 1","16","2004","3.9","9","7","2","6","1","4","9","44.4","5","4","0","4","3","12","0","0",
"Ezgjan Alioski","mkMKD","DF,MF","Leeds United","engPremier League","28","1992","27.3","74","31","38","28","8","32","74","43.2","42","17","2","15","23","97","50","2",
"Rachid Alioui","maMAR","FW","Angers","frLigue 1","28","1992","0.2","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","0","0",
"Alisson","brBRA","GK","Liverpool","engPremier League","27","1992","33.0","3","2","3","0","0","3","4","75.0","1","0","0","0","2","5","26","7",
"Saturnin Allagbé","bjBEN","GK","Dijon","frLigue 1","26","1993","12.0","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","9","3",
"Allan","brBRA","MF","Everton","engPremier League","29","1991","22.8","80","45","39","37","4","28","95","29.5","67","31","12","19","19","99","25","1",
"Dele Alli","engENG","MF","Tottenham","engPremier League","24","1996","6.9","18","11","8","6","4","7","19","36.8","12","9","0","9","7","25","3","0",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","26","1994","27.0","49","29","21","25","3","14","56","25.0","42","23","4","19","25","74","20","1",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","29","1990","10.7","13","3","6","4","3","7","14","50.0","7","12","1","11","12","25","30","0",
"Sergio Álvarez","esESP","MF,DF","Eibar","esLa Liga","28","1992","17.4","42","25","13","26","3","8","22","36.4","14","22","5","17","22","64","24","2",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","25","1995","21.6","19","12","11","8","0","9","21","42.9","12","12","5","7","53","72","73","0",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","38","1981","18.1","13","10","10","3","0","7","9","77.8","2","17","12","5","26","39","81","0",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","21","1998","10.0","17","8","10","4","3","6","15","40.0","9","8","1","7","8","25","10","0",
"Ibrahim Amadou","frFRA","MF","Angers","frLigue 1","27","1993","16.7","39","26","18","19","2","15","38","39.5","23","14","4","10","23","62","25","0",
"Romain Amalfitano","frFRA","FW,DF","Dijon","frLigue 1","30","1989","1.3","4","2","3","1","0","1","3","33.3","2","2","1","1","1","5","1","0",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","18","2001","0.5","0","0","0","0","0","0","1","0.0","1","1","0","1","2","2","1","0",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","25","1994","8.0","11","7","6","4","1","8","12","66.7","4","8","4","4","12","23","26","0",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","26","1994","9.0","11","9","9","1","1","9","12","75.0","3","12","2","10","27","38","33","1",
"Thierry Ambrose","gpGLP","FW","Metz","frLigue 1","23","1997","8.4","7","4","1","1","5","2","12","16.7","10","2","0","2","2","9","4","0",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","14","2005","0.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Nadiem Amiri","deGER","MF","Leverkusen","deBundesliga","23","1996","21.0","12","7","4","8","0","7","33","21.2","26","18","3","15","12","24","7","0",
"Ethan Ampadu","wlsWAL","DF,MF","Sheffield Utd","engPremier League","19","2000","23.2","57","36","31","24","2","20","46","43.5","26","40","19","21","49","106","87","3",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","23","1996","27.1","39","22","11","24","4","18","48","37.5","30","30","5","25","23","62","12","0",
"Jon Ander Garrido","esESP","MF","Cádiz","esLa Liga","30","1989","8.9","18","10","8","7","3","10","26","38.5","16","12","4","8","14","32","13","0",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","24","1996","30.3","33","19","18","11","4","15","28","53.6","13","24","13","11","44","77","151","1",
"Joachim Andersen","dkDEN","DF","Lyon","frLigue 1","24","1996","2.1","2","1","1","1","0","2","2","100.0","0","1","1","0","2","4","6","0",
"Djavan Anderson","srSUR","DF","Lazio","itSerie A","25","1995","0.8","0","0","0","0","0","0","1","0.0","1","1","0","1","1","1","0","0",
"Elliot Anderson","engENG","MF","Newcastle Utd","engPremier League","17","2002","0.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Felipe Anderson","brBRA","FW,MF","West Ham","engPremier League","27","1993","0.0","1","1","0","1","0","0","0","","0","0","0","0","0","1","0","0",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","29","1991","12.5","3","2","0","3","0","1","8","12.5","7","10","3","7","2","5","9","0",
"Nícolas Andrade","brBRA","GK","Udinese","itSerie A","32","1988","2.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Benjamin André","frFRA","MF","Lille","frLigue 1","29","1990","32.1","114","68","47","61","6","53","122","43.4","69","39","10","29","76","190","49","0",
"Marcos André","brBRA","FW","Valladolid","esLa Liga","23","1996","13.1","8","2","2","2","4","0","8","0.0","8","15","2","13","2","10","9","0",
"Robert Andrich","deGER","MF","Union Berlin","deBundesliga","25","1994","28.1","51","24","22","27","2","24","53","45.3","29","40","6","34","51","102","31","2",
"Victorien Angban","ciCIV","MF","Metz","frLigue 1","23","1996","18.6","36","24","17","15","4","17","42","40.5","25","17","4","13","19","55","9","1",
"Ángel","esESP","GK","Granada","esLa Liga","18","2002","1.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","1","0",
"José Ángel","esESP","DF","Eibar","esLa Liga","30","1989","10.0","15","8","9","4","2","8","12","66.7","4","7","0","7","13","28","17","1",
"Miguel Ángel Rubio","esESP","DF","Valladolid","esLa Liga","22","1998","1.5","0","0","0","0","0","0","0","","0","2","2","0","3","3","11","0",
"Angeliño","esESP","DF,FW","RB Leipzig","deBundesliga","23","1997","24.0","31","19","10","18","3","13","24","54.2","11","22","1","21","30","61","40","0",
"Davide Angelo Ghislandi","itITA","DF","Atalanta","itSerie A","19","2001","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","1","0",
"Philip Ankhrah","ghGHA","MF","Hellas Verona","itSerie A","17","2002","0.1","0","0","0","0","0","0","0","","0","1","0","1","0","0","0","0",
"Cristian Ansaldi","arARG","DF,FW","Torino","itSerie A","33","1986","21.6","48","33","25","14","9","24","38","63.2","14","21","7","14","16","64","38","0",
"Waldemar Anton","deGER","DF","Stuttgart","deBundesliga","24","1996","30.1","31","20","17","14","0","12","31","38.7","19","28","18","10","47","78","114","0",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","30","1990","21.9","7","4","1","5","1","1","7","14.3","6","20","3","17","7","14","7","0",
"José Antonio Miranda","gqEQG","MF,DF","Getafe","esLa Liga","22","1998","0.3","0","0","0","0","0","0","1","0.0","1","1","0","1","0","0","0","0",
"Valentin Antov","bgBUL","DF","Bologna","itSerie A","19","2000","2.6","4","2","3","1","0","3","10","30.0","7","6","5","1","4","8","13","0",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","22","1998","19.8","17","12","0","13","4","8","25","32.0","17","17","1","16","17","34","4","0",
"Adil Aouchiche","frFRA","MF,FW","Saint-Étienne","frLigue 1","18","2002","19.2","38","20","12","17","9","13","49","26.5","36","15","1","14","10","48","6","0",
"Dennis Appiah","frFRA","DF","Nantes","frLigue 1","28","1992","17.3","55","34","33","15","7","32","59","54.2","27","23","6","17","25","80","44","0",
"Aritz Arambarri","esESP","DF","Real Sociedad","esLa Liga","22","1998","0.3","1","1","0","1","0","1","2","50.0","1","0","0","0","0","1","0","0",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","24","1995","33.1","64","39","22","35","7","23","80","28.8","57","40","5","35","42","106","28","0",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","31","1989","18.5","41","23","16","21","4","17","43","39.5","26","32","4","28","33","74","17","0",
"Luiz Araújo","brBRA","MF","Lille","frLigue 1","24","1996","16.6","38","25","12","18","8","8","28","28.6","20","23","1","22","11","49","3","0",
"Néstor Araujo","mxMEX","DF","Celta Vigo","esLa Liga","28","1991","27.0","24","16","14","9","1","7","15","46.7","8","23","18","5","43","67","89","2",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","21","1999","16.8","22","11","12","8","2","9","9","100.0","0","24","15","9","20","42","47","1",
"Anaitz Arbilla","esESP","DF","Eibar","esLa Liga","33","1987","31.2","45","26","31","11","3","27","54","50.0","27","36","11","25","69","114","73","1",
"Alphonse Areola","frFRA","GK","Fulham","engPremier League","27","1993","36.0","1","0","1","0","0","1","5","20.0","4","0","0","0","1","2","13","3",
"Santiago Arias","coCOL","DF","Leverkusen","deBundesliga","28","1992","1.0","2","1","0","1","1","1","1","100.0","0","0","0","0","1","3","4","0",
"Karim Aribi","dzALG","FW","Nîmes","frLigue 1","26","1994","3.3","2","2","0","1","1","0","5","0.0","5","1","0","1","0","2","3","0",
"Unai Arietaleanizbeaskoa","esESP","FW,MF","Eibar","esLa Liga","21","1999","0.5","1","0","0","0","1","0","0","","0","0","0","0","0","1","0","0",
"Nicolò Armini","itITA","DF","Lazio","itSerie A","19","2001","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Stuart Armstrong","sctSCO","MF","Southampton","engPremier League","28","1992","30.7","60","41","19","32","9","27","75","36.0","48","26","1","25","24","84","19","0",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","26","1994","28.7","47","32","20","26","1","18","49","36.7","31","24","3","21","49","96","57","0",
"Tolu Arokodare","ngNGA","FW,MF","Köln","deBundesliga","19","2000","1.2","1","1","0","0","1","0","0","","0","1","0","1","1","2","0","0",
"Sergio Arribas","esESP","MF,FW","Real Madrid","esLa Liga","18","2001","1.5","3","1","2","1","0","1","3","33.3","2","2","0","2","4","7","2","0",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","25","1994","6.5","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","0","3",
"Tolgay Arslan","deGER","MF","Udinese","itSerie A","29","1990","20.2","52","32","24","24","4","25","54","46.3","29","22","2","20","22","74","15","1",
"Kwadwo Asamoah","ghGHA","DF,MF","Cagliari","itSerie A","31","1988","2.5","4","3","2","2","0","2","3","66.7","1","5","1","4","4","8","2","1",
"Santiago Ascacíbar","arARG","MF","Hertha BSC","deBundesliga","23","1997","8.5","30","15","15","14","1","15","28","53.6","13","23","2","21","13","43","14","0",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","31","1989","36.0","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","13","2",
"Marco Asensio","esESP","FW,MF","Real Madrid","esLa Liga","24","1996","20.8","12","6","7","4","1","3","24","12.5","21","15","0","15","11","23","10","0",
"Kristoffer Askildsen","noNOR","MF","Sampdoria","itSerie A","19","2001","1.1","0","0","0","0","0","0","0","","0","2","0","2","3","3","3","0",
"Iago Aspas","esESP","FW","Celta Vigo","esLa Liga","32","1987","31.8","11","3","2","7","2","2","23","8.7","21","25","2","23","16","27","21","0",
"Roger Assalé","ciCIV","FW,MF","Dijon","frLigue 1","26","1993","9.2","10","8","3","5","2","4","12","33.3","8","7","3","4","2","12","2","0",
"Youcef Atal","dzALG","DF,FW","Nice","frLigue 1","24","1996","10.6","25","12","11","14","0","13","26","50.0","13","10","2","8","26","51","12","0",
"Miguel Atienza","esESP","MF","Eibar","esLa Liga","21","1999","9.3","20","9","5","15","0","8","23","34.8","15","14","1","13","9","29","12","0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Arsenal","engPremier League","31","1989","25.9","12","8","7","4","1","3","20","15.0","17","18","0","18","7","19","17","0",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","23","1997","37.0","1","1","1","0","0","1","2","50.0","1","0","0","0","1","2","16","0",
"Tommaso Augello","itITA","DF","Sampdoria","itSerie A","25","1994","35.7","42","30","27","10","5","23","39","59.0","16","22","2","20","32","74","76","1",
"Jean-Kévin Augustin","frFRA","FW","Nantes","frLigue 1","23","1997","0.4","2","0","0","2","0","2","2","100.0","0","0","0","0","0","2","0","0",
"Ludwig Augustinsson","seSWE","DF,FW","Werder Bremen","deBundesliga","26","1994","21.7","37","20","19","14","4","17","29","58.6","12","21","7","14","20","57","62","0",
"Serge Aurier","ciCIV","DF","Tottenham","engPremier League","27","1992","17.8","55","33","33","17","5","15","40","37.5","25","28","5","23","19","74","44","3",
"Charlie Austin","engENG","FW,MF","West Brom","engPremier League","31","1989","1.5","4","2","1","2","1","1","3","33.3","2","0","0","0","3","7","4","0",
"Ezequiel Ávila","arARG","FW,MF","Osasuna","esLa Liga","26","1994","2.2","6","2","3","1","2","2","4","50.0","2","1","0","1","1","7","0","0",
"Taiwo Awoniyi","ngNGA","FW","Union Berlin","deBundesliga","22","1997","15.1","5","3","2","3","0","1","14","7.1","13","9","0","9","3","8","4","0",
"Mehmet Aydin","deGER","DF","Schalke 04","deBundesliga","18","2002","5.6","15","7","9","6","0","4","10","40.0","6","6","1","5","6","21","16","0",
"Jordan Ayew","ghGHA","FW,MF","Crystal Palace","engPremier League","28","1991","23.3","38","26","8","16","14","16","44","36.4","28","28","2","26","16","54","12","0",
"Kaan Ayhan","trTUR","DF","Sassuolo","itSerie A","25","1994","8.8","15","9","8","5","2","8","13","61.5","5","9","5","4","16","31","33","0",
"Luke Ayling","engENG","DF","Leeds United","engPremier League","28","1991","37.8","108","61","69","30","9","49","87","56.3","38","53","36","17","36","144","96","5",
"Ramon Azeez","ngNGA","MF","Granada","esLa Liga","27","1992","1.1","1","1","0","1","0","0","0","","0","0","0","0","1","2","1","0",
"César Azpilicueta","esESP","DF","Chelsea","engPremier League","30","1989","24.3","53","28","22","24","7","19","37","51.4","18","30","5","25","28","81","62","2",
"Ludovic Baal","gfGUF","DF,MF","Brest","frLigue 1","34","1986","3.3","6","5","4","1","1","2","5","40.0","3","4","1","3","5","11","5","0",
"Carlos Bacca","coCOL","FW","Villarreal","esLa Liga","33","1986","8.7","9","5","5","3","1","3","5","60.0","2","5","0","5","3","12","2","0",
"Loïc Bade","frFRA","DF","Lens","frLigue 1","20","2000","29.0","57","34","47","10","0","30","55","54.5","25","43","17","26","74","131","135","2",
"Milan Badelj","hrCRO","MF","Genoa","itSerie A","31","1989","26.8","56","27","27","22","7","26","84","31.0","58","51","10","41","87","143","45","1",
"Édgar Badía","esESP","GK","Elche","esLa Liga","28","1992","30.0","1","0","1","0","0","1","3","33.3","2","0","0","0","0","1","17","3",
"Benoît Badiashile","frFRA","DF","Monaco","frLigue 1","19","2001","31.9","24","17","15","9","0","13","28","46.4","15","21","12","9","58","82","102","4",
"Alex Baena","esESP","MF","Villarreal","esLa Liga","19","2001","1.5","4","3","1","2","1","1","3","33.3","2","1","1","0","1","5","1","0",
"Miguel Baeza","esESP","MF,FW","Celta Vigo","esLa Liga","20","2000","6.0","7","6","5","2","0","5","13","38.5","8","3","0","3","3","10","2","0",
"Stéphane Bahoken","cmCMR","FW","Angers","frLigue 1","28","1992","18.0","9","6","1","7","1","4","12","33.3","8","9","0","9","9","18","9","0",
"Leon Bailey","jmJAM","FW,MF","Leverkusen","deBundesliga","22","1997","23.8","14","8","3","7","4","4","15","26.7","11","13","0","13","9","23","3","0",
"Eric Bailly","ciCIV","DF","Manchester Utd","engPremier League","26","1994","10.2","5","5","3","1","1","0","1","0.0","1","13","11","2","13","18","36","2",
"Stefan Bajic","frFRA","GK","Saint-Étienne","frLigue 1","18","2001","1.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","1","0",
"Tiemoué Bakayoko","frFRA","MF","Napoli","itSerie A","25","1994","21.8","69","41","21","41","7","23","40","57.5","17","24","2","22","36","105","13","2",
"Mitchel Bakker","nlNED","DF","Paris S-G","frLigue 1","20","2000","18.8","38","30","15","14","9","17","26","65.4","9","22","2","20","22","60","20","0",
"Ridle Baku","deGER","FW,DF","Wolfsburg","deBundesliga","22","1998","29.8","50","31","20","20","10","22","53","41.5","31","54","4","50","40","90","33","1",
"Ridle Baku","deGER","DF","Mainz 05","deBundesliga","22","1998","2.0","4","2","3","1","0","2","6","33.3","4","3","1","2","3","7","6","0",
"Dilane Bakwa","frFRA","FW,MF","Bordeaux","frLigue 1","17","2002","0.6","2","2","1","1","0","0","1","0.0","1","2","0","2","1","3","0","0",
"Fabián Balbuena","pyPAR","DF","West Ham","engPremier League","28","1991","13.3","24","12","23","1","0","14","23","60.9","9","23","6","17","25","49","63","0",
"Keita Baldé","snSEN","FW","Sampdoria","itSerie A","25","1995","13.3","9","6","2","6","1","4","10","40.0","6","10","1","9","0","9","3","0",
"George Baldock","grGRE","DF","Sheffield Utd","engPremier League","27","1993","31.0","47","34","28","14","5","21","50","42.0","29","26","7","19","25","72","70","1",
"Gareth Bale","wlsWAL","FW","Tottenham","engPremier League","31","1989","10.2","17","10","4","9","4","7","14","50.0","7","13","2","11","8","25","16","0",
"Mikel Balenziaga","esESP","DF","Athletic Club","esLa Liga","32","1988","18.8","26","15","11","12","3","9","18","50.0","9","22","7","15","7","33","46","0",
