Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","28","1990","27.9","43","23","31","10","2","23","50","46.0","27","31","9","22","45","88","52","1",
"Max Aarons","engENG","DF","Norwich City","engPremier League","19","2000","36.0","48","30","33","9","6","18","36","50.0","18","46","29","17","37","85","97","1",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","31","1987","28.0","46","33","29","15","2","17","30","56.7","13","26","14","12","47","93","99","1",
"Suleiman Abdullahi","ngNGA","FW,MF","Union Berlin","deBundesliga","22","1996","1.7","0","0","0","0","0","0","3","0.0","3","2","1","1","1","1","1","0",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","26","1992","20.2","55","29","18","32","5","20","53","37.7","33","16","3","13","23","78","8","1",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","19","2000","6.9","9","9","2","5","2","2","7","28.6","5","2","0","2","4","13","4","0",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","33","1986","18.8","21","14","16","4","1","15","32","46.9","17","27","11","16","25","46","61","1",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","21","1997","24.6","8","4","2","5","1","3","14","21.4","11","20","2","18","6","14","27","0",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","29","1990","7.4","16","8","7","8","1","10","19","52.6","9","18","3","15","7","23","16","2",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","31","1988","35.1","59","29","42","12","5","14","20","70.0","6","40","27","13","42","101","109","1",
"Che Adams","sctSCO","FW","Southampton","engPremier League","23","1996","12.3","6","4","1","5","0","1","4","25.0","3","9","1","8","2","8","10","0",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","20","1999","10.6","22","15","13","8","1","12","25","48.0","13","16","1","15","14","36","14","0",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","26","1993","8.3","11","7","3","6","2","3","21","14.3","18","8","1","7","2","13","4","0",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","32","1987","0.3","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Bobby Adekanye","nlNED","FW","Lazio","itSerie A","20","1999","2.1","3","2","0","3","0","0","5","0.0","5","0","0","0","2","5","1","0",
"Claud Adjapong","itITA","DF","Hellas Verona","itSerie A","21","1998","2.6","5","3","4","1","0","2","3","66.7","1","4","3","1","3","8","7","0",
"Amine Adli","maMAR","MF,FW","Toulouse","frLigue 1","19","2000","0.5","0","0","0","0","0","0","1","0.0","1","0","0","0","1","1","0","0",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","19","2000","11.3","22","14","4","15","3","11","34","32.4","23","10","0","10","8","30","3","0",
"Adrián","esESP","GK","Liverpool","engPremier League","32","1987","9.7","1","1","1","0","0","1","1","100.0","0","0","0","0","0","1","8","3",
"Aritz Aduriz","esESP","FW,MF","Athletic Club","esLa Liga","38","1981","2.3","3","2","0","3","0","0","0","","0","0","0","0","0","3","2","0",
"Lumor Agbenyenu","ghGHA","DF","Mallorca","esLa Liga","22","1996","20.1","31","21","19","9","3","16","35","45.7","19","13","2","11","21","52","66","1",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","23","1996","23.3","55","30","32","18","5","30","54","55.6","24","19","7","12","18","73","48","0",
"Lucien Agoume","frFRA","MF","Inter","itSerie A","17","2002","0.8","3","2","0","2","1","0","0","","0","3","1","2","0","3","0","0",
"Kevin Agudelo","coCOL","MF,FW","Fiorentina","itSerie A","20","1998","0.7","2","1","0","1","1","0","1","0.0","1","1","0","1","1","3","0","0",
"Kevin Agudelo","coCOL","MF,FW","Genoa","itSerie A","20","1998","7.4","23","14","9","12","2","10","20","50.0","10","12","1","11","6","29","2","0",
"Nayef Aguerd","maMAR","DF","Dijon","frLigue 1","23","1996","10.6","13","9","7","5","1","8","12","66.7","4","11","11","0","18","31","54","0",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","31","1988","16.1","7","4","0","4","3","1","8","12.5","7","9","1","8","3","10","2","0",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","26","1993","11.9","36","22","19","15","2","19","28","67.9","9","6","2","4","11","47","21","0",
"Emmanuel Agyemang-Badu","ghGHA","MF","Hellas Verona","itSerie A","28","1990","2.6","1","1","0","1","0","1","2","50.0","1","2","2","0","1","2","6","0",
"Jean-Eudes Aholou","ciCIV","MF","Saint-Étienne","frLigue 1","25","1994","7.0","16","12","2","11","3","3","9","33.3","6","6","1","5","15","31","10","0",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","23","1995","27.8","43","27","30","11","2","13","27","48.1","14","31","14","17","45","88","124","3",
"Ola Aina","ngNGA","DF","Torino","itSerie A","22","1996","23.1","45","24","23","18","4","17","37","45.9","20","24","6","18","41","86","61","0",
"Youssef Aït Bennasser","maMAR","MF","Bordeaux","frLigue 1","23","1996","6.0","11","8","6","4","1","4","24","16.7","20","6","1","5","4","15","10","1",
"Rayan Aït-Nouri","dzALG","DF","Angers","frLigue 1","18","2001","14.2","29","22","14","8","7","10","21","47.6","11","14","1","13","18","47","33","0",
"Albian Ajeti","chSUI","FW","West Ham","engPremier League","22","1997","1.5","1","0","0","0","1","0","0","","0","0","0","0","0","1","0","0",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","25","1994","22.9","15","10","2","10","3","2","13","15.4","11","11","0","11","2","17","20","0",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","24","1995","25.7","38","21","23","14","1","12","20","60.0","8","20","11","9","30","68","61","2",
"Marley Aké","frFRA","FW,MF","Marseille","frLigue 1","18","2001","1.1","2","2","1","1","0","1","3","33.3","2","0","0","0","1","3","1","0",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","24","1995","27.8","31","21","23","8","0","14","23","60.9","9","40","29","11","36","67","152","0",
"Chadrac Akolo","cdCOD","FW,MF","Amiens","frLigue 1","24","1995","6.0","16","8","8","6","2","5","12","41.7","7","6","1","5","5","21","5","0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","24","1995","12.7","24","16","20","4","0","13","24","54.2","11","21","11","10","13","37","48","0",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","27","1992","27.8","30","17","14","15","1","16","25","64.0","9","19","10","9","29","59","40","0",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","21","1998","15.6","45","26","25","13","7","25","48","52.1","23","13","2","11","23","68","39","3",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","26","1992","13.0","6","3","0","4","2","1","8","12.5","7","12","2","10","1","7","9","0",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","30","1989","24.3","20","13","9","7","4","6","27","22.2","21","12","3","9","37","57","40","0",
"Luis Alberto","esESP","MF","Lazio","itSerie A","26","1992","34.6","50","30","21","19","10","27","82","32.9","55","32","1","31","21","71","9","1",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","33","1985","36.0","43","23","27","16","0","18","27","66.7","9","29","21","8","42","85","175","2",
"Marc Albrighton","engENG","MF,DF","Leicester City","engPremier League","29","1989","9.6","24","17","10","13","1","9","30","30.0","21","19","2","17","10","34","8","0",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","25","1993","10.3","3","3","2","1","0","1","7","14.3","6","4","1","3","2","5","10","0",
"Paco Alcácer","esESP","FW","Dortmund","deBundesliga","25","1993","5.9","2","2","0","2","0","1","5","20.0","4","4","1","3","2","4","3","0",
"Thiago Alcántara","esESP","MF","Bayern Munich","deBundesliga","28","1991","19.7","45","26","17","23","5","12","33","36.4","21","12","3","9","45","90","13","1",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","28","1991","21.4","61","30","37","20","4","30","63","47.6","33","46","15","31","15","76","41","0",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","30","1989","32.9","40","29","24","13","3","11","24","45.8","13","48","32","16","31","71","172","2",
"Haitam Aleesami","noNOR","DF","Amiens","frLigue 1","28","1991","21.3","36","16","25","9","2","18","43","41.9","25","33","10","23","34","70","59","1",
"Álex Alegría","esESP","FW","Mallorca","esLa Liga","26","1992","1.2","1","0","1","0","0","0","0","","0","2","0","2","0","1","0","0",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","21","1998","1.9","2","1","1","1","0","1","4","25.0","3","1","0","1","0","2","0","0",
"Carles Aleñá","esESP","MF,FW","Betis","esLa Liga","21","1998","8.2","14","9","5","7","2","3","17","17.6","14","4","1","3","1","15","3","0",
"Rúnar Alex Rúnarsson","isISL","GK","Dijon","frLigue 1","24","1995","10.0","0","0","0","0","0","0","2","0.0","2","0","0","0","0","0","3","3",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","20","1998","35.3","55","34","35","17","3","36","78","46.2","42","27","9","18","45","100","84","3",
"Enrico Alfonso","itITA","GK","Brescia","itSerie A","31","1988","3.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","2","0",
"Rachid Alioui","maMAR","FW","Angers","frLigue 1","27","1992","17.4","8","5","0","7","1","2","13","15.4","11","3","0","3","2","10","9","0",
"Alisson","brBRA","GK","Liverpool","engPremier League","26","1992","28.3","0","0","0","0","0","0","2","0.0","2","0","0","0","1","1","13","3",
"Allan","brBRA","MF","Napoli","itSerie A","28","1991","14.2","50","27","20","21","9","18","54","33.3","36","19","3","16","16","66","11","1",
"Dele Alli","engENG","MF,FW","Tottenham","engPremier League","23","1996","20.5","34","16","11","20","3","13","37","35.1","24","35","3","32","17","51","17","2",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","25","1994","33.6","60","39","32","20","8","19","52","36.5","33","25","1","24","31","91","25","0",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","28","1990","15.9","28","16","20","6","2","14","33","42.4","19","18","2","16","20","48","32","0",
"Mickaël Alphonse","gpGLP","DF","Dijon","frLigue 1","30","1989","15.3","39","25","26","12","1","23","37","62.2","14","19","3","16","17","56","64","0",
"Sergio Álvarez","esESP","MF,DF","Eibar","esLa Liga","27","1992","12.7","37","22","11","24","2","8","24","33.3","16","16","2","14","17","54","26","1",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","32","1986","2.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","1","0",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","24","1995","31.2","36","19","28","7","1","17","30","56.7","13","33","22","11","62","98","138","2",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","37","1981","29.7","17","11","12","5","0","8","13","61.5","5","30","21","9","25","42","150","2",
"Steven Alzate","coCOL","MF,DF","Brighton","engPremier League","20","1998","13.2","33","19","20","11","2","17","27","63.0","10","18","3","15","14","47","13","0",
"Ibrahim Amadou","frFRA","DF,MF","Norwich City","engPremier League","26","1993","8.4","18","11","9","8","1","3","11","27.3","8","8","5","3","16","34","55","1",
"Ibrahim Amadou","frFRA","MF","Leganés","esLa Liga","26","1993","8.6","16","9","5","9","2","4","11","36.4","7","5","0","5","12","28","6","0",
"Romain Amalfitano","frFRA","MF","Dijon","frLigue 1","29","1989","18.8","43","27","18","21","4","21","61","34.4","40","23","9","14","36","79","14","2",
"Amath","snSEN","MF","Getafe","esLa Liga","23","1996","0.7","2","1","1","1","0","0","5","0.0","5","2","0","2","0","2","0","0",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","25","1994","24.0","55","29","31","19","5","31","64","48.4","33","27","6","21","56","111","97","0",
"Thierry Ambrose","gpGLP","FW","Metz","frLigue 1","22","1997","6.1","7","5","2","2","3","2","7","28.6","5","3","0","3","3","10","3","0",
"Kelvin Amian","frFRA","DF","Toulouse","frLigue 1","21","1998","18.1","27","21","21","5","1","14","25","56.0","11","14","7","7","18","45","56","0",
"Nadiem Amiri","deGER","MF,FW","Leverkusen","deBundesliga","22","1996","20.6","26","16","7","15","4","16","34","47.1","18","12","2","10","14","40","8","1",
"Ethan Ampadu","wlsWAL","DF","RB Leipzig","deBundesliga","18","2000","0.9","5","4","3","2","0","1","1","100.0","0","3","1","2","1","6","3","0",
"Opoku Ampomah","ghGHA","FW,MF","Düsseldorf","deBundesliga","23","1996","5.6","9","4","3","4","2","3","12","25.0","9","3","0","3","4","13","5","0",
"Sofyan Amrabat","maMAR","MF","Hellas Verona","itSerie A","22","1996","32.4","58","36","26","21","11","26","55","47.3","29","29","10","19","31","89","15","1",
"Joachim Andersen","dkDEN","DF","Lyon","frLigue 1","23","1996","17.0","17","9","15","2","0","7","19","36.8","12","16","12","4","10","27","74","2",
"Djavan Anderson","srSUR","FW,DF","Lazio","itSerie A","24","1995","1.9","0","0","0","0","0","0","0","","0","1","0","1","3","3","3","0",
"Felipe Anderson","brBRA","MF,FW","West Ham","engPremier League","26","1993","16.6","46","32","20","21","5","11","47","23.4","36","19","1","18","22","68","11","0",
"Sebastian Andersson","seSWE","FW","Union Berlin","deBundesliga","28","1991","29.8","20","10","0","12","8","4","19","21.1","15","19","3","16","5","25","36","0",
"Florin Andone","roROU","FW","Brighton","engPremier League","26","1993","0.8","1","1","0","1","0","1","1","100.0","0","1","1","0","0","1","1","0",
"Benjamin André","frFRA","MF","Lille","frLigue 1","28","1990","22.8","72","44","31","35","6","29","74","39.2","45","32","9","23","59","131","40","1",
"Lorenzo Andrenacci","itITA","GK","Brescia","itSerie A","24","1995","5.9","1","0","1","0","0","1","3","33.3","2","0","0","0","0","1","0","0",
"Robert Andrich","deGER","MF","Union Berlin","deBundesliga","24","1994","28.6","52","27","28","18","6","19","60","31.7","41","27","7","20","47","99","36","0",
"Victorien Angban","ciCIV","MF","Metz","frLigue 1","22","1996","11.4","23","18","11","11","1","11","24","45.8","13","9","2","7","8","31","5","0",
"Miguel Ángel Guerrero","esESP","FW","Leganés","esLa Liga","29","1990","8.8","1","0","0","1","0","1","10","10.0","9","4","0","4","2","3","4","0",
"José Ángel","esESP","DF","Eibar","esLa Liga","29","1989","26.2","54","31","26","25","3","26","43","60.5","17","23","7","16","33","87","61","1",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","35","1984","13.0","0","0","0","0","0","0","1","0.0","1","0","0","0","1","1","6","2",
"Angeliño","esESP","DF","Manchester City","engPremier League","22","1997","4.7","5","2","3","1","1","5","7","71.4","2","1","0","1","9","14","15","0",
"Angeliño","esESP","DF,FW","RB Leipzig","deBundesliga","22","1997","12.2","15","9","7","5","3","5","15","33.3","10","14","1","13","19","34","24","0",
"Faustino Anjorin","engENG","FW","Chelsea","engPremier League","17","2001","0.2","0","0","0","0","0","0","0","","0","1","0","1","0","0","0","0",
"Peter Ankersen","dkDEN","DF","Genoa","itSerie A","28","1990","11.8","16","4","7","7","2","4","13","30.8","9","19","5","14","9","25","25","1",
"Cristian Ansaldi","arARG","DF,MF","Torino","itSerie A","32","1986","19.6","37","25","24","7","6","19","34","55.9","15","23","3","20","14","51","20","4",
"Janis Antiste","frFRA","MF","Toulouse","frLigue 1","16","2002","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","29","1990","19.6","13","9","5","4","4","4","14","28.6","10","17","2","15","9","22","5","0",
"Antoñito","esESP","DF,MF","Valladolid","esLa Liga","31","1987","11.4","26","18","19","7","0","12","20","60.0","8","9","0","9","15","41","20","1",
"Mirko Antonucci","itITA","FW,MF","Roma","itSerie A","20","1999","0.9","4","3","1","0","3","3","3","100.0","0","2","0","2","2","6","1","0",
"Vitorino Antunes","ptPOR","MF","Getafe","esLa Liga","32","1987","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","1","0",
"Christopher Antwi-Adjei","ghGHA","MF,FW","Paderborn 07","deBundesliga","25","1994","27.4","25","16","13","9","3","9","33","27.3","24","29","2","27","15","40","14","0",
