Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Nayef Aguerd","maMAR","DF","Dijon","frLigue 1","22","1996","11.7","17","12","8","9","0","8","19","42.1","11","20","11","9","14","31","59","1",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","30","1988","27.3","17","9","1","10","6","5","9","55.6","4","15","1","14","9","26","3","0",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","25","1993","28.1","88","51","40","33","15","39","69","56.5","30","23","3","20","37","125","50","1",
"Juan Aguilera","esESP","MF","Huesca","esLa Liga","32","1985","3.8","2","2","0","1","1","1","4","25.0","3","4","2","2","4","6","2","0",
"Emmanuel Agyemang-Badu","ghGHA","MF","Udinese","itSerie A","27","1990","1.8","4","0","1","2","1","1","1","100.0","0","2","0","2","1","5","2","0",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","24","1994","11.9","20","11","6","11","3","8","16","50.0","8","7","0","7","17","37","12","0",
"Antonis Aidonis","deGER","DF","Stuttgart","deBundesliga","17","2001","0.9","3","1","1","1","1","1","4","25.0","3","1","0","1","2","5","2","0",
"Ola Aina","ngNGA","DF","Torino","itSerie A","21","1996","24.0","54","36","32","20","2","23","48","47.9","25","30","3","27","39","93","59","2",
"Youssef Aït Bennasser","maMAR","MF","Saint-Étienne","frLigue 1","22","1996","10.4","25","13","9","12","4","13","28","46.4","15","15","2","13","19","44","6","2",
"Youssef Aït Bennasser","maMAR","MF","Monaco","frLigue 1","22","1996","11.9","33","16","14","18","1","13","29","44.8","16","15","5","10","15","48","19","0",
"Rayan Aït-Nouri","dzALG","DF,MF","Angers","frLigue 1","17","2001","0.6","2","2","1","1","0","0","1","0.0","1","0","0","0","0","2","1","0",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","24","1994","17.0","17","13","1","10","6","4","9","44.4","5","5","0","5","5","22","9","0",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","23","1995","24.5","29","19","14","13","2","14","25","56.0","11","22","13","9","27","56","92","2",
"Carlos Akapo","gqEQG","DF","Huesca","esLa Liga","25","1993","11.4","28","15","18","8","2","19","33","57.6","14","12","2","10","23","51","36","0",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","23","1995","37.9","66","35","42","21","3","22","35","62.9","13","51","35","16","32","98","241","0",
"Sergio Akieme","esESP","DF","Rayo Vallecano","esLa Liga","20","1997","2.0","3","3","3","0","0","2","2","100.0","0","0","0","0","1","4","5","0",
"Chadrac Akolo","cdCOD","MF,FW","Stuttgart","deBundesliga","23","1995","5.8","9","6","2","7","0","1","3","33.3","2","7","0","7","4","13","1","0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","23","1995","5.5","23","15","13","10","0","11","21","52.4","10","18","5","13","12","35","20","2",
"Kevin Akpoguma","ngNGA","DF","Hannover 96","deBundesliga","23","1995","3.5","10","6","5","5","0","6","7","85.7","1","7","2","5","10","20","7","2",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","26","1992","28.1","34","21","13","13","8","17","26","65.4","9","24","3","21","31","65","40","0",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","20","1998","21.1","81","44","44","31","6","36","63","57.1","27","15","4","11","46","127","57","0",
"Lucas Alario","arARG","FW,MF","Leverkusen","deBundesliga","25","1992","14.1","15","8","5","6","4","4","14","28.6","10","9","0","9","1","16","16","0",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","29","1989","33.2","42","22","20","15","7","20","48","41.7","28","24","6","18","60","102","76","1",
"Luis Alberto","esESP","MF,FW","Lazio","itSerie A","25","1992","22.1","53","22","15","29","9","21","55","38.2","34","23","3","20","10","63","10","0",
"Raúl Albiol","esESP","DF","Napoli","itSerie A","32","1985","19.0","16","8","12","4","0","8","15","53.3","7","19","16","3","20","36","90","1",
"Miiko Albornoz","clCHI","DF,MF","Hannover 96","deBundesliga","27","1990","18.4","46","26","31","10","5","21","45","46.7","24","23","3","20","16","62","37","1",
"Marc Albrighton","engENG","FW,MF","Leicester City","engPremier League","28","1989","18.1","35","22","18","14","3","13","31","41.9","18","26","3","23","23","58","30","0",
"Paco Alcácer","esESP","FW","Dortmund","deBundesliga","24","1993","13.5","3","1","2","0","1","0","6","0.0","6","5","0","5","6","9","7","0",
"Pedro Alcalá","esESP","DF","Girona","esLa Liga","29","1989","20.8","32","23","23","9","0","15","23","65.2","8","21","18","3","36","68","120","0",
"Thiago Alcántara","esESP","MF","Bayern Munich","deBundesliga","27","1991","26.8","87","65","31","44","12","25","48","52.1","23","23","4","19","44","131","17","1",
