Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Max Aarons","engENG","DF","Bournemouth","engPremier League","24","2000","1.0","2","2","1","1","0","1","1","100.0","0","3","1","2","1","3","0","0",
"Max Aarons","engENG","DF,MF","Valencia","esLa Liga","24","2000","1.3","4","4","2","2","0","4","5","80.0","1","1","0","1","0","4","3","0",
"Rodrigo Abajas","esESP","DF","Valencia","esLa Liga","21","2003","0.7","3","2","2","1","0","3","3","100.0","0","1","0","1","1","4","0","0",
"James Abankwah","ieIRL","DF,MF","Udinese","itSerie A","20","2004","1.0","4","2","4","0","0","2","3","66.7","1","2","1","1","1","5","3","0",
"Keyliane Abdallah","frFRA","FW","Marseille","frLigue 1","18","2006","0.0","1","1","1","0","0","1","1","100.0","0","0","0","0","0","1","0","0",
"Yunis Abdelhamid","maMAR","DF","Saint-Étienne","frLigue 1","36","1987","11.5","17","11","15","2","0","10","16","62.5","6","26","18","8","14","31","57","1",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","24","1999","31.6","48","32","13","20","15","15","48","31.3","33","24","1","23","26","74","28","2",
"Mohamed Abdelmoneim","egEGY","DF","Nice","frLigue 1","25","1999","9.5","21","14","12","6","3","13","22","59.1","9","11","5","6","15","36","56","1",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","30","1993","15.5","43","25","18","14","11","28","43","65.1","15","20","6","14","20","63","37","0",
"Saud Abdulhamid","saKSA","DF","Roma","itSerie A","25","1999","2.3","3","2","2","0","1","1","1","100.0","0","2","0","2","2","5","0","0",
"Nabil Aberdin","frFRA","MF","Getafe","esLa Liga","21","2002","2.9","6","4","3","3","0","1","1","100.0","0","3","0","3","0","6","5","0",
"Oliver Abildgaard","dkDEN","MF","Como","itSerie A","28","1996","0.1","0","0","0","0","0","0","0","","0","1","0","1","0","0","0","0",
"Matthis Abline","frFRA","FW","Nantes","frLigue 1","21","2003","30.8","11","5","2","4","5","3","9","33.3","6","15","1","14","4","15","36","1",
"Abner","brBRA","DF","Lyon","frLigue 1","24","2000","12.1","29","20","12","10","7","21","32","65.6","11","15","2","13","5","34","41","0",
"Zakaria Aboukhlal","maMAR","MF,FW","Toulouse","frLigue 1","24","2000","21.1","22","13","7","8","7","4","23","17.4","19","16","1","15","6","28","9","0",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","25","1999","27.4","36","23","24","11","1","20","34","58.8","14","28","18","10","39","75","146","1",
"Tammy Abraham","engENG","FW","Roma","itSerie A","26","1997","0.0","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","0","0",
"Tammy Abraham","engENG","FW","Milan","itSerie A","26","1997","13.1","17","11","2","10","5","6","8","75.0","2","13","0","13","2","19","16","0",
"Federico Accornero","itITA","MF","Genoa","itSerie A","20","2004","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","36","1988","19.0","23","19","16","7","0","11","17","64.7","6","22","16","6","26","49","81","0",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","18","2006","1.9","2","1","2","0","0","2","2","100.0","0","1","0","1","1","3","2","0",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","24","2000","1.5","0","0","0","0","0","0","0","","0","1","0","1","0","0","1","0",
"Akor Adams","ngNGA","FW","Montpellier","frLigue 1","24","2000","11.9","4","3","1","2","1","3","4","75.0","1","2","1","1","1","5","5","1",
"Che Adams","sctSCO","FW","Torino","itSerie A","28","1996","29.5","12","6","2","4","6","1","7","14.3","6","13","6","7","2","14","18","0",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","25","1999","21.8","83","50","26","49","8","39","72","54.2","33","33","10","23","32","115","42","0",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","23","2001","17.2","9","3","3","3","3","3","11","27.3","8","14","0","14","12","21","20","0",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","26","1997","15.7","17","13","11","6","0","8","12","66.7","4","9","7","2","11","28","80","0",
"Martin Adeline","frFRA","MF","Reims","frLigue 1","20","2003","0.3","1","1","0","1","0","1","2","50.0","1","0","0","0","0","1","2","0",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","22","2002","15.9","20","14","6","6","8","8","20","40.0","12","14","1","13","7","27","5","0",
"Simon Adingra","ciCIV","FW,MF","Brighton","engPremier League","22","2002","12.2","23","14","10","8","5","10","26","38.5","16","12","0","12","8","31","6","2",
"Amine Adli","maMAR","MF,FW","Leverkusen","deBundesliga","24","2000","8.5","15","9","4","2","9","4","11","36.4","7","11","0","11","0","15","4","0",
"Yacine Adli","frFRA","MF","Fiorentina","itSerie A","24","2000","13.7","32","19","11","16","5","17","39","43.6","22","13","1","12","6","38","19","0",
"Adrián","esESP","GK","Betis","esLa Liga","37","1987","19.0","0","0","0","0","0","0","3","0.0","3","0","0","0","0","0","14","3",
"Adryelson","brBRA","DF","Lyon","frLigue 1","26","1998","0.0","0","0","0","0","0","0","0","","0","0","0","0","1","1","1","0",
"Vasilije Adžić","meMNE","MF,FW","Juventus","itSerie A","18","2006","0.5","2","2","0","1","1","0","1","0.0","1","0","0","0","0","2","0","0",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","27","1997","8.0","18","13","8","7","3","10","14","71.4","4","4","1","3","7","25","6","0",
"Oladapo Afolayan","engENG","FW,MF","St. Pauli","deBundesliga","26","1998","18.2","17","8","4","8","5","7","19","36.8","12","17","1","16","8","25","20","0",
"Emmanuel Agbadou","ciCIV","DF","Wolves","engPremier League","27","1997","15.7","30","19","21","9","0","13","20","65.0","7","19","13","6","12","42","90","0",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","27","1997","14.0","25","17","19","3","3","19","26","73.1","7","22","13","9","19","44","64","1",
"Asher Agbinone","engENG","MF","Crystal Palace","engPremier League","18","2005","0.1","2","1","0","2","0","0","0","","0","0","0","0","0","2","0","0",
"Jeremy Agbonifo","seSWE","FW,MF","Lens","frLigue 1","18","2005","3.3","7","6","6","0","1","3","7","42.9","4","2","1","1","1","8","0","1",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","23","2000","13.4","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","4","0",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","22","2002","23.5","70","32","23","37","10","27","39","69.2","12","30","11","19","41","111","42","0",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","24","1999","19.5","30","14","12","14","4","12","23","52.2","11","27","9","18","21","51","48","0",
"Álvaro Aguado","esESP","MF","Espanyol","esLa Liga","28","1996","4.9","5","2","3","2","0","3","9","33.3","6","7","1","6","4","9","5","1",
"Lorenzo Aguado","esESP","DF","Real Madrid","esLa Liga","21","2002","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","2","0",
"Nayef Aguerd","maMAR","DF","Real Sociedad","esLa Liga","28","1996","19.6","30","24","17","12","1","12","18","66.7","6","21","15","6","13","43","91","0",
"Ruben Aguilar","frFRA","DF,MF","Lens","frLigue 1","31","1993","12.5","34","18","17","12","5","24","39","61.5","15","25","3","22","13","47","23","0",
"Naouirou Ahamada","frFRA","MF,FW","Rennes","frLigue 1","22","2002","0.6","0","0","0","0","0","0","0","","0","0","0","0","2","2","2","0",
