Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Max Aarons","engENG","DF","Bournemouth","engPremier League","23","2000","13.7","29","19","20","7","2","20","34","58.8","14","9","5","4","8","37","27","0",
"Brenden Aaronson","usUSA","MF,FW","Union Berlin","deBundesliga","22","2000","14.1","32","18","13","13","6","16","32","50.0","16","26","1","25","2","34","4","0",
"Paxten Aaronson","usUSA","MF","Eint Frankfurt","deBundesliga","19","2003","1.1","2","2","1","1","0","1","1","100.0","0","2","0","2","0","2","0","0",
"Keyliane Abdallah","frFRA","FW","Marseille","frLigue 1","17","2006","0.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","35","1987","30.9","64","35","36","23","5","26","45","57.8","19","51","32","19","39","103","109","2",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","23","2000","16.9","21","14","8","10","3","8","18","44.4","10","12","1","11","12","33","18","0",
"Nabil Aberdin","frFRA","DF","Getafe","esLa Liga","20","2002","2.0","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","4","0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","30","1993","31.8","85","52","43","34","8","38","96","39.6","58","29","6","23","61","146","61","3",
"Matthis Abline","frFRA","FW","Nantes","frLigue 1","20","2003","11.6","9","4","4","3","2","3","8","37.5","5","3","0","3","3","12","5","0",
"Abner","brBRA","DF","Betis","esLa Liga","23","2000","15.6","25","19","15","9","1","17","34","50.0","17","23","5","18","15","40","62","0",
"Zakaria Aboukhlal","maMAR","MF,FW","Toulouse","frLigue 1","23","2000","8.4","9","8","1","5","3","3","12","25.0","9","9","1","8","1","10","2","0",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","24","1999","25.7","35","19","28","5","2","21","35","60.0","14","31","26","5","23","58","115","0",
"Tammy Abraham","engENG","FW","Roma","itSerie A","25","1997","2.7","3","1","0","1","2","0","0","","0","1","0","1","0","3","4","0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","35","1988","26.5","22","13","16","6","0","11","14","78.6","3","20","13","7","32","54","77","1",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","17","2006","0.1","0","0","0","0","0","0","0","","0","3","3","0","0","0","0","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","31","1991","14.4","33","21","20","12","1","9","14","64.3","5","12","2","10","4","37","25","0",
"Akor Adams","ngNGA","FW","Montpellier","frLigue 1","23","2000","25.0","12","4","3","4","5","3","7","42.9","4","9","2","7","5","17","11","0",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","24","1999","1.3","4","3","1","3","0","2","3","66.7","1","2","0","2","4","8","2","0",
"Junior Adamu","atAUT","FW,MF","Freiburg","deBundesliga","22","2001","1.2","5","1","1","2","2","1","2","50.0","1","1","0","1","0","5","2","0",
"Sargis Adamyan","amARM","FW,MF","Köln","deBundesliga","30","1993","8.9","14","9","2","9","3","6","11","54.5","5","16","1","15","5","19","7","0",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","25","1997","18.0","21","11","16","5","0","12","21","57.1","9","16","11","5","25","46","80","0",
"Elijah Adebayo","engENG","FW","Luton Town","engPremier League","25","1998","15.8","4","1","1","0","3","1","12","8.3","11","13","2","11","6","10","25","0",
