Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","26","1990","24.3","47","32","29","15","3","16","34","47.1","18","24","5","19","47","94","64","2",
"Rolando Aarons","engENG","MF,FW","Newcastle Utd","engPremier League","21","1995","1.5","4","4","3","1","0","4","6","66.7","2","3","0","3","1","5","0","0",
"Rolando Aarons","engENG","MF,FW","Hellas Verona","itSerie A","21","1995","5.7","13","8","4","4","5","1","7","14.3","6","3","1","2","2","15","0","0",
"Ignazio Abate","itITA","DF","Milan","itSerie A","30","1986","11.7","20","17","10","9","1","6","11","54.5","5","22","2","20","8","28","29","0",
"Aymen Abdennour","tnTUN","DF","Marseille","frLigue 1","27","1989","5.5","7","3","5","2","0","4","7","57.1","3","5","5","0","4","11","20","0",
"Aly Abeid","mrMTN","DF","Levante","esLa Liga","19","1997","0.9","2","1","1","1","0","0","1","0.0","1","1","0","1","3","5","3","0",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","24","1992","13.1","23","15","8","14","1","8","32","25.0","24","11","6","5","18","41","25","2",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","31","1986","25.6","40","32","29","10","1","27","36","75.0","9","29","15","14","40","80","141","1",
"Tammy Abraham","engENG","FW","Swansea City","engPremier League","19","1997","19.2","10","8","1","7","2","1","13","7.7","12","8","1","7","1","11","11","0",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","27","1990","9.4","35","32","15","18","2","16","23","69.6","7","22","5","17","19","54","20","0",
"Francesco Acerbi","itITA","DF","Sassuolo","itSerie A","29","1988","38.0","51","32","26","22","3","22","36","61.1","14","42","21","21","88","139","255","1",
"Afriyie Acquah","ghGHA","MF","Torino","itSerie A","25","1992","10.6","8","6","2","6","0","1","7","14.3","6","8","1","7","16","24","10","2",
"Charlie Adam","sctSCO","MF","Stoke City","engPremier League","31","1985","4.6","9","5","2","5","2","5","17","29.4","12","2","0","2","9","18","11","2",
"Antonio Adán","esESP","GK","Betis","esLa Liga","30","1987","30.0","1","0","1","0","0","1","1","100.0","0","1","0","1","0","1","11","2",
"Aday","esESP","DF","Girona","esLa Liga","29","1987","20.4","17","15","11","4","2","6","17","35.3","11","19","3","16","25","42","52","1",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","32","1985","32.5","38","24","26","12","0","15","32","46.9","17","42","26","16","65","103","221","1",
"Claud Adjapong","itITA","DF,FW","Sassuolo","itSerie A","19","1998","13.6","35","26","24","5","6","11","13","84.6","2","16","3","13","23","58","37","0",
"René Adler","deGER","GK","Mainz 05","deBundesliga","32","1985","14.0","1","1","1","0","0","1","1","100.0","0","0","0","0","0","1","8","1",
"Yacine Adli","frFRA","FW","Paris S-G","frLigue 1","17","2000","0.1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Ali Adnan Kadhim","iqIRQ","DF,FW","Udinese","itSerie A","23","1993","18.6","54","35","35","14","5","29","50","58.0","21","31","6","25","41","95","90","0",
"Adrián","esESP","GK","West Ham","engPremier League","30","1987","19.0","2","1","2","0","0","1","4","25.0","3","1","0","1","0","2","15","1",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","36","1981","23.9","11","8","2","6","3","1","6","16.7","5","6","0","6","3","14","18","0",
"Ibrahim Afellay","nlNED","MF","Stoke City","engPremier League","31","1986","1.8","3","3","0","3","0","1","2","50.0","1","1","0","1","1","4","1","0",
"Benik Afobe","cdCOD","FW","Bournemouth","engPremier League","24","1993","6.8","4","3","1","2","1","1","6","16.7","5","4","0","4","0","4","6","0",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","21","1996","20.3","50","33","31","17","2","32","50","64.0","18","13","7","6","41","91","66","0",
"Imanol Agirretxe","esESP","FW","Real Sociedad","esLa Liga","30","1987","2.6","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","2","0",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","29","1988","21.8","9","6","2","6","1","2","17","11.8","15","12","1","11","6","15","3","0",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","24","1993","27.3","91","50","37","41","13","36","71","50.7","35","25","3","22","37","128","90","0",
"Matías Aguirregaray","uyURU","DF","Las Palmas","esLa Liga","28","1989","12.8","26","20","12","12","2","12","32","37.5","20","13","1","12","24","50","25","0",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","23","1994","33.4","70","34","32","37","1","17","55","30.9","38","29","7","22","75","145","58","1",
"Ailton","brBRA","DF,MF","Stuttgart","deBundesliga","22","1995","1.2","8","5","3","5","0","4","8","50.0","4","5","0","5","2","10","5","0",
"Youssef Aït Bennasser","maMAR","MF","Caen","frLigue 1","21","1996","22.7","47","28","17","27","3","15","64","23.4","49","35","2","33","32","79","30","0",
