Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","21","1999","2","11","6","0.3","0.1","0","","0","2","6","18","2.00","0","0","0","0.00","+0.24","0.0","0.2","-0.2","-1.75","-1.81",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","29","1990","22","1,777","81","52.0","19.7","20","88","19","2","11","11","1.05","19","36","-17","-0.86","-0.42","17.1","30.9","-13.8","-0.70","-0.13",
"Basit Abdallah","ghGHA","MF","Benevento","itSerie A","20","1999","0","","","","","0","","0","0","","13","","","","","","","","","","","",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","32","1987","33","2,889","88","84.5","32.1","33","88","32","0","","0","1.18","37","39","-2","-0.06","+0.95","29.1","45.4","-16.2","-0.51","+1.20",
"Sabit Abdulai","ghGHA","MF","Getafe","esLa Liga","21","1999","3","60","20","1.8","0.7","0","","0","3","20","16","0.67","1","2","-1","-1.50","-1.13","0.9","1.4","-0.4","-0.65","-0.51",
"Eris Abedini","xkKVX","MF","Granada","esLa Liga","21","1998","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","27","1992","18","1,320","73","38.6","14.7","15","83","10","3","23","1","0.94","13","23","-10","-0.68","-0.77","16.2","22.8","-6.6","-0.45","-0.53",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","27","1993","38","2,963","78","86.6","32.9","32","85","22","6","40","0","1.11","42","53","-11","-0.33","+1.04","41.8","43.0","-1.2","-0.04","+0.52",
"Charles Abi","frFRA","FW,MF","Saint-Étienne","frLigue 1","20","2000","24","912","38","26.7","10.1","9","64","1","15","22","2","1.33","16","23","-7","-0.69","-0.51","15.5","16.1","-0.6","-0.06","-0.03",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","17","2003","1","2","2","0.1","0.0","0","","0","1","2","3","3.00","1","0","+1","+45.00","+44.71","0.4","0.0","+0.4","+17.75","+17.50",
