Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Pape Abou Cissé","snSEN","DF","Saint-Étienne","frLigue 1","24","1995","14","1,260","90","36.8","14.0","14","90","14","0","","1","1.64","21","18","+3","+0.21","+0.84","20.0","19.6","+0.4","+0.03","+0.10",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","21","1999","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","34","1986","14","1,222","87","39.9","13.6","14","87","12","0","","0","1.64","25","17","+8","+0.59","+0.20","24.9","15.8","+9.1","+0.67","+0.55",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","22","1997","22","1,040","47","30.4","11.6","12","74","7","10","15","8","1.77","23","12","+11","+0.95","+0.54","20.0","8.2","+11.8","+1.02","+0.25",
"Amir Abrashi","alALB","MF,DF","Freiburg","deBundesliga","30","1990","5","60","12","2.0","0.7","0","","0","5","12","7","2.40","1","1","0","0.00","0.00","1.0","1.3","-0.3","-0.44","-0.24",
"Gennaro Acampora","itITA","MF,FW","Spezia","itSerie A","26","1994","14","441","32","12.9","4.9","2","90","1","12","22","9","0.86","8","12","-4","-0.82","-0.33","6.1","9.3","-3.2","-0.64","-0.17",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","32","1988","32","2,813","88","82.3","31.3","32","88","30","0","","0","1.88","51","44","+7","+0.22","+0.37","48.6","39.2","+9.3","+0.30","+0.08",
"Ragnar Ache","deGER","FW,DF","Eint Frankfurt","deBundesliga","22","1998","7","100","14","3.3","1.1","0","","0","7","14","3","2.29","4","1","+3","+2.70","+2.30","1.9","2.2","-0.2","-0.22","-0.58",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","28","1991","30","2,330","78","68.1","25.9","26","83","22","4","46","1","1.97","37","28","+9","+0.35","-0.56","41.1","23.8","+17.3","+0.67","+0.48",
"Che Adams","sctSCO","FW","Southampton","engPremier League","24","1996","36","2,667","74","78.0","29.6","30","84","16","6","25","0","1.11","39","51","-12","-0.40","+0.67","32.1","37.4","-5.3","-0.18","+0.60",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","21","1999","27","1,850","69","60.5","20.6","21","83","13","6","20","1","2.11","35","19","+16","+0.78","-0.11","37.0","18.7","+18.2","+0.89","-0.36",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","27","1993","18","479","27","15.7","5.3","3","77","1","15","16","6","1.50","13","6","+7","+1.32","+1.63","11.1","10.4","+0.7","+0.13","+0.20",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","22","1997","33","2,953","89","86.3","32.8","33","89","32","0","","1","0.85","24","41","-17","-0.52","+1.22","35.8","46.2","-10.4","-0.32","+0.01",
"Enzo Adeagbo","chSUI","DF","Lazio","itSerie A","18","2002","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Bobby Adekanye","nlNED","FW,MF","Lazio","itSerie A","21","1999","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Bobby Adekanye","nlNED","FW,MF","Cádiz","esLa Liga","21","1999","3","36","12","1.1","0.4","0","","0","3","12","6","2.33","0","0","0","0.00","+0.59","0.9","0.5","+0.4","+0.91","+1.46",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","20","2000","35","2,418","69","70.7","26.9","25","84","16","10","32","0","1.17","28","47","-19","-0.71","-1.16","30.4","40.4","-9.9","-0.37","-0.24",
"Andrea Adorante","itITA","FW","Parma","itSerie A","20","2000","1","10","10","0.3","0.1","0","","0","1","10","5","0.00","0","1","-1","-9.00","-7.87","0.0","0.9","-0.8","-7.55","-7.08",
"Adrián","esESP","GK","Liverpool","engPremier League","33","1987","3","270","90","7.9","3.0","3","90","3","0","","27","1.33","6","9","-3","-1.00","-1.83","7.1","4.6","+2.4","+0.81","+0.17",
"Martin Agirregabiria","esESP","DF,MF","Alavés","esLa Liga","24","1996","26","1,558","60","45.6","17.3","16","83","11","10","24","12","1.12","19","31","-12","-0.69","-0.26","16.7","26.0","-9.3","-0.54","-0.63",
"Giuseppe Agostino","itITA","GK","Genoa","itSerie A","17","2002","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Lucien Agoume","frFRA","MF","Spezia","itSerie A","18","2002","12","800","67","23.4","8.9","9","84","6","3","13","22","1.08","14","14","0","0.00","+0.69","12.6","16.1","-3.5","-0.39","+0.13",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","20","1999","15","701","47","22.9","7.8","8","76","5","7","13","16","1.00","12","15","-3","-0.39","+0.30","8.7","14.8","-6.1","-0.78","-0.24",
"Kevin Agudelo","coCOL","FW","Spezia","itSerie A","21","1998","29","1,356","47","39.6","15.1","14","72","4","15","23","8","1.03","26","26","0","0.00","+0.87","19.6","22.8","-3.3","-0.22","+0.46",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","24","1996","35","3,147","90","92.0","35.0","35","90","34","0","","0","1.54","46","36","+10","+0.29","-0.37","41.7","35.0","+6.7","+0.19","-0.79",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","32","1988","12","559","47","16.3","6.2","7","69","2","5","16","7","2.42","11","4","+7","+1.13","-0.26","10.9","4.5","+6.4","+1.03","+0.04",
"Ruben Aguilar","frFRA","DF,MF","Monaco","frLigue 1","27","1993","33","2,225","67","65.1","24.7","27","79","15","6","14","2","1.97","37","30","+7","+0.28","-1.75","38.2","24.8","+13.4","+0.54","-1.02",
"Naouirou Ahamada","frFRA","MF","Stuttgart","deBundesliga","18","2002","6","252","42","8.2","2.8","3","43","0","3","41","6","0.50","3","12","-9","-3.21","-3.53","4.9","7.0","-2.1","-0.75","-0.79",
"Sören Ahlers","deGER","GK","Schalke 04","deBundesliga","22","1997","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Matteo Ahlinvi","bjBEN","MF","Nîmes","frLigue 1","21","1999","20","899","45","26.3","10.0","10","77","5","10","13","14","0.75","5","21","-16","-1.60","-1.07","9.2","21.8","-12.6","-1.26","-0.96",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","26","1994","27","2,146","79","62.7","23.8","26","82","14","1","17","0","1.19","34","38","-4","-0.17","+0.19","34.0","35.3","-1.2","-0.05","-0.29",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","26","1994","2","36","18","1.1","0.4","0","","0","2","18","1","2.00","0","0","0","0.00","-0.90","0.2","0.5","-0.4","-0.93","-1.85",
"Antonis Aidonis","deGER","DF","Stuttgart","deBundesliga","19","2001","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","24","1995","25","1,289","52","37.7","14.3","14","80","11","11","15","10","1.76","26","22","+4","+0.28","+0.53","20.1","19.1","+1.0","+0.07","+0.14",
"Ola Aina","ngNGA","DF","Fulham","engPremier League","23","1996","31","2,664","86","77.9","29.6","31","86","24","0","","4","0.84","22","36","-14","-0.47","+0.96","30.4","42.0","-11.6","-0.39","-0.33",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","19","2001","21","1,404","67","41.1","15.6","16","83","10","5","15","8","1.00","16","23","-7","-0.45","-0.05","15.1","18.5","-3.4","-0.22","+0.21",
"Rayan Aït-Nouri","dzALG","DF","Angers","frLigue 1","19","2001","3","187","62","5.5","2.1","2","80","0","1","28","0","1.00","3","8","-5","-2.41","-2.04","2.0","5.7","-3.7","-1.79","-1.60",
"Semi Ajayi","ngNGA","DF","West Brom","engPremier League","26","1993","33","2,780","84","81.3","30.9","31","88","30","2","26","4","0.64","31","71","-40","-1.29","-1.15","26.1","58.7","-32.6","-1.06","-1.13",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","26","1994","35","2,967","85","86.8","33.0","34","87","28","1","25","1","1.20","46","49","-3","-0.09","+1.10","48.7","45.0","+3.7","+0.11","+0.43",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","25","1995","28","2,350","84","76.8","26.1","26","89","23","2","25","0","1.82","60","37","+23","+0.88","+0.12","53.4","30.9","+22.5","+0.86","+0.59",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","27","1993","13","865","67","25.3","9.6","10","74","7","3","41","14","1.46","10","8","+2","+0.21","+1.05","8.7","10.2","-1.5","-0.15","+0.52",
"Marley Aké","frFRA","FW,MF","Juventus","itSerie A","19","2001","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Marley Aké","frFRA","FW","Marseille","frLigue 1","19","2001","9","146","16","4.3","1.6","0","","0","9","16","11","1.56","3","3","0","0.00","-0.19","3.1","3.4","-0.4","-0.23","-0.23",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","25","1995","10","797","80","23.3","8.9","9","86","8","1","20","7","1.70","16","13","+3","+0.34","-1.31","15.6","9.4","+6.2","+0.70","-0.39",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","22","1997","10","378","38","11.1","4.2","4","75","1","6","13","21","1.50","6","3","+3","+0.71","+0.80","7.3","4.3","+3.0","+0.71","+0.73",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","27","1992","32","1,056","33","30.9","11.7","6","83","2","26","22","4","2.00","18","15","+3","+0.26","+0.14","15.0","13.8","+1.2","+0.11","-0.26",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","25","1995","16","1,184","74","38.7","13.2","14","83","10","2","14","2","1.06","21","22","-1","-0.08","-0.03","20.0","22.7","-2.7","-0.20","-0.27",
"David Alaba","atAUT","DF,MF","Bayern Munich","deBundesliga","28","1992","32","2,675","84","87.4","29.7","30","88","27","2","23","0","2.25","82","43","+39","+1.31","-2.43","62.7","37.5","+25.2","+0.85","-1.62",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","22","1998","22","1,505","68","44.0","16.7","17","84","9","5","17","9","0.77","22","34","-12","-0.72","+0.18","19.8","28.4","-8.6","-0.51","+0.07",
"Jony Álamo","esESP","MF","Elche","esLa Liga","18","2001","1","73","73","2.1","0.8","1","73","0","0","","15","1.00","2","1","+1","+1.23","+1.82","0.6","0.8","-0.2","-0.29","+0.54",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","27","1992","25","1,245","50","40.7","13.8","12","75","3","13","27","4","1.56","21","15","+6","+0.43","+0.04","17.6","15.3","+2.4","+0.17","-0.06",
"Fabrizio Alastra","itITA","GK","Parma","itSerie A","22","1997","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"David Alba","esESP","MF","Getafe","esLa Liga","21","1999","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Jordi Alba","esESP","DF,FW","Barcelona","esLa Liga","31","1989","35","3,025","86","88.5","33.6","34","88","28","1","45","1","2.14","79","34","+45","+1.34","+0.88","66.4","35.4","+31.1","+0.92","+0.55",
"Luis Alberto","esESP","MF","Lazio","itSerie A","27","1992","34","2,618","77","76.5","29.1","33","78","10","1","39","0","1.82","46","39","+7","+0.24","+0.35","45.6","34.2","+11.4","+0.39","+0.46",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","34","1985","35","3,115","89","91.1","34.6","35","89","31","0","","2","1.40","51","42","+9","+0.26","-1.81","51.1","38.8","+12.3","+0.35","-0.13",
"Julian Albrecht","deGER","MF","Hertha BSC","deBundesliga","18","2001","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Marc Albrighton","engENG","DF,FW","Leicester City","engPremier League","30","1989","31","1,746","56","51.1","19.4","17","80","9","14","27","7","1.90","36","22","+14","+0.72","+0.51","30.5","24.1","+6.4","+0.33","+0.15",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","26","1993","27","1,544","57","45.1","17.2","19","71","1","8","24","2","1.44","25","22","+3","+0.17","-0.45","23.5","19.1","+4.5","+0.26","-0.19",
"Pedro Alcalá","esESP","DF","Cádiz","esLa Liga","31","1989","13","909","70","26.6","10.1","8","87","7","5","42","20","0.77","12","25","-13","-1.29","-0.96","10.7","17.5","-6.8","-0.67","-0.17",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","29","1991","24","1,854","77","54.2","20.6","20","85","13","4","40","1","1.71","34","18","+16","+0.78","+0.20","38.5","22.2","+16.3","+0.79","+0.32",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","29","1991","30","2,165","72","63.3","24.1","25","82","15","5","22","1","0.90","24","39","-15","-0.62","-0.05","27.6","30.9","-3.3","-0.14","+0.55",
"Omar Alderete","pyPAR","DF","Hertha BSC","deBundesliga","23","1996","17","1,299","76","42.5","14.4","14","89","13","3","18","12","1.18","17","19","-2","-0.14","+0.32","18.7","17.9","+0.8","+0.06","+0.38",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","31","1989","25","2,240","90","65.5","24.9","25","90","24","0","","10","1.80","44","25","+19","+0.76","+0.46","33.9","29.4","+4.5","+0.18","+0.23",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","25","1995","22","827","38","24.2","9.2","6","69","0","16","26","12","1.36","10","13","-3","-0.33","+0.33","9.4","13.7","-4.2","-0.46","+0.11",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","22","1998","2","48","24","1.4","0.5","0","","0","2","24","14","3.00","1","0","+1","+1.87","+0.65","0.5","2.0","-1.4","-2.66","-3.57",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","22","1998","22","1,366","62","39.9","15.2","15","83","6","7","18","0","0.95","10","21","-11","-0.72","-0.55","16.5","15.3","+1.3","+0.08","+0.40",
"Kyle Alex John","engENG","DF,MF","Everton","engPremier League","19","2001","0","","","","","0","","","0","","6","","","","","","","","","","","",
"Rúnar Alex Rúnarsson","isISL","GK","Arsenal","engPremier League","25","1995","1","16","16","0.5","0.2","0","","0","1","16","21","0.00","0","0","0","0.00","-0.42","0.2","0.4","-0.3","-1.36","-1.60",
"Rúnar Alex Rúnarsson","isISL","GK","Dijon","frLigue 1","25","1995","0","","","","","0","","","0","","3","","","","","","","","","","","",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","21","1998","36","3,031","84","88.6","33.7","34","88","30","2","19","0","1.81","60","40","+20","+0.59","-0.79","61.2","37.5","+23.8","+0.71","+0.53",
"Alfon","esESP","MF","Celta Vigo","esLa Liga","21","1999","2","34","17","1.0","0.4","0","","0","2","17","3","0.50","0","0","0","0.00","+0.05","0.2","0.2","0.0","+0.07","+0.09",
"Alfonso","mzMOZ","DF,MF","Hoffenheim","deBundesliga","20","1999","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Mohamed Ali Cho","frFRA","FW,MF","Angers","frLigue 1","16","2004","21","348","17","10.2","3.9","1","65","0","20","14","10","0.67","5","8","-3","-0.78","-0.34","5.6","5.8","-0.2","-0.05","+0.26",
"Marco Alia","alALB","GK","Lazio","itSerie A","20","2000","0","","","","","0","","0","0","","31","","","","","","","","","","","",
"Ezgjan Alioski","mkMKD","DF,MF","Leeds United","engPremier League","28","1992","36","2,461","68","72.0","27.3","29","79","19","7","22","2","1.64","47","35","+12","+0.44","+0.81","45.0","41.3","+3.7","+0.13","+0.69",
"Rachid Alioui","maMAR","FW","Angers","frLigue 1","28","1992","1","15","15","0.4","0.2","0","","0","1","15","0","1.00","0","0","0","0.00","+0.48","0.0","0.0","0.0","+0.05","+0.33",
"Alisson","brBRA","GK","Liverpool","engPremier League","27","1992","33","2,970","90","86.8","33.0","33","90","33","0","","0","1.88","58","32","+26","+0.79","+0.79","58.2","36.7","+21.6","+0.65","+0.07",
"Saturnin Allagbé","bjBEN","GK","Dijon","frLigue 1","26","1993","12","1,080","90","31.6","12.0","12","90","12","0","","20","0.67","6","30","-24","-2.00","-1.08","10.8","23.1","-12.3","-1.03","-0.01",
"Allan","brBRA","MF","Everton","engPremier League","29","1991","24","2,051","85","60.0","22.8","23","88","21","1","33","2","1.54","27","30","-3","-0.13","-0.26","29.5","30.1","-0.6","-0.03","+0.23",
"Dele Alli","engENG","MF","Tottenham","engPremier League","24","1996","15","620","41","18.1","6.9","7","70","1","8","16","8","1.33","11","9","+2","+0.29","-0.38","11.0","8.8","+2.1","+0.31","+0.25",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","26","1994","34","2,429","71","71.0","27.0","28","82","12","6","20","2","1.18","30","48","-18","-0.67","-0.85","29.1","40.8","-11.7","-0.43","-0.14",
"Gael Alonso","esESP","DF","Celta Vigo","esLa Liga","18","2002","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","29","1990","13","960","74","28.1","10.7","11","84","9","2","20","9","2.08","15","13","+2","+0.19","-0.54","15.5","9.8","+5.7","+0.53","-0.43",
"Altube","esESP","GK","Real Madrid","esLa Liga","20","2000","0","","","","","0","","0","0","","35","","","","","","","","","","","",
"Fran Álvarez","esESP","MF","Valladolid","esLa Liga","22","1998","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Iker Álvarez","adAND","GK","Villarreal","esLa Liga","19","2001","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Sergio Álvarez","esESP","MF,DF","Eibar","esLa Liga","28","1992","27","1,568","58","45.8","17.4","17","84","12","10","15","11","0.89","10","28","-18","-1.03","-0.79","14.0","24.6","-10.6","-0.61","-1.10",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","25","1995","23","1,948","85","57.0","21.6","22","87","21","1","45","3","1.22","29","26","+3","+0.14","+0.08","26.0","24.3","+1.7","+0.08","-0.14",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","38","1981","19","1,632","86","47.7","18.1","18","90","18","1","12","11","0.58","10","39","-29","-1.60","-0.84","13.9","29.6","-15.6","-0.86","-0.71",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","21","1998","15","896","60","26.2","10.0","10","76","4","5","28","20","0.93","10","17","-7","-0.70","-0.74","11.3","11.2","+0.1","+0.01","-0.55",
"Ibrahim Amadou","frFRA","MF","Angers","frLigue 1","27","1993","24","1,504","63","44.0","16.7","20","72","7","4","15","0","1.25","13","19","-6","-0.36","+0.20","17.9","20.9","-3.0","-0.18","+0.18",
"Romain Amalfitano","frFRA","FW,DF","Dijon","frLigue 1","30","1989","2","116","58","3.4","1.3","1","70","0","1","46","0","0.00","1","4","-3","-2.33","-1.10","0.3","5.3","-5.0","-3.91","-2.99",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","18","2001","1","45","45","1.3","0.5","0","","0","1","45","9","0.00","1","2","-1","-2.00","-1.63","0.9","1.1","-0.2","-0.40","-0.24",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","25","1994","12","722","60","21.1","8.0","8","80","6","4","21","14","1.54","13","14","-1","-0.12","-0.76","9.9","9.1","+0.7","+0.09","-0.21",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","26","1994","13","813","63","23.8","9.0","10","80","7","3","3","2","2.31","16","6","+10","+1.11","+1.21","11.3","12.6","-1.3","-0.15","-0.18",
"Thierry Ambrose","gpGLP","FW","Metz","frLigue 1","23","1997","23","753","33","22.0","8.4","5","62","0","18","25","10","1.22","13","12","+1","+0.12","+0.29","9.6","11.5","-1.9","-0.23","-0.12",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","14","2005","1","2","2","0.1","0.0","0","","0","1","2","2","0.00","0","0","0","0.00","+0.37","0.0","0.0","0.0","+1.11","+1.32",
"Bruno Amione","arARG","DF","Hellas Verona","itSerie A","18","2002","0","","","","","0","","0","0","","13","","","","","","","","","","","",
"Nadiem Amiri","deGER","MF","Leverkusen","deBundesliga","23","1996","29","1,890","65","61.8","21.0","20","85","14","9","21","0","1.62","39","24","+15","+0.71","+0.79","27.6","23.7","+3.9","+0.19","-0.06",
"Yanis Ammour","frFRA","FW","Montpellier","frLigue 1","21","1999","0","","","","","0","","","0","","1","","","","","","","","","","","",
"Ethan Ampadu","wlsWAL","DF,MF","Sheffield Utd","engPremier League","19","2000","25","2,089","84","61.1","23.2","23","86","19","2","53","4","0.52","12","41","-29","-1.25","-0.30","20.1","39.1","-19.0","-0.82","-0.10",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","23","1996","31","2,441","79","71.4","27.1","28","86","21","3","11","4","1.06","33","44","-11","-0.41","-0.31","33.4","44.0","-10.6","-0.39","+0.16",
"Jon Ander Garrido","esESP","MF","Cádiz","esLa Liga","30","1989","23","800","35","23.4","8.9","7","73","2","16","18","13","1.17","6","18","-12","-1.35","-1.01","8.6","18.9","-10.4","-1.17","-0.81",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","24","1996","31","2,730","88","79.8","30.3","30","89","29","1","59","0","0.87","22","35","-13","-0.43","+1.27","33.4","39.9","-6.5","-0.21","+0.52",
"Joachim Andersen","dkDEN","DF","Lyon","frLigue 1","24","1996","3","192","64","5.6","2.1","2","90","2","1","12","3","1.33","1","2","-1","-0.47","-1.56","4.4","2.0","+2.3","+1.09","+0.04",
"Djavan Anderson","srSUR","DF","Lazio","itSerie A","25","1995","3","72","24","2.1","0.8","1","45","0","2","14","13","1.00","0","2","-2","-2.50","-2.72","0.4","0.7","-0.3","-0.37","-0.67",
"Elliot Anderson","engENG","MF","Newcastle Utd","engPremier League","17","2002","1","4","4","0.1","0.0","0","","0","1","4","8","0.00","0","0","0","0.00","+0.42","0.0","0.2","-0.2","-3.66","-3.27",
"Felipe Anderson","brBRA","FW,MF","West Ham","engPremier League","27","1993","2","3","2","0.1","0.0","0","","0","2","2","2","0.00","0","0","0","0.00","-0.40","0.0","0.2","-0.1","-4.35","-4.53",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","29","1991","16","1,126","70","36.8","12.5","14","79","4","2","10","1","0.69","14","23","-9","-0.72","+0.07","19.2","18.4","+0.8","+0.07","+0.71",
"Florin Andone","roROU","FW","Brighton","engPremier League","27","1993","0","","","","","0","","","0","","1","","","","","","","","","","","",
"Nícolas Andrade","brBRA","GK","Udinese","itSerie A","32","1988","2","180","90","5.3","2.0","2","90","2","0","","3","1.50","5","5","0","0.00","+0.44","3.9","2.1","+1.8","+0.91","+1.15",
"Benjamin André","frFRA","MF","Lille","frLigue 1","29","1990","35","2,885","82","84.4","32.1","35","82","17","0","","0","2.20","47","17","+30","+0.94","-0.91","36.1","23.1","+13.0","+0.41","-0.54",
"Marcos André","brBRA","FW","Valladolid","esLa Liga","23","1996","23","1,177","51","34.4","13.1","11","78","6","12","27","0","0.74","16","21","-5","-0.38","+0.34","18.8","20.5","-1.7","-0.13","+0.32",
"Lluis Andreu","esESP","GK","Elche","esLa Liga","21","1999","0","","","","","0","","0","0","","11","","","","","","","","","","","",
"Robert Andrich","deGER","MF","Union Berlin","deBundesliga","25","1994","29","2,526","87","82.5","28.1","29","87","26","0","","0","1.45","43","32","+11","+0.39","+1.07","42.0","33.4","+8.6","+0.31","+1.07",
"Victorien Angban","ciCIV","MF","Metz","frLigue 1","23","1996","26","1,672","64","48.9","18.6","21","76","7","5","15","8","1.50","21","23","-2","-0.11","0.00","19.9","21.1","-1.2","-0.06","+0.14",
"Ángel","esESP","GK","Granada","esLa Liga","18","2002","1","90","90","2.6","1.0","1","90","1","0","","0","0.00","0","2","-2","-2.00","-1.57","0.8","3.4","-2.5","-2.54","-2.20",
"José Ángel","esESP","DF","Eibar","esLa Liga","30","1989","14","901","64","26.3","10.0","11","76","5","3","23","5","0.64","5","18","-13","-1.30","-0.94","12.6","9.6","+3.0","+0.30","+0.43",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","36","1984","0","","","","","0","","0","0","","17","","","","","","","","","","","",
"Miguel Ángel Rubio","esESP","DF","Valladolid","esLa Liga","22","1998","2","135","68","3.9","1.5","1","90","1","1","45","9","0.50","1","3","-2","-1.33","-0.76","1.3","3.8","-2.5","-1.65","-1.37",
"Angeliño","esESP","DF,FW","RB Leipzig","deBundesliga","23","1997","26","2,161","83","70.6","24.0","24","87","18","2","38","2","1.88","43","20","+23","+0.96","+0.46","46.2","19.6","+26.5","+1.11","+0.26",
"Davide Angelo Ghislandi","itITA","DF","Atalanta","itSerie A","19","2001","1","5","5","0.1","0.1","0","","0","1","5","5","3.00","0","0","0","0.00","-1.13","0.1","0.0","+0.1","+1.20","+0.31",
"Faustino Anjorin","engENG","MF","Chelsea","engPremier League","18","2001","0","","","","","0","","","0","","3","","","","","","","","","","","",
"Peter Ankersen","dkDEN","DF","Genoa","itSerie A","29","1990","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Philip Ankhrah","ghGHA","MF","Hellas Verona","itSerie A","17","2002","1","13","13","0.4","0.1","0","","0","1","13","3","1.00","0","0","0","0.00","+0.05","0.1","0.6","-0.5","-3.71","-3.61",
"Ebenezer Annan","ghGHA","DF","Bologna","itSerie A","17","2002","0","","","","","0","","0","0","","4","","","","","","","","","","","",
