Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","28","1993","13","331","25","10.8","3.7","2","76","0","11","16","3","1.85","8","6","+2","+0.54","+0.68","7.7","4.3","+3.4","+0.92","+0.91",
"Tayo Adaramola","ieIRL","DF,MF","Crystal Palace","engPremier League","17","2003","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","17","2003","8","352","44","10.3","3.9","2","76","1","6","34","3","1.13","4","5","-1","-0.26","-0.26","3.4","4.9","-1.5","-0.39","-0.18",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","21","2000","25","1,256","50","41.0","14.0","13","75","3","12","23","0","1.76","24","23","+1","+0.07","-1.52","23.3","18.9","+4.4","+0.31","-0.40",
"Yacine Adli","frFRA","MF,FW","Bordeaux","frLigue 1","21","2000","36","2,260","63","66.1","25.1","25","78","10","11","28","1","0.75","33","59","-26","-1.04","-0.03","26.6","43.4","-16.8","-0.67","-0.27",
"Adrián","esESP","GK","Liverpool","engPremier League","34","1987","0","","","","","0","","0","0","","5","","","","","","","","","","","",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","24","1997","12","443","37","13.0","4.9","4","76","2","8","18","4","1.42","3","2","+1","+0.20","+0.57","4.6","7.8","-3.2","-0.65","-0.52",
"Felix Afena-Gyan","ghGHA","FW,MF","Roma","itSerie A","18","2003","17","668","39","19.5","7.4","6","66","0","11","25","8","1.65","13","9","+4","+0.54","+0.15","11.2","7.0","+4.2","+0.56","-0.18",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","25","1996","24","1,616","67","47.3","18.0","17","83","11","7","28","13","0.96","13","31","-18","-1.00","-0.20","16.7","26.7","-10.1","-0.56","-0.08",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4","360","90","10.5","4.0","4","90","4","0","","10","1.25","5","5","0","0.00","-0.21","4.2","5.3","-1.1","-0.27","-0.63",
"Vittorio Agostinelli","itITA","MF","Fiorentina","itSerie A","19","2002","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Lucien Agoume","frFRA","MF","Inter","itSerie A","19","2002","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Lucien Agoume","frFRA","MF","Brest","frLigue 1","19","2002","27","1,868","69","54.6","20.8","21","83","13","6","21","4","1.30","27","32","-5","-0.24","-0.07","27.5","31.5","-3.9","-0.19","+0.33",
"Kevin Agudelo","coCOL","FW,MF","Genoa","itSerie A","22","1998","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","22","1998","23","1,237","54","36.2","13.7","12","77","3","11","28","0","0.91","16","23","-7","-0.51","+0.44","15.2","23.7","-8.4","-0.61","+0.04",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","25","1996","31","2,735","88","80.0","30.4","31","88","28","0","","0","1.94","66","29","+37","+1.22","+0.56","49.4","33.1","+16.2","+0.53","+0.06",
"Sergio Agüero","arARG","FW","Barcelona","esLa Liga","33","1988","4","151","38","4.4","1.7","2","65","1","2","11","0","1.00","1","2","-1","-0.60","-1.45","3.4","1.7","+1.7","+1.01","+0.26",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","28","1993","28","2,140","76","62.6","23.8","22","88","19","6","33","8","1.96","44","24","+20","+0.84","+0.49","37.2","25.0","+12.2","+0.51","+0.04",
"Álvaro Aguirre","esESP","FW","Rayo Vallecano","esLa Liga","21","2000","1","9","9","0.3","0.1","0","","0","1","9","0","0.00","0","0","0","0.00","+0.29","0.0","0.1","0.0","-0.43","-0.29",
"Naouirou Ahamada","frFRA","MF,DF","Stuttgart","deBundesliga","19","2002","3","61","20","2.0","0.7","0","","0","3","20","9","0.00","1","1","0","0.00","+0.54","0.8","0.7","+0.1","+0.17","+0.48",
"Aymeric Ahmed","kmCOM","MF","Strasbourg","frLigue 1","17","2003","0","","","","","0","","0","0","","4","","","","","","","","","","","",
"Anel Ahmedhodžić","baBIH","DF","Bordeaux","frLigue 1","22","1999","15","1,350","90","39.5","15.0","15","90","15","0","","0","0.67","18","38","-20","-1.33","-0.51","20.0","22.9","-2.9","-0.19","+0.63",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","27","1994","25","1,004","40","29.4","11.2","11","64","0","14","22","6","1.76","17","12","+5","+0.45","0.00","16.5","12.7","+3.7","+0.33","+0.02",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","25","1995","32","2,637","82","77.1","29.3","30","87","24","2","7","3","1.22","35","31","+4","+0.14","+0.60","34.1","33.1","+1.0","+0.03","+0.44",
"Ola Aina","ngNGA","DF","Torino","itSerie A","24","1996","21","1,437","68","42.0","16.0","17","80","7","4","19","12","1.29","17","19","-2","-0.13","-0.44","19.9","16.5","+3.5","+0.22","-0.07",
"Rayan Aït-Nouri","dzALG","DF,MF","Wolves","engPremier League","20","2001","23","1,828","79","53.5","20.3","20","89","17","3","13","12","1.13","25","26","-1","-0.05","+0.18","18.6","33.6","-15.0","-0.74","-0.49",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","23","1998","24","1,995","83","58.3","22.2","23","85","17","1","45","3","1.29","28","31","-3","-0.14","+0.18","27.7","29.8","-2.1","-0.09","-0.05",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","27","1994","36","2,738","76","80.1","30.4","31","84","20","5","26","0","1.64","46","36","+10","+0.33","-0.60","44.6","34.1","+10.5","+0.35","+0.13",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","26","1995","26","2,261","87","73.9","25.1","25","89","23","1","45","0","2.00","64","44","+20","+0.80","-0.67","47.9","38.0","+10.0","+0.40","-0.48",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","28","1993","25","1,844","74","53.9","20.5","21","84","14","4","21","5","1.08","15","27","-12","-0.59","-0.36","21.0","25.1","-4.1","-0.20","+0.07",
"Marley Aké","frFRA","FW,MF","Juventus","itSerie A","20","2001","4","77","19","2.3","0.9","0","","0","4","19","8","0.50","1","4","-3","-3.51","-4.13","0.7","3.4","-2.7","-3.16","-3.59",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","26","1995","14","923","66","27.0","10.3","10","82","8","4","25","22","2.64","19","3","+16","+1.56","-0.49","20.3","5.3","+15.0","+1.46","-0.31",
"Ilias Akhomach","maMAR","FW","Barcelona","esLa Liga","17","2004","2","124","62","3.6","1.4","2","62","0","0","","3","3.00","1","0","+1","+0.73","-0.07","1.8","0.3","+1.4","+1.04","+0.29",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","19","2002","7","54","8","1.6","0.6","0","","0","7","8","4","1.57","1","2","-1","-1.67","-2.36","1.0","1.2","-0.2","-0.37","-0.88",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","23","1997","8","516","65","15.1","5.7","6","82","2","2","11","19","1.38","7","3","+4","+0.70","+0.14","5.8","4.6","+1.3","+0.22","-0.06",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","28","1992","10","315","32","9.2","3.5","4","62","0","6","11","21","1.50","6","8","-2","-0.57","-1.18","2.5","6.0","-3.5","-1.01","-1.33",
"Kevin Akpoguma","ngNGA","DF,FW","Hoffenheim","deBundesliga","26","1995","26","1,527","59","49.9","17.0","19","71","5","7","24","4","1.50","33","30","+3","+0.18","+0.47","28.4","26.6","+1.8","+0.11","0.00",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","29","1992","30","2,642","88","77.3","29.4","30","88","27","0","","0","2.30","60","26","+34","+1.16","-0.58","53.3","31.4","+21.9","+0.75","+0.06",
"Sofiane Alakouch","maMAR","DF,MF","Metz","frLigue 1","23","1998","4","158","40","4.6","1.8","0","","0","4","40","13","1.00","0","2","-2","-1.14","-0.26","1.6","3.2","-1.6","-0.92","-0.04",
"Jony Álamo","esESP","MF","Elche","esLa Liga","19","2001","0","","","","","0","","0","0","","8","","","","","","","","","","","",
"Tomás Alarcón","clCHI","MF","Cádiz","esLa Liga","22","1999","23","1,425","62","41.7","15.8","16","81","9","7","19","5","0.96","12","23","-11","-0.69","-0.47","12.8","21.4","-8.6","-0.54","-0.54",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","28","1992","27","655","24","21.4","7.3","5","79","3","22","12","2","1.74","17","9","+8","+1.10","+0.16","16.8","8.5","+8.3","+1.13","+0.75",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","32","1989","30","2,644","88","77.3","29.4","30","88","26","0","","1","2.00","54","32","+22","+0.75","-0.18","50.4","28.2","+22.2","+0.76","-0.03",
"Josué Albert","gfGUF","DF","Clermont Foot","frLigue 1","29","1992","2","22","11","0.6","0.2","0","","0","2","11","15","0.50","0","1","-1","-4.09","-3.30","1.0","0.3","+0.7","+2.85","+3.08",
"Luis Alberto","esESP","MF","Lazio","itSerie A","28","1992","34","2,353","69","68.8","26.1","27","80","11","7","29","1","1.74","51","35","+16","+0.61","+0.36","37.3","29.0","+8.2","+0.32","+0.37",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","35","1985","28","2,465","88","72.1","27.4","28","88","26","0","","6","1.50","42","25","+17","+0.62","-0.23","42.3","29.6","+12.8","+0.47","-0.16",
"Julian Albrecht","deGER","MF","Hertha BSC","deBundesliga","19","2001","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Marc Albrighton","engENG","FW,DF","Leicester City","engPremier League","31","1989","17","1,132","67","33.1","12.6","11","90","11","6","24","17","1.35","17","24","-7","-0.56","-0.95","13.3","24.6","-11.3","-0.90","-0.89",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","27","1993","18","787","44","23.0","8.7","10","65","0","8","17","8","1.44","16","11","+5","+0.57","-0.15","13.9","10.9","+3.1","+0.35","-0.21",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","30","1991","25","1,534","61","44.9","17.0","17","80","5","8","22","1","2.64","43","7","+36","+2.11","+0.59","42.7","10.9","+31.9","+1.87","+0.77",
"Rubén Alcaraz","esESP","MF","Cádiz","esLa Liga","30","1991","14","1,105","79","32.3","12.3","12","87","10","2","31","0","1.21","10","12","-2","-0.16","+0.38","14.6","12.7","+1.9","+0.15","+0.56",
"Omar Alderete","pyPAR","DF","Valencia","esLa Liga","24","1996","29","2,403","83","70.3","26.7","28","84","20","1","45","3","1.21","32","34","-2","-0.07","+0.19","26.7","32.1","-5.4","-0.20","+0.10",
"Ryan Alebiosu","engENG","DF,MF","Arsenal","engPremier League","19","2001","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","26","1995","20","1,065","53","31.1","11.8","11","73","2","9","29","7","1.20","14","9","+5","+0.42","+1.23","11.8","12.4","-0.6","-0.05","+0.26",
"Pedro Alemañ","esESP","MF","Valencia","esLa Liga","19","2002","0","","","","","0","","0","0","","4","","","","","","","","","","","",
"Doğan Alemdar","trTUR","GK","Rennes","frLigue 1","18","2002","12","1,080","90","31.6","12.0","12","90","12","0","","7","1.58","29","13","+16","+1.33","+0.33","20.4","14.0","+6.4","+0.53","+0.01",
"Carles Aleñá","esESP","MF","Getafe","esLa Liga","23","1998","33","2,320","70","67.8","25.8","30","76","6","3","15","1","1.12","23","20","+3","+0.12","+1.02","18.0","23.5","-5.6","-0.22","+0.09",
"Ajibola Alese","engENG","DF","West Ham","engPremier League","20","2001","0","","","","","0","","0","0","","11","","","","","","","","","","","",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","22","1998","32","2,853","89","83.4","31.7","32","89","30","0","","2","2.38","80","22","+58","+1.83","+0.24","74.1","30.0","+44.1","+1.39","-0.32",
"Alfon","esESP","FW","Celta Vigo","esLa Liga","22","1999","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Ángel Algobia","esESP","MF","Getafe","esLa Liga","22","1999","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Mohamed Ali Cho","frFRA","FW","Angers","frLigue 1","17","2004","32","1,837","57","53.7","20.4","21","76","0","11","23","0","1.19","27","25","+2","+0.10","+0.84","26.2","23.8","+2.4","+0.12","+0.45",
"Rachid Alioui","maMAR","FW","Angers","frLigue 1","29","1992","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Alisson","brBRA","GK","Liverpool","engPremier League","28","1992","36","3,240","90","94.7","36.0","36","90","36","0","","0","2.44","87","24","+63","+1.75","-0.75","84.1","32.1","+52.0","+1.44","-0.02",
"Allan","brBRA","MF","Everton","engPremier League","30","1991","28","2,183","78","63.8","24.3","25","85","17","3","23","5","1.14","26","38","-12","-0.49","+0.31","27.5","32.8","-5.4","-0.22","+0.42",
"Jim Allevinah","gaGAB","FW","Clermont Foot","frLigue 1","26","1995","30","1,488","50","43.5","16.5","13","77","3","17","29","1","0.93","15","32","-17","-1.03","-0.38","18.8","23.4","-4.5","-0.27","-0.11",
"Dele Alli","engENG","MF","Tottenham","engPremier League","25","1996","10","657","66","19.2","7.3","8","80","5","2","11","9","1.40","6","13","-7","-0.96","-2.13","8.6","11.2","-2.6","-0.35","-1.15",
"Dele Alli","engENG","MF,FW","Everton","engPremier League","25","1996","11","338","31","9.9","3.8","1","66","0","10","27","7","0.91","7","10","-3","-0.80","-0.21","3.7","8.5","-4.7","-1.26","-0.98",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","27","1994","30","1,716","57","50.2","19.1","19","78","5","11","21","6","1.20","16","32","-16","-0.84","-0.73","16.6","30.6","-14.0","-0.73","-0.47",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","30","1990","28","2,167","77","63.4","24.1","25","83","16","3","28","6","1.64","42","22","+20","+0.83","-0.82","37.0","21.2","+15.9","+0.66","-0.36",
"Giorgio Altare","itITA","DF","Cagliari","itSerie A","22","1998","19","1,466","77","42.9","16.3","17","82","12","2","34","18","0.95","14","23","-9","-0.55","+0.60","17.6","24.8","-7.2","-0.44","+0.23",
"Gastón Álvarez","uyURU","DF","Getafe","esLa Liga","21","2000","0","","","","","0","","0","0","","15","","","","","","","","","","","",
"Hugo Álvarez","esESP","FW","Celta Vigo","esLa Liga","18","2003","1","11","11","0.3","0.1","0","","0","1","11","5","3.00","0","0","0","0.00","0.00","0.3","0.0","+0.3","+2.18","+2.26",
"Iker Álvarez","adAND","GK","Villarreal","esLa Liga","20","2001","0","","","","","0","","0","0","","10","","","","","","","","","","","",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","26","1995","22","1,860","85","54.4","20.7","21","88","20","1","15","6","1.23","20","20","0","0.00","-0.40","27.4","19.5","+7.9","+0.38","+0.19",
"Dani Alves","brBRA","DF","Barcelona","esLa Liga","38","1983","14","1,098","78","32.1","12.2","13","84","6","1","5","3","2.50","26","10","+16","+1.31","+0.77","20.1","10.7","+9.3","+0.76","0.00",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","22","1998","9","404","45","11.8","4.5","5","69","1","4","15","18","1.11","3","7","-4","-0.89","-0.95","3.5","7.0","-3.5","-0.78","-0.98",
"Ibrahim Amadou","frFRA","DF,MF","Metz","frLigue 1","28","1993","10","812","81","23.7","9.0","10","81","7","0","","1","0.40","3","13","-10","-1.11","-0.28","5.4","13.2","-7.8","-0.86","+0.02",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","19","2001","3","79","26","2.3","0.9","1","63","0","2","8","8","1.00","2","1","+1","+1.14","+1.38","0.6","1.0","-0.4","-0.42","-0.18",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","26","1994","28","2,123","76","62.1","23.6","23","88","22","5","20","6","1.50","35","40","-5","-0.21","-0.77","26.0","36.3","-10.3","-0.44","-0.35",
"Amath","snSEN","FW,MF","Mallorca","esLa Liga","25","1996","19","884","47","25.8","9.8","9","68","1","10","27","4","0.89","10","13","-3","-0.31","+0.55","11.3","11.9","-0.7","-0.07","+0.28",
"Jordan Amavi","frFRA","DF","Nice","frLigue 1","27","1994","8","413","52","12.1","4.6","4","77","1","4","27","5","2.25","9","3","+6","+1.31","+1.01","8.6","2.3","+6.2","+1.35","+1.14",
"Jordan Amavi","frFRA","DF,FW","Marseille","frLigue 1","27","1994","2","128","64","3.7","1.4","2","64","0","0","","14","1.00","1","1","0","0.00","-0.68","0.3","1.4","-1.2","-0.82","-1.38",
"Giuseppe Ambrosino","itITA","FW","Napoli","itSerie A","17","2003","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","15","2005","1","71","71","2.1","0.8","1","71","0","0","","4","3.00","1","0","+1","+1.27","+1.59","0.7","0.6","+0.1","+0.12","+0.33",
"Kelvin Amian","frFRA","DF","Spezia","itSerie A","23","1998","32","2,646","83","77.4","29.4","31","84","26","1","45","1","1.00","36","56","-20","-0.68","+0.48","32.4","48.0","-15.6","-0.53","+0.48",
"Nadiem Amiri","deGER","MF,FW","Genoa","itSerie A","24","1996","13","683","53","20.0","7.6","9","65","2","4","25","0","1.00","4","10","-6","-0.79","+0.10","7.6","10.3","-2.7","-0.35","+0.12",
"Nadiem Amiri","deGER","MF,FW","Leverkusen","deBundesliga","24","1996","13","369","28","12.1","4.1","3","80","1","10","13","5","2.00","6","6","0","0.00","-1.10","7.3","6.0","+1.3","+0.33","-0.25",
"Ethan Ampadu","wlsWAL","MF,DF","Venezia","itSerie A","20","2000","29","2,282","79","66.7","25.4","26","84","18","3","34","0","0.69","20","44","-24","-0.95","-0.08","22.2","47.5","-25.3","-1.00","-0.20",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","24","1996","23","944","41","27.6","10.5","8","84","6","15","18","8","1.78","12","13","-1","-0.10","-0.42","11.5","11.0","+0.5","+0.05","-0.64",
"Joachim Andersen","dkDEN","DF","Crystal Palace","engPremier League","25","1996","34","2,916","86","85.3","32.4","32","90","31","2","22","0","1.32","44","37","+7","+0.22","+0.75","40.4","35.8","+4.6","+0.14","-0.04",
"Elliot Anderson","engENG","MF","Newcastle Utd","engPremier League","18","2002","0","","","","","0","","0","0","","5","","","","","","","","","","","",
"Felipe Anderson","brBRA","FW","Lazio","itSerie A","28","1993","38","2,888","76","84.4","32.1","33","82","16","5","36","0","1.68","61","50","+11","+0.34","-1.01","47.6","39.9","+7.7","+0.24","+0.24",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","30","1991","26","1,257","48","41.1","14.0","13","77","3","13","20","1","1.38","15","17","-2","-0.14","-0.39","19.2","20.8","-1.6","-0.12","-0.17",
"Florin Andone","roROU","FW","Brighton","engPremier League","28","1993","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Florin Andone","roROU","FW","Cádiz","esLa Liga","28","1993","5","176","35","5.1","2.0","1","66","0","4","28","14","0.20","1","7","-6","-3.07","-2.79","1.2","4.4","-3.2","-1.63","-1.48",
"Andrés Andrade Cedeño","paPAN","DF","Arminia","deBundesliga","22","1998","17","1,046","62","34.2","11.6","12","81","9","5","15","9","1.00","12","18","-6","-0.52","+0.38","8.2","21.4","-13.2","-1.14","-0.09",
"Benjamin André","frFRA","MF","Lille","frLigue 1","30","1990","33","2,752","83","80.5","30.6","33","83","21","0","","0","1.36","35","41","-6","-0.20","-1.00","40.5","30.4","+10.1","+0.33","+0.27",
"Fredrik André Bjørkan","noNOR","DF","Hertha BSC","deBundesliga","22","1998","9","353","39","11.5","3.9","2","90","2","7","25","1","0.56","4","16","-12","-3.06","-2.33","4.4","11.7","-7.3","-1.87","-1.41",
"Marcos André","brBRA","FW,MF","Valencia","esLa Liga","24","1996","29","973","34","28.5","10.8","8","76","2","21","18","3","1.31","19","16","+3","+0.28","+0.57","13.6","12.9","+0.8","+0.07","+0.42",
"Lorenzo Andrenacci","itITA","GK","Genoa","itSerie A","26","1995","0","","","","","0","","0","0","","6","","","","","","","","","","","",
"Lluis Andreu","esESP","GK","Elche","esLa Liga","22","1999","0","","","","","0","","0","0","","16","","","","","","","","","","","",
"Robert Andrich","deGER","MF","Leverkusen","deBundesliga","26","1994","26","1,817","70","59.4","20.2","21","81","14","5","22","1","1.92","48","31","+17","+0.84","-0.32","34.3","24.6","+9.7","+0.48","-0.17",
"Ángel","esESP","GK","Granada","esLa Liga","19","2002","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"José Ángel","esESP","DF","Osasuna","esLa Liga","31","1989","23","1,083","47","31.7","12.0","12","78","4","11","13","12","1.04","14","20","-6","-0.50","-0.19","13.6","22.0","-8.4","-0.70","-0.65",
"Vincent Angelini","sctSCO","GK","Watford","engPremier League","17","2003","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Angeliño","esESP","DF","RB Leipzig","deBundesliga","24","1997","29","2,298","79","75.1","25.5","26","86","21","3","20","2","1.66","48","31","+17","+0.67","-1.46","45.5","30.8","+14.6","+0.57","-0.59",
"Samuele Angori","itITA","DF,MF","Torino","itSerie A","17","2003","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Ebenezer Annan","ghGHA","DF","Bologna","itSerie A","18","2002","1","25","25","0.7","0.3","0","","0","1","25","2","0.00","0","1","-1","-3.60","-3.33","0.4","0.7","-0.3","-0.97","-0.77",
"Cristian Ansaldi","arARG","DF","Torino","itSerie A","34","1986","19","691","36","20.2","7.7","5","74","2","14","23","10","1.21","12","12","0","0.00","-0.16","9.6","11.0","-1.4","-0.18","-0.55",
"Janis Antiste","frFRA","FW","Spezia","itSerie A","18","2002","18","796","44","23.3","8.8","9","70","2","9","18","17","0.72","8","23","-15","-1.70","-1.18","13.1","14.3","-1.3","-0.14","+0.65",
"Andrei Anton","itITA","DF","Torino","itSerie A","17","2003","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Waldemar Anton","deGER","DF","Stuttgart","deBundesliga","25","1996","29","2,595","89","84.8","28.8","29","89","27","0","","0","1.07","35","48","-13","-0.45","+0.52","38.2","44.8","-6.6","-0.23","+0.46",
"Josep Antoni Gayá","esESP","DF","Mallorca","esLa Liga","21","2000","1","58","58","1.7","0.6","1","58","0","0","","17","0.00","1","4","-3","-4.66","-4.01","0.8","1.9","-1.1","-1.73","-1.48",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","31","1990","36","2,971","83","86.9","33.0","34","85","23","2","33","1","1.56","55","43","+12","+0.36","+0.96","45.8","43.7","+2.1","+0.06","+0.91",
"Christopher Antwi-Adjei","ghGHA","FW,MF","Bochum","deBundesliga","27","1994","25","1,130","45","36.9","12.6","12","77","3","13","16","4","1.04","13","18","-5","-0.40","+0.02","15.4","20.3","-4.9","-0.42","+0.04",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","23","1998","36","2,504","70","73.2","27.8","29","81","17","7","21","0","1.64","47","37","+10","+0.36","-0.13","50.8","41.7","+9.2","+0.33","+0.01",
