Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Max Aarons","engENG","DF","Norwich City","engPremier League","21","2000","34","2,881","85","84.2","32.0","32","89","29","2","22","2","0.53","18","69","-51","-1.59","+0.08","25.5","60.0","-34.6","-1.08","+0.35",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","33","1987","34","2,983","88","87.2","33.1","34","88","33","0","","0","1.12","38","41","-3","-0.09","-0.50","31.8","41.3","-9.5","-0.29","-0.46",
"Salis Abdul Samed","ghGHA","MF","Clermont Foot","frLigue 1","21","2000","31","2,462","79","72.0","27.4","29","82","19","2","38","1","1.10","26","44","-18","-0.66","+0.56","28.9","36.2","-7.3","-0.27","-0.20",
"Suleiman Abdullahi","ngNGA","FW,MF","Union Berlin","deBundesliga","24","1996","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","28","1993","34","2,956","87","86.4","32.8","34","87","26","0","","0","0.82","27","59","-32","-0.97","-1.75","35.5","45.7","-10.2","-0.31","-0.50",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","21","2000","1","45","45","1.3","0.5","1","45","0","0","","0","1.00","0","0","0","0.00","+0.93","0.5","0.3","+0.2","+0.40","+0.94",
"Dickson Abiama","ngNGA","FW","Greuther Fürth","deBundesliga","22","1998","24","726","30","23.7","8.1","5","79","2","19","17","8","0.46","8","29","-21","-2.60","-1.33","6.6","17.6","-11.0","-1.36","-0.62",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","18","2003","7","103","15","3.0","1.1","1","45","0","6","10","9","1.14","0","1","-1","-0.87","-2.04","0.9","1.8","-1.0","-0.86","-1.42",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","22","1999","0","","","","","0","","0","0","","16","","","","","","","","","","","",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","23","1997","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Tammy Abraham","engENG","FW","Roma","itSerie A","23","1997","37","3,084","83","90.2","34.3","36","85","23","1","32","0","1.70","54","38","+16","+0.47","+0.47","59.3","33.2","+26.1","+0.76","+0.59",
"Luis Abram","pePER","DF","Granada","esLa Liga","25","1996","8","560","70","16.4","6.2","6","80","4","2","39","12","1.38","8","5","+3","+0.48","+1.11","5.2","7.2","-1.9","-0.31","+0.33",
"Salim Abubakar","neNIG","MF","Sassuolo","itSerie A","18","2003","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","33","1988","30","2,536","85","74.2","28.2","29","87","27","1","7","0","1.67","59","48","+11","+0.39","-0.42","38.1","35.9","+2.1","+0.08","-0.48",
"Ragnar Ache","deGER","MF,FW","Eint Frankfurt","deBundesliga","23","1998","13","259","20","8.5","2.9","1","72","0","12","16","6","1.23","5","4","+1","+0.35","+0.51","3.7","4.7","-1.0","-0.35","-0.21",
"Mohamed Achi","frFRA","MF","Nantes","frLigue 1","19","2002","1","10","10","0.3","0.1","0","","0","1","10","4","1.00","0","0","0","0.00","-0.18","0.0","0.0","0.0","+0.14","+0.33",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","29","1991","31","2,260","73","66.1","25.1","26","83","17","5","22","1","1.87","32","13","+19","+0.76","+0.45","29.6","19.2","+10.4","+0.41","+0.80",
"Marius Adamonis","ltLTU","GK","Lazio","itSerie A","24","1997","0","","","","","0","","0","0","","36","","","","","","","","","","","",
"Che Adams","sctSCO","FW","Southampton","engPremier League","25","1996","30","2,039","68","59.6","22.7","23","82","13","7","22","4","1.03","25","40","-15","-0.66","-0.08","28.5","36.1","-7.7","-0.34","+0.16",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","22","1999","24","1,351","56","44.2","15.0","12","84","8","12","29","6","1.88","27","14","+13","+0.87","-0.29","28.5","18.6","+10.0","+0.66","-0.10",
