Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","19","1999","3","204","68","6.0","2.3","3","68","1","0","","7","0.33","0","2","-2","-0.88","-1.22","1.3","3.1","-1.8","-0.80","-0.57",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","27","1990","36","3,195","89","93.4","35.5","36","89","33","0","","2","1.19","44","46","-2","-0.06","-0.06","44.1","46.3","-2.2","-0.06","+0.07",
"Ignazio Abate","itITA","DF","Milan","itSerie A","31","1986","19","1,302","69","38.1","14.5","15","82","8","4","17","19","2.11","22","13","+9","+0.62","+0.20","19.9","14.2","+5.7","+0.40","+0.32",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","30","1987","38","3,420","90","100.0","38.0","38","90","38","0","","0","1.45","39","42","-3","-0.08","","38.1","45.0","-6.9","-0.18","",
"Aymen Abdennour","tnTUN","DF","Marseille","frLigue 1","28","1989","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","25","1992","26","2,023","78","59.2","22.5","23","84","16","3","28","1","0.81","18","30","-12","-0.53","+0.56","22.2","31.3","-9.2","-0.41","+0.19",
"Charles Abi","frFRA","DF,FW","Saint-Étienne","frLigue 1","18","2000","3","32","11","0.9","0.4","0","","0","3","11","4","1.67","0","0","0","0.00","-0.48","1.0","1.3","-0.2","-0.67","-0.84",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","32","1986","17","1,420","84","46.4","15.8","17","84","15","0","","3","1.35","28","29","-1","-0.06","-0.78","25.9","26.6","-0.6","-0.04","-0.43",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","28","1990","10","790","79","25.8","8.8","9","85","7","1","22","2","1.20","10","15","-5","-0.57","-0.17","8.0","16.2","-8.2","-0.93","-0.45",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","30","1988","37","3,309","89","96.8","36.8","37","89","36","0","","0","1.59","55","44","+11","+0.30","+1.11","58.7","45.2","+13.6","+0.37","+0.46",
"Afriyie Acquah","ghGHA","MF","Empoli","itSerie A","26","1992","28","1,510","54","44.2","16.8","19","73","5","9","14","6","1.11","20","29","-9","-0.54","-0.07","18.4","25.2","-6.8","-0.41","-0.20",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","19","1999","10","721","72","23.6","8.0","8","85","6","2","23","1","2.10","18","2","+16","+2.00","+1.30","17.3","6.9","+10.4","+1.30","+0.73",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","31","1987","1","90","90","2.6","1.0","1","90","1","0","","35","2.00","5","4","+1","+1.00","+0.32","1.9","2.7","-0.8","-0.80","-0.96",
"Aday","esESP","DF,MF","Girona","esLa Liga","30","1987","10","645","65","18.9","7.2","8","76","4","2","18","0","1.20","10","10","0","0.00","+0.52","9.4","9.5","-0.1","-0.01","+0.28",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","33","1985","23","1,994","87","58.3","22.2","22","89","20","1","45","10","0.91","16","32","-16","-0.72","-0.41","18.3","28.1","-9.7","-0.44","-0.14",
"Claud Adjapong","itITA","MF,FW","Sassuolo","itSerie A","20","1998","5","270","54","7.9","3.0","3","81","1","2","14","21","1.40","3","2","+1","+0.33","+0.56","2.2","4.1","-2.0","-0.65","-0.46",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","18","2000","7","216","31","6.3","2.4","2","71","0","5","15","3","0.57","0","2","-2","-0.83","-0.66","2.0","2.9","-1.0","-0.40","-0.04",
"Ali Adnan Kadhim","iqIRQ","DF","Atalanta","itSerie A","24","1993","3","166","55","4.9","1.8","2","76","1","1","14","13","0.33","3","5","-2","-1.08","-2.00","3.5","2.9","+0.6","+0.34","-0.51",
"Amir Adouyev","ruRUS","MF","Montpellier","frLigue 1","19","1999","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Adrián","esESP","GK","West Ham","engPremier League","31","1987","0","","","","","0","","0","0","","38","","","","","","","","","","","",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","37","1981","20","943","47","27.6","10.5","10","80","4","10","14","3","1.15","6","14","-8","-0.76","-0.91","11.4","13.2","-1.8","-0.17","-0.16",
"Luis Advíncula","pePER","DF","Rayo Vallecano","esLa Liga","28","1990","28","2,389","85","69.9","26.5","27","88","24","1","14","6","0.86","33","48","-15","-0.57","+0.66","33.1","41.2","-8.1","-0.30","-0.02",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","22","1996","27","2,032","75","59.4","22.6","23","88","18","4","5","4","1.37","24","30","-6","-0.27","+0.06","24.4","31.6","-7.2","-0.32","-0.01",
"Nayef Aguerd","maMAR","DF","Dijon","frLigue 1","22","1996","13","1,050","81","30.7","11.7","12","87","10","1","3","7","0.85","11","17","-6","-0.51","+0.36","11.1","15.9","-4.8","-0.41","+0.11",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","30","1988","33","2,459","75","71.9","27.3","31","78","8","2","27","1","2.61","72","15","+57","+2.09","+0.68","58.9","17.7","+41.2","+1.51","-0.22",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","25","1993","29","2,528","87","73.9","28.1","29","87","26","0","","0","1.52","39","30","+9","+0.32","+0.12","37.7","31.8","+5.8","+0.21","-0.04",
"Juan Aguilera","esESP","MF","Huesca","esLa Liga","32","1985","6","344","57","10.1","3.8","4","64","1","2","45","20","0.17","1","5","-4","-1.05","-0.52","3.1","4.9","-1.8","-0.47","-0.24",
"Emmanuel Agyemang-Badu","ghGHA","MF","Udinese","itSerie A","27","1990","4","161","40","4.7","1.8","2","69","0","2","12","7","1.50","2","5","-3","-1.68","-1.37","1.8","4.9","-3.2","-1.77","-1.38",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","24","1994","17","1,075","63","31.4","11.9","12","77","7","5","31","5","1.00","10","13","-3","-0.25","+0.36","15.6","13.9","+1.7","+0.14","+0.32",
"Antonis Aidonis","deGER","DF","Stuttgart","deBundesliga","17","2001","2","80","40","2.6","0.9","1","80","0","1","0","4","1.50","0","2","-2","-2.25","-1.16","0.4","1.3","-0.9","-0.98","-0.40",
"Ola Aina","ngNGA","DF","Torino","itSerie A","21","1996","30","2,160","72","63.2","24.0","22","86","15","8","34","2","1.63","31","23","+8","+0.33","-0.17","30.3","31.7","-1.4","-0.06","-0.08",
"Youssef Aït Bennasser","maMAR","MF","Saint-Étienne","frLigue 1","22","1996","13","936","72","27.4","10.4","11","82","7","2","16","1","1.85","16","9","+7","+0.67","+0.27","13.4","14.2","-0.8","-0.07","-0.33",
"Youssef Aït Bennasser","maMAR","MF","Monaco","frLigue 1","22","1996","13","1,073","83","31.4","11.9","12","88","10","1","20","4","0.85","13","18","-5","-0.42","+0.12","13.9","16.8","-2.8","-0.24","-0.24",
"Rayan Aït-Nouri","dzALG","DF,MF","Angers","frLigue 1","17","2001","3","57","19","1.7","0.6","0","","0","3","19","16","0.33","1","3","-2","-3.16","-3.08","0.9","2.0","-1.1","-1.77","-1.87",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","24","1994","25","1,531","61","44.8","17.0","18","78","6","7","17","3","1.20","22","25","-3","-0.18","-0.80","17.6","23.3","-5.7","-0.33","-0.13",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","23","1995","25","2,205","88","72.1","24.5","25","88","24","0","","0","2.28","60","35","+25","+1.02","-0.24","43.2","30.3","+12.9","+0.52","-0.39",
"Carlos Akapo","gqEQG","DF","Huesca","esLa Liga","25","1993","13","1,023","79","29.9","11.4","12","84","10","1","21","5","0.62","9","16","-7","-0.62","-0.05","12.5","15.9","-3.4","-0.31","-0.08",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","23","1995","38","3,411","90","99.7","37.9","38","90","37","0","","0","1.18","56","70","-14","-0.37","-0.37","53.3","57.1","-3.9","-0.10","-0.02",
"Sergio Akieme","esESP","DF","Rayo Vallecano","esLa Liga","20","1997","2","180","90","5.3","2.0","2","90","2","0","","11","0.50","3","4","-1","-0.50","+0.28","1.8","2.6","-0.7","-0.36","-0.06",
