Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Chadrac Akolo","cdCOD","MF,FW","Stuttgart","deBundesliga","23","1995","16","525","33","17.2","5.8","5","66","0","11","18","5","0.94","7","12","-5","-0.86","+0.31","6.4","8.5","-2.2","-0.37","+0.26",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","20","1997","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","23","1995","8","499","62","16.3","5.5","5","86","4","3","24","2","1.63","11","12","-1","-0.18","-0.85","9.9","12.3","-2.4","-0.44","-1.34",
"Kevin Akpoguma","ngNGA","DF","Hannover 96","deBundesliga","23","1995","4","313","78","10.2","3.5","4","78","3","0","","0","0.75","1","9","-8","-2.30","-1.25","2.3","7.1","-4.7","-1.36","-0.51",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","26","1992","31","2,530","82","82.7","28.1","29","85","24","2","27","0","2.29","71","27","+44","+1.57","-0.47","68.4","23.6","+44.9","+1.60","-0.70",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","20","1998","25","1,895","76","55.4","21.1","23","80","14","2","26","3","1.24","28","36","-8","-0.38","-0.79","23.8","37.3","-13.6","-0.64","-1.06",
"Lucas Alario","arARG","FW,MF","Leverkusen","deBundesliga","25","1992","27","1,265","47","41.3","14.1","11","83","5","16","22","6","1.70","33","16","+17","+1.21","+1.21","22.9","18.3","+4.7","+0.33","-0.15",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","29","1989","36","2,991","83","87.5","33.2","32","90","32","4","27","0","2.39","86","30","+56","+1.69","+2.10","70.0","38.6","+31.4","+0.94","+1.13",
"Luis Alberto","esESP","MF,FW","Lazio","itSerie A","25","1992","27","1,990","74","58.2","22.1","25","78","9","2","21","4","1.44","30","22","+8","+0.36","+0.24","35.0","23.3","+11.7","+0.53","+0.42",
"Raúl Albiol","esESP","DF","Napoli","itSerie A","32","1985","20","1,713","86","50.1","19.0","19","90","19","1","3","6","2.10","33","22","+11","+0.58","-0.85","30.4","21.2","+9.3","+0.49","-0.26",
"Miiko Albornoz","clCHI","DF,MF","Hannover 96","deBundesliga","27","1990","22","1,660","75","54.2","18.4","19","85","16","3","15","6","0.55","19","44","-25","-1.36","-0.39","18.1","37.6","-19.6","-1.06","-0.35",
"Marc Albrighton","engENG","FW,MF","Leicester City","engPremier League","28","1989","27","1,625","60","47.5","18.1","18","78","8","9","25","2","1.37","17","17","0","0.00","-0.15","19.9","23.1","-3.2","-0.18","-0.78",
"Paco Alcácer","esESP","FW","Dortmund","deBundesliga","24","1993","26","1,211","47","39.6","13.5","11","78","3","15","23","2","2.35","42","21","+21","+1.56","+0.78","27.1","12.6","+14.5","+1.08","+0.74",
"Pedro Alcalá","esESP","DF","Girona","esLa Liga","29","1989","25","1,868","75","54.6","20.8","20","88","18","5","23","10","1.16","21","32","-11","-0.53","-0.24","23.7","28.1","-4.5","-0.21","+0.06",
"Thiago Alcántara","esESP","MF","Bayern Munich","deBundesliga","27","1991","30","2,408","80","78.7","26.8","26","89","23","4","24","0","2.53","74","21","+53","+1.98","+1.57","69.1","19.6","+49.5","+1.85","+0.62",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","27","1991","34","2,976","88","87.0","33.1","34","88","31","0","","1","1.18","29","43","-14","-0.42","+0.59","34.7","49.6","-14.9","-0.45","+0.06",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","29","1989","34","2,922","86","85.4","32.5","33","88","30","1","19","3","1.91","56","31","+25","+0.77","+0.23","46.7","37.0","+9.7","+0.30","+0.64",
"Álex Alegría","esESP","FW,MF","Rayo Vallecano","esLa Liga","25","1992","9","140","16","4.1","1.6","0","","0","9","15","4","0.89","0","6","-6","-3.86","-3.23","1.8","3.3","-1.5","-0.97","-0.70",
"Alexis Alegue","frFRA","FW","Nantes","frLigue 1","21","1996","1","5","5","0.1","0.1","0","","0","1","5","0","0.00","1","0","+1","+18.00","+18.03","0.0","0.0","0.0","+0.21","+0.15",
"Iván Alejo","esESP","MF","Getafe","esLa Liga","23","1995","4","146","37","4.3","1.6","2","59","0","2","15","4","1.00","1","0","+1","+0.62","+0.29","1.1","1.2","-0.1","-0.03","-0.11",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","20","1998","17","637","37","18.6","7.1","6","78","1","11","15","10","2.06","16","8","+8","+1.13","-0.36","14.3","11.0","+3.3","+0.46","-0.42",
"Alex","esESP","GK","Atlético Madrid","esLa Liga","19","1999","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Rúnar Alex Rúnarsson","isISL","GK","Dijon","frLigue 1","23","1995","25","2,250","90","65.8","25.0","25","90","25","0","","12","1.04","24","43","-19","-0.76","+0.01","29.2","37.9","-8.7","-0.35","+0.40",
"Alexander","arARG","FW","Leganés","esLa Liga","29","1988","1","10","10","0.3","0.1","0","","0","1","9","0","0.00","0","1","-1","-9.00","-8.87","0.0","0.3","-0.3","-2.58","-2.58",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","19","1998","29","2,462","85","72.0","27.4","27","88","20","2","40","4","2.69","67","14","+53","+1.94","+0.62","58.8","21.2","+37.6","+1.38","+0.69",
"Alfonso","mzMOZ","MF","Hoffenheim","deBundesliga","18","1999","1","9","9","0.3","0.1","0","","0","1","8","1","0.00","0","2","-2","-20.00","-20.59","0.1","1.2","-1.1","-11.20","-11.92",
"Abdallah Ali Mohamed","kmCOM","DF","Marseille","frLigue 1","19","1999","0","","","","","0","","0","0","","5","","","","","","","","","","","",
"Marco Alia","alALB","GK","Lazio","itSerie A","18","2000","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Rachid Alioui","maMAR","FW","Nîmes","frLigue 1","26","1992","27","1,252","46","36.6","13.9","11","86","9","16","19","4","1.52","23","21","+2","+0.14","+0.27","19.7","20.0","-0.3","-0.02","+0.24",
"Alisson","brBRA","GK","Liverpool","engPremier League","25","1992","38","3,420","90","100.0","38.0","38","90","38","0","","0","2.55","89","22","+67","+1.76","","73.7","28.8","+44.9","+1.18","",
"Bobby Allain","frFRA","GK","Dijon","frLigue 1","26","1991","13","1,170","90","34.2","13.0","13","90","13","0","","25","0.62","7","17","-10","-0.77","-0.01","10.6","20.3","-9.7","-0.75","-0.40",
"Allan","brBRA","MF","Napoli","itSerie A","27","1991","33","2,616","79","76.5","29.1","28","88","26","5","30","0","2.09","57","29","+28","+0.96","-0.16","45.8","30.5","+15.3","+0.53","-0.40",
"Allan","brBRA","MF","Eint Frankfurt","deBundesliga","21","1997","4","176","44","5.8","2.0","2","69","1","2","20","3","2.00","6","2","+4","+2.05","+1.80","3.9","2.8","+1.0","+0.53","+0.35",
"Dele Alli","engENG","MF","Tottenham","engPremier League","22","1996","25","1,825","73","53.4","20.3","22","81","10","3","13","0","1.72","32","21","+11","+0.54","-0.42","28.7","22.1","+6.5","+0.32","+0.25",
"Miguel Almirón","pyPAR","MF","Newcastle Utd","engPremier League","24","1994","10","759","76","22.2","8.4","9","82","4","1","18","0","1.70","11","11","0","0.00","+0.20","11.3","9.2","+2.0","+0.24","+0.80",
"Julio Alonso","esESP","DF,MF","Betis","esLa Liga","19","1998","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Júnior Alonso","pyPAR","DF,MF","Celta Vigo","esLa Liga","25","1993","9","536","60","15.7","6.0","6","82","4","3","14","5","1.11","8","8","0","0.00","+0.28","6.2","7.3","-1.1","-0.18","+0.24",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","27","1990","31","2,759","89","80.7","30.7","31","89","29","0","","1","1.97","52","28","+24","+0.78","+0.78","48.4","29.3","+19.2","+0.63","+0.21",
"Mickaël Alphonse","gpGLP","DF","Dijon","frLigue 1","29","1989","11","571","52","16.7","6.3","6","90","6","5","6","11","1.00","7","16","-9","-1.42","-0.79","6.6","10.2","-3.5","-0.55","-0.08",
"Diego Altamirano","esESP","FW","Betis","esLa Liga","21","1997","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Sergio Álvarez","esESP","DF,MF","Eibar","esLa Liga","26","1992","19","1,069","56","31.3","11.9","12","84","9","7","9","17","1.37","7","14","-7","-0.59","-0.70","11.0","16.2","-5.2","-0.44","-0.98",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","31","1986","13","1,170","90","34.2","13.0","13","90","13","0","","25","1.08","23","22","+1","+0.08","+0.48","13.3","19.5","-6.2","-0.48","-0.15",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","23","1995","30","2,613","87","76.4","29.0","30","87","28","0","","3","1.47","32","30","+2","+0.07","+0.74","32.6","31.9","+0.6","+0.02","+0.35",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","36","1981","33","2,922","89","85.4","32.5","33","89","31","0","","0","1.00","36","56","-20","-0.62","-0.62","34.5","57.7","-23.2","-0.71","-0.37",
"Dani Alves","brBRA","MF,DF","Paris S-G","frLigue 1","35","1983","23","1,622","71","47.4","18.0","19","82","12","4","18","0","2.00","45","22","+23","+1.28","-1.08","42.4","19.9","+22.5","+1.25","-0.19",
"Ibrahim Amadou","frFRA","MF,DF","Sevilla","esLa Liga","25","1993","17","762","45","22.3","8.5","7","79","4","10","21","10","1.41","9","14","-5","-0.59","-1.27","13.7","13.0","+0.7","+0.09","-0.61",
"Romain Amalfitano","frFRA","MF,FW","Dijon","frLigue 1","28","1989","32","2,522","79","73.7","28.0","30","82","21","2","25","2","0.88","20","46","-26","-0.93","-0.63","25.9","43.2","-17.3","-0.62","-0.51",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","23","1994","9","641","71","18.7","7.1","7","86","6","2","19","1","1.44","10","9","+1","+0.14","+0.08","7.0","8.2","-1.2","-0.17","-0.50",
"Jordi Amat","idIDN","DF","Rayo Vallecano","esLa Liga","26","1992","31","2,763","89","80.8","30.7","31","89","30","0","","3","0.77","34","60","-26","-0.85","-0.44","38.2","48.0","-9.8","-0.32","-0.11",
"Amath","snSEN","MF","Getafe","esLa Liga","22","1996","15","1,002","67","29.3","11.1","13","72","2","2","32","0","1.40","13","10","+3","+0.27","-0.10","15.1","10.7","+4.4","+0.40","+0.46",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","24","1994","28","2,177","78","63.7","24.2","24","87","20","4","20","4","1.39","40","34","+6","+0.25","+0.10","33.1","31.0","+2.1","+0.09","-0.28",
"Kelvin Amian","frFRA","DF","Toulouse","frLigue 1","20","1998","32","2,880","90","84.2","32.0","32","90","32","0","","1","1.09","31","47","-16","-0.50","+0.50","40.8","47.8","-7.1","-0.22","+0.38",
"Nadiem Amiri","deGER","MF","Hoffenheim","deBundesliga","21","1996","13","754","58","24.6","8.4","10","69","2","3","22","4","1.85","22","8","+14","+1.67","+1.51","22.2","9.3","+12.9","+1.54","+1.13",
"Yanis Ammour","frFRA","MF","Montpellier","frLigue 1","19","1999","1","2","2","0.1","0.0","0","","0","1","2","2","3.00","0","0","0","0.00","-0.29","0.0","0.1","-0.1","-4.90","-5.12",
"Luke Amos","engENG","MF","Tottenham","engPremier League","21","1997","1","3","3","0.1","0.0","0","","0","1","2","1","3.00","0","0","0","0.00","-0.74","0.0","0.0","0.0","0.00","-0.20",
"Ethan Ampadu","wlsWAL","DF,MF","Chelsea","engPremier League","17","2000","0","","","","","0","","0","0","","4","","","","","","","","","","","",
"Jon Ander Serantes","esESP","GK","Leganés","esLa Liga","28","1989","0","","","","","0","","0","0","","8","","","","","","","","","","","",
"Joachim Andersen","dkDEN","DF","Sampdoria","itSerie A","22","1996","32","2,880","90","84.2","32.0","32","90","32","0","","1","1.50","52","42","+10","+0.31","+0.48","41.3","46.2","-5.0","-0.16","-0.24",
"Felipe Anderson","brBRA","MF,FW","West Ham","engPremier League","25","1993","36","3,043","85","89.0","33.8","36","85","25","0","","0","1.36","48","49","-1","-0.03","+0.45","43.5","54.6","-11.0","-0.33","+0.45",
"Florin Andone","roROU","FW","Brighton","engPremier League","25","1993","23","881","38","25.8","9.8","8","68","0","15","23","5","0.78","7","14","-7","-0.72","-0.08","8.2","14.4","-6.2","-0.63","-0.01",
"Nícolas Andrade","brBRA","GK","Udinese","itSerie A","30","1988","0","","","","","0","","0","0","","38","","","","","","","","","","","",
"Benjamin André","frFRA","MF","Rennes","frLigue 1","27","1990","30","2,495","83","73.0","27.7","28","87","24","2","35","0","1.20","37","40","-3","-0.11","-0.69","38.5","34.2","+4.3","+0.16","-0.20",
"Marco Andreolli","itITA","DF","Cagliari","itSerie A","32","1986","3","106","35","3.1","1.2","1","90","1","2","8","17","0.33","0","3","-3","-2.55","-2.14","0.4","2.1","-1.8","-1.49","-0.99",
"Marco Andreolli","itITA","DF","Chievo","itSerie A","32","1986","8","646","81","18.9","7.2","7","90","6","1","17","7","0.25","3","19","-16","-2.23","-1.13","3.0","11.3","-8.3","-1.16","-0.64",
"Yoann Andreu","frFRA","DF","Angers","frLigue 1","29","1989","1","4","4","0.1","0.0","0","","0","1","4","2","0.00","0","1","-1","-22.50","-22.39","0.0","0.4","-0.4","-9.27","-9.36",
"Yhoan Andzouana","cgCGO","DF,MF","Girona","esLa Liga","21","1996","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"José Ángel","esESP","DF","Eibar","esLa Liga","28","1989","35","3,028","87","88.5","33.6","34","88","27","1","45","1","1.31","40","43","-3","-0.09","+0.14","49.7","41.3","+8.4","+0.25","+0.13",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","34","1984","11","990","90","28.9","11.0","11","90","11","0","","22","1.00","9","11","-2","-0.18","-0.22","13.7","10.2","+3.6","+0.32","+0.41",
"Miguel Ángel Rubio","esESP","DF","Getafe","esLa Liga","20","1998","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Cristian Ansaldi","arARG","DF,MF","Torino","itSerie A","31","1986","24","1,807","75","52.8","20.1","23","77","13","1","25","4","1.71","23","15","+8","+0.40","+0.01","20.9","26.2","-5.3","-0.26","-0.50",
"Mirco Antenucci","itITA","FW","SPAL","itSerie A","33","1984","35","2,133","61","62.4","23.7","22","88","19","13","15","3","1.00","26","35","-9","-0.38","-0.17","27.8","35.0","-7.2","-0.31","-0.30",
"Waldemar Anton","deGER","DF","Hannover 96","deBundesliga","22","1996","34","3,060","90","100.0","34.0","34","90","34","0","","0","0.62","31","71","-40","-1.18","","37.2","67.8","-30.6","-0.90","",
"Luca Antonelli","itITA","DF","Empoli","itSerie A","31","1987","13","755","58","22.1","8.4","10","67","4","3","27","8","0.92","10","18","-8","-0.95","-0.58","9.1","14.6","-5.5","-0.66","-0.46",
"Mauro Antonio Burruchaga","arARG","MF","Chievo","itSerie A","20","1998","1","58","58","1.7","0.6","0","","0","1","58","24","1.00","0","0","0","0.00","+1.34","0.1","0.6","-0.5","-0.77","-0.13",
"Michail Antonio","jmJAM","MF,FW","West Ham","engPremier League","28","1990","33","2,103","64","61.5","23.4","22","84","15","11","24","2","1.30","29","30","-1","-0.04","+0.09","29.2","41.6","-12.4","-0.53","-0.40",
"Antoñito","esESP","DF,MF","Valladolid","esLa Liga","30","1987","30","1,863","62","54.5","20.7","18","89","16","12","22","6","1.13","19","36","-17","-0.82","-0.71","24.5","36.8","-12.3","-0.59","-0.30",
"Vitorino Antunes","ptPOR","DF,MF","Getafe","esLa Liga","31","1987","28","2,181","78","63.8","24.2","25","86","21","3","11","3","1.57","31","21","+10","+0.41","+0.19","27.9","25.6","+2.3","+0.10","+0.08",
"Giorgos Antzoulas","grGRE","DF","Fiorentina","itSerie A","18","2000","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Anuar","maMAR","MF,FW","Valladolid","esLa Liga","23","1995","19","1,081","57","31.6","12.0","12","81","5","7","16","12","1.21","7","13","-6","-0.50","0.00","12.9","21.7","-8.8","-0.74","-0.40",
"Dennis Aogo","deGER","MF","Stuttgart","deBundesliga","31","1987","15","1,025","68","33.5","11.4","13","76","8","2","16","7","1.13","10","18","-8","-0.70","+0.62","12.5","18.7","-6.1","-0.54","+0.08",
"Houssem Aouar","dzALG","MF","Lyon","frLigue 1","20","1998","37","3,061","83","89.5","34.0","35","87","26","2","12","1","1.86","62","45","+17","+0.50","-1.00","65.3","41.5","+23.9","+0.70","-0.78",
"Javier Aparicio","esESP","DF","Valladolid","esLa Liga","18","2000","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Emmanuel Apeh","ngNGA","FW,MF","Celta Vigo","esLa Liga","21","1996","2","14","7","0.4","0.2","0","","0","2","6","3","0.00","0","0","0","0.00","+0.24","0.0","0.2","-0.1","-0.80","-0.42",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","22","1995","33","2,676","81","78.2","29.7","32","83","20","1","10","2","1.48","32","25","+7","+0.24","-0.49","36.0","32.4","+3.7","+0.12","+0.25",
"Guilherme Arana","brBRA","DF","Sevilla","esLa Liga","21","1997","9","629","70","18.4","7.0","8","79","4","1","0","14","1.78","12","8","+4","+0.57","+0.22","11.1","7.6","+3.5","+0.50","-0.07",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","29","1989","24","1,891","79","61.8","21.0","22","82","15","2","48","2","1.83","43","26","+17","+0.81","+0.81","38.9","22.1","+16.9","+0.80","+1.00",
"Luiz Araújo","brBRA","FW,MF","Lille","frLigue 1","22","1996","25","781","31","22.8","8.7","6","74","1","19","18","11","1.76","12","11","+1","+0.12","-1.04","12.0","11.0","+1.0","+0.11","-0.45",
"Néstor Araujo","mxMEX","DF","Celta Vigo","esLa Liga","26","1991","32","2,682","84","78.4","29.8","30","89","29","2","7","2","1.03","35","47","-12","-0.40","-0.77","34.5","44.0","-9.5","-0.32","+0.28",
"Anaitz Arbilla","esESP","DF","Eibar","esLa Liga","31","1987","25","1,950","78","57.0","21.7","22","88","19","3","5","2","1.24","26","31","-5","-0.23","-0.29","30.8","25.9","+4.9","+0.22","-0.02",
"Joaquín Ardaiz","uyURU","FW","Frosinone","itSerie A","19","1999","1","20","20","0.6","0.2","0","","0","1","20","1","0.00","0","0","0","0.00","+1.06","0.0","0.1","-0.1","-0.24","+0.37",
"Markel Areitio","esESP","GK","Eibar","esLa Liga","21","1996","0","","","","","0","","0","0","","9","","","","","","","","","","","",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","25","1993","21","1,890","90","55.3","21.0","21","90","21","0","","13","2.43","55","17","+38","+1.81","-0.07","48.2","20.4","+27.8","+1.33","-0.05",
"Simone Aresti","itITA","GK","Cagliari","itSerie A","32","1986","0","","","","","0","","0","0","","37","","","","","","","","","","","",
"Santiago Arias","coCOL","DF","Atlético Madrid","esLa Liga","26","1992","25","1,772","71","51.8","19.7","20","83","16","5","21","6","2.28","30","10","+20","+1.02","+0.69","25.7","19.6","+6.1","+0.31","+0.35",
