Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Brenden Aaronson","usUSA","MF,FW","Leeds United","engPremier League","21","2000","36","2,372","66","69.4","26.4","28","78","8","8","22","2","0.86","35","58","-23","-0.87","-0.27","33.3","49.8","-16.6","-0.63","-0.35",
"Paxten Aaronson","usUSA","MF,DF","Eint Frankfurt","deBundesliga","18","2003","7","173","25","5.7","1.9","0","","0","7","25","6","1.14","4","0","+4","+2.08","+2.02","5.4","1.4","+4.0","+2.06","+1.92",
"James Abankwah","ieIRL","DF","Udinese","itSerie A","18","2004","2","63","32","1.8","0.7","1","58","0","1","5","33","0.00","0","0","0","0.00","+0.03","0.4","0.7","-0.3","-0.37","-0.25",
"George Abbott","engENG","MF","Tottenham","engPremier League","16","2005","1","1","1","0.0","0.0","0","","0","1","1","1","3.00","1","0","+1","+90.00","+89.84","0.3","0.0","+0.3","+28.39","+28.20",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","34","1987","37","3,330","90","97.4","37.0","37","90","37","0","","0","1.38","45","42","+3","+0.08","+3.08","60.5","50.1","+10.4","+0.28","+1.79",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","22","1999","30","2,137","71","62.5","23.7","24","83","14","6","23","6","0.33","21","49","-28","-1.18","+0.22","23.8","40.7","-17.0","-0.72","-0.45",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","22","2000","33","2,894","88","84.6","32.2","33","88","30","0","","0","2.24","59","22","+37","+1.15","+0.81","57.7","35.9","+21.8","+0.68","+0.43",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","29","1993","29","2,342","81","68.5","26.0","28","83","19","1","26","0","1.72","38","35","+3","+0.12","+0.45","31.6","39.7","-8.1","-0.31","+0.16",
"Oliver Abildgaard","dkDEN","MF","Hellas Verona","itSerie A","26","1996","13","592","46","17.3","6.6","6","80","5","7","16","5","1.08","2","11","-9","-1.37","-0.76","4.9","9.3","-4.4","-0.67","-0.36",
"Terry Ablade","fiFIN","FW","Fulham","engPremier League","20","2001","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Matthis Abline","frFRA","FW,MF","Auxerre","frLigue 1","19","2003","19","806","42","23.6","9.0","8","73","1","11","20","1","1.11","7","14","-7","-0.78","-0.06","11.7","13.3","-1.6","-0.18","+0.31",
"Matthis Abline","frFRA","FW,MF","Rennes","frLigue 1","19","2003","11","107","10","3.1","1.2","0","","0","11","10","4","2.27","5","0","+5","+4.21","+3.53","2.9","1.3","+1.6","+1.36","+0.93",
"Abner","brBRA","DF","Betis","esLa Liga","22","2000","13","607","47","17.7","6.7","7","74","3","6","15","8","1.08","7","10","-3","-0.44","-0.70","10.3","10.9","-0.6","-0.09","-0.15",
"Zakaria Aboukhlal","maMAR","FW,MF","Toulouse","frLigue 1","22","2000","37","2,473","67","72.3","27.5","28","80","12","9","26","0","1.27","38","45","-7","-0.25","-0.35","38.9","42.3","-3.3","-0.12","-0.01",
"Tammy Abraham","engENG","FW","Roma","itSerie A","24","1997","38","2,189","58","64.0","24.3","24","77","7","14","24","0","1.66","32","25","+7","+0.29","-0.08","38.0","23.0","+15.0","+0.62","-0.15",
"Christian Acella","itITA","MF","Cremonese","itSerie A","20","2002","1","15","15","0.4","0.2","0","","0","1","15","25","0.00","0","1","-1","-6.00","-5.15","0.0","0.1","-0.1","-0.65","+0.07",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","34","1988","31","2,425","78","70.9","26.9","25","90","24","6","31","3","1.94","53","30","+23","+0.85","+0.31","49.5","26.6","+22.9","+0.85","+0.07",
"Álvaro Aceves","esESP","GK","Valladolid","esLa Liga","19","2003","1","13","13","0.4","0.1","0","","0","1","13","13","0.00","0","0","0","0.00","+0.79","0.3","0.2","+0.1","+0.73","+1.43",
"Mohamed Achi","frFRA","FW","Nantes","frLigue 1","20","2002","2","36","18","1.1","0.4","0","","0","2","18","6","0.50","1","0","+1","+2.50","+3.01","0.8","0.0","+0.7","+1.87","+2.15",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","30","1991","30","1,912","64","55.9","21.2","21","79","10","9","28","0","1.33","27","34","-7","-0.33","-0.33","27.1","29.5","-2.5","-0.12","+0.21",
"Marius Adamonis","ltLTU","GK","Lazio","itSerie A","25","1997","0","","","","","0","","0","0","","38","","","","","","","","","","","",
"Che Adams","sctSCO","FW","Southampton","engPremier League","26","1996","28","1,992","71","58.2","22.1","23","82","13","5","22","1","0.71","18","41","-23","-1.04","-0.16","24.1","33.1","-9.0","-0.41","+0.48",
"Tyler Adams","usUSA","MF","Leeds United","engPremier League","23","1999","24","2,156","90","63.0","24.0","24","90","23","0","","0","0.96","28","36","-8","-0.33","+1.23","30.2","33.1","-2.9","-0.12","+1.08",
"Sargis Adamyan","amARM","FW,MF","Köln","deBundesliga","29","1993","24","644","27","21.0","7.2","4","62","0","20","20","4","1.13","11","16","-5","-0.70","-0.70","11.2","11.7","-0.5","-0.06","-0.28",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","24","1997","25","2,085","83","61.0","23.2","23","90","23","2","8","13","1.44","36","39","-3","-0.13","-0.47","26.5","42.8","-16.3","-0.70","-0.63",
"Tayo Adaramola","ieIRL","DF,MF","Crystal Palace","engPremier League","18","2003","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","18","2003","5","107","21","3.1","1.2","0","","0","5","21","10","1.40","3","5","-2","-1.68","-1.74","2.1","2.7","-0.7","-0.57","-0.82",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","20","2002","24","1,386","58","45.3","15.4","20","64","2","4","27","1","2.17","41","17","+24","+1.56","+0.75","32.6","17.4","+15.2","+0.99","+0.31",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","22","2000","26","1,435","55","46.9","15.9","16","74","1","10","26","1","1.69","29","17","+12","+0.75","+0.97","26.3","15.7","+10.6","+0.66","+0.77",
"Yacine Adli","frFRA","MF,FW","Milan","itSerie A","22","2000","6","144","24","4.2","1.6","1","59","0","5","17","32","1.17","2","4","-2","-1.25","-1.88","2.4","2.9","-0.5","-0.33","-0.83",
"Adrián","esESP","GK","Liverpool","engPremier League","35","1987","0","","","","","0","","0","0","","12","","","","","","","","","","","",
"Daniel Adu-Adjei","engENG","FW","Bournemouth","engPremier League","17","2005","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Michel Aebischer","chSUI","FW,MF","Bologna","itSerie A","25","1997","32","1,542","48","45.1","17.1","18","72","5","14","17","6","1.50","23","26","-3","-0.18","-0.51","16.9","21.6","-4.8","-0.28","-0.28",
"Felix Afena-Gyan","ghGHA","FW,MF","Cremonese","itSerie A","19","2003","23","817","36","23.9","9.1","7","63","1","16","24","11","0.78","9","13","-4","-0.44","+0.56","8.1","12.9","-4.8","-0.52","+0.26",
"Felix Afena-Gyan","ghGHA","FW","Roma","itSerie A","19","2003","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Loïc Affamah","frFRA","FW","Nantes","frLigue 1","20","2002","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","25","1997","29","2,388","82","69.8","26.5","27","87","24","2","20","0","1.14","33","33","0","0.00","0.00","43.5","37.0","+6.6","+0.25","+0.05",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","21","2000","8","675","84","19.7","7.5","7","90","7","1","45","26","0.75","5","6","-1","-0.13","-0.30","10.2","6.9","+3.3","+0.43","-0.03",
"Lucien Agoume","frFRA","MF","Inter","itSerie A","20","2002","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Lucien Agoume","frFRA","MF","Troyes","frLigue 1","20","2002","15","1,094","73","32.0","12.2","14","78","8","1","9","6","0.40","9","29","-20","-1.65","-1.03","11.9","26.0","-14.1","-1.16","-0.20",
"Felix Agu","ngNGA","DF,FW","Werder Bremen","deBundesliga","22","1999","3","49","16","1.6","0.5","0","","0","3","16","9","1.33","1","2","-1","-1.84","-1.48","0.4","2.4","-2.0","-3.53","-3.24",
"Álvaro Aguado","esESP","MF","Valladolid","esLa Liga","26","1996","34","1,888","56","55.2","21.0","18","78","11","16","31","4","1.15","19","36","-17","-0.81","-0.05","21.7","36.1","-14.4","-0.68","+0.04",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","23","1998","34","2,131","63","62.3","23.7","23","78","6","11","31","2","0.74","20","39","-19","-0.80","+0.04","24.4","38.7","-14.3","-0.60","-0.35",
"Nayef Aguerd","maMAR","DF","West Ham","engPremier League","26","1996","18","1,595","89","46.6","17.7","17","89","16","1","76","3","1.06","23","28","-5","-0.28","+0.11","24.2","28.6","-4.5","-0.25","-0.28",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","29","1993","20","1,172","59","34.3","13.0","14","76","7","6","19","5","1.95","16","21","-5","-0.38","-1.06","19.5","18.7","+0.8","+0.06","-0.27",
"Naouirou Ahamada","frFRA","MF,FW","Crystal Palace","engPremier League","20","2002","8","94","12","2.7","1.0","0","","0","8","12","3","0.38","0","2","-2","-1.91","-1.73","1.1","1.8","-0.7","-0.69","-0.47",
"Naouirou Ahamada","frFRA","MF","Stuttgart","deBundesliga","20","2002","17","1,398","82","45.7","15.5","17","82","6","0","","0","0.94","17","26","-9","-0.58","-0.42","19.5","18.4","+1.1","+0.07","0.00",
"Amar Ahmed","seSWE","FW","Troyes","frLigue 1","18","2004","1","20","20","0.6","0.2","0","","0","1","20","2","1.00","0","0","0","0.00","+0.95","0.1","0.6","-0.6","-2.50","-1.49",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","28","1994","30","1,300","43","38.0","14.4","16","67","1","14","16","5","1.03","17","22","-5","-0.35","-0.22","19.9","19.4","+0.5","+0.03","+0.34",
"Antonis Aidonis","deGER","DF","Stuttgart","deBundesliga","21","2001","0","","","","","0","","0","0","","5","","","","","","","","","","","",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","26","1995","35","3,119","89","91.2","34.7","35","89","33","0","","0","1.14","40","48","-8","-0.23","+0.37","40.1","40.6","-0.5","-0.02","+0.66",
"Ola Aina","ngNGA","DF","Torino","itSerie A","25","1996","19","876","46","25.6","9.7","9","75","4","10","20","3","1.53","10","7","+3","+0.31","+0.38","13.7","10.5","+3.2","+0.32","+0.37",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","21","2001","21","1,076","51","31.5","12.0","9","81","4","12","29","7","1.00","8","18","-10","-0.84","-0.18","11.6","18.7","-7.1","-0.60","+0.01",
"Emanuel Aiwum","atAUT","DF","Cremonese","itSerie A","21","2000","23","1,653","72","48.3","18.4","17","87","14","6","29","13","0.61","13","30","-17","-0.93","-0.11","17.4","33.9","-16.5","-0.90","-0.35",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","24","1998","9","763","85","22.3","8.5","9","85","6","0","","10","1.11","7","14","-7","-0.83","-1.47","9.4","11.1","-1.6","-0.19","-0.50",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","28","1994","13","771","59","22.5","8.6","9","77","4","4","20","1","0.62","12","18","-6","-0.70","-0.63","10.8","13.5","-2.7","-0.31","-0.18",
"Ludovic Ajorque","frFRA","FW,MF","Mainz 05","deBundesliga","28","1994","17","1,211","71","39.6","13.5","15","79","3","2","15","0","1.47","23","22","+1","+0.07","+0.17","18.8","20.7","-1.9","-0.14","+0.08",
"Manuel Akanji","chSUI","DF","Manchester City","engPremier League","27","1995","29","2,287","79","66.9","25.4","24","88","22","5","36","1","2.52","63","23","+40","+1.57","-0.09","51.6","21.1","+30.6","+1.20","-0.06",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","27","1995","26","1,873","72","54.8","20.8","22","82","16","4","16","4","2.23","53","15","+38","+1.83","+0.49","44.8","16.2","+28.5","+1.37","+0.32",
