Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","18","1999","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","26","1990","28","2,184","78","63.9","24.3","25","","21","3","","8","1.21","31","38","-7","-0.29","-0.07","32.2","34.7","-2.5","-0.10","-0.66",
"Rolando Aarons","engENG","MF,FW","Newcastle Utd","engPremier League","21","1995","4","139","35","4.1","1.5","1","","0","3","","7","0.25","1","2","-1","-0.65","-0.46","0.4","2.9","-2.6","-1.66","-1.43",
"Rolando Aarons","engENG","MF,FW","Hellas Verona","itSerie A","21","1995","11","517","47","15.1","5.7","6","","1","5","","4","0.55","2","12","-10","-1.74","-0.56","2.7","10.0","-7.3","-1.26","-0.34",
"Ignazio Abate","itITA","DF","Milan","itSerie A","30","1986","17","1,057","62","30.9","11.7","11","","7","6","","15","1.71","17","10","+7","+0.60","+0.33","13.8","11.4","+2.5","+0.21","-0.24",
"Aymen Abdennour","tnTUN","DF","Marseille","frLigue 1","27","1989","8","499","62","14.6","5.5","6","82","4","2","3","18","2.38","10","4","+6","+1.08","+0.25","12.0","4.2","+7.8","+1.41","+0.53",
"Nura Abdullahi","ngNGA","DF","Roma","itSerie A","19","1997","0","","","","","0","","0","0","","5","","","","","","","","","","","",
"Aly Abeid","mrMTN","DF","Levante","esLa Liga","19","1997","1","77","77","2.3","0.9","1","77","0","0","","1","0.00","0","3","-3","-3.51","-3.21","0.5","0.9","-0.4","-0.45","+0.04",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","24","1992","19","1,176","62","34.4","13.1","14","77","9","5","20","1","1.58","17","25","-8","-0.61","-0.21","13.3","20.4","-7.1","-0.54","+0.06",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","31","1986","27","2,302","85","75.2","25.6","27","","25","0","","1","1.41","30","31","-1","-0.04","-0.16","30.2","29.3","+1.0","+0.04","+0.09",
"Tammy Abraham","engENG","FW","Swansea City","engPremier League","19","1997","31","1,726","56","50.5","19.2","15","","9","16","","2","0.81","15","31","-16","-0.83","-0.20","16.9","31.8","-14.8","-0.77","-0.13",
