Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","27","1990","12","850","71","27.8","9.4","11","","8","1","","3","1.00","8","11","-3","-0.32","+0.54","7.5","10.0","-2.5","-0.26","-0.09",
"Francesco Acerbi","itITA","DF","Sassuolo","itSerie A","29","1988","38","3,420","90","100.0","38.0","38","","38","0","","0","1.13","29","59","-30","-0.79","","46.3","48.9","-2.6","-0.07","",
"Karim Achahbar","maMAR","FW","Guingamp","frLigue 1","21","1996","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Afriyie Acquah","ghGHA","MF","Torino","itSerie A","25","1992","22","951","43","27.8","10.6","9","","3","13","","11","1.64","13","17","-4","-0.38","-0.82","9.8","15.4","-5.6","-0.53","-0.70",
"Charlie Adam","sctSCO","MF","Stoke City","engPremier League","31","1985","11","411","37","12.0","4.6","5","","1","6","","21","0.91","2","7","-5","-1.09","-0.26","5.4","8.0","-2.5","-0.56","+0.15",
"Antonio Adán","esESP","GK","Betis","esLa Liga","30","1987","30","2,700","90","78.9","30.0","30","90","30","0","","0","1.53","50","53","-3","-0.10","-0.35","35.2","41.5","-6.3","-0.21","-0.61",
"Tosin Adarabioyo","engENG","DF","Manchester City","engPremier League","19","1997","0","","","","","0","","0","0","","7","","","","","","","","","","","",
"Aday","esESP","DF","Girona","esLa Liga","29","1987","31","1,835","59","53.7","20.4","20","82","13","11","18","4","1.16","29","31","-2","-0.10","+0.30","29.4","27.6","+1.8","+0.09","+0.18",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","32","1985","34","2,921","86","85.4","32.5","32","90","32","2","21","2","1.26","32","37","-5","-0.15","-0.15","26.4","49.2","-22.8","-0.70","-0.83",
"Raphaël Adiceam","frFRA","GK","Amiens","frLigue 1","27","1990","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Claud Adjapong","itITA","DF,FW","Sassuolo","itSerie A","19","1998","16","1,220","76","35.7","13.6","14","","12","2","","8","1.31","13","22","-9","-0.66","+0.20","15.9","16.7","-0.8","-0.06","+0.02",
"René Adler","deGER","GK","Mainz 05","deBundesliga","32","1985","14","1,260","90","41.2","14.0","14","","14","0","","2","1.29","16","18","-2","-0.14","+0.46","16.1","20.0","-3.9","-0.28","+0.15",
"Yacine Adli","frFRA","FW","Paris S-G","frLigue 1","17","2000","1","8","8","0.2","0.1","0","","0","1","8","0","1.00","0","0","0","0.00","-2.08","0.0","0.0","0.0","-0.40","-1.76",
"Ali Adnan Kadhim","iqIRQ","DF,FW","Udinese","itSerie A","23","1993","23","1,674","73","48.9","18.6","18","","14","5","","7","1.17","28","29","-1","-0.05","+0.67","21.3","24.0","-2.6","-0.14","+0.04",
"Adrián","esESP","GK","West Ham","engPremier League","30","1987","19","1,710","90","50.0","19.0","19","","19","0","","19","1.42","30","29","+1","+0.05","+1.16","19.2","28.4","-9.2","-0.48","0.00",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","36","1981","33","2,152","65","62.9","23.9","21","86","15","12","30","2","1.12","26","24","+2","+0.08","+0.79","29.8","27.4","+2.4","+0.10","+0.31",
"Ibrahim Afellay","nlNED","MF","Stoke City","engPremier League","31","1986","6","166","28","4.9","1.8","1","","0","5","","10","1.00","2","9","-7","-3.80","-3.08","0.9","5.4","-4.4","-2.40","-1.81",
"Benik Afobe","cdCOD","FW","Bournemouth","engPremier League","24","1993","17","611","36","17.9","6.8","5","","1","12","","4","1.06","5","12","-7","-1.03","-0.74","6.5","12.7","-6.2","-1.04","-0.60",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","21","1996","21","1,828","87","53.5","20.3","20","89","19","1","45","4","1.81","28","19","+9","+0.44","+1.52","24.2","24.0","+0.2","+0.01","+1.00",
"Imanol Agirretxe","esESP","FW","Real Sociedad","esLa Liga","30","1987","11","232","21","6.8","2.6","2","68","1","9","11","5","1.45","5","2","+3","+1.16","+1.05","4.7","2.0","+2.7","+1.04","+1.03",
"Juan Agüero","esESP","MF","Atlético Madrid","esLa Liga","18","1999","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","29","1988","25","1,963","79","57.4","21.8","22","","13","3","","4","2.52","63","12","+51","+2.34","+0.61","45.8","13.1","+32.7","+1.50","+0.13",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","24","1993","31","2,459","79","71.9","27.3","27","88","25","4","22","3","1.45","30","20","+10","+0.37","+1.02","32.2","25.4","+6.8","+0.25","+0.55",
"Matías Aguirregaray","uyURU","DF","Las Palmas","esLa Liga","28","1989","15","1,153","77","33.7","12.8","14","81","10","1","17","2","0.53","7","17","-10","-0.78","+0.81","10.9","23.1","-12.2","-0.95","-0.16",
"Matteo Ahlinvi","bjBEN","MF","Guingamp","frLigue 1","18","1999","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","23","1994","35","3,006","86","87.9","33.4","35","86","30","0","","0","1.09","41","58","-17","-0.51","+0.80","41.1","52.3","-11.3","-0.34","+0.01",
"Ailton","brBRA","DF,MF","Stuttgart","deBundesliga","22","1995","5","108","22","3.5","1.2","1","","0","4","","7","0.80","1","2","-1","-0.83","-0.86","1.1","0.8","+0.3","+0.26","+0.37",
"Youssef Aït Bennasser","maMAR","MF","Caen","frLigue 1","21","1996","27","2,047","76","59.9","22.7","25","80","16","2","30","0","1.22","17","28","-11","-0.48","+0.43","23.7","26.9","-3.2","-0.14","-0.01",
"Rayan Aït-Nouri","dzALG","DF,MF","Angers","frLigue 1","16","2001","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Arlind Ajeti","alALB","DF","Crotone","itSerie A","23","1993","21","1,271","61","37.2","14.1","15","","11","6","","15","0.95","12","28","-16","-1.13","-0.71","12.6","27.4","-14.8","-1.05","-0.67",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","22","1995","11","904","82","29.5","10.0","10","","10","1","","4","1.82","15","15","0","0.00","-0.71","17.8","14.6","+3.1","+0.31","-0.55",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","22","1995","38","3,353","88","98.0","37.3","37","","36","1","","0","1.16","44","59","-15","-0.40","+0.94","37.9","56.9","-19.0","-0.51","+1.46",
"Ager Aketxe","esESP","MF","Athletic Club","esLa Liga","23","1993","3","37","12","1.1","0.4","0","","0","3","12","6","1.67","1","0","+1","+2.43","+2.67","1.0","0.7","+0.4","+0.92","+0.95",
"Chadrac Akolo","cdCOD","MF,FW","Stuttgart","deBundesliga","22","1995","22","1,102","50","36.0","12.2","13","","1","9","","7","1.45","14","17","-3","-0.25","-0.38","14.5","16.5","-1.9","-0.16","-0.10",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","22","1995","22","1,690","77","55.2","18.8","17","","16","5","","3","1.64","42","27","+15","+0.80","+0.60","32.1","23.6","+8.5","+0.45","+0.79",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","25","1992","23","1,551","67","50.7","17.2","17","","14","6","","0","2.70","51","10","+41","+2.38","+1.01","41.5","13.8","+27.7","+1.60","+0.62",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","24","1992","23","1,550","67","50.7","17.2","17","","12","6","","3","1.70","27","21","+6","+0.35","-0.13","32.8","19.8","+13.0","+0.75","+0.42",
"David Alba","esESP","DF","Getafe","esLa Liga","18","1999","1","61","61","1.8","0.7","1","61","0","0","","2","3.00","0","0","0","0.00","-0.24","0.0","1.0","-0.9","-1.39","-1.64",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","28","1989","33","2,744","83","80.2","30.5","30","89","27","3","24","3","2.48","81","21","+60","+1.97","+0.64","70.9","31.7","+39.2","+1.29","+0.97",
"Raúl Albentosa","esESP","DF","La Coruña","esLa Liga","28","1988","20","1,748","87","51.1","19.4","19","90","18","1","45","8","0.70","19","34","-15","-0.77","+0.47","27.7","27.6","+0.1","+0.01","+0.40",
"Luis Alberto","esESP","FW,MF","Lazio","itSerie A","24","1992","34","2,669","79","78.0","29.7","32","","19","2","","1","1.91","73","41","+32","+1.08","+0.12","51.3","32.6","+18.7","+0.63","+0.49",
"Raúl Albiol","esESP","DF","Napoli","itSerie A","31","1985","31","2,742","88","80.2","30.5","30","","29","1","","5","2.26","58","21","+37","+1.21","-0.25","52.8","21.4","+31.4","+1.03","-0.11",
"Miiko Albornoz","clCHI","DF,MF","Hannover 96","deBundesliga","26","1990","10","703","70","23.0","7.8","7","","7","3","","10","0.70","10","17","-7","-0.90","-0.78","10.1","14.5","-4.4","-0.57","-0.32",
"Marc Albrighton","engENG","MF,FW","Leicester City","engPremier League","27","1989","34","2,538","75","74.2","28.2","30","","19","4","","1","1.29","35","39","-4","-0.14","-0.14","35.6","34.9","+0.7","+0.02","-0.10",
"Paco Alcácer","esESP","MF,FW","Barcelona","esLa Liga","23","1993","17","695","41","20.3","7.7","8","67","1","9","18","11","2.12","19","3","+16","+2.07","+0.29","20.0","8.1","+11.9","+1.54","+0.56",
"Pedro Alcalá","esESP","DF","Girona","esLa Liga","28","1989","8","689","86","20.1","7.7","8","86","7","0","","4","1.25","10","13","-3","-0.39","-0.19","11.6","10.1","+1.5","+0.20","+0.24",
"Thiago Alcántara","esESP","MF,FW","Bayern Munich","deBundesliga","26","1991","19","1,247","66","40.8","13.9","12","","9","7","","1","2.47","39","10","+29","+2.09","+0.36","33.1","10.2","+22.9","+1.66","+0.61",
"David Alcibiade","frFRA","DF","Nantes","frLigue 1","25","1991","3","208","69","6.1","2.3","2","90","2","1","28","6","2.33","3","2","+1","+0.43","+0.60","3.2","1.8","+1.5","+0.63","+0.57",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","28","1989","14","1,178","84","34.4","13.1","13","","13","1","","1","1.93","25","13","+12","+0.92","-0.13","20.7","10.1","+10.6","+0.81","0.00",
"Steve Aldo One","cmCMR","DF","La Coruña","esLa Liga","22","1995","1","90","90","2.6","1.0","1","90","1","0","","1","0.00","1","7","-6","-6.00","-5.14","1.8","2.5","-0.7","-0.71","-0.54",
"Álex Alegría","esESP","FW","Levante","esLa Liga","24","1992","9","628","70","18.4","7.0","8","74","3","1","38","1","1.22","9","12","-3","-0.43","-0.08","7.7","10.5","-2.8","-0.40","+0.12",
"Iván Alejo","esESP","MF,FW","Eibar","esLa Liga","22","1995","22","1,102","50","32.2","12.2","14","69","1","8","16","6","1.50","16","11","+5","+0.41","+0.84","13.1","13.6","-0.5","-0.04","+0.07",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","19","1998","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Diego Alende","esESP","DF","Celta Vigo","esLa Liga","19","1997","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Alex","esESP","GK","Atlético Madrid","esLa Liga","18","1999","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Alexander","arARG","MF,FW","Leganés","esLa Liga","28","1988","13","1,060","82","31.0","11.8","13","82","9","0","","0","1.31","8","12","-4","-0.34","+0.16","13.8","14.7","-0.9","-0.08","+0.18",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","18","1998","19","1,573","83","46.0","17.5","18","","14","1","","16","1.89","39","17","+22","+1.26","+0.09","33.8","15.7","+18.1","+1.03","+0.01",
"Alexis","esESP","DF","Alavés","esLa Liga","31","1985","28","2,184","78","63.9","24.3","25","85","23","3","18","7","1.32","26","33","-7","-0.29","-0.07","26.4","37.2","-10.8","-0.45","+0.04",
"Alisson","brBRA","GK","Roma","itSerie A","24","1992","37","3,330","90","97.4","37.0","37","","37","0","","0","2.00","60","28","+32","+0.86","-0.14","62.2","36.1","+26.2","+0.71","+0.70",
"Bobby Allain","frFRA","GK","Dijon","frLigue 1","25","1991","0","","","","","0","","0","0","","4","","","","","","","","","","","",
"Allan","brBRA","MF","Napoli","itSerie A","26","1991","38","2,850","75","83.3","31.7","32","","19","6","","0","2.39","62","21","+41","+1.29","+0.19","57.8","21.9","+35.9","+1.13","+0.48",
"Joe Allen","wlsWAL","MF","Stoke City","engPremier League","27","1990","36","3,139","87","91.8","34.9","36","","33","0","","1","0.92","30","55","-25","-0.72","+1.85","33.6","52.2","-18.6","-0.53","+1.87",
"Dele Alli","engENG","MF,FW","Tottenham","engPremier League","21","1996","36","2,958","82","86.5","32.9","34","","18","2","","0","2.03","63","28","+35","+1.06","+0.48","54.1","25.7","+28.5","+0.87","+0.41",
"Júnior Alonso","pyPAR","DF","Lille","frLigue 1","24","1993","34","2,781","82","81.3","30.9","30","88","28","4","39","3","0.91","31","53","-22","-0.71","-0.15","26.1","48.4","-22.3","-0.72","-0.84",
"José Alonso Lara","esESP","MF","Sevilla","esLa Liga","17","2000","1","10","10","0.3","0.1","0","","0","1","10","0","3.00","0","0","0","0.00","+0.24","0.4","0.1","+0.3","+2.68","+2.55",
"Marcos Alonso","esESP","DF,MF","Chelsea","engPremier League","26","1990","33","2,855","87","83.5","31.7","33","","28","0","","1","1.85","48","30","+18","+0.57","-0.39","44.0","26.7","+17.3","+0.54","+0.02",
"Ricky Álvarez","arARG","MF","Sampdoria","itSerie A","29","1988","12","267","22","7.8","3.0","2","","0","10","","21","1.83","5","5","0","0.00","+0.11","4.1","4.3","-0.2","-0.06","+0.13",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","30","1986","17","1,476","87","43.2","16.4","16","90","16","1","36","21","1.06","22","29","-7","-0.43","-0.70","24.0","24.2","-0.3","-0.02","-0.01",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","22","1995","8","675","84","19.7","7.5","7","90","7","1","45","6","0.88","7","10","-3","-0.40","-0.24","6.7","8.5","-1.9","-0.25","-0.29",
"Dani Alves","brBRA","DF","Paris S-G","frLigue 1","34","1983","25","2,063","83","60.3","22.9","23","87","21","2","27","7","2.60","65","17","+48","+2.09","+0.04","52.2","20.2","+32.1","+1.40","+0.09",
"Ibrahim Amadou","frFRA","MF,DF","Lille","frLigue 1","24","1993","30","2,405","80","70.3","26.7","30","80","22","0","","0","1.00","29","45","-16","-0.60","+0.29","21.8","40.8","-19.0","-0.71","-0.49",
"Eloi Amagat","esESP","MF","Girona","esLa Liga","32","1985","2","15","8","0.4","0.2","0","","0","2","8","2","1.50","1","0","+1","+6.00","+6.26","0.4","0.1","+0.4","+2.23","+2.24",
"Morgan Amalfitano","frFRA","MF,FW","Rennes","frLigue 1","32","1985","14","746","53","21.8","8.3","10","68","2","4","18","3","0.71","8","16","-8","-0.97","-1.44","8.3","17.2","-8.8","-1.07","-1.38",
"Romain Amalfitano","frFRA","MF","Dijon","frLigue 1","27","1989","33","2,703","82","79.0","30.0","31","87","26","2","9","0","1.33","47","55","-8","-0.27","+0.99","32.2","49.1","-16.9","-0.56","+0.10",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","22","1994","8","487","61","14.2","5.4","6","","4","2","","11","1.13","7","7","0","0.00","+0.12","6.8","6.9","-0.1","-0.02","-0.09",
"Jordi Amat","idIDN","DF,MF","Betis","esLa Liga","25","1992","25","2,045","82","59.8","22.7","24","84","16","1","28","9","1.60","33","31","+2","+0.09","+0.28","25.4","27.2","-1.8","-0.08","0.00",
"Amath","snSEN","MF,FW","Getafe","esLa Liga","21","1996","37","2,859","77","83.6","31.8","36","79","10","1","22","0","1.49","34","24","+10","+0.31","+0.48","37.6","32.1","+5.5","+0.17","-0.30",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","23","1994","27","2,193","81","64.1","24.4","24","87","22","3","35","2","1.89","49","31","+18","+0.74","-0.36","46.9","25.5","+21.4","+0.88","-0.22",
"Stephan Ambrosius","ghGHA","DF","Hamburger SV","deBundesliga","18","1998","1","45","45","1.5","0.5","1","","0","0","","5","1.00","1","1","0","0.00","+0.72","0.7","0.8","0.0","-0.09","+0.45",
"Kelvin Amian","frFRA","DF","Toulouse","frLigue 1","19","1998","36","3,154","88","92.2","35.0","35","89","33","1","24","0","1.03","34","47","-13","-0.37","+0.64","40.5","46.8","-6.3","-0.18","-0.07",
"Nadiem Amiri","deGER","MF","Hoffenheim","deBundesliga","20","1996","28","1,744","62","57.0","19.4","19","","8","9","","3","1.64","35","31","+4","+0.21","-0.75","30.6","28.9","+1.8","+0.09","-0.01",
"Yanis Ammour","frFRA","FW","Montpellier","frLigue 1","18","1999","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Ethan Ampadu","wlsWAL","DF","Chelsea","engPremier League","16","2000","1","11","11","0.3","0.1","0","","0","1","","11","3.00","0","1","-1","-8.18","-8.84","0.0","0.2","-0.2","-1.26","-1.81",
"Nordin Amrabat","maMAR","FW","Watford","engPremier League","30","1987","3","198","66","5.8","2.2","3","","1","0","","0","1.67","4","3","+1","+0.45","+1.04","4.4","3.8","+0.6","+0.27","+0.47",
"Nordin Amrabat","maMAR","FW,MF","Leganés","esLa Liga","30","1987","30","1,623","54","47.5","18.0","17","77","6","13","24","0","1.03","18","26","-8","-0.44","+0.01","20.4","23.1","-2.7","-0.15","+0.10",
"Jon Ander Serantes","esESP","GK","Leganés","esLa Liga","27","1989","1","90","90","2.6","1.0","1","90","1","0","","2","3.00","3","2","+1","+1.00","+1.49","1.4","2.2","-0.8","-0.77","-0.58",
"Joachim Andersen","dkDEN","DF","Sampdoria","itSerie A","21","1996","7","546","78","16.0","6.1","6","","6","1","","25","1.29","7","13","-6","-0.99","-1.05","6.5","9.0","-2.5","-0.41","-0.27",
"Felipe Anderson","brBRA","FW,MF","Lazio","itSerie A","24","1993","21","1,162","55","34.0","12.9","9","","6","12","","2","1.62","33","16","+17","+1.32","+0.40","20.3","15.5","+4.8","+0.37","-0.23",
"Keshi Anderson","engENG","FW,MF","Crystal Palace","engPremier League","22","1995","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Florin Andone","roROU","FW","La Coruña","esLa Liga","24","1993","29","1,636","56","47.8","18.2","16","86","10","13","20","5","0.66","17","30","-13","-0.72","+0.55","24.0","23.0","+1.0","+0.06","+0.47",
"Nícolas Andrade","brBRA","GK","Hellas Verona","itSerie A","29","1988","36","3,240","90","94.7","36.0","36","","35","0","","1","0.69","29","71","-42","-1.17","+1.83","32.4","65.9","-33.5","-0.93","+0.88",
"Benjamin André","frFRA","MF","Rennes","frLigue 1","26","1990","34","3,011","89","88.0","33.5","34","89","29","0","","0","1.59","45","36","+9","+0.27","+0.93","43.8","40.6","+3.2","+0.10","+0.70",
"Marco Andreolli","itITA","DF","Cagliari","itSerie A","31","1986","23","1,829","80","53.5","20.3","20","","19","3","","14","0.91","16","33","-17","-0.84","-0.21","19.1","29.4","-10.2","-0.50","+0.02",
"Yoann Andreu","frFRA","DF","Angers","frLigue 1","28","1989","23","2,070","90","60.5","23.0","23","90","23","0","","2","1.17","25","26","-1","-0.04","+0.56","29.1","25.7","+3.3","+0.14","+0.24",
"Miguel Ángel Guerrero","esESP","FW","Leganés","esLa Liga","27","1990","22","1,442","66","42.2","16.0","15","87","12","7","20","2","1.05","17","24","-7","-0.44","+0.02","16.4","23.1","-6.7","-0.42","-0.38",
"José Ángel","esESP","DF","Eibar","esLa Liga","27","1989","30","2,426","81","70.9","27.0","28","85","21","2","30","5","1.37","31","35","-4","-0.15","+0.03","29.6","32.5","-2.9","-0.11","-0.05",
"Miguel Ángel Moyá","esESP","GK","Atlético Madrid","esLa Liga","33","1984","0","","","","","0","","0","0","","25","","","","","","","","","","","",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","33","1984","9","764","85","22.3","8.5","9","85","8","0","","2","1.22","9","8","+1","+0.12","-0.09","8.9","9.2","-0.3","-0.03","-0.15",
"Miguel Ángel Rubio","esESP","DF","Getafe","esLa Liga","19","1998","1","29","29","0.8","0.3","0","","0","1","29","0","3.00","1","0","+1","+3.10","+2.89","1.3","0.6","+0.7","+2.10","+1.90",
"Gabriele Angella","itITA","DF","Udinese","itSerie A","28","1989","12","893","74","26.1","9.9","9","","7","3","","7","0.75","15","16","-1","-0.10","+0.40","12.5","14.2","-1.8","-0.18","-0.02",
"Cristian Ansaldi","arARG","DF","Torino","itSerie A","30","1986","25","1,872","75","54.7","20.8","20","","17","5","","3","1.48","26","27","-1","-0.05","-0.57","26.1","28.8","-2.7","-0.13","-0.23",
"Cristian Ansaldi","arARG","DF,MF","Inter","itSerie A","30","1986","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Luca Antei","itITA","DF","Benevento","itSerie A","25","1992","8","592","74","17.3","6.6","8","","5","0","","2","0.00","4","18","-14","-2.13","-0.95","5.8","15.1","-9.2","-1.41","-0.59",
"Mirco Antenucci","itITA","FW","SPAL","itSerie A","32","1984","33","2,571","78","75.2","28.6","28","","21","5","","2","1.09","33","40","-7","-0.25","+1.13","27.2","42.4","-15.2","-0.53","+0.19",
"Waldemar Anton","deGER","DF,MF","Hannover 96","deBundesliga","21","1996","27","2,278","84","74.4","25.3","26","","25","1","","1","1.26","32","35","-3","-0.12","+0.69","33.6","39.7","-6.1","-0.24","+0.32",
"Luca Antonelli","itITA","DF,FW","Milan","itSerie A","30","1987","6","144","24","4.2","1.6","1","","0","5","","24","2.17","2","3","-1","-0.62","-1.04","1.8","1.4","+0.4","+0.28","-0.10",
"Michail Antonio","jmJAM","FW,MF","West Ham","engPremier League","27","1990","21","1,354","64","39.6","15.0","16","","8","5","","0","1.05","13","23","-10","-0.66","-0.23","13.1","20.3","-7.2","-0.48","+0.01",
"Mirko Antonucci","itITA","FW","Roma","itSerie A","18","1999","2","31","16","0.9","0.3","0","","0","2","","14","0.50","1","1","0","0.00","-0.88","1.1","1.2","-0.2","-0.49","-1.18",
"Vitorino Antunes","ptPOR","DF","Getafe","esLa Liga","30","1987","34","2,799","82","81.8","31.1","31","90","31","3","3","2","1.41","34","31","+3","+0.10","-0.77","41.8","34.4","+7.4","+0.24","+0.07",
"Dennis Aogo","deGER","MF,DF","Stuttgart","deBundesliga","30","1987","29","1,954","67","63.9","21.7","22","","14","7","","3","1.55","21","25","-4","-0.18","-0.51","24.9","28.6","-3.7","-0.17","-0.22",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","19","1998","32","2,433","76","71.1","27.0","27","86","18","5","22","4","2.00","62","30","+32","+1.18","+0.09","48.4","31.2","+17.2","+0.63","+0.08",
"Alberto Aquilani","itITA","MF","Las Palmas","esLa Liga","33","1984","21","1,297","62","37.9","14.4","15","80","8","6","17","11","0.57","11","26","-15","-1.04","+0.44","15.4","29.2","-13.8","-0.96","-0.19",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","21","1995","27","2,124","79","62.1","23.6","26","82","14","1","2","0","1.30","26","25","+1","+0.04","-0.51","27.7","23.1","+4.6","+0.19","-0.08",
"Mattia Aramu","itITA","FW,MF","Torino","itSerie A","22","1995","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Guilherme Arana","brBRA","DF","Sevilla","esLa Liga","20","1997","3","193","64","5.6","2.1","2","90","2","1","13","5","1.00","2","4","-2","-0.93","-0.74","2.9","2.3","+0.6","+0.29","+0.17",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","28","1989","27","2,302","85","75.2","25.6","27","","22","0","","3","1.63","41","29","+12","+0.47","+0.23","42.9","26.6","+16.3","+0.64","+0.36",
"Luiz Araújo","brBRA","FW,MF","Lille","frLigue 1","21","1996","34","2,018","59","59.0","22.4","24","72","10","10","29","3","0.82","25","41","-16","-0.71","-0.07","23.4","33.3","-10.0","-0.44","+0.30",
"Sergio Araujo","arARG","MF,FW","Las Palmas","esLa Liga","25","1992","2","39","20","1.1","0.4","0","","0","2","20","0","0.00","0","2","-2","-4.62","-3.34","1.0","0.5","+0.5","+1.17","+2.04",
"Anaitz Arbilla","esESP","DF","Eibar","esLa Liga","30","1987","29","2,414","83","70.6","26.8","26","90","26","3","25","1","1.41","35","37","-2","-0.07","+0.28","30.8","30.3","+0.4","+0.02","+0.37",
"Roberto Olabe del Arco","esESP","MF","Atlético Madrid","esLa Liga","21","1996","0","","","","","0","","0","0","","5","","","","","","","","","","","",
"Markel Areitio","esESP","GK","Eibar","esLa Liga","20","1996","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","24","1993","34","3,060","90","89.5","34.0","34","90","34","0","","3","2.47","101","25","+76","+2.24","+1.49","79.5","29.8","+49.7","+1.46","+0.95",
"Scott Arfield","caCAN","MF,FW","Burnley","engPremier League","28","1988","18","1,333","74","39.0","14.8","15","","9","3","","8","1.11","7","15","-8","-0.54","-0.76","8.6","23.7","-15.0","-1.01","-0.85",
