Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Logan Costa","cvCPV","DF","Reims","frLigue 1","18","2001","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Nuno da Costa","cvCPV","FW","Strasbourg","frLigue 1","28","1991","14","527","38","21.7","5.9","4","90","3","10","17","5","1.29","6","10","-4","-0.68","-0.87","6.6","8.1","-1.5","-0.25","-0.42",
"David Costas","esESP","DF","Celta Vigo","esLa Liga","24","1995","6","338","56","9.9","3.8","3","90","3","3","23","7","0.83","5","10","-5","-1.33","-1.13","5.8","7.2","-1.4","-0.38","-0.24",
"Benoît Costil","frFRA","GK","Bordeaux","frLigue 1","32","1987","28","2,520","90","100.0","28.0","28","90","28","0","","0","1.32","40","34","+6","+0.21","","30.4","36.9","-6.6","-0.23","",
"Kalifa Coulibaly","mlMLI","FW","Nantes","frLigue 1","27","1991","21","1,616","77","64.1","18.0","18","87","15","3","18","1","1.43","16","14","+2","+0.11","+0.61","20.3","16.2","+4.1","+0.23","+0.76",
"Senou Coulibaly","mlMLI","DF","Dijon","frLigue 1","24","1994","10","666","67","26.4","7.4","9","70","5","1","32","9","0.50","2","13","-11","-1.49","-1.54","6.7","12.8","-6.1","-0.82","-0.73",
"Yoann Court","frFRA","FW,MF","Brest","frLigue 1","29","1990","23","1,465","64","58.1","16.3","18","77","6","5","14","0","1.17","20","22","-2","-0.12","-0.04","15.0","24.5","-9.5","-0.58","-0.13",
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","27","1992","34","3,060","90","89.5","34.0","34","90","34","0","","2","2.26","60","20","+40","+1.18","-0.07","61.1","28.8","+32.3","+0.95","+0.38",
"Philippe Coutinho","brBRA","MF,FW","Bayern Munich","deBundesliga","27","1992","23","1,411","61","46.1","15.7","15","81","5","8","24","2","2.35","45","13","+32","+2.04","+0.08","45.1","15.2","+30.0","+1.91","+0.73",
"Conor Coventry","ieIRL","MF","West Ham","engPremier League","19","2000","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Maurice Covic","deGER","MF","Hertha BSC","deBundesliga","21","1998","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Nicolas Cozza","frFRA","DF","Montpellier","frLigue 1","20","1999","7","556","79","22.1","6.2","6","86","5","1","42","5","2.29","10","3","+7","+1.13","+1.41","7.6","5.3","+2.2","+0.36","+0.44",
"Alessio Cragno","itITA","GK","Cagliari","itSerie A","25","1994","16","1,440","90","42.1","16.0","16","90","16","0","","3","0.75","13","21","-8","-0.50","-0.68","16.3","22.8","-6.5","-0.41","+0.08",
"Aaron Cresswell","engENG","DF","West Ham","engPremier League","29","1989","31","2,727","88","79.7","30.3","31","88","28","0","","0","0.97","41","51","-10","-0.33","+0.06","38.7","49.6","-10.9","-0.36","+0.20",
"Noah Crétier","frFRA","DF","Nice","frLigue 1","17","2001","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Domenico Criscito","itITA","DF","Genoa","itSerie A","32","1986","26","2,053","79","60.0","22.8","24","82","20","2","39","1","1.15","28","43","-15","-0.66","+0.07","29.3","38.3","-9.0","-0.39","-0.24",
"Bryan Cristante","itITA","MF","Roma","itSerie A","24","1995","26","1,616","62","47.3","18.0","18","81","13","8","19","0","1.73","43","31","+12","+0.67","-0.03","38.7","24.6","+14.0","+0.78","+0.29",
"Cristian","esESP","GK","Valencia","esLa Liga","21","1998","0","","","","","0","","0","0","","7","","","","","","","","","","","",
"Sebastián Cristóforo","uyURU","MF","Fiorentina","itSerie A","25","1993","1","90","90","2.6","1.0","1","90","1","0","","17","0.00","0","1","-1","-1.00","-1.11","0.8","1.4","-0.6","-0.60","-0.74",
"Sebastián Cristóforo","uyURU","MF","Eibar","esLa Liga","25","1993","18","877","49","25.6","9.7","9","81","4","9","17","1","1.28","10","12","-2","-0.21","+0.33","10.5","12.0","-1.4","-0.15","+0.19",
"Juan Cuadrado","coCOL","DF,FW","Juventus","itSerie A","31","1988","33","2,654","80","77.6","29.5","28","89","26","5","34","3","2.21","60","26","+34","+1.15","+1.27","58.2","31.6","+26.7","+0.90","+0.96",
"Sergio Cubero Ezcurra","esESP","DF","Eibar","esLa Liga","19","1999","0","","","","","0","","0","0","","6","","","","","","","","","","","",
"Cucho","coCOL","FW,MF","Mallorca","esLa Liga","20","1999","22","1,487","68","43.5","16.5","17","78","7","5","32","0","0.82","19","23","-4","-0.24","+0.74","15.2","26.2","-10.9","-0.66","-0.13",
"Marc Cucurella","esESP","MF,DF","Getafe","esLa Liga","21","1998","37","3,237","87","94.6","36.0","37","87","24","0","","0","1.38","41","33","+8","+0.22","+1.21","40.0","38.2","+1.8","+0.05","+0.88",
"Iván Cuéllar","esESP","GK","Leganés","esLa Liga","35","1984","27","2,429","90","71.0","27.0","27","90","26","0","","1","1.11","25","33","-8","-0.30","+0.88","29.7","28.2","+1.6","+0.06","+0.46",
"Jaume Cuéllar","boBOL","MF,FW","SPAL","itSerie A","17","2001","2","70","35","2.0","0.8","1","60","0","1","10","5","0.00","1","2","-1","-1.29","+0.03","0.5","1.2","-0.6","-0.82","-0.08",
"Jorge Cuenca","esESP","DF","Barcelona","esLa Liga","19","1999","0","","","","","0","","0","0","","4","","","","","","","","","","","",
"Mickaël Cuisance","frFRA","MF,FW","Bayern Munich","deBundesliga","19","1999","9","307","34","10.0","3.4","3","71","1","6","16","18","3.00","13","2","+11","+3.22","+1.36","9.0","4.9","+4.1","+1.21","-0.34",
"Luke Cundle","engENG","MF","Wolves","engPremier League","17","2002","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Matheus Cunha","brBRA","FW,MF","Hertha BSC","deBundesliga","20","1999","11","744","68","24.3","8.3","9","80","5","2","12","0","1.36","18","14","+4","+0.48","+1.07","13.8","12.1","+1.7","+0.20","+0.71",
"Matheus Cunha","brBRA","FW,MF","RB Leipzig","deBundesliga","20","1999","10","279","28","9.1","3.1","2","66","0","8","19","7","1.60","7","2","+5","+1.61","+0.35","7.5","3.8","+3.7","+1.21","+0.27",
"Felipe Curcio","brBRA","DF","Brescia","itSerie A","25","1993","1","5","5","0.1","0.1","0","","0","1","5","2","0.00","0","0","0","0.00","+1.16","0.0","0.0","0.0","0.00","+0.82",
"Patrick Cutrone","itITA","FW","Wolves","engPremier League","21","1998","12","297","25","8.7","3.3","3","65","0","9","11","8","1.67","6","6","0","0.00","-0.32","5.5","6.2","-0.7","-0.22","-0.71",
"Patrick Cutrone","itITA","FW","Fiorentina","itSerie A","21","1998","19","838","44","24.5","9.3","9","64","0","10","26","1","1.47","18","4","+14","+1.50","+1.89","16.7","12.3","+4.3","+0.47","+0.45",
"Wylan Cyprien","frFRA","MF","Nice","frLigue 1","24","1995","20","1,772","89","70.3","19.7","20","89","18","0","","0","1.45","30","25","+5","+0.25","+0.49","26.5","29.2","-2.7","-0.14","+0.53",
"Rafael Czichos","deGER","DF","Köln","deBundesliga","29","1990","26","2,207","85","72.1","24.5","26","85","23","0","","0","1.08","36","51","-15","-0.61","-0.30","32.6","40.8","-8.2","-0.34","-0.74",
"Lennart-Marten Czyborra","deGER","DF","Atalanta","itSerie A","20","1999","1","17","17","0.5","0.2","0","","0","1","17","15","3.00","0","1","-1","-5.29","-6.64","0.4","0.1","+0.4","+2.01","+0.90",
"Marco D'Alessandro","itITA","MF,DF","SPAL","itSerie A","28","1991","15","781","52","22.8","8.7","10","63","1","5","30","1","0.33","9","15","-6","-0.69","+0.81","7.0","15.7","-8.7","-1.00","-0.35",
"Danilo D'Ambrosio","itITA","DF","Inter","itSerie A","30","1988","22","1,402","64","41.0","15.6","15","86","11","7","16","8","2.36","37","9","+28","+1.80","+1.04","29.3","14.5","+14.8","+0.95","+0.32",
"Felice D'Amico","itITA","MF","Sampdoria","itSerie A","18","2000","2","3","2","0.1","0.0","0","","0","2","2","5","1.50","0","0","0","0.00","+0.45","0.8","0.0","+0.8","+23.38","+23.53",
"Lucas Da Cunha","frFRA","MF","Rennes","frLigue 1","18","2001","2","72","36","2.9","0.8","1","65","0","1","7","2","0.50","0","0","0","0.00","-0.51","1.0","0.4","+0.6","+0.70","+0.47",
"Jacopo Da Riva","itITA","MF","Atalanta","itSerie A","18","2000","1","1","1","0.0","0.0","0","","0","1","1","11","0.00","0","0","0","0.00","-1.32","0.0","0.0","0.0","+4.19","+3.08",
"Bernardo Costa Da Rosa","brBRA","DF","West Ham","engPremier League","18","2000","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Damien Da Silva","frFRA","DF","Rennes","frLigue 1","31","1988","25","2,244","90","89.0","24.9","25","90","24","0","","1","1.92","36","21","+15","+0.60","+0.93","32.7","25.3","+7.4","+0.30","+0.44",
"Moanes Dabbur","ilISR","FW","Sevilla","esLa Liga","27","1992","2","26","13","0.8","0.3","0","","0","2","13","2","0.50","0","0","0","0.00","-0.53","0.7","0.2","+0.5","+1.87","+1.43",
"Moanes Dabbur","ilISR","FW","Hoffenheim","deBundesliga","27","1992","14","766","55","25.0","8.5","11","61","1","3","30","0","1.71","17","8","+9","+1.06","+1.41","17.6","12.5","+5.2","+0.61","+0.94",
"Bryan Dabo","bfBFA","MF","SPAL","itSerie A","27","1992","16","1,122","70","32.8","12.5","13","79","8","3","32","1","0.31","11","37","-26","-2.09","-1.15","11.6","24.5","-12.9","-1.04","-0.45",
"Colin Dagba","frFRA","DF","Paris S-G","frLigue 1","20","1998","10","668","67","27.5","7.4","7","86","6","3","22","5","2.40","17","4","+13","+1.75","-0.19","19.6","5.5","+14.1","+1.92","+0.04",
"Finn Dahmen","deGER","GK","Mainz 05","deBundesliga","21","1998","0","","","","","0","","0","0","","12","","","","","","","","","","","",
"Mahmoud Dahoud","deGER","MF","Dortmund","deBundesliga","23","1996","12","558","47","18.2","6.2","6","73","1","6","20","15","2.17","13","8","+5","+0.81","-0.56","6.7","6.4","+0.3","+0.05","-0.66",
"Leon Dajaku","deGER","DF,MF","Bayern Munich","deBundesliga","18","2001","2","12","6","0.4","0.1","0","","0","2","6","4","3.00","1","0","+1","+7.50","+5.52","0.5","0.7","-0.2","-1.56","-3.09",
"Felipe dal Belo","brBRA","DF","SPAL","itSerie A","35","1984","15","997","66","29.2","11.1","11","82","7","4","24","20","0.53","10","28","-18","-1.62","-0.44","13.4","22.5","-9.1","-0.82","-0.12",
"Christian Dalle Mura","itITA","FW","Fiorentina","itSerie A","17","2002","1","1","1","0.0","0.0","0","","0","1","1","8","3.00","0","0","0","0.00","-0.08","0.0","0.0","0.0","0.00","-0.12",
"Diogo Dalot","ptPOR","DF,MF","Manchester Utd","engPremier League","20","1999","4","67","17","2.0","0.7","1","59","0","3","3","4","1.00","0","1","-1","-1.34","-2.18","1.2","1.1","+0.1","+0.17","-0.49",
"James Daly","engENG","FW,MF","Crystal Palace","engPremier League","19","2000","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Elias Damergy","tnTUN","GK","Rennes","frLigue 1","16","2002","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Antonio Daniele","itITA","GK","Napoli","itSerie A","17","2002","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Charlie Daniels","engENG","DF","Bournemouth","engPremier League","32","1986","2","126","63","3.7","1.4","2","63","1","0","","1","1.50","2","2","0","0.00","+0.68","1.8","2.8","-1.1","-0.76","-0.31",
"Danilo","brBRA","DF","Juventus","itSerie A","28","1991","22","1,440","65","42.1","16.0","16","75","10","6","41","9","2.09","33","27","+6","+0.37","-0.85","24.8","22.5","+2.3","+0.15","-0.94",
"Arnaut Danjuma","nlNED","MF","Bournemouth","engPremier League","22","1997","14","630","45","18.4","7.0","6","68","2","8","28","5","0.43","4","12","-8","-1.14","-0.59","5.7","11.5","-5.8","-0.83","-0.46",
"Scott Dann","engENG","DF","Crystal Palace","engPremier League","32","1987","16","1,266","79","37.0","14.1","14","88","13","2","19","15","1.13","10","14","-4","-0.28","+0.34","14.8","19.8","-5.0","-0.35","+0.32",
"Kevin Danso","atAUT","DF","Southampton","engPremier League","20","1998","6","277","46","8.1","3.1","3","69","1","3","23","16","0.83","3","8","-5","-1.62","-1.51","3.8","6.5","-2.7","-0.89","-1.06",
"Dante","brBRA","DF","Nice","frLigue 1","35","1983","21","1,890","90","75.0","21.0","21","90","21","0","","0","1.48","31","26","+5","+0.24","+0.52","27.5","31.5","-4.0","-0.19","+0.41",
"Andrea Danzi","itITA","MF","Hellas Verona","itSerie A","20","1999","1","1","1","0.0","0.0","0","","0","1","1","16","3.00","0","0","0","0.00","+0.11","0.0","0.1","-0.1","-7.77","-7.69",
"Ebrima Darboe","gmGAM","MF","Roma","itSerie A","18","2001","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Márton Dárdai","huHUN","DF,MF","Hertha BSC","deBundesliga","17","2002","0","","","","","0","","0","0","","6","","","","","","","","","","","",
"Palkó Dárdai","huHUN","MF","Hertha BSC","deBundesliga","20","1999","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Sergi Darder","esESP","MF","Espanyol","esLa Liga","25","1993","36","2,658","74","77.7","29.5","29","86","21","7","24","1","0.67","22","48","-26","-0.88","-0.29","31.4","40.3","-8.9","-0.30","+0.11",
"Vladimír Darida","czCZE","MF","Hertha BSC","deBundesliga","28","1990","28","2,256","81","73.7","25.1","25","85","17","3","45","2","1.21","37","43","-6","-0.24","+0.32","31.1","38.2","-7.0","-0.28","+0.21",
"Karl Darlow","wlsWAL","GK","Newcastle Utd","engPremier League","28","1990","0","","","","","0","","0","0","","37","","","","","","","","","","","",
"Matteo Darmian","itITA","DF","Parma","itSerie A","29","1989","33","2,685","81","78.5","29.8","30","88","27","3","14","0","1.30","42","45","-3","-0.10","-0.35","37.1","50.9","-13.8","-0.46","-0.21",
"Alphonso Davies","caCAN","DF","Bayern Munich","deBundesliga","18","2000","29","2,234","77","73.0","24.8","24","88","20","5","26","4","2.48","77","21","+56","+2.26","+0.95","68.8","26.0","+42.8","+1.73","+0.77",
"Ben Davies","wlsWAL","DF","Tottenham","engPremier League","26","1993","18","1,431","80","41.8","15.9","16","88","13","2","9","6","1.61","24","19","+5","+0.31","-0.09","19.2","21.2","-2.0","-0.12","+0.07",
"Tom Davies","engENG","MF","Everton","engPremier League","21","1998","30","2,027","68","59.3","22.5","23","83","16","7","16","6","1.33","21","34","-13","-0.58","-0.64","25.8","31.5","-5.7","-0.25","-0.79",
"Keinan Davis","engENG","FW","Aston Villa","engPremier League","21","1998","18","548","30","16.0","6.1","4","70","0","14","19","3","0.83","6","7","-1","-0.16","+0.62","8.4","6.3","+2.1","+0.35","+1.15",
"Paweł Dawidowicz","plPOL","DF","Hellas Verona","itSerie A","24","1995","15","693","46","20.3","7.7","7","72","4","8","24","9","1.60","11","7","+4","+0.52","+0.78","13.3","9.2","+4.2","+0.54","+0.79",
"Craig Dawson","engENG","DF","Watford","engPremier League","29","1990","29","2,361","81","69.0","26.2","26","88","25","3","22","5","0.90","25","49","-24","-0.91","-0.57","36.3","40.9","-4.6","-0.18","+0.22",
"Kevin De Bruyne","beBEL","MF","Manchester City","engPremier League","28","1991","35","2,791","80","81.6","31.0","32","84","20","3","32","1","2.23","87","22","+65","+2.10","+1.81","79.2","26.1","+53.1","+1.71","+1.34",
"Sebastien De Maio","frFRA","DF","Udinese","itSerie A","32","1987","21","1,500","71","43.9","16.7","17","87","13","4","7","15","1.43","15","17","-2","-0.12","+0.44","19.1","20.0","-0.9","-0.05","+0.46",
"Rodrigo De Paul","arARG","MF","Udinese","itSerie A","25","1994","34","2,822","83","82.5","31.4","33","85","26","1","20","0","1.21","32","43","-11","-0.35","+0.10","35.3","44.9","-9.6","-0.31","+0.03",
"Mattia De Sciglio","itITA","DF","Juventus","itSerie A","26","1992","9","471","52","13.8","5.2","6","73","4","3","11","10","2.67","10","3","+7","+1.34","+0.54","7.4","6.4","+1.0","+0.19","-0.57",
"Lorenzo De Silvestri","itITA","DF","Torino","itSerie A","31","1988","29","2,243","77","65.6","24.9","28","80","19","1","13","5","1.24","28","47","-19","-0.76","-0.53","26.9","39.0","-12.1","-0.49","-0.19",
"Lucas Deaux","frFRA","MF","Nîmes","frLigue 1","30","1988","17","1,335","79","53.0","14.8","15","86","10","2","25","0","1.12","16","18","-2","-0.13","+0.85","18.5","17.1","+1.4","+0.09","+1.01",
"Mathieu Debuchy","frFRA","DF","Saint-Étienne","frLigue 1","34","1985","21","1,769","84","70.2","19.7","20","88","18","1","6","4","1.10","22","34","-12","-0.61","-0.13","24.2","28.1","-4.0","-0.20","+0.21",
"Troy Deeney","engENG","FW","Watford","engPremier League","31","1988","27","2,225","82","65.1","24.7","26","84","16","1","35","2","0.96","27","39","-12","-0.49","+0.72","32.7","34.3","-1.6","-0.06","+0.52",
"Grégoire Defrel","mqMTQ","FW,MF","Sassuolo","itSerie A","28","1991","17","980","58","28.7","10.9","9","82","4","8","30","4","1.59","24","20","+4","+0.37","+0.29","18.2","17.7","+0.5","+0.05","+0.41",
"Alessandro Deiola","itITA","MF","Cagliari","itSerie A","23","1995","1","1","1","0.0","0.0","0","","0","1","1","15","0.00","0","1","-1","-90.00","-89.92","0.0","0.5","-0.5","-40.84","-40.40",
"Alessandro Deiola","itITA","MF","Lecce","itSerie A","23","1995","10","717","72","21.0","8.0","8","85","5","2","18","0","1.40","10","20","-10","-1.26","-0.49","9.4","20.4","-11.0","-1.38","-0.73",
"Romain Del Castillo","frFRA","FW,MF","Rennes","frLigue 1","23","1996","21","1,242","59","49.3","13.8","14","78","6","7","21","6","1.95","24","9","+15","+1.09","+1.16","20.7","12.8","+7.8","+0.57","+0.63",
"Thomas Delaine","frFRA","DF","Metz","frLigue 1","27","1992","16","1,254","78","49.8","13.9","14","88","12","2","13","7","1.00","11","22","-11","-0.79","-1.00","14.0","18.7","-4.7","-0.34","+0.11",
"Thomas Delaney","dkDEN","MF","Dortmund","deBundesliga","27","1991","11","830","75","27.1","9.2","11","75","5","0","","5","1.91","19","6","+13","+1.41","+0.20","16.2","8.5","+7.7","+0.84","+0.34",
"Tom Dele-Bashiru","ngNGA","MF","Watford","engPremier League","19","1999","0","","","","","0","","0","0","","4","","","","","","","","","","","",
"Paul Delecroix","frFRA","GK","Metz","frLigue 1","30","1988","2","136","68","5.4","1.5","1","91","1","1","45","24","0.00","1","4","-3","-1.99","-1.80","2.1","2.0","+0.1","+0.10","+0.52",
"Cristian Dell'Orco","itITA","DF","Lecce","itSerie A","25","1994","14","1,007","72","29.4","11.2","11","85","8","3","24","15","0.64","12","22","-10","-0.89","-0.04","15.8","21.1","-5.3","-0.47","+0.48",
"Andy Delort","dzALG","FW","Montpellier","frLigue 1","27","1991","26","2,280","88","90.5","25.3","26","88","20","0","","0","1.54","35","31","+4","+0.16","+1.28","33.1","30.9","+2.3","+0.09","+0.74",
"Fabian Delph","engENG","MF","Everton","engPremier League","29","1989","16","1,190","74","34.8","13.2","13","86","10","3","23","1","1.19","17","24","-7","-0.53","-0.33","20.6","16.5","+4.1","+0.31","+0.37",
"Isaías Delpupo","arARG","MF","Cagliari","itSerie A","16","2003","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Moussa Dembélé","frFRA","FW","Lyon","frLigue 1","23","1996","27","2,188","81","86.8","24.3","24","88","20","3","26","1","1.44","38","23","+15","+0.62","+0.62","34.7","23.6","+11.1","+0.46","+0.60",
"Ousmane Dembélé","frFRA","FW","Barcelona","esLa Liga","22","1997","5","357","71","10.4","4.0","3","89","2","2","45","0","2.40","8","2","+6","+1.51","+0.28","5.4","3.8","+1.6","+0.41","-0.36",
"Merih Demiral","trTUR","DF","Juventus","itSerie A","21","1998","6","418","70","12.2","4.6","5","76","4","1","40","19","2.50","13","4","+9","+1.94","+1.22","8.9","5.7","+3.2","+0.70","+0.01",
"Kerem Demirbay","deGER","MF","Leverkusen","deBundesliga","26","1993","25","1,573","63","51.4","17.5","18","80","8","7","19","7","1.80","29","22","+7","+0.40","-0.20","35.1","28.3","+6.8","+0.39","+0.33",
"Diego Demme","deGER","MF","Napoli","itSerie A","27","1991","15","902","60","26.4","10.0","10","78","3","5","25","3","1.73","13","14","-1","-0.10","-0.53","14.5","11.6","+2.9","+0.29","-0.22",
"Diego Demme","deGER","MF","RB Leipzig","deBundesliga","27","1991","17","1,211","71","39.6","13.5","14","81","10","3","28","0","2.18","37","18","+19","+1.41","+0.20","32.8","17.8","+15.0","+1.11","+0.26",
"Jason Denayer","beBEL","DF","Lyon","frLigue 1","24","1995","25","2,131","85","84.6","23.7","24","89","22","1","0","1","1.52","37","22","+15","+0.63","+0.63","30.8","23.0","+7.8","+0.33","-0.30",
"Leander Dendoncker","beBEL","MF,DF","Wolves","engPremier League","24","1995","38","2,795","74","81.7","31.1","32","85","27","6","14","0","1.55","41","34","+7","+0.23","-0.35","43.9","29.6","+14.3","+0.46","+0.21",
"Kévin Denkey","tgTOG","FW","Nîmes","frLigue 1","18","2000","17","603","35","23.9","6.7","6","82","2","11","10","6","0.82","8","9","-1","-0.15","+0.51","7.3","10.7","-3.4","-0.50","-0.17",
"Stefano Denswil","srSUR","DF","Bologna","itSerie A","26","1993","26","2,240","86","65.5","24.9","25","89","23","1","7","7","1.27","33","45","-12","-0.48","-0.41","38.4","35.9","+2.5","+0.10","+0.13",
"Fabio Depaoli","itITA","MF,DF","Sampdoria","itSerie A","22","1997","29","1,854","64","54.2","20.6","21","80","15","8","23","1","1.21","22","28","-6","-0.29","+0.34","23.4","28.3","-5.0","-0.24","-0.26",
"Kastriot Dermaku","alALB","DF","Parma","itSerie A","27","1992","16","1,026","64","30.0","11.4","10","87","8","6","26","22","1.69","20","15","+5","+0.44","+0.66","17.1","16.6","+0.5","+0.04","+0.65",
"Daniele Dessena","itITA","MF","Brescia","itSerie A","32","1987","24","1,869","78","54.6","20.8","22","81","13","2","45","0","0.63","22","40","-18","-0.87","+0.64","23.4","39.3","-16.0","-0.77","+0.11",
"Mattia Destro","itITA","FW","Bologna","itSerie A","28","1991","5","185","37","5.4","2.1","2","71","0","3","14","6","1.40","1","1","0","0.00","+0.36","3.9","1.7","+2.3","+1.10","+1.10",
"Mattia Destro","itITA","FW,MF","Genoa","itSerie A","28","1991","8","150","19","4.4","1.7","1","58","0","7","13","13","0.75","3","7","-4","-2.40","-1.79","3.9","3.6","+0.3","+0.18","+0.50",
"Gerard Deulofeu","esESP","FW","Watford","engPremier League","25","1994","28","2,098","75","61.3","23.3","25","79","11","3","43","0","0.96","22","33","-11","-0.47","+0.69","27.7","35.5","-7.8","-0.34","-0.24",
"Deyverson","brBRA","FW","Getafe","esLa Liga","28","1991","5","204","41","6.0","2.3","3","52","0","2","24","5","1.80","4","1","+3","+1.32","+1.24","3.4","2.6","+0.8","+0.35","+0.36",
"Samuel Di Carmine","itITA","FW,MF","Hellas Verona","itSerie A","30","1988","22","1,293","59","37.8","14.4","17","69","3","5","24","9","0.95","17","22","-5","-0.35","-0.39","20.3","18.6","+1.7","+0.12","+0.32",
"Federico Di Francesco","itITA","FW","SPAL","itSerie A","25","1994","20","1,082","54","31.6","12.0","13","74","4","7","17","5","0.55","11","27","-16","-1.33","-0.02","15.3","23.6","-8.3","-0.69","+0.06",
"Giovanni Di Lorenzo","itITA","DF","Napoli","itSerie A","25","1993","33","2,970","90","86.8","33.0","33","90","33","0","","4","1.52","50","44","+6","+0.18","-0.82","52.9","40.8","+12.1","+0.37","-0.61",
"Ángel Di María","arARG","FW,MF","Paris S-G","frLigue 1","31","1988","26","2,000","77","82.3","22.2","23","83","15","3","27","1","2.50","63","20","+43","+1.94","+0.26","62.5","20.2","+42.4","+1.91","+0.07",
"Boulaye Dia","snSEN","FW","Reims","frLigue 1","22","1996","24","1,812","76","71.9","20.1","21","82","12","3","28","0","1.50","20","17","+3","+0.15","-0.11","21.8","18.5","+3.4","+0.17","+0.32",
"Amadou Dia Ndiaye","snSEN","FW","Metz","frLigue 1","19","2000","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Fousseni Diabaté","mlMLI","FW,MF","Amiens","frLigue 1","23","1995","20","1,190","60","47.2","13.2","15","74","1","5","17","2","0.80","14","26","-12","-0.91","-0.43","10.1","19.7","-9.6","-0.73","-0.58",
"Moussa Diaby","frFRA","FW,MF","Leverkusen","deBundesliga","20","1999","28","1,771","63","57.9","19.7","18","84","12","10","26","6","1.86","33","29","+4","+0.20","-0.70","32.5","33.4","-0.9","-0.05","-0.66",
"Mouctar Diakhaby","gnGUI","DF","Valencia","esLa Liga","22","1996","21","1,444","69","42.2","16.0","15","89","14","6","18","10","1.67","20","23","-3","-0.19","0.00","20.0","24.6","-4.6","-0.29","+0.08",
"Bafodé Diakité","frFRA","DF","Toulouse","frLigue 1","18","2001","16","1,366","85","54.2","15.2","16","85","14","0","","0","0.75","9","27","-18","-1.19","+0.22","17.0","21.9","-4.9","-0.32","+0.38",
"Abdou Diallo","snSEN","DF","Paris S-G","frLigue 1","23","1996","16","1,201","75","49.4","13.3","14","80","10","2","42","5","2.44","27","9","+18","+1.35","-1.07","30.3","9.1","+21.2","+1.59","-0.60",
"Amad Diallo","ciCIV","FW","Atalanta","itSerie A","17","2002","3","27","9","0.8","0.3","0","","0","3","9","3","2.00","1","1","0","0.00","-1.33","0.3","0.2","+0.1","+0.35","-0.76",
"Habib Diallo","snSEN","FW","Metz","frLigue 1","24","1995","26","2,196","84","87.1","24.4","26","84","22","0","","0","1.08","22","29","-7","-0.29","-0.01","22.9","33.2","-10.3","-0.42","-0.23",
"Ibrahima Diallo","frFRA","MF","Brest","frLigue 1","20","1999","19","1,561","82","61.9","17.3","18","86","15","1","6","1","1.16","19","26","-7","-0.40","-0.78","17.4","31.9","-14.5","-0.84","-0.81",
"Moussa Diarra","mlMLI","DF","Toulouse","frLigue 1","18","2000","1","90","90","3.6","1.0","1","90","1","0","","7","0.00","0","3","-3","-3.00","-1.78","0.3","1.0","-0.7","-0.70","-0.21",
"Lucas Dias","frFRA","GK","Nîmes","frLigue 1","20","1999","4","317","79","12.6","3.5","3","90","3","1","46","24","0.75","4","6","-2","-0.57","-0.04","3.0","6.5","-3.5","-1.00","-0.71",
"Amadou Diawara","gnGUI","MF","Roma","itSerie A","22","1997","22","1,518","69","44.4","16.9","19","78","11","3","11","6","1.95","35","20","+15","+0.89","+0.37","33.3","21.1","+12.1","+0.72","+0.16",
"Brahim Díaz","maMAR","FW","Real Madrid","esLa Liga","19","1999","6","65","11","1.9","0.7","0","","0","6","11","10","2.17","0","1","-1","-1.38","-2.62","0.4","1.3","-0.9","-1.21","-2.16",
"Javier Díaz","esESP","GK","Sevilla","esLa Liga","22","1997","0","","","","","0","","0","0","","10","","","","","","","","","","","",
"Víctor Díaz","esESP","DF","Granada","esLa Liga","31","1988","36","2,884","80","84.3","32.0","33","85","27","3","21","1","1.53","43","43","0","0.00","-1.18","37.9","37.7","+0.2","+0.01","-0.35",
"Bakaye Dibassy","mlMLI","DF","Amiens","frLigue 1","29","1989","22","1,868","85","74.1","20.8","22","85","20","0","","1","0.91","21","35","-14","-0.67","+0.02","20.6","26.4","-5.8","-0.28","+0.56",
"Lorenzo Dickmann","itITA","DF,MF","SPAL","itSerie A","22","1996","0","","","","","0","","0","0","","2","","","","","","","","","","","",
"Eric Dier","engENG","DF,MF","Tottenham","engPremier League","25","1994","19","1,344","71","39.3","14.9","15","85","13","4","18","13","1.95","26","23","+3","+0.20","-0.28","21.7","22.1","-0.4","-0.03","+0.23",
