Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Éver Banega","arARG","MF","Sevilla","esLa Liga","31","1988","33","2,475","75","72.4","27.5","28","83","16","5","30","2","1.67","34","29","+5","+0.18","-1.25","37.1","28.2","+8.9","+0.32","-0.46",
"Mattia Bani","itITA","DF","Bologna","itSerie A","25","1993","27","2,207","82","64.5","24.5","26","84","21","1","26","2","1.26","36","40","-4","-0.16","+0.50","36.8","32.7","+4.0","+0.16","+0.31",
"Beni Baningime","cdCOD","MF","Everton","engPremier League","20","1998","0","","","","","0","","0","0","","10","","","","","","","","","","","",
"Antonín Barák","czCZE","MF,FW","Udinese","itSerie A","24","1994","8","194","24","5.7","2.2","1","69","0","7","18","13","0.63","0","3","-3","-1.39","-1.08","1.5","4.5","-3.0","-1.38","-1.14",
"Antonín Barák","czCZE","MF","Lecce","itSerie A","24","1994","16","1,369","86","40.0","15.2","15","90","15","1","19","0","1.19","28","37","-9","-0.59","+0.46","26.7","33.9","-7.2","-0.47","+0.56",
"Federico Barba","itITA","DF","Valladolid","esLa Liga","25","1993","5","450","90","13.2","5.0","5","90","5","0","","4","0.60","4","12","-8","-1.60","-1.51","4.3","10.4","-6.1","-1.22","-0.86",
"Théo Barbet","frFRA","DF","Dijon","frLigue 1","18","2001","0","","","","","0","","0","0","","6","","","","","","","","","","","",
"Danilo Barbosa","brBRA","DF,MF","Nice","frLigue 1","23","1996","16","1,122","70","44.5","12.5","12","89","11","4","15","7","1.38","17","15","+2","+0.16","+0.10","15.5","20.7","-5.2","-0.41","-0.22",
"Melvin Bard","frFRA","DF","Lyon","frLigue 1","18","2000","1","45","45","1.8","0.5","0","","0","1","45","1","3.00","3","0","+3","+6.00","+5.56","0.9","0.1","+0.9","+1.77","+1.42",
"Enis Bardhi","mkMKD","MF","Levante","esLa Liga","24","1995","30","2,114","70","61.8","23.5","23","85","16","7","23","2","1.33","35","34","+1","+0.04","+0.52","31.1","36.9","-5.8","-0.25","+0.37",
"Phil Bardsley","sctSCO","DF","Burnley","engPremier League","34","1985","21","1,890","90","55.3","21.0","21","90","21","0","","10","1.67","26","19","+7","+0.33","+1.16","28.5","25.6","+2.9","+0.14","+0.45",
"Nicolò Barella","itITA","MF","Inter","itSerie A","22","1997","27","2,013","75","58.9","22.4","23","83","17","4","27","1","2.30","45","21","+24","+1.07","-0.27","40.9","24.1","+16.7","+0.75","-0.02",
"Philipp Bargfrede","deGER","MF","Werder Bremen","deBundesliga","30","1989","15","586","39","19.2","6.5","6","67","0","9","20","6","1.27","6","11","-5","-0.77","+0.03","8.3","8.3","0.0","0.00","+0.58",
"Antonino Barillà","itITA","MF","Parma","itSerie A","31","1988","26","1,688","65","49.4","18.8","20","78","9","6","22","8","1.42","28","30","-2","-0.11","-0.16","23.1","30.2","-7.0","-0.38","+0.08",
"Kike Barja","esESP","MF,FW","Osasuna","esLa Liga","22","1997","8","313","39","9.2","3.5","4","68","0","4","11","2","2.13","6","4","+2","+0.58","+0.86","4.6","3.0","+1.5","+0.45","+0.49",
"Ross Barkley","engENG","MF","Chelsea","engPremier League","25","1993","21","1,103","53","32.3","12.3","13","72","4","8","21","7","2.05","27","14","+13","+1.06","+0.98","26.8","11.0","+15.8","+1.29","+0.71",
"Aymen Barkok","maMAR","FW,MF","Düsseldorf","deBundesliga","21","1998","3","79","26","2.6","0.9","1","45","0","2","17","3","0.00","0","3","-3","-3.42","-2.57","0.2","2.4","-2.2","-2.54","-1.86",
