Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Luis Milla","esESP","MF","Getafe","esLa Liga","31-054","1994","14","1,257","90","99.8","14.0","14","90","11","0","","0","1.43","13","14","-1","-0.07","+29.93","10.1","12.8","-2.6","-0.19","+21.53",
"Gianluca Mancini","itITA","DF","Roma","itSerie A","29-227","1996","12","1,074","90","99.4","11.9","12","90","11","0","","0","2.25","15","5","+10","+0.84","+15.84","16.1","12.7","+3.4","+0.29","+7.25",
"Quilindschy Hartman","nlNED","DF","Burnley","engPremier League","24-016","2001","13","1,157","89","98.9","12.9","13","89","11","0","","0","0.77","14","24","-10","-0.78","+13.07","9.0","26.5","-17.5","-1.36","+6.14",
"Vladimír Coufal","czCZE","DF","Hoffenheim","deBundesliga","33-100","1992","12","1,068","89","98.9","11.9","12","89","10","0","","0","1.92","25","16","+9","+0.76","+8.26","19.7","17.5","+2.2","+0.18","+7.32",
"Ritsu Doan","jpJPN","FW,MF","Eint Frankfurt","deBundesliga","27-167","1998","11","892","81","90.1","9.9","11","81","4","0","","0","1.82","27","15","+12","+1.21","+7.64","16.5","9.7","+6.8","+0.68","+2.55",
"Adrien Truffert","frFRA","DF","Bournemouth","engPremier League","24-010","2001","13","1,142","88","97.6","12.7","13","88","12","0","","0","1.46","21","21","0","0.00","+6.43","17.9","16.2","+1.7","+0.14","+0.02",
"Josh Cullen","ieIRL","MF","Burnley","engPremier League","29-237","1996","13","1,112","86","95.0","12.4","13","86","9","0","","0","0.77","14","22","-8","-0.65","+5.56","8.6","25.3","-16.6","-1.35","+1.65",
"Cesare Casadei","itITA","MF","Torino","itSerie A","22-324","2003","12","983","82","91.0","10.9","11","85","9","1","45","0","1.17","11","15","-4","-0.37","+5.20","12.7","15.5","-2.8","-0.26","+1.82",
"Rani Khedira","deGER","MF","Union Berlin","deBundesliga","31-307","1994","12","1,062","89","98.3","11.8","12","89","11","0","","0","1.25","15","18","-3","-0.25","+4.75","12.4","17.4","-5.0","-0.42","+0.96",
"Jonathan Burkardt","deGER","FW","Eint Frankfurt","deBundesliga","25-142","2000","10","680","68","68.7","7.6","8","78","1","2","29","0","1.70","21","7","+14","+1.85","+4.47","13.9","6.6","+7.3","+0.97","+1.71",
"Arthur Avom","cmCMR","MF","Lorient","frLigue 1","20-350","2004","13","998","77","85.3","11.1","11","86","8","2","26","0","0.85","14","17","-3","-0.27","+4.44","15.7","13.5","+2.1","+0.19","+3.21",
