Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches 
"Suat Serdar","deGER","MF","Mainz 05","deBundesliga","20","1997","18.9","2","39","13","33.3","2.06","0.69","0.05","0.15","23.4","0","0","0","1.7","1.7","0.04","+0.3","+0.3",
"Maximilian Eggestein","deGER","MF","Werder Bremen","deBundesliga","20","1996","29.9","2","43","14","32.6","1.44","0.47","0.05","0.14","17.5","0","0","0","4.9","4.9","0.11","-2.9","-2.9",
"Keagan Dolly","zaRSA","MF,FW","Montpellier","frLigue 1","24","1993","9.8","1","22","7","31.8","2.25","0.72","0.05","0.14","23.6","0","0","0","1.7","1.7","0.08","-0.7","-0.7",
"Mario Gómez","deGER","FW","Wolfsburg","deBundesliga","32","1985","10.4","1","22","7","31.8","2.12","0.67","0.05","0.14","19.5","0","0","2","4.4","2.8","0.13","-3.4","-1.8",
"Jacob Murphy","engENG","MF,FW","Newcastle Utd","engPremier League","22","1995","12.8","1","22","7","31.8","1.72","0.55","0.05","0.14","22.3","0","0","0","1.8","1.8","0.08","-0.8","-0.8",
"George Pușcaș","roROU","FW,MF","Benevento","itSerie A","21","1996","7.8","1","22","7","31.8","2.82","0.90","0.05","0.14","16.2","0","0","0","1.8","1.8","0.08","-0.8","-0.8",
"Dominic Solanke","engENG","FW","Liverpool","engPremier League","19","1997","6.6","1","22","7","31.8","3.32","1.06","0.05","0.14","14.7","0","0","0","3.5","3.5","0.16","-2.5","-2.5",
"Jasmin Kurtić","siSVN","MF,FW","SPAL","itSerie A","28","1989","16.0","1","19","6","31.6","1.19","0.37","0.05","0.17","22.4","0","0","0","1.0","1.0","0.05","0.0","0.0",
"Diego Falcinelli","itITA","FW","Sassuolo","itSerie A","26","1991","14.6","2","42","13","31.0","2.88","0.89","0.05","0.15","14.8","0","0","0","4.2","4.0","0.10","-2.2","-2.0",
"Édgar Barreto","pyPAR","MF","Sampdoria","itSerie A","33","1984","21.8","1","21","6","28.6","0.96","0.27","0.05","0.17","20.5","0","0","0","1.3","1.3","0.06","-0.3","-0.3",
"Yann Karamoh","frFRA","FW,MF","Inter","itSerie A","19","1998","5.4","1","19","5","26.3","3.50","0.92","0.05","0.20","19.4","0","0","0","2.2","2.2","0.11","-1.2","-1.2",
"Prince Oniangué","cgCGO","MF","Angers","frLigue 1","28","1988","11.7","1","19","5","26.3","1.62","0.43","0.05","0.20","15.6","0","0","0","2.8","2.8","0.16","-1.8","-1.8",
"Ibrahim Sangaré","ciCIV","MF","Toulouse","frLigue 1","19","1997","17.6","1","20","5","25.0","1.13","0.28","0.05","0.20","25.1","0","0","0","1.0","1.0","0.05","0.0","0.0",
"Rafael Tolói","itITA","DF","Atalanta","itSerie A","26","1990","27.2","1","20","5","25.0","0.74","0.18","0.05","0.20","12.9","0","0","0","2.1","2.1","0.11","-1.1","-1.1",
"Karim Benzema","frFRA","FW","Real Madrid","esLa Liga","29","1987","23.9","5","61","15","24.6","2.55","0.63","0.05","0.20","13.2","0","2","2","12.8","11.2","0.19","-7.8","-8.2",
"Stipe Perica","hrCRO","FW","Udinese","itSerie A","22","1995","10.5","1","21","5","23.8","2.00","0.48","0.05","0.20","13.6","0","0","0","2.3","2.3","0.11","-1.3","-1.3",
"Claudio Beauvue","gpGLP","FW","Leganés","esLa Liga","29","1988","18.6","2","39","9","23.1","2.10","0.48","0.05","0.22","17.3","0","0","0","4.2","4.2","0.11","-2.2","-2.2",
"Steven Nzonzi","frFRA","MF","Sevilla","esLa Liga","28","1988","24.6","1","22","5","22.7","0.89","0.20","0.05","0.20","20.1","0","0","0","2.0","2.0","0.09","-1.0","-1.0",
"Seko Fofana","ciCIV","MF","Udinese","itSerie A","22","1995","20.8","3","40","9","22.5","1.93","0.43","0.05","0.22","25.6","0","1","1","2.5","1.7","0.04","+0.5","+0.3",
"Danny Latza","deGER","MF","Mainz 05","deBundesliga","27","1989","26.1","2","40","9","22.5","1.53","0.34","0.05","0.22","23.3","0","0","0","1.7","1.7","0.04","+0.3","+0.3",
"Scott Dann","engENG","DF","Crystal Palace","engPremier League","30","1987","15.9","1","19","4","21.1","1.19","0.25","0.05","0.25","10.2","0","0","0","2.3","2.3","0.12","-1.3","-1.3",
"Jesús Navas","esESP","FW,DF","Sevilla","esLa Liga","31","1985","19.6","1","19","4","21.1","0.97","0.20","0.05","0.25","18.9","0","0","0","1.1","1.1","0.06","-0.1","-0.1",
