Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Adrián","esESP","GK","Betis","esLa Liga","37","1987","19.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Adryelson","brBRA","DF","Lyon","frLigue 1","26","1998","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Vasilije Adžić","meMNE","MF,FW","Juventus","itSerie A","18","2006","0.5","0","1","1","100.0","2.14","2.14","0.00","0.00","29.1","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","27","1997","8.0","0","10","5","50.0","1.24","0.62","0.00","0.00","22.0","1","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Oladapo Afolayan","engENG","FW,MF","St. Pauli","deBundesliga","26","1998","18.2","3","38","13","34.2","2.09","0.71","0.08","0.23","20.4","0","0","0","3.1","3.1","0.08","-0.1","-0.1",
"Emmanuel Agbadou","ciCIV","DF","Wolves","engPremier League","27","1997","15.7","1","7","2","28.6","0.45","0.13","0.14","0.50","27.6","1","0","0","0.8","0.8","0.12","+0.2","+0.2",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","27","1997","14.0","0","15","3","20.0","1.07","0.21","0.00","0.00","28.8","1","0","0","0.5","0.5","0.04","-0.5","-0.5",
"Asher Agbinone","engENG","MF","Crystal Palace","engPremier League","18","2005","0.1","0","1","0","0.0","15.00","0.00","0.00","","26.3","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Jeremy Agbonifo","seSWE","FW,MF","Lens","frLigue 1","18","2005","3.3","1","6","4","66.7","1.80","1.20","0.17","0.25","14.1","0","0","0","0.7","0.7","0.11","+0.3","+0.3",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","23","2000","13.4","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","22","2002","23.5","1","10","2","20.0","0.43","0.09","0.10","0.50","15.0","0","0","0","0.9","0.9","0.09","+0.1","+0.1",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","24","1999","19.5","3","9","4","44.4","0.46","0.21","0.33","0.75","13.3","0","0","0","1.4","1.4","0.15","+1.6","+1.6",
"Álvaro Aguado","esESP","MF","Espanyol","esLa Liga","28","1996","4.9","0","10","1","10.0","2.03","0.20","0.00","0.00","23.0","1","0","0","0.6","0.6","0.06","-0.6","-0.6",
"Lorenzo Aguado","esESP","DF","Real Madrid","esLa Liga","21","2002","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Nayef Aguerd","maMAR","DF","Real Sociedad","esLa Liga","28","1996","19.6","0","15","5","33.3","0.77","0.26","0.00","0.00","11.5","0","0","0","2.4","2.4","0.16","-2.4","-2.4",
"Ruben Aguilar","frFRA","DF,MF","Lens","frLigue 1","31","1993","12.5","1","11","3","27.3","0.88","0.24","0.09","0.33","16.0","0","0","0","0.8","0.8","0.07","+0.2","+0.2",
"Naouirou Ahamada","frFRA","MF,FW","Rennes","frLigue 1","22","2002","0.6","0","1","0","0.0","1.55","0.00","0.00","","28.2","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Honest Ahanor","itITA","DF,MF","Genoa","itSerie A","16","2008","3.0","0","3","1","33.3","1.00","0.33","0.00","0.00","10.5","0","0","0","0.5","0.5","0.17","-0.5","-0.5",
"Erik Ahlstrand","seSWE","FW,MF","St. Pauli","deBundesliga","22","2001","0.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jean-Eudes Aholou","ciCIV","MF","Angers","frLigue 1","30","1994","21.8","2","27","7","25.9","1.24","0.32","0.07","0.29","18.2","0","0","0","1.8","1.8","0.07","+0.2","+0.2",
"Joseph Aidoo","ghGHA","DF","Valladolid","esLa Liga","28","1995","6.5","0","1","0","0.0","0.15","0.00","0.00","","10.3","0","0","0","0.0","0.0","0.04","0.0","0.0",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","28","1995","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Ayman Aiki","frFRA","FW,MF","Saint-Étienne","frLigue 1","19","2005","1.4","0","3","1","33.3","2.13","0.71","0.00","0.00","23.5","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Ola Aina","ngNGA","DF","Nott'ham Forest","engPremier League","27","1996","33.3","2","11","2","18.2","0.33","0.06","0.18","1.00","26.1","0","0","0","0.6","0.6","0.06","+1.4","+1.4",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","23","2001","34.5","4","36","10","27.8","1.04","0.29","0.11","0.40","14.9","0","0","0","2.7","2.7","0.08","+1.3","+1.3",
"Junior Ajayi","ciCIV","FW","Hellas Verona","itSerie A","19","2004","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","26","1998","16.0","0","9","3","33.3","0.56","0.19","0.00","0.00","9.5","0","0","0","1.0","1.0","0.11","-1.0","-1.0",
"Ludovic Ajorque","frFRA","FW","Brest","frLigue 1","30","1994","27.7","13","53","25","47.2","1.91","0.90","0.25","0.52","12.1","0","0","1","10.4","9.6","0.18","+2.6","+3.4",
"Manuel Akanji","chSUI","DF","Manchester City","engPremier League","29","1995","22.4","0","15","2","13.3","0.67","0.09","0.00","0.00","14.7","0","0","0","1.6","1.6","0.10","-1.6","-1.6",
"Ümit Akdag","roROU","DF","Toulouse","frLigue 1","20","2003","5.6","0","2","0","0.0","0.36","0.00","0.00","","24.3","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","29","1995","7.5","0","3","0","0.0","0.40","0.00","0.00","","10.0","0","0","0","0.2","0.2","0.07","-0.2","-0.2",
"Ilias Akhomach","maMAR","MF,FW","Villarreal","esLa Liga","20","2004","6.5","1","17","6","35.3","2.62","0.92","0.06","0.17","23.3","0","0","0","0.6","0.6","0.03","+0.4","+0.4",
"Sergio Akieme","esESP","DF","Reims","frLigue 1","26","1997","28.0","2","26","7","26.9","0.93","0.25","0.08","0.29","20.1","1","0","0","1.5","1.5","0.06","+0.5","+0.5",
"Maghnes Akliouche","frFRA","FW,MF","Monaco","frLigue 1","22","2002","26.7","5","61","17","27.9","2.28","0.64","0.07","0.24","16.0","2","1","1","9.2","8.4","0.14","-4.2","-4.4",
"Paul Akouokou","ciCIV","MF","Lyon","frLigue 1","26","1997","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Clément Akpa","ciCIV","DF","Auxerre","frLigue 1","22","2001","27.6","0","6","1","16.7","0.22","0.04","0.00","0.00","15.1","0","0","0","0.3","0.3","0.05","-0.3","-0.3",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Monza","itSerie A","31","1992","10.7","0","4","2","50.0","0.37","0.19","0.00","0.00","18.0","0","0","0","0.3","0.3","0.08","-0.3","-0.3",
"David Akpan Ankeye","ngNGA","FW,MF","Genoa","itSerie A","22","2002","0.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","29","1995","24.7","0","5","1","20.0","0.20","0.04","0.00","0.00","31.0","0","0","0","0.1","0.1","0.02","-0.1","-0.1",
"Chuba Akpom","engENG","FW","Lille","frLigue 1","28","1995","7.1","3","18","9","50.0","2.54","1.27","0.11","0.22","13.2","0","1","2","5.0","3.4","0.19","-2.0","-1.4",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","32","1992","3.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Ibrahim Alani","ngNGA","MF","Valladolid","esLa Liga","18","2006","1.8","0","1","0","0.0","0.56","0.00","0.00","","30.2","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Andreas Albers","dkDEN","FW","St. Pauli","deBundesliga","34","1990","0.7","1","3","1","33.3","4.35","1.45","0.33","1.00","11.9","0","0","0","0.6","0.6","0.20","+0.4","+0.4",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","38","1985","13.2","0","2","0","0.0","0.15","0.00","0.00","","9.6","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Carlos Alcaraz","arARG","MF","Southampton","engPremier League","21","2002","0.1","0","1","1","100.0","9.00","9.00","0.00","0.00","9.7","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"Carlos Alcaraz","arARG","FW,MF","Everton","engPremier League","21","2002","8.5","2","26","11","42.3","3.06","1.30","0.08","0.18","20.3","1","0","0","1.7","1.7","0.07","+0.3","+0.3",
"Omar Alderete","pyPAR","DF","Getafe","esLa Liga","27","1996","33.0","1","38","10","26.3","1.15","0.30","0.03","0.10","21.9","7","0","0","1.7","1.7","0.04","-0.7","-0.7",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","26","1998","5.0","0","5","1","20.0","1.00","0.20","0.00","0.00","13.7","0","0","0","0.9","0.9","0.18","-0.9","-0.9",
"Carles Aleñá","esESP","MF,FW","Alavés","esLa Liga","26","1998","12.1","0","15","4","26.7","1.24","0.33","0.00","0.00","19.8","1","0","0","0.7","0.7","0.05","-0.7","-0.7",
"Ben Alexander Voll","deGER","GK","St. Pauli","deBundesliga","23","2000","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","25","1998","26.3","3","45","8","17.8","1.71","0.30","0.07","0.38","23.6","3","0","0","1.9","1.9","0.04","+1.1","+1.1",
"Alfon","esESP","FW,MF","Celta Vigo","esLa Liga","25","1999","15.2","5","46","19","41.3","3.02","1.25","0.11","0.26","17.3","0","0","0","4.6","4.6","0.10","+0.4","+0.4",
"Mohamed Ali Cho","frFRA","FW,MF","Nice","frLigue 1","20","2004","18.0","3","36","15","41.7","2.00","0.83","0.08","0.20","17.7","0","0","0","4.0","4.0","0.11","-1.0","-1.0",
"Faride Alidou","deGER","FW,MF","Hellas Verona","itSerie A","23","2001","0.8","0","1","0","0.0","1.27","0.00","0.00","","32.2","0","0","0","0.0","0.0","0.01","0.0","0.0",
"Alisson","brBRA","GK","Liverpool","engPremier League","31","1992","27.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Tadeo Allende","arARG","FW","Celta Vigo","esLa Liga","25","1999","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jim Allevinah","gaGAB","FW","Angers","frLigue 1","29","1995","19.4","1","35","10","28.6","1.80","0.51","0.03","0.10","14.5","0","0","0","4.2","4.2","0.12","-3.2","-3.2",
"Dele Alli","engENG","MF","Como","itSerie A","28","1996","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Thiago Almada","arARG","MF,FW","Lyon","frLigue 1","23","2001","10.6","1","23","5","21.7","2.18","0.47","0.04","0.20","20.5","1","0","0","2.0","2.0","0.09","-1.0","-1.0",
"Domingos André Ribeiro Almeida","ptPOR","MF,FW","Valencia","esLa Liga","24","2000","22.0","0","18","5","27.8","0.82","0.23","0.00","0.00","24.1","2","0","0","1.2","1.2","0.07","-1.2","-1.2",
"Iker Almena","esESP","FW,DF","Girona","esLa Liga","20","2004","0.5","0","1","0","0.0","1.87","0.00","0.00","","24.7","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Miguel Almirón","pyPAR","FW","Newcastle Utd","engPremier League","30","1994","1.7","0","6","2","33.3","3.44","1.15","0.00","0.00","14.2","0","0","0","0.5","0.5","0.09","-0.5","-0.5",
"Pontus Almqvist","seSWE","FW,MF","Parma","itSerie A","25","1999","12.4","1","26","9","34.6","2.10","0.73","0.04","0.11","17.4","0","0","0","2.1","2.1","0.08","-1.1","-1.1",
"Marcos Alonso","esESP","DF","Celta Vigo","esLa Liga","33","1990","29.4","3","31","10","32.3","1.05","0.34","0.00","0.00","20.3","7","3","3","4.0","1.6","0.05","-1.0","-1.6",
"Giorgio Altare","itITA","DF","Venezia","itSerie A","25","1998","8.4","0","3","1","33.3","0.36","0.12","0.00","0.00","15.2","0","0","0","0.2","0.2","0.05","-0.2","-0.2",
"Adrià Altimira","esESP","DF,FW","Leganés","esLa Liga","23","2001","18.1","0","7","2","28.6","0.39","0.11","0.00","0.00","24.1","0","0","0","0.3","0.3","0.04","-0.3","-0.3",
"Sergi Altimira","esESP","MF","Betis","esLa Liga","22","2001","21.9","0","21","4","19.0","0.96","0.18","0.00","0.00","21.2","0","0","0","1.7","1.6","0.08","-1.7","-1.6",
"Olabade Aluko","","DF","Leicester City","engPremier League","","","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Edson Álvarez","mxMEX","MF","West Ham","engPremier League","26","1997","19.7","0","12","1","8.3","0.61","0.05","0.00","0.00","26.3","0","0","0","0.4","0.4","0.03","-0.4","-0.4",
"Hugo Álvarez","esESP","MF,DF","Celta Vigo","esLa Liga","21","2003","17.5","4","25","9","36.0","1.43","0.52","0.16","0.44","16.2","1","0","0","2.5","2.5","0.10","+1.5","+1.5",
"Julián Álvarez","arARG","FW","Atlético Madrid","esLa Liga","24","2000","27.9","17","70","36","51.4","2.51","1.29","0.19","0.36","18.3","5","4","4","14.1","11.0","0.16","+2.9","+2.0",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","29","1995","19.8","1","9","2","22.2","0.45","0.10","0.11","0.50","15.5","0","0","0","0.5","0.5","0.05","+0.5","+0.5",
"Skelly Alvero","frFRA","MF","Werder Bremen","deBundesliga","22","2002","2.6","0","1","0","0.0","0.38","0.00","0.00","","14.8","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Will Alves","engENG","FW","Leicester City","engPremier League","19","2005","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Selim Amallah","maMAR","MF","Valladolid","esLa Liga","27","1996","15.3","3","21","7","33.3","1.37","0.46","0.10","0.29","22.9","1","1","1","3.5","2.7","0.13","-0.5","-0.7",
"Harry Amass","engENG","DF","Manchester Utd","engPremier League","17","2007","3.8","0","3","0","0.0","0.78","0.00","0.00","","21.7","0","0","0","0.1","0.1","0.02","-0.1","-0.1",
"Amath","snSEN","FW,DF","Valladolid","esLa Liga","28","1996","4.2","0","5","1","20.0","1.20","0.24","0.00","0.00","13.7","0","0","0","0.4","0.4","0.07","-0.4","-0.4",
"Jordan Amavi","frFRA","DF","Brest","frLigue 1","30","1994","8.8","0","8","3","37.5","0.91","0.34","0.00","0.00","25.0","1","0","0","0.3","0.3","0.03","-0.3","-0.3",
"Aurele Amenda","chSUI","DF","Eint Frankfurt","deBundesliga","21","2003","1.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kelvin Amian","frFRA","DF","Nantes","frLigue 1","26","1998","24.1","1","7","4","57.1","0.29","0.17","0.14","0.25","14.9","0","0","0","1.0","1.0","0.14","0.0","0.0",
"Michael Amir Murillo","paPAN","DF","Marseille","frLigue 1","28","1996","27.1","1","13","4","30.8","0.48","0.15","0.08","0.25","18.8","2","0","0","1.5","1.5","0.12","-0.5","-0.5",
"Nadiem Amiri","deGER","MF","Mainz 05","deBundesliga","27","1996","27.5","7","60","24","40.0","2.18","0.87","0.08","0.21","24.7","10","2","2","5.5","3.9","0.07","+1.5","+1.1",
"Samuel Amo-Ameyaw","engENG","FW,DF","Southampton","engPremier League","18","2006","0.3","0","1","0","0.0","3.21","0.00","0.00","","20.7","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Samuel Amo-Ameyaw","engENG","DF,MF","Strasbourg","frLigue 1","18","2006","3.6","2","9","7","77.8","2.53","1.97","0.22","0.29","17.0","0","0","0","0.7","0.7","0.08","+1.3","+1.3",
"Mathis Amougou","frFRA","MF","Chelsea","engPremier League","18","2006","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Mathis Amougou","frFRA","MF","Saint-Étienne","frLigue 1","18","2006","9.5","0","7","1","14.3","0.73","0.10","0.00","0.00","18.9","0","0","0","0.5","0.5","0.06","-0.5","-0.5",
"Mohamed Amoura","dzALG","FW","Wolfsburg","deBundesliga","24","2000","27.4","10","73","25","34.2","2.66","0.91","0.11","0.32","16.8","0","2","2","8.7","7.2","0.10","+1.3","+0.8",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","27","1996","2.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Joachim Andersen","dkDEN","DF","Crystal Palace","engPremier League","28","1996","1.0","0","1","1","100.0","1.00","1.00","0.00","0.00","25.2","0","0","0","0.0","0.0","0.04","0.0","0.0",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","28","1996","28.7","0","19","4","21.1","0.66","0.14","0.00","0.00","15.1","0","0","0","1.0","1.0","0.05","-1.0","-1.0",
"Elliot Anderson","engENG","MF","Nott'ham Forest","engPremier League","21","2002","30.3","2","40","7","17.5","1.32","0.23","0.05","0.29","18.8","0","0","0","2.1","2.1","0.05","-0.1","-0.1",
"André","brBRA","MF","Wolves","engPremier League","23","2001","27.5","0","10","1","10.0","0.36","0.04","0.00","0.00","25.5","0","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Benjamin André","frFRA","MF","Lille","frLigue 1","33","1990","29.9","0","16","4","25.0","0.53","0.13","0.00","0.00","15.6","0","0","0","1.4","1.4","0.09","-1.4","-1.4",
"Marcos André","brBRA","FW","Valladolid","esLa Liga","27","1996","13.2","1","22","2","9.1","1.67","0.15","0.05","0.50","14.0","0","0","0","2.7","2.7","0.12","-1.7","-1.7",
"Robert Andrich","deGER","MF,DF","Leverkusen","deBundesliga","29","1994","17.8","2","21","5","23.8","1.18","0.28","0.10","0.40","21.9","0","0","0","1.3","1.3","0.06","+0.7","+0.7",
"Angeliño","esESP","DF","Roma","itSerie A","27","1997","35.3","2","24","6","25.0","0.68","0.17","0.08","0.33","20.0","0","0","0","1.4","1.4","0.06","+0.6","+0.6",
"Lorenzo Anghelè","itITA","FW","Juventus","itSerie A","19","2005","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Faustino Anjorin","engENG","MF","Empoli","itSerie A","22","2001","12.4","2","23","7","30.4","1.86","0.57","0.09","0.29","25.6","1","0","0","0.9","0.9","0.04","+1.1","+1.1",
"Waldemar Anton","deGER","DF","Dortmund","deBundesliga","28","1996","21.7","2","19","3","15.8","0.88","0.14","0.11","0.67","13.5","0","0","0","1.7","1.7","0.09","+0.3","+0.3",
"Leandro Antonetti","prPUR","FW","Sevilla","esLa Liga","21","2003","0.3","0","1","1","100.0","3.21","3.21","0.00","0.00","26.9","0","0","0","0.1","0.1","0.14","-0.1","-0.1",
"Kyllian Antonio","frFRA","DF,MF","Lens","frLigue 1","16","2008","1.5","0","1","0","0.0","0.65","0.00","0.00","","18.2","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","34","1990","9.3","1","19","4","21.1","2.05","0.43","0.05","0.25","12.6","0","0","0","2.2","2.2","0.12","-1.2","-1.2",
"Antoniu","esESP","FW,MF","Espanyol","esLa Liga","21","2002","11.4","0","10","4","40.0","0.88","0.35","0.00","0.00","19.7","0","0","0","0.9","0.9","0.09","-0.9","-0.9",
"Antony","brBRA","DF,MF","Manchester Utd","engPremier League","24","2000","1.6","0","6","3","50.0","3.83","1.91","0.00","0.00","15.8","0","0","0","1.0","1.0","0.17","-1.0","-1.0",
"Antony","brBRA","FW","Betis","esLa Liga","24","2000","15.1","5","43","17","39.5","2.84","1.12","0.12","0.29","19.9","1","0","0","2.9","2.9","0.07","+2.1","+2.1",
"Anuar","maMAR","MF,FW","Valladolid","esLa Liga","29","1995","19.1","2","11","5","45.5","0.58","0.26","0.18","0.40","12.8","0","0","0","1.7","1.7","0.15","+0.3","+0.3",
"Dennis Appiah","frFRA","DF","Saint-Étienne","frLigue 1","32","1992","23.6","0","5","2","40.0","0.21","0.08","0.00","0.00","20.3","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Aritz Arambarri","esESP","DF","Leganés","esLa Liga","26","1998","2.0","0","1","0","0.0","0.51","0.00","0.00","","15.7","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","28","1995","29.6","10","53","16","30.2","1.79","0.54","0.13","0.44","18.2","1","3","3","8.2","5.8","0.11","+1.8","+1.2",
"Jon Aramburu","veVEN","DF","Real Sociedad","esLa Liga","22","2002","27.3","1","11","3","27.3","0.40","0.11","0.09","0.33","20.8","0","0","0","0.4","0.4","0.04","+0.6","+0.6",
"Julian Araujo","mxMEX","DF","Bournemouth","engPremier League","22","2001","5.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","25","1999","8.4","1","4","2","50.0","0.48","0.24","0.25","0.50","11.8","0","0","0","1.0","1.0","0.24","0.0","0.0",
