Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Max Aarons","engENG","DF","Bournemouth","engPremier League","24","2000","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Max Aarons","engENG","DF,MF","Valencia","esLa Liga","24","2000","1.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Rodrigo Abajas","esESP","DF","Valencia","esLa Liga","21","2003","0.7","0","1","0","0.0","1.38","0.00","0.00","","24.5","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"James Abankwah","ieIRL","DF,MF","Udinese","itSerie A","20","2004","1.0","0","1","0","0.0","1.02","0.00","0.00","","15.0","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Keyliane Abdallah","frFRA","FW","Marseille","frLigue 1","18","2006","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Yunis Abdelhamid","maMAR","DF","Saint-Étienne","frLigue 1","36","1987","11.5","0","2","1","50.0","0.17","0.09","0.00","0.00","10.8","0","0","0","0.2","0.2","0.12","-0.2","-0.2",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","24","1999","31.6","6","35","8","22.9","1.11","0.25","0.09","0.38","22.6","0","3","4","6.4","3.2","0.09","-0.4","-0.2",
"Mohamed Abdelmoneim","egEGY","DF","Nice","frLigue 1","25","1999","9.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","30","1993","15.5","5","29","11","37.9","1.87","0.71","0.17","0.45","16.9","1","0","0","4.3","4.3","0.17","+0.7","+0.7",
"Saud Abdulhamid","saKSA","DF","Roma","itSerie A","25","1999","2.3","0","1","0","0.0","0.44","0.00","0.00","","24.7","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Nabil Aberdin","frFRA","MF","Getafe","esLa Liga","21","2002","2.9","0","2","0","0.0","0.68","0.00","0.00","","31.2","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Oliver Abildgaard","dkDEN","MF","Como","itSerie A","28","1996","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Matthis Abline","frFRA","FW","Nantes","frLigue 1","21","2003","30.8","9","73","26","35.6","2.37","0.85","0.11","0.31","15.0","0","1","1","8.5","7.7","0.11","+0.5","+0.3",
"Abner","brBRA","DF","Lyon","frLigue 1","24","2000","12.1","1","7","3","42.9","0.58","0.25","0.14","0.33","17.7","0","0","0","0.6","0.6","0.08","+0.4","+0.4",
"Zakaria Aboukhlal","maMAR","MF,FW","Toulouse","frLigue 1","24","2000","21.1","7","62","26","41.9","2.94","1.23","0.10","0.23","14.6","0","1","2","10.2","8.6","0.14","-3.2","-2.6",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","25","1999","27.4","0","12","1","8.3","0.44","0.04","0.00","0.00","8.0","0","0","0","0.9","0.9","0.08","-0.9","-0.9",
"Tammy Abraham","engENG","FW","Roma","itSerie A","26","1997","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Tammy Abraham","engENG","FW","Milan","itSerie A","26","1997","13.1","3","26","11","42.3","1.98","0.84","0.08","0.18","13.4","0","1","2","7.1","5.4","0.21","-4.1","-3.4",
"Federico Accornero","itITA","MF","Genoa","itSerie A","20","2004","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","36","1988","19.0","0","5","1","20.0","0.26","0.05","0.00","0.00","11.5","0","0","0","0.4","0.4","0.08","-0.4","-0.4",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","18","2006","1.9","0","2","0","0.0","1.06","0.00","0.00","","8.9","0","0","0","0.2","0.2","0.11","-0.2","-0.2",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","24","2000","1.5","0","2","1","50.0","1.34","0.67","0.00","0.00","22.2","0","0","0","0.4","0.4","0.22","-0.4","-0.4",
"Akor Adams","ngNGA","FW","Montpellier","frLigue 1","24","2000","11.9","3","26","12","46.2","2.18","1.00","0.12","0.25","13.3","0","0","0","4.3","4.3","0.16","-1.3","-1.3",
"Che Adams","sctSCO","FW","Torino","itSerie A","28","1996","29.5","9","63","25","39.7","2.14","0.85","0.14","0.36","15.7","0","0","1","9.0","8.2","0.13","0.0","+0.8",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","25","1999","21.8","0","9","2","22.2","0.41","0.09","0.00","0.00","16.9","0","0","0","1.6","1.6","0.18","-1.6","-1.6",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","23","2001","17.2","2","36","11","30.6","2.10","0.64","0.06","0.18","12.4","0","0","0","5.5","5.5","0.16","-3.5","-3.5",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","26","1997","15.7","1","13","2","15.4","0.83","0.13","0.08","0.50","12.5","0","0","0","0.9","0.9","0.07","+0.1","+0.1",
"Martin Adeline","frFRA","MF","Reims","frLigue 1","20","2003","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","22","2002","15.9","7","46","18","39.1","2.89","1.13","0.15","0.39","17.6","0","0","0","5.5","5.5","0.12","+1.5","+1.5",
"Simon Adingra","ciCIV","FW,MF","Brighton","engPremier League","22","2002","12.2","2","33","8","24.2","2.71","0.66","0.06","0.25","17.0","0","0","0","2.5","2.5","0.07","-0.5","-0.5",
"Amine Adli","maMAR","MF,FW","Leverkusen","deBundesliga","24","2000","8.5","2","20","7","35.0","2.35","0.82","0.10","0.29","13.1","0","0","0","2.7","2.7","0.14","-0.7","-0.7",
"Yacine Adli","frFRA","MF","Fiorentina","itSerie A","24","2000","13.7","4","14","5","35.7","1.02","0.36","0.29","0.80","21.3","2","0","0","1.0","1.0","0.07","+3.0","+3.0",
