Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","28","1990","27.9","3","26","5","19.2","0.93","0.18","0.08","0.40","21.7","3","1","1","2.1","1.3","0.05","+0.9","+0.7",
"Max Aarons","engENG","DF","Norwich City","engPremier League","19","2000","36.0","0","14","4","28.6","0.39","0.11","0.00","0.00","17.2","0","0","0","0.6","0.6","0.04","-0.6","-0.6",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","31","1987","28.0","3","19","5","26.3","0.68","0.18","0.16","0.60","13.3","0","0","0","1.7","1.7","0.09","+1.3","+1.3",
"Suleiman Abdullahi","ngNGA","FW,MF","Union Berlin","deBundesliga","22","1996","1.7","1","6","3","50.0","3.44","1.72","0.17","0.33","16.0","0","0","0","1.1","1.1","0.19","-0.1","-0.1",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","26","1992","20.2","1","33","7","21.2","1.63","0.35","0.03","0.14","25.1","3","0","0","1.5","1.5","0.04","-0.5","-0.5",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","19","2000","6.9","0","5","0","0.0","0.72","0.00","0.00","","16.0","0","0","0","0.3","0.3","0.07","-0.3","-0.3",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","33","1986","18.8","2","7","4","57.1","0.37","0.21","0.29","0.50","8.1","0","0","0","1.6","1.6","0.22","+0.4","+0.4",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","21","1997","24.6","15","88","35","39.8","3.58","1.42","0.17","0.43","11.6","0","0","0","16.4","16.4","0.19","-1.4","-1.4",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","29","1990","7.4","0","4","2","50.0","0.54","0.27","0.00","0.00","20.1","0","0","0","0.5","0.5","0.12","-0.5","-0.5",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","31","1988","35.1","2","16","5","31.3","0.46","0.14","0.13","0.40","14.5","0","0","0","2.4","2.4","0.15","-0.4","-0.4",
