Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Martin Agirregabiria","esESP","DF,MF","Alavés","esLa Liga","24","1996","17.3","0","2","0","0.0","0.12","0.00","0.00","","15.7","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"Lucien Agoume","frFRA","MF","Spezia","itSerie A","18","2002","8.9","0","2","0","0.0","0.23","0.00","0.00","","19.9","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","20","1999","7.8","1","4","1","25.0","0.51","0.13","0.25","1.00","19.3","0","0","0","0.6","0.6","0.15","+0.4","+0.4",
"Kevin Agudelo","coCOL","FW","Spezia","itSerie A","21","1998","15.1","1","19","4","21.1","1.26","0.27","0.05","0.25","17.1","0","0","0","1.5","1.5","0.08","-0.5","-0.5",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","24","1996","35.0","3","28","6","21.4","0.80","0.17","0.11","0.50","10.1","0","0","0","3.2","3.2","0.12","-0.2","-0.2",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","32","1988","6.2","4","17","10","58.8","2.74","1.61","0.18","0.30","14.6","0","1","2","3.5","1.9","0.11","+0.5","+1.1",
"Ruben Aguilar","frFRA","DF,MF","Monaco","frLigue 1","27","1993","24.7","1","8","3","37.5","0.32","0.12","0.13","0.33","11.0","0","0","0","0.9","0.9","0.11","+0.1","+0.1",
"Naouirou Ahamada","frFRA","MF","Stuttgart","deBundesliga","18","2002","2.8","0","5","1","20.0","1.79","0.36","0.00","0.00","23.4","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Matteo Ahlinvi","bjBEN","MF","Nîmes","frLigue 1","21","1999","10.0","2","12","7","58.3","1.20","0.70","0.17","0.29","22.5","0","0","0","1.4","1.4","0.11","+0.6","+0.6",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","26","1994","23.8","2","31","6","19.4","1.30","0.25","0.06","0.33","21.3","0","0","0","2.3","2.1","0.07","-0.3","-0.1",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","26","1994","0.4","0","2","1","50.0","5.00","2.50","0.00","0.00","16.8","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","24","1995","14.3","0","9","0","0.0","0.63","0.00","0.00","","14.9","0","0","0","0.8","0.8","0.09","-0.8","-0.8",
"Ola Aina","ngNGA","DF","Fulham","engPremier League","23","1996","29.6","2","14","4","28.6","0.47","0.14","0.14","0.50","24.6","1","0","0","1.2","1.2","0.09","+0.8","+0.8",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","19","2001","15.6","1","15","6","40.0","0.96","0.38","0.07","0.17","19.8","0","0","0","0.6","0.6","0.04","+0.4","+0.4",
"Rayan Aït-Nouri","dzALG","DF","Angers","frLigue 1","19","2001","2.1","0","1","0","0.0","0.48","0.00","0.00","","14.3","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Semi Ajayi","ngNGA","DF","West Brom","engPremier League","26","1993","30.9","2","13","4","30.8","0.42","0.13","0.15","0.50","9.8","0","0","0","1.9","1.9","0.15","+0.1","+0.1",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","26","1994","33.0","16","66","30","45.5","2.00","0.91","0.18","0.40","15.0","0","4","5","15.7","11.8","0.18","+0.3","+0.2",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","25","1995","26.1","2","19","4","21.1","0.73","0.15","0.11","0.50","13.9","0","0","0","1.7","1.7","0.09","+0.3","+0.3",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","27","1993","9.6","1","2","1","50.0","0.21","0.10","0.50","1.00","23.4","0","0","0","0.3","0.3","0.17","+0.7","+0.7",
"Marley Aké","frFRA","FW","Marseille","frLigue 1","19","2001","1.6","0","4","0","0.0","2.47","0.00","0.00","","12.7","0","0","0","1.0","1.0","0.26","-1.0","-1.0",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","25","1995","8.9","1","3","1","33.3","0.34","0.11","0.33","1.00","15.5","0","0","0","0.3","0.3","0.09","+0.7","+0.7",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","22","1997","4.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","27","1992","11.7","0","12","1","8.3","1.02","0.09","0.00","0.00","16.6","0","0","0","1.2","1.2","0.10","-1.2","-1.2",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","25","1995","13.2","1","2","2","100.0","0.15","0.15","0.50","0.50","21.0","0","0","0","0.1","0.1","0.04","+0.9","+0.9",
"David Alaba","atAUT","DF,MF","Bayern Munich","deBundesliga","28","1992","29.7","2","21","6","28.6","0.71","0.20","0.10","0.33","23.9","3","0","0","1.2","1.2","0.06","+0.8","+0.8",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","22","1998","16.7","0","5","0","0.0","0.30","0.00","0.00","","21.4","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Jony Álamo","esESP","MF","Elche","esLa Liga","18","2001","0.8","0","1","0","0.0","1.23","0.00","0.00","","26.1","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","27","1992","13.8","11","39","18","46.2","2.82","1.30","0.23","0.50","13.4","0","2","2","7.2","5.7","0.14","+3.8","+3.3",
"Jordi Alba","esESP","DF,FW","Barcelona","esLa Liga","31","1989","33.6","3","27","10","37.0","0.80","0.30","0.11","0.30","20.2","1","0","0","1.9","1.9","0.07","+1.1","+1.1",
"Luis Alberto","esESP","MF","Lazio","itSerie A","27","1992","29.1","9","69","29","42.0","2.37","1.00","0.13","0.31","21.3","3","0","0","5.1","5.0","0.07","+3.9","+4.0",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","34","1985","34.6","0","8","1","12.5","0.23","0.03","0.00","0.00","14.6","0","0","0","0.9","0.9","0.11","-0.9","-0.9",
"Marc Albrighton","engENG","DF,FW","Leicester City","engPremier League","30","1989","19.4","1","21","9","42.9","1.08","0.46","0.05","0.11","21.2","0","0","0","1.2","1.2","0.06","-0.2","-0.2",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","26","1993","17.2","6","35","16","45.7","2.04","0.93","0.14","0.31","14.0","3","1","2","9.0","7.5","0.21","-3.0","-2.5",
"Pedro Alcalá","esESP","DF","Cádiz","esLa Liga","31","1989","10.1","0","2","0","0.0","0.20","0.00","0.00","","14.6","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","29","1991","20.6","1","22","5","22.7","1.07","0.24","0.05","0.20","23.3","1","0","0","1.2","1.2","0.06","-0.2","-0.2",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","29","1991","24.1","1","28","3","10.7","1.16","0.12","0.04","0.33","25.1","7","0","0","1.8","1.8","0.06","-0.8","-0.8",
"Omar Alderete","pyPAR","DF","Hertha BSC","deBundesliga","23","1996","14.4","0","6","2","33.3","0.42","0.14","0.00","0.00","15.0","0","0","0","0.3","0.3","0.05","-0.3","-0.3",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","31","1989","24.9","1","10","3","30.0","0.40","0.12","0.10","0.33","8.5","0","0","0","0.7","0.7","0.07","+0.3","+0.3",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","25","1995","9.2","1","13","4","30.8","1.41","0.44","0.08","0.25","17.9","1","0","0","1.1","1.1","0.08","-0.1","-0.1",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","22","1998","0.5","0","1","0","0.0","1.87","0.00","0.00","","17.8","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","22","1998","15.2","2","30","8","26.7","1.98","0.53","0.07","0.25","22.0","0","0","0","1.7","1.7","0.06","+0.3","+0.3",
"Rúnar Alex Rúnarsson","isISL","GK","Arsenal","engPremier League","25","1995","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","21","1998","33.7","2","55","12","21.8","1.63","0.36","0.04","0.17","24.9","18","0","0","2.6","2.6","0.05","-0.6","-0.6",
"Alfon","esESP","MF","Celta Vigo","esLa Liga","21","1999","0.4","0","1","1","100.0","2.65","2.65","0.00","0.00","15.0","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Mohamed Ali Cho","frFRA","FW,MF","Angers","frLigue 1","16","2004","3.9","0","10","0","0.0","2.59","0.00","0.00","","13.0","0","0","0","1.9","1.9","0.19","-1.9","-1.9",
"Ezgjan Alioski","mkMKD","DF,MF","Leeds United","engPremier League","28","1992","27.3","2","25","8","32.0","0.91","0.29","0.08","0.25","19.0","0","0","0","1.6","1.6","0.06","+0.4","+0.4",
"Rachid Alioui","maMAR","FW","Angers","frLigue 1","28","1992","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Alisson","brBRA","GK","Liverpool","engPremier League","27","1992","33.0","1","1","1","100.0","0.03","0.03","1.00","1.00","8.4","0","0","0","0.1","0.1","0.09","+0.9","+0.9",
"Saturnin Allagbé","bjBEN","GK","Dijon","frLigue 1","26","1993","12.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Allan","brBRA","MF","Everton","engPremier League","29","1991","22.8","0","7","2","28.6","0.31","0.09","0.00","0.00","22.4","0","0","0","0.3","0.3","0.04","-0.3","-0.3",
"Dele Alli","engENG","MF","Tottenham","engPremier League","24","1996","6.9","0","12","4","33.3","1.74","0.58","0.00","0.00","15.4","0","0","0","2.0","2.0","0.17","-2.0","-2.0",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","26","1994","27.0","4","33","14","42.4","1.22","0.52","0.12","0.29","19.2","1","0","0","3.2","3.2","0.10","+0.8","+0.8",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","29","1990","10.7","2","22","9","40.9","2.06","0.84","0.09","0.22","17.6","5","0","0","1.8","1.8","0.08","+0.2","+0.2",
"Sergio Álvarez","esESP","MF,DF","Eibar","esLa Liga","28","1992","17.4","0","6","2","33.3","0.34","0.11","0.00","0.00","17.5","0","0","0","0.4","0.4","0.07","-0.4","-0.4",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","25","1995","21.6","1","10","1","10.0","0.46","0.05","0.10","1.00","14.4","0","0","0","0.6","0.6","0.06","+0.4","+0.4",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","38","1981","18.1","1","10","3","30.0","0.55","0.17","0.10","0.33","23.5","3","0","0","0.4","0.4","0.04","+0.6","+0.6",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","21","1998","10.0","1","7","2","28.6","0.70","0.20","0.14","0.50","18.7","0","0","0","0.8","0.8","0.12","+0.2","+0.2",
"Ibrahim Amadou","frFRA","MF","Angers","frLigue 1","27","1993","16.7","0","15","5","33.3","0.90","0.30","0.00","0.00","20.3","0","0","0","1.5","1.5","0.10","-1.5","-1.5",
"Romain Amalfitano","frFRA","FW,DF","Dijon","frLigue 1","30","1989","1.3","0","2","0","0.0","1.55","0.00","0.00","","30.3","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","18","2001","0.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","25","1994","8.0","1","3","1","33.3","0.37","0.12","0.33","1.00","10.6","0","0","0","0.4","0.4","0.12","+0.6","+0.6",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","26","1994","9.0","1","4","1","25.0","0.44","0.11","0.25","1.00","11.8","0","0","0","0.2","0.2","0.06","+0.8","+0.8",
"Thierry Ambrose","gpGLP","FW","Metz","frLigue 1","23","1997","8.4","0","19","6","31.6","2.27","0.72","0.00","0.00","20.0","0","0","0","1.0","1.0","0.05","-1.0","-1.0",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","14","2005","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Nadiem Amiri","deGER","MF","Leverkusen","deBundesliga","23","1996","21.0","2","42","14","33.3","2.00","0.67","0.05","0.14","24.4","3","0","0","2.2","2.2","0.05","-0.2","-0.2",
"Ethan Ampadu","wlsWAL","DF,MF","Sheffield Utd","engPremier League","19","2000","23.2","0","7","2","28.6","0.30","0.09","0.00","0.00","19.3","0","0","0","0.3","0.3","0.05","-0.3","-0.3",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","23","1996","27.1","0","10","3","30.0","0.37","0.11","0.00","0.00","21.0","0","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Jon Ander Garrido","esESP","MF","Cádiz","esLa Liga","30","1989","8.9","0","5","1","20.0","0.56","0.11","0.00","0.00","14.4","0","0","0","0.3","0.3","0.06","-0.3","-0.3",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","24","1996","30.3","1","13","3","23.1","0.43","0.10","0.08","0.33","16.4","1","0","0","1.2","1.2","0.09","-0.2","-0.2",
"Joachim Andersen","dkDEN","DF","Lyon","frLigue 1","24","1996","2.1","0","5","0","0.0","2.34","0.00","0.00","","21.9","1","0","0","0.3","0.3","0.07","-0.3","-0.3",
"Djavan Anderson","srSUR","DF","Lazio","itSerie A","25","1995","0.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Elliot Anderson","engENG","MF","Newcastle Utd","engPremier League","17","2002","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Felipe Anderson","brBRA","FW,MF","West Ham","engPremier League","27","1993","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","29","1991","12.5","3","39","13","33.3","3.12","1.04","0.05","0.15","13.0","0","1","1","6.2","5.4","0.14","-3.2","-3.4",
"Nícolas Andrade","brBRA","GK","Udinese","itSerie A","32","1988","2.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Benjamin André","frFRA","MF","Lille","frLigue 1","29","1990","32.1","0","19","7","36.8","0.59","0.22","0.00","0.00","15.2","0","0","0","1.6","1.6","0.08","-1.6","-1.6",
"Marcos André","brBRA","FW","Valladolid","esLa Liga","23","1996","13.1","4","32","12","37.5","2.45","0.92","0.13","0.33","13.3","0","0","0","4.9","4.9","0.15","-0.9","-0.9",
"Robert Andrich","deGER","MF","Union Berlin","deBundesliga","25","1994","28.1","5","41","9","22.0","1.46","0.32","0.12","0.56","24.0","4","0","0","2.6","2.6","0.06","+2.4","+2.4",
"Victorien Angban","ciCIV","MF","Metz","frLigue 1","23","1996","18.6","0","6","1","16.7","0.32","0.05","0.00","0.00","22.1","0","0","0","0.5","0.5","0.08","-0.5","-0.5",
"Ángel","esESP","GK","Granada","esLa Liga","18","2002","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"José Ángel","esESP","DF","Eibar","esLa Liga","30","1989","10.0","0","2","0","0.0","0.20","0.00","0.00","","30.2","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Miguel Ángel Rubio","esESP","DF","Valladolid","esLa Liga","22","1998","1.5","0","1","0","0.0","0.67","0.00","0.00","","8.5","0","0","0","0.1","0.1","0.11","-0.1","-0.1",
"Angeliño","esESP","DF,FW","RB Leipzig","deBundesliga","23","1997","24.0","4","35","13","37.1","1.46","0.54","0.11","0.31","16.1","4","0","0","4.2","4.2","0.12","-0.2","-0.2",
"Davide Angelo Ghislandi","itITA","DF","Atalanta","itSerie A","19","2001","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Philip Ankhrah","ghGHA","MF","Hellas Verona","itSerie A","17","2002","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Cristian Ansaldi","arARG","DF,FW","Torino","itSerie A","33","1986","21.6","1","17","6","35.3","0.79","0.28","0.00","0.00","23.5","4","1","1","1.9","1.1","0.07","-0.9","-1.1",
"Waldemar Anton","deGER","DF","Stuttgart","deBundesliga","24","1996","30.1","0","12","4","33.3","0.40","0.13","0.00","0.00","14.9","0","0","0","1.3","1.3","0.10","-1.3","-1.3",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","30","1990","21.9","10","63","22","34.9","2.87","1.00","0.16","0.45","13.4","0","0","0","12.9","12.9","0.22","-2.9","-2.9",
"José Antonio Miranda","gqEQG","MF,DF","Getafe","esLa Liga","22","1998","0.3","0","1","0","0.0","3.46","0.00","0.00","","7.6","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Valentin Antov","bgBUL","DF","Bologna","itSerie A","19","2000","2.6","0","1","0","0.0","0.39","0.00","0.00","","31.1","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","22","1998","19.8","7","68","25","36.8","3.44","1.26","0.07","0.20","16.6","0","2","2","9.9","8.3","0.12","-2.9","-3.3",
"Adil Aouchiche","frFRA","MF,FW","Saint-Étienne","frLigue 1","18","2002","19.2","2","26","12","46.2","1.35","0.62","0.08","0.17","20.8","2","0","0","3.4","3.4","0.13","-1.4","-1.4",
"Dennis Appiah","frFRA","DF","Nantes","frLigue 1","28","1992","17.3","0","6","0","0.0","0.35","0.00","0.00","","17.9","0","0","0","0.3","0.3","0.05","-0.3","-0.3",
"Aritz Arambarri","esESP","DF","Real Sociedad","esLa Liga","22","1998","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","24","1995","33.1","3","46","9","19.6","1.39","0.27","0.07","0.33","26.5","6","0","0","2.1","2.1","0.05","+0.9","+0.9",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","31","1989","18.5","0","4","2","50.0","0.22","0.11","0.00","0.00","10.1","0","0","0","0.6","0.6","0.14","-0.6","-0.6",
"Luiz Araújo","brBRA","MF","Lille","frLigue 1","24","1996","16.6","4","49","10","20.4","2.95","0.60","0.08","0.40","23.2","1","0","0","3.7","3.7","0.07","+0.3","+0.3",
"Néstor Araujo","mxMEX","DF","Celta Vigo","esLa Liga","28","1991","27.0","0","6","0","0.0","0.22","0.00","0.00","","11.3","0","0","0","0.4","0.4","0.06","-0.4","-0.4",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","21","1999","16.8","2","12","4","33.3","0.72","0.24","0.17","0.50","11.7","0","0","0","1.8","1.8","0.15","+0.2","+0.2",
"Anaitz Arbilla","esESP","DF","Eibar","esLa Liga","33","1987","31.2","0","27","2","7.4","0.87","0.06","0.00","0.00","27.1","5","0","0","1.8","1.8","0.07","-1.8","-1.8",
"Alphonse Areola","frFRA","GK","Fulham","engPremier League","27","1993","36.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Santiago Arias","coCOL","DF","Leverkusen","deBundesliga","28","1992","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Karim Aribi","dzALG","FW","Nîmes","frLigue 1","26","1994","3.3","0","8","2","25.0","2.45","0.61","0.00","0.00","13.5","0","0","0","0.8","0.8","0.10","-0.8","-0.8",
"Unai Arietaleanizbeaskoa","esESP","FW,MF","Eibar","esLa Liga","21","1999","0.5","0","1","0","0.0","1.91","0.00","0.00","","30.3","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Nicolò Armini","itITA","DF","Lazio","itSerie A","19","2001","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Stuart Armstrong","sctSCO","MF","Southampton","engPremier League","28","1992","30.7","4","55","11","20.0","1.79","0.36","0.07","0.36","21.6","0","0","0","2.7","2.7","0.05","+1.3","+1.3",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","26","1994","28.7","3","55","15","27.3","1.91","0.52","0.05","0.20","29.4","12","0","0","2.4","2.4","0.04","+0.6","+0.6",
"Tolu Arokodare","ngNGA","FW,MF","Köln","deBundesliga","19","2000","1.2","0","3","1","33.3","2.41","0.80","0.00","0.00","10.2","0","0","0","0.2","0.2","0.08","-0.2","-0.2",
"Sergio Arribas","esESP","MF,FW","Real Madrid","esLa Liga","18","2001","1.5","0","1","1","100.0","0.67","0.67","0.00","0.00","26.1","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","25","1994","6.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Tolgay Arslan","deGER","MF","Udinese","itSerie A","29","1990","20.2","3","22","6","27.3","1.09","0.30","0.14","0.50","21.5","0","0","0","0.9","0.9","0.04","+2.1","+2.1",
"Kwadwo Asamoah","ghGHA","DF,MF","Cagliari","itSerie A","31","1988","2.5","0","2","1","50.0","0.80","0.40","0.00","0.00","23.1","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Santiago Ascacíbar","arARG","MF","Hertha BSC","deBundesliga","23","1997","8.5","1","7","3","42.9","0.83","0.35","0.14","0.33","21.0","0","0","0","0.3","0.3","0.04","+0.7","+0.7",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","31","1989","36.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marco Asensio","esESP","FW,MF","Real Madrid","esLa Liga","24","1996","20.8","5","39","11","28.2","1.88","0.53","0.13","0.45","19.7","3","0","0","3.8","3.8","0.10","+1.2","+1.2",
"Kristoffer Askildsen","noNOR","MF","Sampdoria","itSerie A","19","2001","1.1","0","1","0","0.0","0.95","0.00","0.00","","24.4","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Iago Aspas","esESP","FW","Celta Vigo","esLa Liga","32","1987","31.8","14","45","21","46.7","1.41","0.66","0.20","0.43","15.9","6","5","5","12.4","8.5","0.19","+1.6","+0.5",
"Roger Assalé","ciCIV","FW,MF","Dijon","frLigue 1","26","1993","9.2","1","11","3","27.3","1.20","0.33","0.09","0.33","16.8","0","0","0","1.2","1.2","0.11","-0.2","-0.2",
"Youcef Atal","dzALG","DF,FW","Nice","frLigue 1","24","1996","10.6","1","8","5","62.5","0.75","0.47","0.13","0.20","18.1","0","0","0","0.4","0.4","0.05","+0.6","+0.6",
