Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","21","1999","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","29","1990","19.7","0","18","5","27.8","0.91","0.25","0.00","0.00","21.1","3","0","0","1.4","1.4","0.08","-1.4","-1.4",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","32","1987","32.1","3","15","5","33.3","0.47","0.16","0.20","0.60","10.5","0","0","0","1.9","1.9","0.13","+1.1","+1.1",
"Sabit Abdulai","ghGHA","MF","Getafe","esLa Liga","21","1999","0.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","27","1992","14.7","0","20","0","0.0","1.36","0.00","0.00","","23.9","1","0","0","1.0","1.0","0.05","-1.0","-1.0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","27","1993","32.9","3","29","10","34.5","0.88","0.30","0.10","0.30","26.8","0","0","0","1.5","1.5","0.05","+1.5","+1.5",
"Charles Abi","frFRA","FW,MF","Saint-Étienne","frLigue 1","20","2000","10.1","3","19","4","21.1","1.87","0.39","0.16","0.75","12.5","0","0","0","2.1","2.1","0.11","+0.9","+0.9",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","17","2003","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Pape Abou Cissé","snSEN","DF","Saint-Étienne","frLigue 1","24","1995","14.0","0","13","3","23.1","0.93","0.21","0.00","0.00","13.0","0","0","0","1.4","1.4","0.11","-1.4","-1.4",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","34","1986","13.6","1","10","2","20.0","0.74","0.15","0.10","0.50","15.9","0","0","0","0.6","0.6","0.06","+0.4","+0.4",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","22","1997","11.6","6","32","13","40.6","2.77","1.13","0.19","0.46","10.7","0","0","0","5.9","5.9","0.18","+0.1","+0.1",
"Amir Abrashi","alALB","MF,DF","Freiburg","deBundesliga","30","1990","0.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Gennaro Acampora","itITA","MF,FW","Spezia","itSerie A","26","1994","4.9","0","9","0","0.0","1.84","0.00","0.00","","25.8","1","0","0","0.3","0.3","0.03","-0.3","-0.3",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","32","1988","31.3","0","9","0","0.0","0.29","0.00","0.00","","13.1","0","0","0","1.1","1.1","0.12","-1.1","-1.1",
"Ragnar Ache","deGER","FW,DF","Eint Frankfurt","deBundesliga","22","1998","1.1","1","2","1","50.0","1.80","0.90","0.50","1.00","13.7","0","0","0","0.1","0.1","0.07","+0.9","+0.9",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","28","1991","25.9","1","18","2","11.1","0.70","0.08","0.06","0.50","20.5","0","0","0","1.0","1.0","0.05","0.0","0.0",
"Che Adams","sctSCO","FW","Southampton","engPremier League","24","1996","29.6","9","55","31","56.4","1.86","1.05","0.16","0.29","13.8","0","0","0","9.8","9.8","0.18","-0.8","-0.8",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","21","1999","20.6","1","7","4","57.1","0.34","0.19","0.14","0.25","17.6","0","0","0","1.3","1.3","0.19","-0.3","-0.3",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","27","1993","5.3","2","23","7","30.4","4.32","1.32","0.09","0.29","15.3","0","0","0","2.1","2.1","0.10","-0.1","-0.1",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","22","1997","32.8","0","18","5","27.8","0.55","0.15","0.00","0.00","10.5","0","0","0","1.1","1.1","0.06","-1.1","-1.1",
"Bobby Adekanye","nlNED","FW,MF","Cádiz","esLa Liga","21","1999","0.4","0","1","0","0.0","2.50","0.00","0.00","","17.1","0","0","0","0.3","0.3","0.34","-0.3","-0.3",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","20","2000","26.9","2","24","9","37.5","0.89","0.33","0.08","0.22","20.0","1","0","0","1.9","1.9","0.08","+0.1","+0.1",
"Andrea Adorante","itITA","FW","Parma","itSerie A","20","2000","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Adrián","esESP","GK","Liverpool","engPremier League","33","1987","3.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
