Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Max Aarons","engENG","DF","Bournemouth","engPremier League","23","2000","13.7","0","2","0","0.0","0.15","0.00","0.00","","23.9","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Brenden Aaronson","usUSA","MF,FW","Union Berlin","deBundesliga","22","2000","14.1","2","18","7","38.9","1.28","0.50","0.11","0.29","18.4","0","0","0","2.0","2.0","0.11","0.0","0.0",
"Paxten Aaronson","usUSA","MF","Eint Frankfurt","deBundesliga","19","2003","1.1","0","2","2","100.0","1.78","1.78","0.00","0.00","15.1","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Keyliane Abdallah","frFRA","FW","Marseille","frLigue 1","17","2006","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","35","1987","30.9","4","21","7","33.3","0.68","0.23","0.14","0.43","15.0","0","1","1","3.4","2.6","0.13","+0.6","+0.4",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","23","2000","16.9","0","5","0","0.0","0.30","0.00","0.00","","21.6","0","0","0","0.8","0.8","0.17","-0.8","-0.8",
"Nabil Aberdin","frFRA","DF","Getafe","esLa Liga","20","2002","2.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","30","1993","31.8","2","26","11","42.3","0.82","0.35","0.08","0.18","26.5","0","0","0","1.1","1.1","0.04","+0.9","+0.9",
"Matthis Abline","frFRA","FW","Nantes","frLigue 1","20","2003","11.6","5","42","19","45.2","3.62","1.64","0.12","0.26","17.4","0","0","0","3.8","3.8","0.09","+1.2","+1.2",
"Abner","brBRA","DF","Betis","esLa Liga","23","2000","15.6","0","4","0","0.0","0.26","0.00","0.00","","15.4","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Zakaria Aboukhlal","maMAR","MF,FW","Toulouse","frLigue 1","23","2000","8.4","3","27","7","25.9","3.22","0.84","0.07","0.29","18.7","0","1","1","2.8","2.0","0.07","+0.2","0.0",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","24","1999","25.7","0","10","3","30.0","0.39","0.12","0.00","0.00","12.1","0","0","0","0.5","0.5","0.05","-0.5","-0.5",
"Tammy Abraham","engENG","FW","Roma","itSerie A","25","1997","2.7","1","4","2","50.0","1.49","0.74","0.25","0.50","11.9","0","0","0","0.6","0.6","0.15","+0.4","+0.4",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","35","1988","26.5","3","15","6","40.0","0.57","0.23","0.20","0.50","12.0","0","0","0","1.6","1.6","0.11","+1.4","+1.4",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","17","2006","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","31","1991","14.4","1","9","4","44.4","0.63","0.28","0.11","0.25","27.9","0","0","0","0.3","0.3","0.03","+0.7","+0.7",
"Akor Adams","ngNGA","FW","Montpellier","frLigue 1","23","2000","25.0","8","79","32","40.5","3.16","1.28","0.10","0.25","14.5","0","0","0","12.4","12.4","0.16","-4.4","-4.4",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","24","1999","1.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Junior Adamu","atAUT","FW,MF","Freiburg","deBundesliga","22","2001","1.2","0","2","1","50.0","1.71","0.86","0.00","0.00","12.1","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Sargis Adamyan","amARM","FW,MF","Köln","deBundesliga","30","1993","8.9","1","31","13","41.9","3.48","1.46","0.03","0.08","12.4","0","0","0","4.1","4.1","0.13","-3.1","-3.1",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","25","1997","18.0","2","14","5","35.7","0.78","0.28","0.14","0.40","14.2","0","0","0","0.7","0.7","0.05","+1.3","+1.3",
"Elijah Adebayo","engENG","FW","Luton Town","engPremier League","25","1998","15.8","10","31","14","45.2","1.97","0.89","0.32","0.71","9.6","0","0","0","5.9","5.9","0.19","+4.1","+4.1",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","21","2002","10.1","3","23","10","43.5","2.27","0.99","0.13","0.30","14.6","0","0","0","3.5","3.5","0.15","-0.5","-0.5",
"Simon Adingra","ciCIV","FW","Brighton","engPremier League","21","2002","24.7","6","52","22","42.3","2.11","0.89","0.12","0.27","15.9","0","0","0","4.3","4.3","0.08","+1.7","+1.7",
"Nathaniel Adjei","ghGHA","DF","Lorient","frLigue 1","20","2002","13.8","0","4","0","0.0","0.29","0.00","0.00","","8.3","0","0","0","0.4","0.4","0.09","-0.4","-0.4",
"Amine Adli","maMAR","MF,FW","Leverkusen","deBundesliga","23","2000","10.0","4","27","15","55.6","2.71","1.50","0.15","0.27","13.7","0","0","0","3.3","3.3","0.12","+0.7","+0.7",
"Yacine Adli","frFRA","MF","Milan","itSerie A","23","2000","15.6","1","4","1","25.0","0.26","0.06","0.25","1.00","19.8","0","0","0","0.3","0.3","0.07","+0.7","+0.7",
"Adryelson","brBRA","DF,FW","Lyon","frLigue 1","25","1998","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
