Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Brenden Aaronson","usUSA","MF,FW","Leeds United","engPremier League","21","2000","26.4","1","41","9","22.0","1.56","0.34","0.02","0.11","18.4","2","0","0","3.9","3.9","0.09","-2.9","-2.9",
"Paxten Aaronson","usUSA","MF,DF","Eint Frankfurt","deBundesliga","18","2003","1.9","0","4","1","25.0","2.08","0.52","0.00","0.00","18.7","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"James Abankwah","ieIRL","DF","Udinese","itSerie A","18","2004","0.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"George Abbott","engENG","MF","Tottenham","engPremier League","16","2005","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","34","1987","37.0","1","32","3","9.4","0.86","0.08","0.03","0.33","15.0","0","0","0","2.4","2.4","0.07","-1.4","-1.4",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","22","1999","23.7","2","24","7","29.2","1.01","0.29","0.08","0.29","22.4","2","0","0","1.4","1.4","0.06","+0.6","+0.6",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","22","2000","32.2","1","13","4","30.8","0.40","0.12","0.08","0.25","19.1","0","0","0","0.9","0.9","0.07","+0.1","+0.1",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","29","1993","26.0","0","13","2","15.4","0.50","0.08","0.00","0.00","24.0","0","0","0","0.5","0.5","0.04","-0.5","-0.5",
"Oliver Abildgaard","dkDEN","MF","Hellas Verona","itSerie A","26","1996","6.6","0","3","2","66.7","0.46","0.30","0.00","0.00","14.0","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Matthis Abline","frFRA","FW,MF","Auxerre","frLigue 1","19","2003","9.0","2","24","8","33.3","2.68","0.89","0.04","0.13","20.6","0","1","2","3.6","2.0","0.08","-1.6","-1.0",
"Matthis Abline","frFRA","FW,MF","Rennes","frLigue 1","19","2003","1.2","1","6","2","33.3","5.05","1.68","0.17","0.50","12.2","0","0","0","0.8","0.8","0.13","+0.2","+0.2",
"Abner","brBRA","DF","Betis","esLa Liga","22","2000","6.7","0","5","1","20.0","0.74","0.15","0.00","0.00","13.6","0","0","0","1.7","1.7","0.34","-1.7","-1.7",
"Zakaria Aboukhlal","maMAR","FW,MF","Toulouse","frLigue 1","22","2000","27.5","10","83","30","36.1","3.02","1.09","0.12","0.33","15.9","0","0","0","11.5","11.5","0.14","-1.5","-1.5",
"Tammy Abraham","engENG","FW","Roma","itSerie A","24","1997","24.3","8","62","28","45.2","2.55","1.15","0.13","0.29","12.0","0","0","0","10.8","10.8","0.17","-2.8","-2.8",
"Christian Acella","itITA","MF","Cremonese","itSerie A","20","2002","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","34","1988","26.9","0","18","2","11.1","0.67","0.07","0.00","0.00","15.9","0","0","0","1.0","1.0","0.06","-1.0","-1.0",
"Álvaro Aceves","esESP","GK","Valladolid","esLa Liga","19","2003","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
