Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","22","1999","15.0","0","2","0","0.0","0.13","0.00","0.00","","21.6","0","0","0","0.2","0.2","0.08","-0.2","-0.2",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","28","1993","3.7","1","3","2","66.7","0.82","0.54","0.33","0.50","17.2","0","0","0","0.7","0.7","0.22","+0.3","+0.3",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","17","2003","3.9","0","4","1","25.0","1.02","0.26","0.00","0.00","11.8","0","0","0","0.4","0.4","0.09","-0.4","-0.4",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","21","2000","14.0","3","37","19","51.4","2.65","1.36","0.08","0.16","15.1","0","0","0","4.3","4.3","0.12","-1.3","-1.3",
"Yacine Adli","frFRA","MF,FW","Bordeaux","frLigue 1","21","2000","25.1","1","32","15","46.9","1.27","0.60","0.03","0.07","21.2","4","0","0","2.0","2.0","0.06","-1.0","-1.0",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","24","1997","4.9","0","2","2","100.0","0.41","0.41","0.00","0.00","22.7","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Felix Afena-Gyan","ghGHA","FW,MF","Roma","itSerie A","18","2003","7.4","2","17","7","41.2","2.29","0.94","0.12","0.29","16.1","0","0","0","1.7","1.7","0.10","+0.3","+0.3",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","25","1996","18.0","0","4","0","0.0","0.22","0.00","0.00","","19.1","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Lucien Agoume","frFRA","MF","Brest","frLigue 1","19","2002","20.8","0","15","1","6.7","0.72","0.05","0.00","0.00","11.9","0","0","0","1.2","1.1","0.07","-1.2","-1.1",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","22","1998","13.7","3","21","11","52.4","1.53","0.80","0.14","0.27","17.2","0","0","0","2.6","2.6","0.12","+0.4","+0.4",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","25","1996","30.4","2","25","7","28.0","0.82","0.23","0.08","0.29","9.4","0","0","0","2.1","2.1","0.08","-0.1","-0.1",
"Sergio Agüero","arARG","FW","Barcelona","esLa Liga","33","1988","1.7","1","6","1","16.7","3.58","0.60","0.17","1.00","12.0","0","0","0","1.0","1.0","0.17","0.0","0.0",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","28","1993","23.8","0","10","2","20.0","0.42","0.08","0.00","0.00","22.8","0","0","0","0.3","0.3","0.03","-0.3","-0.3",
"Álvaro Aguirre","esESP","FW","Rayo Vallecano","esLa Liga","21","2000","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Naouirou Ahamada","frFRA","MF,DF","Stuttgart","deBundesliga","19","2002","0.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Anel Ahmedhodžić","baBIH","DF","Bordeaux","frLigue 1","22","1999","15.0","0","8","4","50.0","0.53","0.27","0.00","0.00","16.0","0","0","0","0.4","0.4","0.05","-0.4","-0.4",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","27","1994","11.2","1","17","2","11.8","1.52","0.18","0.06","0.50","21.2","0","0","0","1.9","1.9","0.11","-0.9","-0.9",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","25","1995","29.3","0","6","1","16.7","0.20","0.03","0.00","0.00","13.3","0","0","0","0.3","0.3","0.04","-0.3","-0.3",
"Ola Aina","ngNGA","DF","Torino","itSerie A","24","1996","16.0","0","10","4","40.0","0.63","0.25","0.00","0.00","23.6","0","0","0","0.2","0.2","0.02","-0.2","-0.2",
"Rayan Aït-Nouri","dzALG","DF,MF","Wolves","engPremier League","20","2001","20.3","1","13","4","30.8","0.64","0.20","0.08","0.25","17.6","0","0","0","0.6","0.6","0.04","+0.4","+0.4",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","23","1998","22.2","1","7","1","14.3","0.32","0.05","0.14","1.00","8.8","0","0","0","0.8","0.8","0.11","+0.2","+0.2",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","27","1994","30.4","12","56","24","42.9","1.84","0.79","0.16","0.38","13.5","0","3","3","10.6","8.3","0.15","+1.4","+0.7",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","26","1995","25.1","1","13","3","23.1","0.52","0.12","0.08","0.33","11.2","1","0","0","1.9","1.9","0.15","-0.9","-0.9",
