Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches"
"Víctor Camarasa","esESP","MF","Cardiff City","engPremier League","24","1994","28.5","5","40","11","27.5","1.40","0.39","0.10","0.36","23.6","5","1","1","4.0","3.2","0.10","+1.0","+0.8",
"Eduardo Camavinga","frFRA","MF","Rennes","frLigue 1","15","2002","4.0","0","2","1","50.0","0.49","0.25","0.00","0.00","21.1","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Sergio Camello","esESP","FW","Atlético Madrid","esLa Liga","17","2001","0.5","1","3","1","33.3","6.00","2.00","0.33","1.00","10.7","0","0","0","0.8","0.8","0.26","+0.2","+0.2",
"José Campaña","esESP","MF","Levante","esLa Liga","25","1993","35.7","4","23","9","39.1","0.64","0.25","0.17","0.44","23.3","3","0","0","1.8","1.8","0.08","+2.2","+2.2",
"Joel Campbell","crCRC","FW,MF","Frosinone","itSerie A","26","1992","9.9","0","14","3","21.4","1.41","0.30","0.00","0.00","20.5","0","0","0","0.6","0.6","0.04","-0.6","-0.6",
"Emre Can","deGER","MF","Juventus","itSerie A","24","1994","20.1","4","31","8","25.8","1.54","0.40","0.10","0.38","18.8","0","1","1","2.7","1.9","0.06","+1.3","+1.1",
"Sergio Canales","esESP","MF","Betis","esLa Liga","27","1991","29.5","7","64","23","35.9","2.17","0.78","0.08","0.22","23.2","14","2","2","7.0","5.4","0.08","0.0","-0.4",
"João Cancelo","ptPOR","DF","Juventus","itSerie A","24","1994","21.9","1","25","7","28.0","1.14","0.32","0.04","0.14","22.3","0","0","0","1.7","1.7","0.07","-0.7","-0.7",
"Antonio Candreva","itITA","FW,MF","Inter","itSerie A","31","1987","5.6","1","21","7","33.3","3.76","1.25","0.05","0.14","20.1","1","0","0","2.0","2.0","0.09","-1.0","-1.0",
"Ander Capa","esESP","DF,FW","Athletic Club","esLa Liga","26","1992","18.2","0","9","2","22.2","0.49","0.11","0.00","0.00","16.3","0","0","0","0.5","0.5","0.05","-0.5","-0.5",
"Luan Capanni","brBRA","FW","Lazio","itSerie A","18","2000","0.1","0","1","0","0.0","10.00","0.00","0.00","","32.1","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Pierrick Capelle","frFRA","DF,MF","Angers","frLigue 1","31","1987","20.5","3","28","7","25.0","1.37","0.34","0.11","0.43","19.8","3","0","0","2.7","2.7","0.11","+0.3","+0.3",
"Leonardo Capezzi","itITA","MF","Empoli","itSerie A","23","1995","8.6","0","13","1","7.7","1.52","0.12","0.00","0.00","27.2","2","0","0","0.4","0.4","0.03","-0.4","-0.4",
"Étienne Capoue","frFRA","MF","Watford","engPremier League","30","1988","32.7","1","18","4","22.2","0.55","0.12","0.06","0.25","26.7","5","0","0","1.4","1.4","0.08","-0.4","-0.4",
"Gianluca Caprari","itITA","FW,MF","Sampdoria","itSerie A","25","1993","11.5","6","30","14","46.7","2.62","1.22","0.20","0.43","19.2","4","0","0","2.2","2.2","0.07","+3.8","+3.8",
"Marco Capuano","itITA","DF","Frosinone","itSerie A","26","1991","25.6","0","7","0","0.0","0.27","0.00","0.00","","14.0","0","0","0","0.5","0.5","0.08","-0.5","-0.5",
"Francesco Caputo","itITA","FW","Empoli","itSerie A","30","1987","38.0","16","90","39","43.3","2.37","1.03","0.14","0.33","14.3","0","3","6","17.6","12.9","0.14","-1.6","+0.1",
"Yoan Cardinale","frFRA","GK","Nice","frLigue 1","24","1994","3.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marc Cardona","esESP","FW,MF","Eibar","esLa Liga","23","1995","6.7","3","17","8","47.1","2.53","1.19","0.18","0.38","11.4","0","0","0","3.4","3.4","0.20","-0.4","-0.4",
"Diego Carlos","brBRA","DF","Nantes","frLigue 1","25","1993","35.0","1","31","4","12.9","0.89","0.11","0.03","0.25","18.9","3","0","0","2.0","2.0","0.06","-1.0","-1.0",
"Jonas Carls","deGER","FW","Schalke 04","deBundesliga","21","1997","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Louis Carnot","frFRA","MF","Guingamp","frLigue 1","17","2001","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Lionel Carole","frFRA","DF,FW","Strasbourg","frLigue 1","27","1991","19.2","0","8","2","25.0","0.42","0.10","0.00","0.00","19.2","0","0","0","0.5","0.5","0.06","-0.5","-0.5",
"Daniel Carriço","ptPOR","DF","Sevilla","esLa Liga","29","1988","23.7","1","9","3","33.3","0.38","0.13","0.11","0.33","18.5","0","0","0","0.5","0.5","0.06","+0.5","+0.5",
"Guido Carrillo","arARG","FW","Leganés","esLa Liga","27","1991","22.1","6","56","18","32.1","2.53","0.81","0.09","0.28","12.1","0","1","3","9.1","6.7","0.12","-3.1","-1.7",
"Andy Carroll","engENG","FW","West Ham","engPremier League","29","1989","5.1","0","14","6","42.9","2.73","1.17","0.00","0.00","12.6","0","0","0","2.2","2.2","0.16","-2.2","-2.2",
"Dani Carvajal","esESP","DF","Real Madrid","esLa Liga","26","1992","23.4","1","11","4","36.4","0.47","0.17","0.09","0.25","22.0","0","0","0","0.4","0.4","0.03","+0.6","+0.6",
"William Carvalho","ptPOR","MF","Betis","esLa Liga","26","1992","26.5","0","10","2","20.0","0.38","0.08","0.00","0.00","18.8","0","0","0","0.5","0.5","0.05","-0.5","-0.5",
"Casemiro","brBRA","MF","Real Madrid","esLa Liga","26","1992","25.7","3","40","8","20.0","1.56","0.31","0.08","0.38","19.5","1","0","0","2.6","2.6","0.07","+0.4","+0.4",
"Santiago Cáseres","arARG","MF","Villarreal","esLa Liga","21","1997","17.6","0","5","1","20.0","0.28","0.06","0.00","0.00","16.2","0","0","0","0.5","0.5","0.10","-0.5","-0.5",
"Moreto Cassamã","gwGNB","MF","Reims","frLigue 1","20","1998","0.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Francesco Cassata","itITA","MF","Frosinone","itSerie A","21","1997","12.5","2","14","4","28.6","1.12","0.32","0.14","0.50","21.5","0","0","0","0.6","0.6","0.04","+1.4","+1.4",
"Timothy Castagne","beBEL","DF","Atalanta","itSerie A","22","1995","22.3","4","19","8","42.1","0.85","0.36","0.21","0.50","13.1","0","0","0","2.8","2.8","0.15","+1.2","+1.2",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","26","1992","25.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Samu Castillejo","esESP","FW,MF","Milan","itSerie A","23","1995","11.4","4","30","13","43.3","2.64","1.14","0.13","0.31","20.3","0","0","0","1.7","1.7","0.06","+2.3","+2.3",
"Gonzalo Castro","deGER","MF","Stuttgart","deBundesliga","31","1987","18.8","2","13","3","23.1","0.69","0.16","0.15","0.67","22.4","3","0","0","1.2","1.2","0.09","+0.8","+0.8",
"Jonny Castro","esESP","DF,MF","Wolves","engPremier League","24","1994","30.8","1","25","7","28.0","0.81","0.23","0.04","0.14","20.0","0","0","0","2.0","2.0","0.08","-1.0","-1.0",
"Lucas Castro","arARG","MF","Cagliari","itSerie A","29","1989","10.0","1","9","2","22.2","0.90","0.20","0.11","0.50","19.4","0","0","0","1.1","1.1","0.13","-0.1","-0.1",
"Danilo Cataldi","itITA","MF,FW","Lazio","itSerie A","23","1994","6.4","2","13","4","30.8","2.02","0.62","0.15","0.50","25.0","3","0","0","0.6","0.6","0.05","+1.4","+1.4",
"Catena","esESP","DF","Rayo Vallecano","esLa Liga","23","1994","2.0","0","3","1","33.3","1.53","0.51","0.00","0.00","10.2","0","0","0","0.2","0.2","0.08","-0.2","-0.2",
"Craig Cathcart","nirNIR","DF","Watford","engPremier League","29","1989","34.4","3","13","5","38.5","0.38","0.15","0.23","0.60","10.2","0","0","0","1.5","1.5","0.12","+1.5","+1.5",
"Ivan Cavaleiro","ptPOR","FW,MF","Wolves","engPremier League","24","1993","7.7","3","13","4","30.8","1.69","0.52","0.23","0.75","16.1","0","0","0","2.2","2.2","0.17","+0.8","+0.8",
"Edinson Cavani","uyURU","FW","Paris S-G","frLigue 1","31","1987","18.6","18","47","17","36.2","2.53","0.92","0.30","0.82","14.2","2","4","5","14.5","10.6","0.22","+3.5","+3.4",
"Santi Cazorla","esESP","MF,FW","Villarreal","esLa Liga","33","1984","29.4","4","28","8","28.6","0.95","0.27","0.07","0.25","22.1","4","2","3","4.4","2.1","0.07","-0.4","-0.1",
"Dani Ceballos","esESP","MF,FW","Real Madrid","esLa Liga","21","1996","13.9","3","22","5","22.7","1.59","0.36","0.14","0.60","18.9","1","0","0","2.3","2.3","0.10","+0.7","+0.7",
"Federico Ceccherini","itITA","DF","Fiorentina","itSerie A","26","1992","11.0","0","1","1","100.0","0.09","0.09","0.00","0.00","7.6","0","0","0","0.1","0.1","0.08","-0.1","-0.1",
"Petr Čech","czCZE","GK","Arsenal","engPremier League","36","1982","6.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Žan Celar","siSVN","FW","Roma","itSerie A","19","1999","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Zeki Çelik","trTUR","DF","Lille","frLigue 1","21","1997","33.0","1","15","4","26.7","0.45","0.12","0.07","0.25","19.6","0","0","0","1.1","1.1","0.08","-0.1","-0.1",
"Luca Ceppitelli","itITA","DF","Cagliari","itSerie A","28","1989","22.8","1","15","4","26.7","0.66","0.18","0.07","0.25","9.7","0","0","0","2.4","2.4","0.16","-1.4","-1.4",
"Fabio Ceravolo","itITA","FW","Parma","itSerie A","31","1987","13.2","2","18","7","38.9","1.37","0.53","0.06","0.14","17.0","0","1","2","3.6","2.1","0.11","-1.6","-1.1",
"Alberto Cerri","itITA","FW","Cagliari","itSerie A","22","1996","7.4","0","23","3","13.0","3.09","0.40","0.00","0.00","15.0","0","0","0","2.0","2.0","0.09","-2.0","-2.0",
"Boštjan Cesar","siSVN","DF","Chievo","itSerie A","36","1982","12.0","1","5","2","40.0","0.42","0.17","0.20","0.50","12.7","0","0","0","0.5","0.5","0.09","+0.5","+0.5",
"Nacer Chadli","beBEL","MF,DF","Monaco","frLigue 1","28","1989","7.7","0","2","1","50.0","0.26","0.13","0.00","0.00","23.0","1","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Fouad Chafik","maMAR","DF","Dijon","frLigue 1","31","1986","20.5","0","9","3","33.3","0.44","0.15","0.00","0.00","24.2","0","0","0","0.3","0.3","0.03","-0.3","-0.3",
"Nathaniel Chalobah","engENG","MF","Watford","engPremier League","23","1994","3.0","0","2","1","50.0","0.67","0.33","0.00","0.00","23.4","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Calum Chambers","engENG","MF,DF","Fulham","engPremier League","23","1995","28.8","2","35","11","31.4","1.22","0.38","0.06","0.18","19.4","0","0","0","2.3","2.3","0.07","-0.3","-0.3",
"Timothy Chandler","usUSA","DF","Eint Frankfurt","deBundesliga","28","1990","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kwon Chang-hoon","krKOR","FW,MF","Dijon","frLigue 1","24","1994","10.4","2","20","6","30.0","1.92","0.58","0.10","0.33","17.7","1","0","0","1.7","1.7","0.09","+0.3","+0.3",
"Charles","brBRA","FW","Eibar","esLa Liga","34","1984","19.3","14","56","24","42.9","2.90","1.24","0.14","0.33","15.2","0","6","7","12.2","6.7","0.12","+1.8","+1.3",
"Xavier Chavalerin","frFRA","MF","Reims","frLigue 1","27","1991","36.0","2","22","7","31.8","0.61","0.19","0.09","0.29","24.6","0","0","0","1.0","1.0","0.05","+1.0","+1.0",
"Pablo Chavarría","arARG","FW","Reims","frLigue 1","30","1988","21.9","5","43","18","41.9","1.96","0.82","0.12","0.28","12.8","0","0","0","5.8","5.8","0.13","-0.8","-0.8",
"Chechu","esESP","DF","Rayo Vallecano","esLa Liga","36","1982","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Pape Cheikh Diop","snSEN","MF","Lyon","frLigue 1","20","1997","5.0","0","4","1","25.0","0.79","0.20","0.00","0.00","13.2","0","0","0","0.4","0.4","0.10","-0.4","-0.4",
"Chema","esESP","DF","Levante","esLa Liga","26","1992","13.9","2","6","2","33.3","0.43","0.14","0.33","1.00","18.7","0","0","0","0.6","0.6","0.12","+1.4","+1.4",
"Denis Cheryshev","ruRUS","MF","Valencia","esLa Liga","27","1990","19.0","2","32","6","18.8","1.69","0.32","0.06","0.33","16.3","0","0","0","3.7","3.7","0.12","-1.7","-1.7",
"Raman Chibsah","ghGHA","MF","Frosinone","itSerie A","25","1993","29.1","1","32","9","28.1","1.10","0.31","0.03","0.11","19.2","0","0","0","3.3","3.3","0.10","-2.3","-2.3",
"Leandro Chichizola","arARG","GK","Getafe","esLa Liga","28","1990","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Giorgio Chiellini","itITA","DF","Juventus","itSerie A","33","1984","22.1","1","13","4","30.8","0.59","0.18","0.08","0.25","13.4","0","0","0","1.5","1.5","0.12","-0.5","-0.5",
"Federico Chiesa","itITA","FW","Fiorentina","itSerie A","20","1997","33.7","6","133","41","30.8","3.95","1.22","0.05","0.15","19.7","0","0","0","8.8","8.8","0.07","-2.8","-2.8",
"Ben Chilwell","engENG","DF","Leicester City","engPremier League","21","1996","36.0","0","22","10","45.5","0.61","0.28","0.00","0.00","21.4","0","0","0","1.1","1.1","0.05","-1.1","-1.1",
"Vlad Chiricheș","roROU","DF","Napoli","itSerie A","28","1989","1.6","0","1","0","0.0","0.61","0.00","0.00","","9.5","0","0","0","0.1","0.1","0.12","-0.1","-0.1",
"Tahith Chong","cwCUW","FW","Manchester Utd","engPremier League","18","1999","0.4","0","2","1","50.0","4.74","2.37","0.00","0.00","13.9","0","0","0","0.4","0.4","0.18","-0.4","-0.4",
"Hamza Choudhury","bdBAN","MF","Leicester City","engPremier League","20","1997","6.6","0","4","2","50.0","0.61","0.30","0.00","0.00","19.6","0","0","0","0.5","0.5","0.12","-0.5","-0.5",
"Andreas Christensen","dkDEN","DF","Chelsea","engPremier League","22","1996","6.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Cyrus Christie","ieIRL","DF,MF","Fulham","engPremier League","25","1992","21.6","0","12","3","25.0","0.55","0.14","0.00","0.00","21.8","0","0","0","0.4","0.4","0.03","-0.4","-0.4",
"Samuel Chukwueze","ngNGA","MF,FW","Villarreal","esLa Liga","19","1999","19.0","5","58","23","39.7","3.06","1.21","0.09","0.22","18.1","0","0","0","5.2","5.2","0.09","-0.2","-0.2",
"Camillo Ciano","itITA","FW,MF","Frosinone","itSerie A","28","1990","27.3","7","74","21","28.4","2.71","0.77","0.07","0.24","25.9","21","2","3","6.9","4.6","0.06","+0.1","+0.4",
"Amato Ciciretti","itITA","FW,MF","Parma","itSerie A","24","1993","1.5","0","1","0","0.0","0.65","0.00","0.00","","12.8","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"Luca Cigarini","itITA","MF","Cagliari","itSerie A","32","1986","18.7","0","19","2","10.5","1.02","0.11","0.00","0.00","30.7","2","0","0","0.6","0.6","0.03","-0.6","-0.6",
"Per Ciljan Skjelbred","noNOR","MF","Hertha BSC","deBundesliga","31","1987","11.1","0","5","1","20.0","0.45","0.09","0.00","0.00","23.4","0","0","0","0.5","0.5","0.09","-0.5","-0.5",
"Jasper Cillessen","nlNED","GK","Barcelona","esLa Liga","29","1989","3.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Laurent Ciman","beBEL","DF","Dijon","frLigue 1","32","1985","8.0","0","9","2","22.2","1.13","0.25","0.00","0.00","22.5","2","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Daniel Ciofani","itITA","FW","Frosinone","itSerie A","33","1985","18.0","5","51","18","35.3","2.84","1.00","0.06","0.17","15.0","0","2","2","5.9","4.3","0.08","-0.9","-1.3",
"Thiago Cionek","plPOL","DF","SPAL","itSerie A","32","1986","28.2","0","16","1","6.3","0.57","0.04","0.00","0.00","12.0","0","0","0","1.4","1.4","0.09","-1.4","-1.4",
"Ibrahima Cissé","gnGUI","MF","Fulham","engPremier League","24","1994","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Till Cissokho","frFRA","DF","Bordeaux","frLigue 1","18","2000","0.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Ciaran Clark","ieIRL","DF","Newcastle Utd","engPremier League","28","1989","9.5","3","7","3","42.9","0.73","0.31","0.43","1.00","11.5","0","0","0","0.5","0.5","0.07","+2.5","+2.5",
"Tom Cleverley","engENG","MF","Watford","engPremier League","28","1989","5.3","1","4","2","50.0","0.75","0.38","0.25","0.50","22.4","1","0","0","0.2","0.2","0.06","+0.8","+0.8",
"Nathaniel Clyne","engENG","DF","Bournemouth","engPremier League","27","1991","12.7","0","2","0","0.0","0.16","0.00","0.00","","11.5","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"Nathaniel Clyne","engENG","DF","Liverpool","engPremier League","27","1991","1.2","0","3","1","33.3","2.43","0.81","0.00","0.00","28.3","0","0","0","0.1","0.1","0.02","-0.1","-0.1",
"Conor Coady","engENG","DF","Wolves","engPremier League","25","1993","38.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marcus Coco","frFRA","FW,MF","Guingamp","frLigue 1","22","1996","20.4","1","26","7","26.9","1.27","0.34","0.04","0.14","18.0","0","0","0","2.8","2.8","0.11","-1.8","-1.8",
"Coke","esESP","DF","Levante","esLa Liga","31","1987","20.2","4","12","6","50.0","0.59","0.30","0.33","0.67","11.2","0","0","0","1.9","1.9","0.16","+2.1","+2.1",
"Joel Coleman","engENG","GK","Huddersfield","engPremier League","22","1995","1.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Séamus Coleman","ieIRL","DF","Everton","engPremier League","29","1988","28.4","2","15","7","46.7","0.53","0.25","0.13","0.29","16.6","0","0","0","1.6","1.6","0.11","+0.4","+0.4",
"Álex Collado","esESP","FW","Barcelona","esLa Liga","19","1999","0.9","0","2","0","0.0","2.12","0.00","0.00","","19.9","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Omar Colley","gmGAM","DF","Sampdoria","itSerie A","25","1992","19.6","0","7","1","14.3","0.36","0.05","0.00","0.00","10.9","0","0","0","0.6","0.6","0.08","-0.6","-0.6",
"Racine Coly","snSEN","DF,MF","Nice","frLigue 1","22","1995","5.6","0","4","0","0.0","0.72","0.00","0.00","","18.0","0","0","0","0.2","0.2","0.05","-0.2","-0.2",
"Kingsley Coman","frFRA","FW,MF","Bayern Munich","deBundesliga","22","1996","15.3","6","31","19","61.3","2.02","1.24","0.19","0.32","16.2","0","0","0","4.0","4.0","0.13","+2.0","+2.0",
"Santi Comesaña","esESP","MF","Rayo Vallecano","esLa Liga","21","1996","22.6","1","8","1","12.5","0.35","0.04","0.13","1.00","15.4","0","0","0","0.7","0.7","0.08","+0.3","+0.3",
"Daniel Congré","frFRA","DF","Montpellier","frLigue 1","33","1985","36.6","2","15","5","33.3","0.41","0.14","0.13","0.40","11.3","0","0","0","2.3","2.3","0.16","-0.3","-0.3",
"Andrea Consigli","itITA","GK","Sassuolo","itSerie A","31","1987","35.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Andrea Conti","itITA","DF","Milan","itSerie A","24","1994","5.6","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Lewis Cook","engENG","MF","Bournemouth","engPremier League","21","1997","8.0","0","4","0","0.0","0.50","0.00","0.00","","25.3","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Steve Cook","engENG","DF","Bournemouth","engPremier League","27","1991","31.0","1","21","9","42.9","0.68","0.29","0.05","0.11","16.5","0","0","0","1.3","1.3","0.06","-0.3","-0.3",
"Duje Čop","hrCRO","FW","Valladolid","esLa Liga","28","1990","7.6","0","16","5","31.3","2.10","0.66","0.00","0.00","12.4","0","0","0","2.2","2.2","0.14","-2.2","-2.2",
"Francis Coquelin","frFRA","MF","Valencia","esLa Liga","27","1991","19.6","0","9","3","33.3","0.46","0.15","0.00","0.00","20.2","0","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Gabriele Corbo","itITA","DF","Bologna","itSerie A","18","2000","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Iñigo Córdoba","esESP","FW,MF","Athletic Club","esLa Liga","21","1997","14.7","0","22","7","31.8","1.50","0.48","0.00","0.00","20.5","0","0","0","1.3","1.3","0.06","-1.3","-1.3",
"Sergio Córdova","veVEN","FW","Augsburg","deBundesliga","20","1997","5.9","3","13","4","30.8","2.20","0.68","0.23","0.75","15.5","0","0","0","1.0","1.0","0.08","+2.0","+2.0",
"Benjamin Corgnet","frFRA","MF,FW","Strasbourg","frLigue 1","31","1987","7.5","1","19","8","42.1","2.55","1.07","0.05","0.13","17.5","0","0","0","1.6","1.6","0.09","-0.6","-0.6",
"Ante Ćorić","hrCRO","MF","Roma","itSerie A","21","1997","0.3","0","1","0","0.0","3.75","0.00","0.00","","34.8","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Jack Cork","engENG","MF","Burnley","engPremier League","29","1989","36.8","1","17","2","11.8","0.46","0.05","0.06","0.50","16.6","0","0","0","1.4","1.4","0.08","-0.4","-0.4",
"Andreas Cornelius","dkDEN","FW","Bordeaux","frLigue 1","25","1993","8.8","3","22","9","40.9","2.50","1.02","0.14","0.33","14.2","0","0","0","2.3","2.3","0.11","+0.7","+0.7",
"Maxwel Cornet","ciCIV","FW","Lyon","frLigue 1","21","1996","14.2","7","47","22","46.8","3.30","1.55","0.15","0.32","15.5","2","0","0","7.4","7.4","0.16","-0.4","-0.4",
"Quentin Cornette","frFRA","FW,MF","Amiens","frLigue 1","24","1994","2.3","0","5","1","20.0","2.15","0.43","0.00","0.00","18.7","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Ángel Correa","arARG","MF,FW","Atlético Madrid","esLa Liga","23","1995","21.3","3","32","11","34.4","1.50","0.52","0.09","0.27","21.4","0","0","0","2.2","2.2","0.07","+0.8","+0.8",
"Joaquín Correa","arARG","FW,MF","Lazio","itSerie A","23","1994","21.4","5","70","30","42.9","3.27","1.40","0.07","0.17","17.6","1","0","0","8.0","8.0","0.11","-3.0","-3.0",
"Danny da Costa","deGER","DF,FW","Eint Frankfurt","deBundesliga","25","1993","33.7","2","20","6","30.0","0.59","0.18","0.10","0.33","14.2","0","0","0","3.6","3.6","0.18","-1.6","-1.6",
"Diego Costa","esESP","FW","Atlético Madrid","esLa Liga","29","1988","12.4","2","16","10","62.5","1.29","0.81","0.13","0.20","14.6","0","0","0","1.7","1.7","0.11","+0.3","+0.3",
"Douglas Costa","brBRA","FW,MF","Juventus","itSerie A","27","1990","6.9","1","20","7","35.0","2.90","1.01","0.05","0.14","21.9","0","0","0","0.7","0.7","0.04","+0.3","+0.3",
"Filippo Costa","itITA","DF,FW","SPAL","itSerie A","23","1995","6.3","0","6","0","0.0","0.96","0.00","0.00","","22.7","1","0","0","0.3","0.3","0.05","-0.3","-0.3",
"Hélder Costa","aoANG","FW,MF","Wolves","engPremier League","24","1994","14.9","1","25","7","28.0","1.68","0.47","0.04","0.14","18.9","0","0","0","2.4","2.4","0.10","-1.4","-1.4",
"Jaume Costa","esESP","DF","Villarreal","esLa Liga","30","1988","16.6","1","13","2","15.4","0.78","0.12","0.08","0.50","21.3","0","0","0","0.5","0.5","0.04","+0.5","+0.5",
"Nuno da Costa","cvCPV","FW","Strasbourg","frLigue 1","27","1991","22.8","8","45","17","37.8","1.97","0.75","0.16","0.41","17.1","0","1","1","5.4","4.7","0.10","+2.6","+2.3",
"David Costas","esESP","DF","Celta Vigo","esLa Liga","23","1995","13.0","0","2","1","50.0","0.15","0.08","0.00","0.00","9.8","0","0","0","0.2","0.2","0.09","-0.2","-0.2",
"Benoît Costil","frFRA","GK","Bordeaux","frLigue 1","31","1987","37.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kalifa Coulibaly","mlMLI","FW","Nantes","frLigue 1","26","1991","19.5","8","55","17","30.9","2.83","0.87","0.13","0.41","13.3","0","1","1","9.5","8.7","0.16","-1.5","-1.7",
"Senou Coulibaly","mlMLI","DF","Dijon","frLigue 1","23","1994","4.6","1","2","1","50.0","0.44","0.22","0.50","1.00","10.7","0","0","0","0.2","0.2","0.11","+0.8","+0.8",
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","26","1992","27.0","0","1","0","0.0","0.04","0.00","0.00","","11.9","0","0","0","0.1","0.1","0.06","-0.1","-0.1",
"Philippe Coutinho","brBRA","FW,MF","Barcelona","esLa Liga","26","1992","22.4","5","68","31","45.6","3.03","1.38","0.07","0.16","20.0","3","0","0","7.4","7.4","0.11","-2.4","-2.4",
"Nicolas Cozza","frFRA","DF","Montpellier","frLigue 1","19","1999","10.9","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Alessio Cragno","itITA","GK","Cagliari","itSerie A","24","1994","38.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Aaron Cresswell","engENG","DF","West Ham","engPremier League","28","1989","17.7","0","11","0","0.0","0.62","0.00","0.00","","22.6","2","0","0","0.5","0.5","0.04","-0.5","-0.5",
"Domenico Criscito","itITA","DF","Genoa","itSerie A","31","1986","34.1","2","30","5","16.7","0.88","0.15","0.03","0.20","28.3","5","1","1","1.8","1.1","0.04","+0.2","-0.1",
"Lorenzo Crisetig","itITA","MF","Frosinone","itSerie A","25","1993","5.6","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Bryan Cristante","itITA","MF","Roma","itSerie A","23","1995","26.9","4","43","10","23.3","1.60","0.37","0.09","0.40","17.3","0","0","0","3.8","3.8","0.09","+0.2","+0.2",
"Sebastián Cristóforo","uyURU","MF","Getafe","esLa Liga","24","1993","5.0","0","1","1","100.0","0.20","0.20","0.00","0.00","18.7","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Enzo Crivelli","frFRA","FW","Caen","frLigue 1","23","1995","25.1","6","21","10","47.6","0.84","0.40","0.29","0.60","11.3","0","0","0","5.1","5.1","0.24","+0.9","+0.9",
"Peter Crouch","engENG","FW","Burnley","engPremier League","37","1981","1.0","0","5","1","20.0","4.89","0.98","0.00","0.00","10.6","0","0","0","0.6","0.6","0.12","-0.6","-0.6",
"Alessio da Cruz","cvCPV","FW,MF","Parma","itSerie A","21","1997","1.6","0","1","0","0.0","0.62","0.00","0.00","","13.0","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Juan Cuadrado","coCOL","MF,DF","Juventus","itSerie A","30","1988","13.6","1","17","3","17.6","1.25","0.22","0.06","0.33","21.4","0","0","0","1.6","1.6","0.09","-0.6","-0.6",
"Cucho","coCOL","FW","Huesca","esLa Liga","19","1999","23.9","4","78","22","28.2","3.27","0.92","0.03","0.09","17.0","4","2","2","10.8","9.2","0.12","-6.8","-7.2",
"Marc Cucurella","esESP","MF,FW","Eibar","esLa Liga","20","1998","26.2","1","22","2","9.1","0.84","0.08","0.05","0.50","15.9","0","0","0","2.0","2.0","0.09","-1.0","-1.0",
