Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches"
"Nicolò Barella","itITA","MF","Cagliari","itSerie A","21","1997","34.5","1","53","12","22.6","1.54","0.35","0.02","0.08","24.1","2","0","1","2.6","1.8","0.03","-1.6","-0.8",
"Philipp Bargfrede","deGER","MF,DF","Werder Bremen","deBundesliga","29","1989","12.0","0","7","1","14.3","0.58","0.08","0.00","0.00","28.8","0","0","0","0.2","0.2","0.02","-0.2","-0.2",
"Antonino Barillà","itITA","MF","Parma","itSerie A","30","1988","29.1","3","19","8","42.1","0.65","0.28","0.16","0.38","19.1","0","0","0","3.0","3.0","0.16","0.0","0.0",
"Ross Barkley","engENG","MF","Chelsea","engPremier League","24","1993","13.8","3","41","9","22.0","2.96","0.65","0.07","0.33","19.9","1","0","0","4.0","4.0","0.10","-1.0","-1.0",
"Aymen Barkok","maMAR","MF","Düsseldorf","deBundesliga","20","1998","5.7","0","5","0","0.0","0.88","0.00","0.00","","24.0","0","0","0","0.5","0.5","0.10","-0.5","-0.5",
"Ashley Barnes","engENG","FW","Burnley","engPremier League","28","1989","26.5","12","63","28","44.4","2.37","1.06","0.16","0.36","14.7","0","2","2","13.8","12.2","0.19","-1.8","-2.2",
"Harvey Barnes","engENG","MF,FW","Leicester City","engPremier League","20","1997","11.2","1","40","10","25.0","3.59","0.90","0.03","0.10","17.0","0","0","0","3.9","3.9","0.10","-2.9","-2.9",
"Antonio Barragán","esESP","DF,FW","Betis","esLa Liga","31","1987","10.4","0","2","0","0.0","0.19","0.00","0.00","","20.8","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Antonio Barreca","itITA","DF","Newcastle Utd","engPremier League","23","1995","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Antonio Barreca","itITA","DF","Monaco","frLigue 1","23","1995","6.6","0","5","1","20.0","0.76","0.15","0.00","0.00","24.2","0","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Leandro Barreiro Martins","luLUX","MF","Mainz 05","deBundesliga","18","2000","1.0","0","1","0","0.0","1.00","0.00","0.00","","29.1","0","0","0","0.0","0.0","0.02","0.0","0.0",
