Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Brenden Aaronson","usUSA","FW,MF","Leeds United","engPremier League","25-034","2000","8.8","1","17","6","35.3","1.94","0.68","0.06","0.17","15.0","0","0","0","2.0","2.0","0.12","-1.0","-1.0",
"Jones El-Abdellaoui","maMAR","MF,FW","Celta Vigo","esLa Liga","19-317","2006","1.3","0","5","1","20.0","3.81","0.76","0.00","0.00","18.7","0","0","0","0.9","0.9","0.18","-0.9","-0.9",
"Himad Abdelli","dzALG","MF","Angers","frLigue 1","26-008","1999","7.9","1","5","1","20.0","0.64","0.13","0.00","0.00","23.2","0","1","1","1.1","0.3","0.07","-0.1","-0.3",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","31-340","1993","3.6","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Salis Abdul Samed","ghGHA","MF","Nice","frLigue 1","25-244","2000","4.6","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Saud Abdulhamid","saKSA","DF","Lens","frLigue 1","26-130","1999","2.3","0","1","0","0.0","0.44","0.00","0.00","","11.7","0","0","0","0.0","0.0","0.05","0.0","0.0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","32-297","1993","11.5","0","11","2","18.2","0.96","0.17","0.00","0.00","23.2","0","0","0","0.5","0.5","0.05","-0.5","-0.5",
"Matthis Abline","frFRA","FW,MF","Nantes","frLigue 1","22-242","2003","10.9","2","34","7","20.6","3.13","0.64","0.06","0.29","19.0","3","0","1","3.0","2.2","0.06","-1.0","-0.2",
"Abner","brBRA","DF","Lyon","frLigue 1","25-182","2000","6.0","0","6","1","16.7","1.00","0.17","0.00","0.00","11.5","0","0","0","0.8","0.8","0.13","-0.8","-0.8",
"Zakaria Aboukhlal","maMAR","FW,MF","Torino","itSerie A","25-280","2000","1.6","0","2","2","100.0","1.25","1.25","0.00","0.00","13.1","0","0","0","0.2","0.2","0.08","-0.2","-0.2",
"Abdel Abqar","maMAR","DF","Getafe","esLa Liga","26-260","1999","6.5","0","6","1","16.7","0.93","0.15","0.00","0.00","13.8","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Francis Abu","ghGHA","MF","Toulouse","frLigue 1","24-212","2001","5.8","0","6","0","0.0","1.03","0.00","0.00","","26.6","0","0","0","0.1","0.1","0.02","-0.1","-0.1",
"Giorgi Abuashvili","geGEO","FW,MF","Metz","frLigue 1","22-290","2003","3.1","1","8","3","37.5","2.58","0.97","0.13","0.33","24.7","0","0","0","0.3","0.3","0.04","+0.7","+0.7",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","37-288","1988","7.8","0","3","1","33.3","0.38","0.13","0.00","0.00","8.0","0","0","0","0.4","0.4","0.12","-0.4","-0.4",
"Ragnar Ache","deGER","FW","Köln","deBundesliga","27-120","1998","4.6","1","11","3","27.3","2.37","0.65","0.09","0.33","14.0","0","0","0","2.1","2.1","0.19","-1.1","-1.1",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","19-204","2006","3.9","1","3","2","66.7","0.77","0.52","0.33","0.50","8.1","0","0","0","0.6","0.6","0.20","+0.4","+0.4",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","25-300","2000","6.5","2","19","10","52.6","2.94","1.55","0.11","0.20","15.1","0","0","0","2.7","2.7","0.14","-0.7","-0.7",
"Che Adams","sctSCO","FW,MF","Torino","itSerie A","29-135","1996","5.4","2","17","6","35.3","3.16","1.12","0.12","0.33","20.7","0","0","0","1.7","1.7","0.10","+0.3","+0.3",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","26-284","1999","11.5","1","7","5","71.4","0.61","0.44","0.14","0.20","20.1","0","0","0","0.4","0.4","0.06","+0.6","+0.6",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","24-172","2001","4.8","1","7","3","42.9","1.45","0.62","0.14","0.33","9.6","0","0","0","1.6","1.6","0.23","-0.6","-0.6",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","28-062","1997","5.2","0","1","0","0.0","0.19","0.00","0.00","","6.3","0","0","0","0.0","0.0","0.04","0.0","0.0",
"Jayden Addai","nlNED","FW","Como","itSerie A","20-091","2005","4.8","3","9","5","55.6","1.89","1.05","0.33","0.60","17.7","0","0","0","1.2","1.2","0.14","+1.8","+1.8",
"Karim Adeyemi","deGER","MF,FW","Dortmund","deBundesliga","23-311","2002","5.7","3","18","7","38.9","3.13","1.22","0.17","0.43","17.0","0","0","0","2.3","2.3","0.13","+0.7","+0.7",
"Simon Adingra","ciCIV","FW,MF","Sunderland","engPremier League","23-328","2002","3.3","0","1","0","0.0","0.30","0.00","0.00","","14.0","0","0","0","0.1","0.1","0.14","-0.1","-0.1",
"Nathaniel Adjei","ghGHA","DF","Lorient","frLigue 1","23-096","2002","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Amine Adli","maMAR","FW,MF","Bournemouth","engPremier League","25-199","2000","2.7","0","5","3","60.0","1.82","1.09","0.00","0.00","18.7","1","0","0","0.6","0.6","0.12","-0.6","-0.6",
