Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Vasilije Adžić","meMNE","MF","Juventus","itSerie A","19-197","2006","1.4","1","5","4","80.0","3.57","2.86","0.20","0.25","26.3","1","0","0","0.2","0.2","0.04","+0.8","+0.8",
"Michel Aebischer","chSUI","MF","Pisa","itSerie A","28-323","1997","9.9","0","5","0","0.0","0.51","0.00","0.00","","25.6","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"David Affengruber","atAUT","DF","Elche","esLa Liga","24-251","2001","11.4","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Oladapo Afolayan","engENG","MF,FW","St. Pauli","deBundesliga","27-286","1998","1.7","0","4","2","50.0","2.40","1.20","0.00","0.00","19.7","0","0","0","0.6","0.6","0.15","-0.6","-0.6",
"Emmanuel Agbadou","ciCIV","DF","Wolves","engPremier League","28-161","1997","7.2","0","6","2","33.3","0.83","0.28","0.00","0.00","22.1","1","0","0","0.4","0.4","0.06","-0.4","-0.4",
"Julen Agirrezabala","esESP","GK","Valencia","esLa Liga","24-334","2000","13.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","23-289","2002","8.6","1","2","1","50.0","0.23","0.12","0.50","1.00","13.2","0","0","0","0.3","0.3","0.13","+0.7","+0.7",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","26-059","1999","5.4","0","1","1","100.0","0.19","0.19","0.00","0.00","30.7","0","0","0","0.0","0.0","0.01","0.0","0.0",
"Marc Aguado","esESP","MF","Elche","esLa Liga","25-276","2000","8.9","0","1","0","0.0","0.11","0.00","0.00","","17.7","0","0","0","0.0","0.0","0.04","0.0","0.0",
"Pablo Agudín","esESP","MF,FW","Oviedo","esLa Liga","18-017","2007","0.6","0","2","0","0.0","3.10","0.00","0.00","","24.8","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Nayef Aguerd","maMAR","DF","West Ham","engPremier League","29-240","1996","2.0","0","2","0","0.0","1.00","0.00","0.00","","9.9","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Nayef Aguerd","maMAR","DF","Marseille","frLigue 1","29-240","1996","7.9","1","3","1","33.3","0.38","0.13","0.33","1.00","16.1","0","0","0","0.3","0.3","0.10","+0.7","+0.7",
"Ruben Aguilar","frFRA","DF","Lens","frLigue 1","32-213","1993","11.0","0","6","1","16.7","0.55","0.09","0.00","0.00","20.8","0","0","0","0.3","0.3","0.04","-0.3","-0.3",
"Honest Ahanor","itITA","DF","Atalanta","itSerie A","17-275","2008","5.7","0","5","0","0.0","0.87","0.00","0.00","","9.3","0","0","0","1.0","1.0","0.21","-1.0","-1.0",
"Lucas Ahijado","esESP","DF","Oviedo","esLa Liga","30-299","1995","4.1","0","3","1","33.3","0.73","0.24","0.00","0.00","18.7","0","0","0","0.2","0.2","0.06","-0.2","-0.2",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","30-057","1995","1.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Ola Aina","ngNGA","DF","Nott'ham Forest","engPremier League","29-048","1996","3.0","0","2","0","0.0","0.67","0.00","0.00","","24.6","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Abdelhamid Ait Boudlal","maMAR","DF","Rennes","frLigue 1","19-223","2006","4.2","2","3","2","66.7","0.71","0.48","0.67","1.00","12.4","0","0","0","1.2","1.2","0.40","+0.8","+0.8",
"Rayan Aït-Nouri","dzALG","DF","Manchester City","engPremier League","24-172","2001","2.3","0","2","0","0.0","0.89","0.00","0.00","","24.9","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Tosin Aiyegun","bjBEN","MF,FW","Lorient","frLigue 1","27-152","1998","7.9","3","18","8","44.4","2.29","1.02","0.17","0.38","14.2","0","0","1","4.2","3.0","0.16","-1.2","0.0",
"Junior Ajayi","ciCIV","FW","Hellas Verona","itSerie A","21-045","2004","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","27-222","1998","5.2","0","7","2","28.6","1.35","0.38","0.00","0.00","15.6","0","0","0","0.5","0.5","0.07","-0.5","-0.5",
"Ludovic Ajorque","frFRA","FW","Brest","frLigue 1","31-273","1994","12.9","1","24","5","20.8","1.86","0.39","0.04","0.20","12.5","0","0","0","3.7","3.7","0.15","-2.7","-2.7",
"Manuel Akanji","chSUI","DF","Inter","itSerie A","30-129","1995","10.0","0","7","0","0.0","0.70","0.00","0.00","","18.3","0","0","0","0.4","0.4","0.05","-0.4","-0.4",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","30-280","1995","2.3","0","3","0","0.0","1.32","0.00","0.00","","10.3","0","0","0","0.3","0.3","0.09","-0.3","-0.3",
"Ilias Akhomach","maMAR","MF,FW","Villarreal","esLa Liga","21-223","2004","1.8","0","5","2","40.0","2.73","1.09","0.00","0.00","17.8","0","0","0","0.6","0.6","0.12","-0.6","-0.6",
"Ebenezer Akinsanmiro","ngNGA","MF","Pisa","itSerie A","21-000","2004","8.3","0","10","3","30.0","1.20","0.36","0.00","0.00","24.2","0","0","0","0.6","0.6","0.06","-0.6","-0.6",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","23-273","2002","10.4","3","21","8","38.1","2.02","0.77","0.14","0.38","18.1","0","0","0","3.4","3.4","0.16","-0.4","-0.4",
"Clément Akpa","ciCIV","DF","Auxerre","frLigue 1","24-001","2001","11.0","0","4","0","0.0","0.36","0.00","0.00","","24.8","1","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Hellas Verona","itSerie A","33-045","1992","5.5","0","4","1","25.0","0.73","0.18","0.00","0.00","17.0","0","0","0","0.3","0.3","0.08","-0.3","-0.3",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","30-220","1995","0.3","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","33-154","1992","0.6","0","1","1","100.0","1.58","1.58","0.00","0.00","31.9","1","0","0","0.0","0.0","0.03","0.0","0.0",
"Raúl Albiol","esESP","DF","Pisa","itSerie A","40-082","1985","2.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Carlos Alcaraz","arARG","FW,MF","Everton","engPremier League","22-360","2002","2.8","0","4","2","50.0","1.44","0.72","0.00","0.00","20.2","0","0","0","0.2","0.2","0.06","-0.2","-0.2",
"Omar Alderete","pyPAR","DF","Sunderland","engPremier League","28-334","1996","7.4","1","6","2","33.3","0.81","0.27","0.17","0.50","12.8","0","0","0","0.6","0.6","0.10","+0.4","+0.4",
"Alexandre Alemão","brBRA","FW","Rayo Vallecano","esLa Liga","27-238","1998","5.9","1","13","6","46.2","2.19","1.01","0.08","0.17","14.1","0","0","0","1.6","1.6","0.13","-0.6","-0.6",
"Carles Aleñá","esESP","MF,FW","Alavés","esLa Liga","27-324","1998","8.9","0","12","2","16.7","1.35","0.23","0.00","0.00","19.4","0","0","0","1.0","1.0","0.08","-1.0","-1.0",
"Trent Alexander-Arnold","engENG","DF","Real Madrid","esLa Liga","27-049","1998","2.8","0","3","0","0.0","1.08","0.00","0.00","","29.3","0","0","0","0.1","0.1","0.02","-0.1","-0.1",
"Alfon","esESP","FW,DF","Sevilla","esLa Liga","26-205","1999","2.7","1","9","5","55.6","3.39","1.88","0.11","0.20","18.0","0","0","0","0.6","0.6","0.07","+0.4","+0.4",
"Mohamed Ali Cho","frFRA","FW","Nice","frLigue 1","21-310","2004","4.2","2","6","3","50.0","1.44","0.72","0.33","0.67","13.8","0","0","0","0.6","0.6","0.11","+1.4","+1.4",
"Alisson","brBRA","GK","Liverpool","engPremier League","33-054","1992","7.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jim Allevinah","gaGAB","FW,DF","Angers","frLigue 1","30-271","1995","0.9","0","2","0","0.0","2.25","0.00","0.00","","19.1","0","0","0","0.3","0.3","0.13","-0.3","-0.3",
"Thiago Almada","arARG","MF,FW","Atlético Madrid","esLa Liga","24-213","2001","3.3","2","8","5","62.5","2.43","1.52","0.25","0.40","16.9","0","0","0","1.7","1.7","0.22","+0.3","+0.3",
"Domingos André Ribeiro Almeida","ptPOR","MF,FW","Valencia","esLa Liga","25-179","2000","3.6","0","3","1","33.3","0.84","0.28","0.00","0.00","21.0","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Pontus Almqvist","seSWE","DF,MF","Parma","itSerie A","26-138","1999","3.9","0","1","0","0.0","0.26","0.00","0.00","","16.8","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"Marcos Alonso","esESP","DF","Celta Vigo","esLa Liga","34-332","1990","8.9","0","6","1","16.7","0.67","0.11","0.00","0.00","18.9","1","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Adrià Altimira","esESP","DF","Villarreal","esLa Liga","24-242","2001","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Sergi Altimira","esESP","MF","Betis","esLa Liga","24-092","2001","5.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Carlos Álvarez","esESP","MF,FW","Levante","esLa Liga","22-111","2003","9.4","2","12","4","33.3","1.27","0.42","0.17","0.50","18.5","2","0","0","1.0","1.0","0.09","+1.0","+1.0",
"Hugo Álvarez","esESP","FW,MF","Celta Vigo","esLa Liga","22-146","2003","3.8","1","1","1","100.0","0.26","0.26","1.00","1.00","19.4","0","0","0","0.1","0.1","0.05","+0.9","+0.9",
"Julián Álvarez","arARG","FW","Atlético Madrid","esLa Liga","25-298","2000","11.1","7","28","14","50.0","2.53","1.27","0.18","0.36","20.1","5","2","3","6.1","3.7","0.13","+0.9","+1.3",
"Skelly Alvero","frFRA","DF","Werder Bremen","deBundesliga","23-205","2002","0.4","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Giuseppe Ambrosino","itITA","FW","Napoli","itSerie A","22-076","2003","0.4","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Aurele Amenda","chSUI","DF","Eint Frankfurt","deBundesliga","22-117","2003","1.2","0","1","0","0.0","0.86","0.00","0.00","","8.7","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"Kelvin Amian","frFRA","DF","Nantes","frLigue 1","27-290","1998","13.0","0","5","0","0.0","0.38","0.00","0.00","","24.1","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Mohamed Amine Sbai","frFRA","FW","Angers","frLigue 1","25-020","2000","4.4","0","9","3","33.3","2.05","0.68","0.00","0.00","19.2","0","0","0","0.5","0.5","0.06","-0.5","-0.5",
"Michael Amir Murillo","paPAN","DF","Marseille","frLigue 1","29-287","1996","8.7","2","6","2","33.3","0.69","0.23","0.33","1.00","14.4","1","0","0","0.8","0.8","0.13","+1.2","+1.2",
"Nadiem Amiri","deGER","MF","Mainz 05","deBundesliga","29-029","1996","10.5","3","19","3","15.8","1.81","0.29","0.00","0.00","27.0","3","3","3","3.1","0.7","0.04","-0.1","-0.7",
"Samuel Amo-Ameyaw","engENG","DF,MF","Strasbourg","frLigue 1","19-130","2006","3.4","0","4","0","0.0","1.18","0.00","0.00","","17.3","0","0","0","0.2","0.2","0.06","-0.2","-0.2",
"Mathis Amougou","frFRA","MF","Strasbourg","frLigue 1","19-311","2006","2.6","0","2","1","50.0","0.78","0.39","0.00","0.00","15.0","0","0","0","0.2","0.2","0.09","-0.2","-0.2",
"Mohamed Amoura","dzALG","FW","Wolfsburg","deBundesliga","25-200","2000","7.9","4","22","7","31.8","2.77","0.88","0.14","0.43","16.1","0","1","1","3.6","2.9","0.13","+0.4","+0.1",
"Ethan Ampadu","wlsWAL","MF","Leeds United","engPremier League","25-072","2000","9.7","0","5","0","0.0","0.51","0.00","0.00","","26.8","0","0","0","0.4","0.4","0.09","-0.4","-0.4",
"Sofyan Amrabat","maMAR","MF","Betis","esLa Liga","29-096","1996","6.7","0","4","1","25.0","0.60","0.15","0.00","0.00","26.7","0","0","0","0.1","0.1","0.03","-0.1","-0.1",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","29-178","1996","10.5","0","6","0","0.0","0.57","0.00","0.00","","12.6","0","0","0","0.5","0.5","0.09","-0.5","-0.5",
"Elliot Anderson","engENG","MF","Nott'ham Forest","engPremier League","23-019","2002","12.0","1","13","3","23.1","1.08","0.25","0.00","0.00","22.6","1","1","1","1.7","0.9","0.07","-0.7","-0.9",
"André","brBRA","MF","Wolves","engPremier League","24-132","2001","8.8","0","2","0","0.0","0.23","0.00","0.00","","33.1","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Benjamin André","frFRA","MF","Lille","frLigue 1","35-114","1990","9.9","1","12","2","16.7","1.21","0.20","0.08","0.50","12.0","0","0","0","1.4","1.4","0.12","-0.4","-0.4",
"Robert Andrich","deGER","MF,DF","Leverkusen","deBundesliga","31-064","1994","7.7","0","2","1","50.0","0.26","0.13","0.00","0.00","18.6","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Miguel Ángel Rubio","esESP","DF","Espanyol","esLa Liga","27-259","1998","1.5","1","1","1","100.0","0.66","0.66","1.00","1.00","4.5","0","0","0","0.7","0.7","0.65","+0.3","+0.3",
"Angeliño","esESP","DF,MF","Roma","itSerie A","28-325","1997","4.3","0","4","2","50.0","0.93","0.47","0.00","0.00","13.1","0","0","0","0.2","0.2","0.04","-0.2","-0.2",
"Samuele Angori","itITA","DF","Pisa","itSerie A","22-049","2003","5.9","0","1","0","0.0","0.17","0.00","0.00","","33.1","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Faustino Anjorin","engENG","MF,FW","Torino","itSerie A","24-002","2001","0.7","0","1","0","0.0","1.36","0.00","0.00","","16.5","0","0","0","0.1","0.1","0.05","-0.1","-0.1",
"Ilyas Ansah","deGER","MF,FW","Union Berlin","deBundesliga","21-017","2004","8.4","4","14","7","50.0","1.67","0.83","0.29","0.57","17.3","0","0","0","1.5","1.5","0.10","+2.5","+2.5",
"Aaron Anselmino","arARG","DF","Dortmund","deBundesliga","20-210","2005","1.8","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jaidon Anthony","engENG","MF,FW","Burnley","engPremier League","25-359","1999","10.6","4","16","8","50.0","1.50","0.75","0.25","0.50","14.7","0","0","0","2.3","2.3","0.14","+1.7","+1.7",
"Waldemar Anton","deGER","DF","Dortmund","deBundesliga","29-128","1996","11.0","1","5","1","20.0","0.45","0.09","0.20","1.00","17.7","0","0","0","0.3","0.3","0.06","+0.7","+0.7",
"Antoniu","esESP","FW,MF","Espanyol","esLa Liga","23-081","2002","1.0","0","3","0","0.0","3.14","0.00","0.00","","19.3","0","0","0","0.2","0.2","0.05","-0.2","-0.2",
"Antony","brBRA","FW","Betis","esLa Liga","25-274","2000","8.5","4","32","11","34.4","3.75","1.29","0.13","0.36","20.3","0","0","0","3.2","3.2","0.10","+0.8","+0.8",
"Youssef El-Arabi","maMAR","FW","Nantes","frLigue 1","38-295","1987","4.5","2","5","3","60.0","1.12","0.67","0.40","0.67","12.5","0","0","0","0.5","0.5","0.11","+1.5","+1.5",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","30-056","1995","12.8","1","22","5","22.7","1.72","0.39","0.05","0.20","15.9","1","0","0","1.7","1.7","0.08","-0.7","-0.7",
"Jon Aramburu","veVEN","DF","Real Sociedad","esLa Liga","23-125","2002","11.0","0","12","4","33.3","1.09","0.36","0.00","0.00","18.1","0","0","0","0.9","0.9","0.08","-0.9","-0.9",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","26-263","1999","7.2","2","6","4","66.7","0.83","0.55","0.33","0.50","19.4","0","0","0","0.4","0.4","0.06","+1.6","+1.6",
"Carlens Arcus","htHAI","DF","Angers","frLigue 1","29-150","1996","11.7","0","5","1","20.0","0.43","0.09","0.00","0.00","27.3","0","0","0","0.1","0.1","0.02","-0.1","-0.1",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","32-271","1993","8.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jesús Areso","esESP","DF","Athletic Club","esLa Liga","26-146","1999","8.2","0","1","0","0.0","0.12","0.00","0.00","","19.9","0","0","0","0.0","0.0","0.03","0.0","0.0",
"Iñigo Arguibide","esESP","DF","Osasuna","esLa Liga","20-220","2005","0.2","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jhon Arias","coCOL","FW","Wolves","engPremier League","28-065","1997","6.3","0","11","2","18.2","1.76","0.32","0.00","0.00","17.0","3","0","0","1.9","1.9","0.17","-1.9","-1.9",
"Harrison Armstrong","engENG","FW","Everton","engPremier League","18-310","2007","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Hákon Arnar Haraldsson","isISL","MF,FW","Lille","frLigue 1","22-229","2003","10.4","4","24","6","25.0","2.30","0.58","0.17","0.67","18.4","1","0","0","3.8","3.8","0.16","+0.2","+0.2",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","31-182","1994","10.0","1","7","4","57.1","0.70","0.40","0.14","0.25","25.9","1","0","0","0.2","0.2","0.03","+0.8","+0.8",
"Tolu Arokodare","ngNGA","FW","Wolves","engPremier League","25-002","2000","3.1","0","8","1","12.5","2.61","0.33","0.00","0.00","16.8","1","0","0","0.4","0.4","0.05","-0.4","-0.4",
"Kervin Arriaga","hnHON","MF","Levante","esLa Liga","27-324","1998","6.5","1","4","2","50.0","0.62","0.31","0.25","0.50","25.6","0","0","0","0.1","0.1","0.04","+0.9","+0.9",
"Arthur","brBRA","DF","Leverkusen","deBundesliga","22-253","2003","4.5","0","5","0","0.0","1.11","0.00","0.00","","27.0","0","0","0","0.6","0.6","0.12","-0.6","-0.6",
"Takuma Asano","jpJPN","FW","Mallorca","esLa Liga","31-015","1994","3.3","1","5","1","20.0","1.54","0.31","0.20","1.00","13.8","0","0","0","0.5","0.5","0.11","+0.5","+0.5",
"Raúl Asencio","esESP","DF","Real Madrid","esLa Liga","22-285","2003","5.5","0","7","1","14.3","1.27","0.18","0.00","0.00","14.1","0","0","0","0.4","0.4","0.06","-0.4","-0.4",
"Fisnik Asllani","xkKVX","FW,MF","Hoffenheim","deBundesliga","23-109","2002","8.4","5","28","10","35.7","3.32","1.19","0.18","0.50","15.4","0","0","0","3.5","3.5","0.12","+1.5","+1.5",
"Kristjan Asllani","alALB","MF","Torino","itSerie A","23-261","2002","7.8","0","11","1","9.1","1.42","0.13","0.00","0.00","27.4","1","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Joel Asoro","seSWE","FW","Metz","frLigue 1","26-212","1999","1.0","0","2","0","0.0","2.05","0.00","0.00","","13.1","0","0","0","0.4","0.4","0.22","-0.4","-0.4",
"Iago Aspas","esESP","FW,MF","Celta Vigo","esLa Liga","38-116","1987","5.3","2","11","4","36.4","2.06","0.75","0.09","0.25","19.3","0","1","1","2.5","1.7","0.16","-0.5","-0.7",
"Yaser Asprilla","coCOL","FW,MF","Girona","esLa Liga","22-006","2003","5.0","0","13","4","30.8","2.60","0.80","0.00","0.00","22.7","1","0","0","0.5","0.5","0.04","-0.5","-0.5",
"Lorenz Assignon","tgTOG","DF","Stuttgart","deBundesliga","25-156","2000","5.5","0","8","3","37.5","1.45","0.54","0.00","0.00","23.4","0","0","0","0.3","0.3","0.04","-0.3","-0.3",
"Dehmaine Assoumani","frFRA","MF","Nantes","frLigue 1","20-222","2005","6.8","0","11","1","9.1","1.62","0.15","0.00","0.00","28.9","2","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Otavio Ataide","brBRA","DF","Paris FC","frLigue 1","23-218","2002","9.4","0","6","0","0.0","0.64","0.00","0.00","","25.3","0","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Zachary Athekame","chSUI","DF,FW","Milan","itSerie A","20-347","2004","1.2","1","2","1","50.0","1.61","0.80","0.50","1.00","27.7","0","0","0","0.0","0.0","0.02","+1.0","+1.0",
"Arthur Atta","frFRA","MF","Udinese","itSerie A","22-315","2003","11.5","1","24","9","37.5","2.08","0.78","0.04","0.11","21.1","1","0","0","1.5","1.5","0.06","-0.5","-0.5",
"Noah Atubolu","deGER","GK","Freiburg","deBundesliga","23-184","2002","11.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Marseille","frLigue 1","36-160","1989","7.8","5","18","10","55.6","2.30","1.28","0.28","0.50","12.5","0","0","0","5.6","5.6","0.31","-0.6","-0.6",
"Emil Audero","idIDN","GK","Cremonese","itSerie A","28-311","1997","8.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Carlos Augusto","brBRA","DF","Inter","itSerie A","26-322","1999","5.3","0","8","3","37.5","1.52","0.57","0.00","0.00","12.9","0","0","0","0.5","0.5","0.07","-0.5","-0.5",
"Yann Aurel Bisseck","deGER","DF","Inter","itSerie A","24-361","2000","3.0","0","5","2","40.0","1.67","0.67","0.00","0.00","10.4","0","0","0","0.4","0.4","0.07","-0.4","-0.4",
"Leon Avdullahu","xkKVX","MF","Hoffenheim","deBundesliga","21-275","2004","10.4","0","6","1","16.7","0.58","0.10","0.00","0.00","19.6","0","0","0","0.2","0.2","0.03","-0.2","-0.2",
"Ezequiel Ávila","arARG","FW,MF","Betis","esLa Liga","31-292","1994","0.5","0","1","0","0.0","2.05","0.00","0.00","","13.0","0","0","0","0.3","0.3","0.27","-0.3","-0.3",
"Arthur Avom","cmCMR","MF","Lorient","frLigue 1","20-345","2004","11.1","0","12","1","8.3","1.08","0.09","0.00","0.00","24.2","1","0","0","0.6","0.6","0.05","-0.6","-0.6",
