Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Max Aarons","engENG","DF","Bournemouth","engPremier League","24","2000","1.0","73","2","19","40","15","0","73","2","0","0.0","1","50.0","41","152","68","1","0","0","1","0","40","3",
"Max Aarons","engENG","DF,MF","Valencia","esLa Liga","24","2000","1.3","85","1","21","28","36","0","85","4","1","25.0","2","50.0","46","215","103","0","3","0","3","1","49","10",
"Rodrigo Abajas","esESP","DF","Valencia","esLa Liga","21","2003","0.7","36","1","8","19","9","1","36","1","1","100.0","0","0.0","13","101","67","3","2","1","0","2","16","3",
"James Abankwah","ieIRL","DF,MF","Udinese","itSerie A","20","2004","1.0","65","8","37","22","7","2","65","0","0","","0","","29","219","165","3","1","1","1","3","34","1",
"Keyliane Abdallah","frFRA","FW","Marseille","frLigue 1","18","2006","0.0","4","0","3","1","0","0","4","0","0","","0","","1","10","9","1","0","0","1","0","3","0",
"Yunis Abdelhamid","maMAR","DF","Saint-Étienne","frLigue 1","36","1987","11.5","641","127","414","215","14","7","641","7","3","42.9","4","57.1","322","1732","837","4","1","0","8","3","393","3",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","24","1999","31.6","1993","38","293","1149","597","49","1989","121","57","47.1","61","50.4","1183","7595","4388","107","90","17","55","51","1446","111",
"Mohamed Abdelmoneim","egEGY","DF","Nice","frLigue 1","25","1999","9.5","635","70","260","331","46","3","635","4","1","25.0","2","50.0","342","1427","822","6","4","0","4","3","386","5",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","30","1993","15.5","886","51","230","349","315","50","886","29","12","41.4","16","55.2","391","1880","1003","35","15","9","32","14","481","101",
"Saud Abdulhamid","saKSA","DF","Roma","itSerie A","25","1999","2.3","157","0","27","75","56","7","157","8","3","37.5","2","25.0","90","399","175","6","2","2","5","1","108","26",
"Nabil Aberdin","frFRA","MF","Getafe","esLa Liga","21","2002","2.9","87","6","21","56","10","2","87","3","2","66.7","1","33.3","34","148","74","2","0","0","1","1","36","2",
"Oliver Abildgaard","dkDEN","MF","Como","itSerie A","28","1996","0.1","2","0","1","1","0","0","2","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Matthis Abline","frFRA","FW","Nantes","frLigue 1","21","2003","30.8","878","34","75","382","438","142","877","86","35","40.7","48","55.8","587","3670","1743","75","42","42","92","65","689","169",
"Abner","brBRA","DF","Lyon","frLigue 1","24","2000","12.1","791","40","207","361","225","22","791","12","6","50.0","6","50.0","426","1926","1239","31","16","5","14","8","513","55",
"Zakaria Aboukhlal","maMAR","MF,FW","Toulouse","frLigue 1","24","2000","21.1","613","6","59","196","363","113","611","53","16","30.2","35","66.0","375","1923","880","34","24","19","64","26","450","164",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","25","1999","27.4","1251","160","659","545","58","25","1251","4","3","75.0","1","25.0","632","3531","2013","16","7","0","18","3","650","4",
"Tammy Abraham","engENG","FW","Roma","itSerie A","26","1997","0.0","4","0","0","2","2","1","4","0","0","","0","","3","2","1","0","0","0","1","0","4","2",
"Tammy Abraham","engENG","FW","Milan","itSerie A","26","1997","13.1","367","20","46","172","149","57","365","14","4","28.6","10","71.4","158","572","205","8","6","4","22","13","241","69",
"Federico Accornero","itITA","MF","Genoa","itSerie A","20","2004","0.1","8","1","2","3","3","0","8","0","0","","0","","5","25","18","0","1","0","2","0","5","0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","36","1988","19.0","1484","139","648","733","108","20","1484","4","3","75.0","1","25.0","915","4177","2128","19","20","1","7","2","1101","22",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","18","2006","1.9","137","7","48","81","8","3","137","2","1","50.0","0","0.0","106","709","409","0","2","0","2","0","111","0",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","24","2000","1.5","34","1","4","18","12","1","34","1","1","100.0","0","0.0","5","18","0","0","0","0","2","0","20","5",
"Akor Adams","ngNGA","FW","Montpellier","frLigue 1","24","2000","11.9","251","5","19","118","117","49","251","14","7","50.0","6","42.9","126","661","279","11","5","7","16","14","174","45",
"Che Adams","sctSCO","FW","Torino","itSerie A","28","1996","29.5","802","19","53","387","371","104","801","37","11","29.7","22","59.5","509","2066","702","23","18","9","63","34","630","153",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","25","1999","21.8","1337","62","349","779","224","18","1337","18","4","22.2","10","55.6","663","3337","1447","14","22","1","28","12","757","10",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","23","2001","17.2","534","21","53","252","234","80","534","29","10","34.5","18","62.1","275","1026","349","8","5","4","59","24","350","84",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","26","1997","15.7","1330","175","630","674","27","14","1330","6","4","66.7","1","16.7","777","3207","1809","5","2","0","4","0","1000","1",
"Martin Adeline","frFRA","MF","Reims","frLigue 1","20","2003","0.3","14","2","8","4","2","1","14","0","0","","0","","6","35","9","1","0","1","0","0","9","1",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","22","2002","15.9","636","9","51","231","365","88","636","94","40","42.6","49","52.1","417","3230","1543","68","36","41","43","31","465","153",
"Simon Adingra","ciCIV","FW,MF","Brighton","engPremier League","22","2002","12.2","548","10","66","174","315","76","548","50","21","42.0","27","54.0","366","2514","1300","50","21","27","39","12","388","136",
"Amine Adli","maMAR","MF,FW","Leverkusen","deBundesliga","24","2000","8.5","468","4","40","152","286","53","468","32","15","46.9","16","50.0","248","1501","838","37","25","11","20","6","350","100",
"Yacine Adli","frFRA","MF","Fiorentina","itSerie A","24","2000","13.7","1021","31","177","607","248","11","1021","32","12","37.5","16","50.0","618","3613","1680","24","28","3","19","8","690","30",
"Adrián","esESP","GK","Betis","esLa Liga","37","1987","19.0","658","568","657","1","0","0","658","0","0","","0","","390","1788","1161","0","0","0","1","0","299","0",
"Adryelson","brBRA","DF","Lyon","frLigue 1","26","1998","0.0","5","1","2","3","0","0","5","0","0","","0","","1","0","0","0","0","0","0","0","1","0",
"Vasilije Adžić","meMNE","MF,FW","Juventus","itSerie A","18","2006","0.5","24","0","5","8","11","2","24","1","0","0.0","1","100.0","14","40","10","0","1","0","1","1","20","3",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","27","1997","8.0","485","11","74","302","114","10","485","6","3","50.0","2","33.3","291","1201","508","8","12","2","5","7","346","17",
"Oladapo Afolayan","engENG","FW,MF","St. Pauli","deBundesliga","26","1998","18.2","741","13","84","304","365","62","741","98","48","49.0","43","43.9","495","3452","1392","53","43","28","63","45","555","108",
"Emmanuel Agbadou","ciCIV","DF","Wolves","engPremier League","27","1997","15.7","1172","190","649","504","28","7","1172","13","10","76.9","2","15.4","758","3670","1752","6","4","0","6","4","796","2",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","27","1997","14.0","1080","178","565","474","45","4","1080","12","9","75.0","3","25.0","621","3413","1974","10","9","0","9","6","701","0",
