Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved"Max Aarons","engENG","DF","Norwich City","engPremier League","21","2000","32.0","1841","160","721","703","440","23","1841","68","34","50.0","34","50.0","953","6454","3377","78","47","12","38","23","1030","85",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","33","1987","33.1","1919","212","1017","843","84","24","1919","18","14","77.8","4","22.2","1194","6451","3558","23","19","0","28","13","1202","14",
"Salis Abdul Samed","ghGHA","MF","Clermont Foot","frLigue 1","21","2000","27.4","1948","39","557","1146","261","16","1948","41","26","63.4","15","36.6","1386","6570","2687","24","23","3","42","30","1481","47",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","28","1993","32.8","2032","24","404","1298","357","13","2032","61","39","63.9","22","36.1","1311","5629","2353","30","39","3","52","40","1410","73",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","21","2000","0.5","12","0","0","5","8","1","12","0","0","","0","","7","11","1","0","0","0","3","0","9","4",
"Dickson Abiama","ngNGA","FW","Greuther Fürth","deBundesliga","22","1998","8.1","246","6","24","108","115","23","246","20","7","35.0","13","65.0","131","629","266","14","5","6","29","10","160","38",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","18","2003","1.1","20","1","1","6","13","3","20","6","3","50.0","3","50.0","11","55","17","1","1","0","1","3","12","6",
"Tammy Abraham","engENG","FW","Roma","itSerie A","23","1997","34.3","1064","32","73","508","495","173","1061","77","38","49.4","39","50.6","494","2592","1129","41","31","22","86","41","736","199",
"Luis Abram","pePER","DF","Granada","esLa Liga","25","1996","6.2","286","45","178","106","5","4","286","0","0","","0","","149","760","487","1","0","0","0","0","180","1",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","33","1988","28.2","2295","268","1102","1143","59","22","2295","6","4","66.7","2","33.3","1364","6893","4301","31","19","0","13","4","1641","10",
"Ragnar Ache","deGER","MF,FW","Eint Frankfurt","deBundesliga","23","1998","2.9","117","1","7","46","65","17","117","11","6","54.5","5","45.5","72","450","176","8","5","3","16","9","97","29",
"Mohamed Achi","frFRA","MF","Nantes","frLigue 1","19","2002","0.1","9","0","2","5","2","0","9","0","0","","0","","9","34","12","0","0","0","0","0","8","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","29","1991","25.1","2184","54","637","959","618","19","2184","66","44","66.7","22","33.3","1256","6253","3799","73","58","2","38","27","1467","153",
"Che Adams","sctSCO","FW","Southampton","engPremier League","25","1996","22.7","712","22","81","293","344","94","712","35","20","57.1","15","42.9","394","1804","651","19","13","13","59","34","537","153",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","22","1999","15.0","1062","28","184","739","150","10","1062","23","13","56.5","10","43.5","607","2825","1319","20","21","3","20","9","750","23",
