Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved 
"Miguel Ángel Rubio","esESP","DF","Espanyol","esLa Liga","27-261","1998","1.5","72","16","41","29","3","2","72","1","1","100.0","0","0.0","30","123","53","0","0","0","0","0","30","0",
"Angeliño","esESP","DF,MF","Roma","itSerie A","28-327","1997","4.3","283","4","62","129","92","9","283","3","0","0.0","3","100.0","139","491","255","6","7","1","3","2","171","31",
"Samuele Angori","itITA","DF","Pisa","itSerie A","22-051","2003","5.9","240","25","78","93","71","6","240","2","0","0.0","2","100.0","105","390","146","2","1","0","5","4","111","17",
"Faustino Anjorin","engENG","MF,FW","Torino","itSerie A","24-004","2001","0.7","41","5","9","17","16","3","41","3","2","66.7","1","33.3","18","84","23","1","1","1","4","1","18","2",
"Ilyas Ansah","deGER","MF,FW","Union Berlin","deBundesliga","21-019","2004","8.4","265","9","37","108","130","23","265","34","17","50.0","16","47.1","156","1033","407","18","11","6","48","26","179","35",
"Aaron Anselmino","arARG","DF","Dortmund","deBundesliga","20-212","2005","1.8","154","8","51","95","8","0","154","1","1","100.0","0","0.0","89","428","279","4","2","0","2","0","114","1",
"Jaidon Anthony","engENG","MF,FW","Burnley","engPremier League","25-361","1999","10.6","456","12","81","213","171","31","456","30","8","26.7","15","50.0","238","1514","770","24","9","8","38","19","279","49",
"Waldemar Anton","deGER","DF","Dortmund","deBundesliga","29-130","1996","11.0","1021","89","355","575","97","12","1021","10","5","50.0","5","50.0","640","3280","1858","13","18","1","8","2","741","5",
"Antoniu","esESP","FW,MF","Espanyol","esLa Liga","23-083","2002","1.0","46","0","3","20","23","2","46","6","3","50.0","2","33.3","31","210","123","5","3","0","2","1","30","9",
"Antony","brBRA","FW","Betis","esLa Liga","25-276","2000","8.5","545","6","52","221","283","32","545","24","9","37.5","9","37.5","363","2272","1414","52","35","11","6","8","409","90",
"Youssef El-Arabi","maMAR","FW","Nantes","frLigue 1","38-297","1987","4.5","157","4","21","93","46","14","157","9","4","44.4","5","55.6","97","429","181","6","2","0","25","3","101","17",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","30-058","1995","12.8","459","23","73","260","134","33","459","29","10","34.5","12","41.4","189","1051","477","7","10","1","17","15","234","24",
"Jon Aramburu","veVEN","DF","Real Sociedad","esLa Liga","23-127","2002","11.0","727","35","206","398","134","11","727","5","2","40.0","3","60.0","335","1266","587","8","11","0","7","4","392","26",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","26-265","1999","7.2","545","37","174","337","35","10","545","1","0","0.0","0","0.0","324","1938","1124","11","6","2","3","1","382","4",
"Carlens Arcus","htHAI","DF","Angers","frLigue 1","29-152","1996","11.7","715","36","315","311","96","4","715","4","1","25.0","3","75.0","342","1469","778","12","12","1","6","4","423","12",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","32-273","1993","8.0","303","247","296","7","0","0","303","0","0","","0","","140","755","455","0","0","0","0","0","109","0",
