Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved 
"Nahuel Estévez","arARG","MF","Parma","itSerie A","30-013","1995","3.5","161","17","50","87","25","3","161","0","0","","0","","42","185","67","3","0","2","3","2","64","2",
"Pervis Estupiñán","ecECU","DF","Milan","itSerie A","27-310","1998","4.9","283","15","85","122","78","7","283","5","2","40.0","2","40.0","136","605","307","5","5","2","8","2","172","21",
"Karl Etta Eyong","cmCMR","FW","Villarreal","esLa Liga","22-044","2003","2.8","61","2","5","26","31","13","61","4","0","0.0","3","75.0","42","192","84","3","1","0","9","2","42","10",
"Karl Etta Eyong","cmCMR","FW","Levante","esLa Liga","22-044","2003","8.8","261","15","28","129","106","30","260","14","4","28.6","9","64.3","133","504","203","5","3","2","32","15","163","37",
"Evanilson","brBRA","FW","Bournemouth","engPremier League","26-052","1999","9.0","218","7","18","90","111","47","218","11","3","27.3","2","18.2","121","518","197","6","5","3","21","5","149","31",
"Edu Expósito","esESP","MF","Espanyol","esLa Liga","29-118","1996","9.7","580","20","66","299","220","10","580","15","10","66.7","4","26.7","308","1688","1007","28","14","2","7","15","358","40",
"Eberechi Eze","engENG","MF,FW","Arsenal","engPremier League","27-151","1998","7.9","345","6","25","167","156","31","345","20","13","65.0","6","30.0","210","1198","597","19","13","6","10","8","252","36",
"Eberechi Eze","engENG","MF","Crystal Palace","engPremier League","27-151","1998","0.9","37","0","2","24","11","1","37","4","2","50.0","1","25.0","18","116","60","0","0","0","1","2","22","2",
"Abde Ezzalzouli","maMAR","FW","Betis","esLa Liga","23-345","2001","6.7","371","7","37","145","196","44","371","32","13","40.6","13","40.6","229","1584","847","33","17","15","22","14","277","75",
"Giovanni Fabbian","itITA","MF","Bologna","itSerie A","22-317","2003","4.8","141","1","10","83","52","17","141","8","1","12.5","3","37.5","90","517","262","6","4","1","8","7","103","15",
"Alieu Fadera","gmGAM","FW","Sassuolo","itSerie A","24-024","2001","4.4","198","2","30","86","88","15","198","17","4","23.5","7","41.2","131","930","400","16","9","7","25","7","138","41",
"Nicolò Fagioli","itITA","MF","Fiorentina","itSerie A","24-288","2001","5.9","383","13","92","229","64","0","383","4","2","50.0","2","50.0","229","1126","509","5","10","0","6","8","272","6",
"Omar Falah","esESP","DF,MF","Oviedo","esLa Liga","22-079","2003","0.2","14","2","6","6","2","0","14","1","0","0.0","1","100.0","5","31","12","0","0","0","0","0","6","3",
"Wladimiro Falcone","itITA","GK","Lecce","itSerie A","30-229","1995","12.0","397","299","395","2","0","0","397","0","0","","0","","206","1295","878","0","0","0","1","0","159","0",
"Ansu Fati","esESP","MF,FW","Monaco","frLigue 1","23-027","2002","4.5","216","0","16","118","83","28","212","12","5","41.7","7","58.3","126","641","321","11","7","2","12","3","157","30",
"Abdoulaye Faye","snSEN","DF","Lorient","frLigue 1","21-066","2004","6.4","438","73","249","167","23","10","438","3","2","66.7","1","33.3","260","1274","661","1","2","0","0","3","294","1",
"Jacopo Fazzini","itITA","MF,FW","Fiorentina","itSerie A","22-256","2003","4.3","188","3","21","98","73","4","188","14","4","28.6","8","57.1","102","618","338","9","7","0","14","10","120","14",
"Aleix Febas","esESP","MF","Elche","esLa Liga","29-298","1996","13.0","933","21","139","537","267","19","933","40","21","52.5","13","32.5","556","3513","2153","52","41","5","21","22","757","47",
"Mattia Felici","itITA","FW,DF","Cagliari","itSerie A","24-224","2001","4.3","181","2","30","66","88","14","181","17","6","35.3","11","64.7","116","839","417","17","15","10","10","7","122","30",
"Luiz Felipe","itITA","DF","Rayo Vallecano","esLa Liga","28-250","1997","2.4","142","24","91","48","3","2","142","0","0","","0","","75","303","131","2","0","0","4","0","92","0",
"Robin Fellhauer","deGER","MF,DF","Augsburg","deBundesliga","27-310","1998","9.5","446","21","120","191","138","20","446","8","3","37.5","5","62.5","186","658","308","6","4","2","13","4","240","37",
"Kiko Femenía","esESP","DF,FW","Getafe","esLa Liga","34-298","1991","6.7","329","13","97","145","91","2","329","6","2","33.3","3","50.0","116","657","311","10","8","0","7","3","143","23",
"Evan Ferguson","ieIRL","FW","Roma","itSerie A","21-039","2004","3.7","121","1","2","51","71","15","121","5","2","40.0","3","60.0","79","452","167","7","7","2","9","7","99","30",
"Lewis Ferguson","sctSCO","MF","Bologna","itSerie A","26-095","1999","5.9","452","16","101","298","56","3","452","1","0","0.0","1","100.0","262","1144","451","5","3","1","3","1","327","8",
"Bruno Fernandes","ptPOR","MF","Manchester Utd","engPremier League","31-080","1994","11.9","907","31","147","518","254","27","904","18","8","44.4","7","38.9","468","2133","1172","21","18","4","16","9","610","34",
"Mateus Fernandes","ptPOR","MF,FW","West Ham","engPremier League","21-140","2004","8.0","409","22","92","226","94","7","409","10","2","20.0","7","70.0","182","1061","428","9","6","2","8","8","256","14",
"Enzo Fernández","arARG","MF","Chelsea","engPremier League","24-314","2001","10.8","736","8","107","424","215","37","735","17","4","23.5","11","64.7","467","1997","971","15","11","1","16","17","568","42",
"Ezequiél Fernández","arARG","MF","Leverkusen","deBundesliga","23-125","2002","3.3","302","11","72","184","48","3","302","7","3","42.9","4","57.1","176","676","323","3","4","0","2","3","238","9",
"Manu Fernández","esESP","DF","Celta Vigo","esLa Liga","24-218","2001","5.2","379","23","146","219","17","0","379","2","1","50.0","1","50.0","230","1115","773","4","4","0","2","3","294","0",
"Pedro Fernandez","esESP","MF,FW","Barcelona","esLa Liga","17-319","2008","0.8","46","0","0","25","21","1","46","4","4","100.0","0","0.0","27","52","18","0","1","0","1","2","39","5",
"Pelayo Fernandez","esESP","DF","Rayo Vallecano","esLa Liga","22-212","2003","0.5","40","2","14","26","1","1","40","0","0","","0","","22","73","32","0","0","0","0","0","26","0",
"Roberto Férnandez","esESP","FW,MF","Espanyol","esLa Liga","23-147","2002","9.8","257","12","20","111","127","42","257","10","2","20.0","7","70.0","127","486","162","5","7","4","22","12","185","42",
"Toni Fernández","esESP","FW","Barcelona","esLa Liga","17-135","2008","0.5","11","0","0","4","8","2","11","0","0","","0","","6","17","4","0","1","0","1","0","10","2",
"Matias Fernandez-Pardo","beBEL","FW","Lille","frLigue 1","20-297","2005","9.8","409","0","19","107","291","69","409","29","13","44.8","14","48.3","287","2403","1427","65","30","34","16","10","327","119",
"Max Finkgräfe","deGER","FW","RB Leipzig","deBundesliga","21-245","2004","0.0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Junior Firpo","doDOM","DF","Betis","esLa Liga","29-097","1996","4.8","344","6","97","150","98","13","344","6","3","50.0","2","33.3","185","671","314","6","9","2","6","3","215","26",
"Jonathan Fischer","dkDEN","GK","Metz","frLigue 1","24-018","2001","12.2","547","470","545","2","0","0","547","0","0","","0","","370","1503","846","0","0","0","0","0","342","0",
"Kilian Fischer","deGER","DF","Wolfsburg","deBundesliga","25-046","2000","6.7","430","31","200","147","84","5","430","4","1","25.0","3","75.0","204","990","504","9","3","1","6","3","253","16",
"Mark Flekken","nlNED","GK","Leverkusen","deBundesliga","32-167","1993","11.0","442","363","441","1","0","0","442","1","1","100.0","0","0.0","292","1534","787","0","0","0","0","0","265","0",
"Zian Flemming","nlNED","FW,MF","Burnley","engPremier League","27-118","1998","4.6","137","9","20","58","60","15","137","4","2","50.0","2","50.0","66","220","61","1","3","0","13","7","92","18",
"Romano Floriani","itITA","DF,FW","Cremonese","itSerie A","22-304","2003","5.2","208","18","55","85","69","9","208","8","0","0.0","8","100.0","99","558","114","5","3","2","10","5","123","29",
"Phil Foden","engENG","MF","Manchester City","engPremier League","25-183","2000","8.9","567","10","92","233","244","24","567","13","6","46.2","5","38.5","339","1359","606","14","13","3","10","7","421","42",
"Malick Fofana","beBEL","FW","Lyon","frLigue 1","20-241","2005","8.0","322","3","38","116","172","46","322","25","7","28.0","13","52.0","223","1556","935","35","22","18","18","3","253","95",
"Rayan Fofana","frFRA","FW","Lens","frLigue 1","19-288","2006","4.7","165","5","14","82","72","31","165","12","5","41.7","6","50.0","87","498","219","7","3","8","16","8","117","32",
"Seko Fofana","ciCIV","MF","Rennes","frLigue 1","30-204","1995","7.1","412","10","56","224","139","11","412","20","11","55.0","8","40.0","248","1767","781","22","21","3","8","5","341","37",
"Wesley Fofana","frFRA","DF","Chelsea","engPremier League","24-345","2000","3.4","267","21","86","170","11","1","267","6","3","50.0","1","16.7","175","846","498","3","3","0","2","1","190","1",
"Youssouf Fofana","frFRA","MF","Milan","itSerie A","26-321","1999","10.9","478","10","77","246","161","32","478","16","4","25.0","10","62.5","247","1103","563","15","7","3","17","7","341","37",
"Jonas Föhrenbach","deGER","DF","Heidenheim","deBundesliga","29-305","1996","10.6","504","39","176","165","166","4","504","5","0","0.0","5","100.0","207","914","463","10","11","1","9","1","257","29",
"Francesco Folino","itITA","DF","Cremonese","itSerie A","23-308","2002","0.4","20","2","8","10","2","1","20","0","0","","0","","7","88","37","2","0","0","0","0","8","0",
"Michael Folorunsho","itITA","MF,FW","Cagliari","itSerie A","27-293","1998","10.9","413","13","85","192","141","21","413","26","9","34.6","15","57.7","213","1148","477","17","10","5","38","19","254","51",
"Álex Forés","esESP","FW","Oviedo","esLa Liga","24-229","2001","1.4","41","0","4","16","21","10","41","2","2","100.0","0","0.0","22","92","55","4","0","3","6","0","22","7",
"Pablo Fornals","esESP","MF","Betis","esLa Liga","29-278","1996","11.7","869","13","128","483","264","20","869","17","8","47.1","9","52.9","524","2606","1334","20","12","5","12","9","644","60",
"Héctor Fort","esESP","DF,MF","Elche","esLa Liga","19-117","2006","2.2","129","2","26","51","52","6","129","11","5","45.5","6","54.5","77","537","304","12","4","3","3","3","84","13",
"Niccolò Fortini","itITA","DF,MF","Fiorentina","itSerie A","19-287","2006","3.7","197","6","47","80","73","3","197","16","5","31.3","7","43.8","111","611","256","5","5","1","10","2","119","25",
"Lyle Foster","zaRSA","FW","Burnley","engPremier League","25-085","2000","6.6","175","10","24","67","87","19","175","7","6","85.7","1","14.3","101","503","215","8","6","5","22","10","120","33",
"Dimitri Foulquier","frFRA","DF","Valencia","esLa Liga","32-249","1993","7.1","441","24","168","212","68","2","441","8","4","50.0","4","50.0","232","1160","569","6","4","0","9","1","254","14",
"Juan Foyth","arARG","DF","Villarreal","esLa Liga","27-319","1998","6.0","391","79","206","176","14","1","391","2","2","100.0","0","0.0","227","1015","614","2","5","0","1","0","263","0",
"Alejandro Francés","esESP","DF","Girona","esLa Liga","23-118","2002","2.9","188","17","94","84","11","0","188","1","1","100.0","0","0.0","123","723","446","6","0","0","0","0","130","1",
"Przemysław Frankowski","plPOL","DF","Rennes","frLigue 1","30-229","1995","6.8","453","20","117","168","172","7","453","5","2","40.0","3","60.0","191","828","368","8","12","1","8","4","285","52",
"Davide Frattesi","itITA","MF,FW","Inter","itSerie A","26-036","1999","2.3","70","1","16","29","25","15","70","3","1","33.3","1","33.3","35","160","55","2","1","0","3","4","43","12",
"Oscar Fraulo","dkDEN","MF,DF","Gladbach","deBundesliga","21-356","2003","0.5","29","4","7","16","6","1","29","0","0","","0","","10","29","8","0","0","0","1","1","13","0",
"Morten Frendrup","dkDEN","MF","Genoa","itSerie A","24-234","2001","10.7","454","31","108","278","71","6","454","4","2","50.0","2","50.0","182","795","278","7","5","0","15","5","201","9",
"Martin Frese","dkDEN","DF","Hellas Verona","itSerie A","27-327","1998","9.4","510","35","174","254","84","7","510","3","0","0.0","3","100.0","203","798","413","2","2","0","0","0","247","7",
"Remo Freuler","chSUI","MF","Bologna","itSerie A","33-226","1992","7.6","486","13","105","317","67","4","486","6","2","33.3","4","66.7","239","1113","465","4","5","0","8","4","327","10",
"Marco Friedl","atAUT","DF","Werder Bremen","deBundesliga","27-256","1998","9.9","682","91","320","298","67","2","682","3","1","33.3","2","66.7","352","1513","754","9","7","0","6","2","417","14",
"Marvin Friedrich","deGER","DF","Gladbach","deBundesliga","29-349","1995","1.3","103","24","58","44","1","0","103","0","0","","0","","66","323","162","1","0","0","0","0","70","0",
"Jeremie Frimpong","nlNED","DF,MF","Liverpool","engPremier League","24-352","2000","1.0","67","2","16","24","27","5","67","4","2","50.0","1","25.0","37","133","80","4","2","2","4","3","39","10",
"Jorge de Frutos","esESP","FW,MF","Rayo Vallecano","esLa Liga","28-280","1997","10.4","293","12","38","97","163","48","293","26","12","46.2","12","46.2","180","1172","605","33","12","14","25","10","207","72",
"Chris Führich","deGER","FW,MF","Stuttgart","deBundesliga","27-322","1998","3.7","221","1","13","94","116","16","221","6","3","50.0","3","50.0","145","981","501","17","12","5","7","1","182","33",
"Joel Fujita","jpJPN","MF","St. Pauli","deBundesliga","23-284","2002","10.8","669","12","120","377","187","12","669","23","12","52.2","9","39.1","300","1384","645","18","15","2","20","9","435","28",
"Niclas Füllkrug","deGER","FW","West Ham","engPremier League","32-291","1993","4.4","128","5","17","62","51","21","128","0","0","","0","","51","146","44","1","2","0","9","6","92","16",
"Matteo Gabbia","itITA","DF","Milan","itSerie A","26-037","1999","12.0","682","93","333","327","23","12","682","0","0","","0","","399","1747","869","5","4","0","0","0","483","2",
"Tiago Gabriel","ptPOR","DF","Lecce","itSerie A","20-336","2004","11.1","635","110","327","290","18","9","635","1","1","100.0","0","0.0","278","1276","631","3","0","0","1","2","335","0",
"Gianluca Gaetano","itITA","MF,FW","Cagliari","itSerie A","25-206","2000","4.5","251","5","38","145","72","8","251","9","3","33.3","5","55.6","133","515","233","7","5","4","4","9","168","24",
"Roberto Gagliardini","itITA","MF","Hellas Verona","itSerie A","31-234","1994","7.4","466","35","121","267","81","9","466","2","0","0.0","2","100.0","224","984","450","6","10","2","14","2","246","10",
"Cody Gakpo","nlNED","FW,MF","Liverpool","engPremier League","26-204","1999","10.2","488","7","40","153","300","66","488","35","15","42.9","12","34.3","297","2007","1164","45","16","23","34","9","345","113",
"Javi Galán","esESP","DF","Atlético Madrid","esLa Liga","31-008","1994","1.5","89","3","28","36","27","6","89","6","2","33.3","2","33.3","51","386","212","5","0","2","2","2","57","9",
"Iñigo Ruiz de Galarreta","esESP","MF","Athletic Club","esLa Liga","32-113","1993","8.6","492","13","85","302","108","4","492","23","18","78.3","2","8.7","245","1154","522","6","10","1","15","6","320","12",
"Conor Gallagher","engENG","MF","Atlético Madrid","esLa Liga","25-294","2000","4.1","271","5","38","151","86","16","271","12","2","16.7","9","75.0","164","728","329","13","3","4","10","4","196","15",
"Antonino Gallo","itITA","DF","Lecce","itSerie A","25-326","2000","11.3","654","32","195","310","156","5","654","11","5","45.5","5","45.5","305","1444","906","19","7","2","10","2","341","31",
"Idrissa Gana Gueye","snSEN","MF","Everton","engPremier League","36-062","1989","10.7","585","24","124","315","147","16","585","7","1","14.3","6","85.7","362","1379","627","5","13","0","11","4","374","15",
"Ismaëlo Ganiou","bfBFA","DF","Lens","frLigue 1","20-258","2005","1.8","142","10","70","68","4","1","142","1","0","0.0","1","100.0","68","292","124","2","0","0","6","1","100","0",
"Ben Gannon-Doak","sctSCO","FW","Bournemouth","engPremier League","20-016","2005","0.6","36","2","5","7","24","4","36","3","0","0.0","3","100.0","25","227","122","4","3","4","2","0","29","10",
"Facundo Garcés","myMAS","DF","Alavés","esLa Liga","26-083","1999","6.0","291","43","158","123","10","5","291","0","0","","0","","132","503","185","0","0","0","4","0","152","1",
"Aleix García","esESP","MF","Leverkusen","deBundesliga","28-152","1997","9.8","1166","38","240","723","207","5","1166","5","2","40.0","2","40.0","688","3023","1425","11","16","0","4","2","950","21",
"Álvaro García","esESP","FW,MF","Rayo Vallecano","esLa Liga","33-031","1992","9.7","372","17","55","123","197","44","372","6","2","33.3","4","66.7","169","710","320","14","5","5","14","1","240","82",
"Eric García","esESP","DF,MF","Barcelona","esLa Liga","24-322","2001","11.2","1020","47","301","531","192","21","1020","7","2","28.6","3","42.9","548","2340","1221","12","13","2","5","3","773","26",
"Fran Garcia","esESP","DF,MF","Real Madrid","esLa Liga","26-105","1999","1.9","113","0","24","42","47","4","113","0","0","","0","","60","319","161","5","2","2","3","1","79","26",
"Gonzalo García","esESP","FW,MF","Real Madrid","esLa Liga","21-248","2004","1.4","60","2","10","22","29","7","60","1","1","100.0","0","0.0","32","99","17","0","0","0","7","1","41","5",
"Joan García","esESP","GK","Barcelona","esLa Liga","24-207","2001","7.0","232","182","231","1","0","0","232","1","1","100.0","0","0.0","142","653","355","0","0","0","0","0","117","0",
"Pablo Garcia","esESP","FW","Betis","esLa Liga","19-167","2006","2.1","104","0","18","38","50","9","104","11","4","36.4","4","36.4","72","627","286","9","9","1","12","4","72","20",
"Rubén García","esESP","MF,FW","Osasuna","esLa Liga","32-136","1993","6.0","327","7","51","154","125","13","327","12","4","33.3","7","58.3","189","869","284","6","7","3","10","7","217","27",
"Ulisses Garcia","chSUI","DF","Marseille","frLigue 1","29-320","1996","2.3","120","6","25","68","29","2","120","3","1","33.3","2","66.7","68","336","133","4","2","1","2","0","78","7",
"Víctor García","esESP","MF,DF","Levante","esLa Liga","28-072","1997","2.4","114","4","33","50","33","3","114","11","6","54.5","5","45.5","61","463","195","6","6","2","8","2","63","8",
"Alejandro Garnacho","arARG","FW","Chelsea","engPremier League","21-149","2004","3.8","179","0","15","39","127","31","179","14","5","35.7","4","28.6","140","1150","688","32","11","15","15","4","146","59",
"James Garner","engENG","MF,DF","Everton","engPremier League","24-259","2001","12.0","772","37","208","345","227","9","772","12","4","33.3","6","50.0","423","1913","743","14","11","1","15","2","435","18",
"Federico Gatti","itITA","DF","Juventus","itSerie A","27-156","1998","8.6","571","44","228","306","41","13","571","1","1","100.0","0","0.0","339","2097","1072","11","5","1","5","1","402","1",
"Gavi","esESP","MF,DF","Barcelona","esLa Liga","21-114","2004","0.7","74","0","7","47","20","1","74","1","0","0.0","1","100.0","51","208","112","1","4","0","1","0","57","3",
"Jusuf Gazibegović","baBIH","DF","Köln","deBundesliga","25-261","2000","0.3","14","2","9","3","2","0","14","0","0","","0","","4","41","12","1","0","0","1","0","5","0",
"Paulo Gazzaniga","arARG","GK","Girona","esLa Liga","33-329","1992","11.5","463","415","458","5","0","0","463","1","0","0.0","1","100.0","307","1326","741","0","0","0","1","0","256","0",
"Jean-Philippe Gbamin","ciCIV","DF","Metz","frLigue 1","30-063","1995","12.2","933","177","600","322","18","8","933","11","9","81.8","2","18.2","614","3384","1709","8","8","0","9","6","664","0",
"Yann Gboho","frFRA","MF,FW","Toulouse","frLigue 1","24-317","2001","12.1","476","2","35","212","244","61","476","69","36","52.2","31","44.9","348","2552","1496","52","34","21","27","30","372","85",
"David de Gea","esESP","GK","Fiorentina","itSerie A","35-020","1990","12.0","419","340","415","4","0","0","419","0","0","","0","","251","1082","678","0","0","0","0","0","231","0",
"Lutsharel Geertruida","nlNED","DF","Sunderland","engPremier League","25-132","2000","4.8","262","28","124","122","17","3","262","5","5","100.0","0","0.0","157","805","468","4","3","2","6","1","173","0",
"Tyrique George","engENG","FW","Chelsea","engPremier League","19-296","2006","1.6","39","0","3","17","19","4","39","3","1","33.3","2","66.7","21","111","56","1","1","1","5","4","29","10",
"Yannick Gerhardt","deGER","MF","Wolfsburg","deBundesliga","31-259","1994","0.7","28","2","9","13","6","3","28","0","0","","0","","14","96","45","1","0","0","0","1","20","3",
"Willem Geubbels","frFRA","FW","Paris FC","frLigue 1","24-103","2001","6.0","188","5","14","101","73","28","188","5","0","0.0","5","100.0","72","394","195","10","3","5","14","5","122","39",
"Ismaël Gharbi","tnTUN","MF","Augsburg","deBundesliga","21-231","2004","0.5","38","0","3","13","22","1","38","4","1","25.0","3","75.0","15","68","40","2","0","0","1","1","27","3",
"Mourad El Ghezouani","maMAR","FW","Elche","esLa Liga","27-184","1998","0.6","23","0","5","15","3","1","23","0","0","","0","","8","10","0","0","0","0","2","0","17","4",
"Rachid Ghezzal","dzALG","FW","Lyon","frLigue 1","33-202","1992","1.6","96","3","22","38","40","7","96","2","1","50.0","1","50.0","53","281","61","2","3","1","7","2","62","8",
"Daniele Ghilardi","itITA","DF","Roma","itSerie A","22-325","2003","0.1","6","1","2","4","0","0","6","0","0","","0","","1","1","0","0","0","0","0","0","1","0",
"Andrea Ghion","itITA","FW,MF","Sassuolo","itSerie A","25-277","2000","0.1","3","0","1","1","1","0","3","0","0","","0","","1","16","15","0","0","0","0","0","1","0",
"Dimitris Giannoulis","grGRE","DF,MF","Augsburg","deBundesliga","30-041","1995","7.0","424","27","112","162","155","6","424","10","6","60.0","4","40.0","171","931","505","18","9","1","18","2","202","36",
"Morgan Gibbs-White","engENG","MF,FW","Nott'ham Forest","engPremier League","25-304","2000","11.1","600","16","71","279","258","40","600","17","9","52.9","7","41.2","350","1595","887","26","29","2","34","6","461","86",
"Bryan Gil","esESP","MF,FW","Girona","esLa Liga","24-289","2001","4.8","228","5","45","79","105","19","228","25","9","36.0","15","60.0","146","995","390","20","5","8","12","15","160","41",
"Mario Gila","esESP","DF","Lazio","itSerie A","25-090","2000","11.5","809","92","385","404","27","10","809","5","2","40.0","1","20.0","521","2565","1347","6","3","2","5","3","584","4",
"Billy Gilmour","sctSCO","MF","Napoli","itSerie A","24-169","2001","4.6","392","10","70","243","82","7","392","7","6","85.7","1","14.3","256","1143","545","7","8","2","4","2","301","8",
"Benedikt Gimber","deGER","DF,MF","Heidenheim","deBundesliga","28-281","1997","4.4","216","17","102","114","2","0","216","2","2","100.0","0","0.0","119","564","317","2","1","0","4","0","140","2",
"Santiago Giménez","mxMEX","FW","Milan","itSerie A","24-223","2001","6.9","159","2","19","69","73","37","159","16","3","18.8","11","68.8","91","496","205","6","4","3","16","6","114","29",
"Gvidas Gineitis","ltLTU","MF,FW","Torino","itSerie A","21-226","2004","2.7","121","6","34","53","37","8","121","7","5","71.4","2","28.6","54","254","99","4","4","2","9","0","65","11",
"Matthias Ginter","deGER","DF","Freiburg","deBundesliga","31-312","1994","11.0","706","63","311","348","49","24","706","1","0","0.0","1","100.0","416","2138","1239","6","3","0","3","1","480","7",
"Giovane","brBRA","FW","Hellas Verona","itSerie A","22-003","2003","10.7","432","8","29","161","249","47","432","46","20","43.5","22","47.8","251","1646","695","29","18","14","41","23","297","78",
"Olivier Giroud","frFRA","FW","Lille","frLigue 1","39-058","1986","9.2","273","11","26","113","135","52","271","3","2","66.7","0","0.0","135","358","139","5","1","2","15","5","213","40",
"Jamie Gittens","engENG","FW","Chelsea","engPremier League","21-111","2004","3.8","149","4","17","50","84","18","149","12","6","50.0","5","41.7","97","744","395","19","8","12","9","3","110","32",
"Robert Glatzel","deGER","FW,MF","Hamburger SV","deBundesliga","31-323","1994","1.0","49","2","6","21","22","7","49","2","1","50.0","1","50.0","24","84","21","0","0","0","6","4","38","5",
"Serge Gnabry","deGER","MF,FW","Bayern Munich","deBundesliga","30-136","1995","5.6","333","3","22","153","162","22","333","13","8","61.5","5","38.5","231","1097","559","13","12","5","5","7","281","38",
"Wilfried Gnonto","itITA","FW","Leeds United","engPremier League","22-022","2003","2.3","112","1","13","46","55","5","112","11","1","9.1","5","45.5","64","378","188","4","3","1","1","1","73","16",
"Giorgi Gocholeishvili","geGEO","MF","Hamburger SV","deBundesliga","24-286","2001","6.5","293","12","102","99","96","16","293","18","8","44.4","10","55.6","142","766","408","15","8","1","11","7","147","23",
"Martial Godo","engENG","MF,FW","Strasbourg","frLigue 1","22-258","2003","2.9","119","1","12","44","64","16","119","8","3","37.5","4","50.0","84","398","219","9","2","6","7","5","85","34",
"Maxima Goffi","frFRA","DF","Lille","frLigue 1","17-308","2008","0.4","31","1","13","16","2","0","31","1","1","100.0","0","0.0","10","22","4","0","0","0","0","0","13","1",
"Saba Goglichidze","geGEO","DF","Udinese","itSerie A","21-155","2004","4.7","237","15","94","132","13","6","237","0","0","","0","","115","464","206","5","0","1","4","1","135","2",
"Edoardo Goldaniga","itITA","DF","Como","itSerie A","32-025","1993","0.0","1","0","0","1","0","0","1","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Aleksandr Golovin","ruRUS","MF,FW","Monaco","frLigue 1","29-181","1996","5.0","262","2","45","123","98","14","262","13","8","61.5","4","30.8","134","669","287","7","9","2","11","5","179","23",
"André Gomes","ptPOR","MF","Lille","frLigue 1","32-120","1993","0.0","2","0","2","0","0","0","2","0","0","","0","","1","1","0","0","0","0","0","0","1","0",
"Angel Gomes","engENG","MF","Marseille","frLigue 1","25-088","2000","9.3","619","5","47","379","194","11","619","8","6","75.0","2","25.0","421","1508","584","11","13","2","9","4","526","30",
"João Gomes","brBRA","MF","Wolves","engPremier League","24-288","2001","10.3","640","30","141","382","129","12","640","19","9","47.4","8","42.1","328","1863","731","13","13","1","21","15","401","17",
"Rodrigo Gomes","ptPOR","FW,DF","Wolves","engPremier League","22-143","2003","3.7","187","6","34","52","103","20","187","8","2","25.0","5","62.5","91","623","328","13","9","3","11","3","108","37",
"Toti Gomes","ptPOR","DF","Wolves","engPremier League","26-315","1999","6.8","479","37","228","224","28","3","479","7","5","71.4","2","28.6","282","1284","663","5","3","0","3","2","337","1",
"Diego Gómez","pyPAR","MF,FW","Brighton","engPremier League","22-245","2003","6.8","314","15","65","162","98","23","314","12","5","41.7","6","50.0","159","710","352","6","9","2","17","8","175","23",
"Joe Gomez","engENG","DF","Liverpool","engPremier League","28-188","1997","0.5","41","4","17","16","8","2","41","0","0","","0","","13","45","27","0","0","0","0","0","17","1",
"Moi Gómez","esESP","MF","Osasuna","esLa Liga","31-157","1994","8.6","622","3","82","407","140","5","622","14","4","28.6","6","42.9","399","2271","851","10","18","1","5","4","456","17",
"Sergio Gómez","esESP","DF","Real Sociedad","esLa Liga","25-084","2000","9.3","736","19","183","382","179","11","736","7","3","42.9","4","57.1","380","1518","828","15","17","2","13","2","421","43",
"Unai Gómez","esESP","FW,MF","Athletic Club","esLa Liga","22-186","2003","2.2","92","0","10","38","45","8","92","4","1","25.0","3","75.0","47","193","84","4","2","2","2","4","69","15",
"Valentín Gómez","arARG","DF","Betis","esLa Liga","22-154","2003","7.0","483","35","209","218","58","15","483","6","5","83.3","1","16.7","260","1098","603","6","4","1","8","1","298","16",
"Tidiam Gomis","frFRA","FW,DF","RB Leipzig","deBundesliga","19-111","2006","0.4","18","1","4","4","10","2","18","4","0","0.0","4","100.0","9","93","33","2","1","0","1","0","11","4",
"Rafael Gonçalves","ptPOR","MF","Strasbourg","frLigue 1","20-282","2005","2.7","206","7","53","130","23","2","206","4","1","25.0","3","75.0","134","547","264","4","3","0","5","1","155","1",
"Nicolás González","esESP","MF","Manchester City","engPremier League","23-328","2002","8.2","702","27","137","440","130","10","702","11","7","63.6","1","9.1","416","1955","1039","13","9","1","10","6","519","9",
"Nicolás González","arARG","MF,DF","Juventus","itSerie A","27-235","1998","0.2","16","1","5","4","7","2","16","0","0","","0","","5","24","9","0","0","0","0","0","7","1",
"Nicolás González","arARG","MF,DF","Atlético Madrid","esLa Liga","27-235","1998","7.2","367","19","65","146","160","29","367","22","10","45.5","10","45.5","204","966","536","16","11","4","16","13","251","54",
"Urko González","esESP","MF","Espanyol","esLa Liga","24-252","2001","5.9","274","20","69","167","43","4","274","4","2","50.0","1","25.0","131","610","271","2","3","1","12","8","169","4",
"Urko González","esESP","MF","Real Sociedad","esLa Liga","24-252","2001","0.1","6","2","2","4","0","0","6","0","0","","0","","2","7","6","0","0","0","0","0","3","0",
