Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Matteo Ahlinvi","bjBEN","MF","Nîmes","frLigue 1","21","1999","10.0","450","13","95","286","80","12","450","29","19","65.5","10","34.5","303","2040","1166","31","14","3","26","16","302","17",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","26","1994","23.8","1105","45","239","692","200","22","1105","33","26","78.8","7","21.2","569","2891","1414","26","20","2","41","20","664","25",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","26","1994","0.4","15","1","6","6","3","2","15","0","0","","0","","6","38","19","1","0","0","0","0","10","0",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","24","1995","14.3","816","121","498","304","22","12","816","3","2","66.7","1","33.3","470","2286","1311","11","3","1","10","3","463","1",
"Ola Aina","ngNGA","DF","Fulham","engPremier League","23","1996","29.6","2052","105","781","957","330","17","2052","33","21","63.6","12","36.4","1070","5595","3024","63","40","5","27","10","1254","50",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","19","2001","15.6","996","42","267","430","309","26","996","54","26","48.1","28","51.9","573","2959","1702","47","34","9","30","19","622","85",
"Rayan Aït-Nouri","dzALG","DF","Angers","frLigue 1","19","2001","2.1","167","3","31","103","37","4","167","9","8","88.9","1","11.1","98","507","283","7","5","2","5","3","125","18",
"Semi Ajayi","ngNGA","DF","West Brom","engPremier League","26","1993","30.9","1325","223","691","559","86","43","1325","18","10","55.6","8","44.4","536","3098","1537","13","10","2","24","5","652","7",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","26","1994","33.0","1251","62","122","597","539","159","1246","23","10","43.5","13","56.5","611","2404","953","33","25","15","74","31","940","224",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","25","1995","26.1","2358","189","943","1331","96","29","2358","10","9","90.0","1","10.0","1544","8522","5042","26","15","2","9","9","1804","7",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","27","1993","9.6","468","42","211","190","71","3","468","10","6","60.0","4","40.0","162","980","537","12","8","2","11","3","149","15",
"Marley Aké","frFRA","FW","Marseille","frLigue 1","19","2001","1.6","56","2","8","24","25","7","56","8","4","50.0","4","50.0","35","258","98","4","2","0","4","5","43","12",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","25","1995","8.9","819","40","182","570","67","6","819","1","0","0.0","1","100.0","569","2748","1678","12","22","0","2","1","658","6",
