Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Matthieu Dreyer","frFRA","GK","Lorient","frLigue 1","31","1989","15.0","395","342","393","2","0","0","395","1","0","0.0","1","100.0","174","1021","608","0","0","0","0","0","123","0",
"Domingos Duarte","ptPOR","DF","Granada","esLa Liga","25","1995","26.3","1165","144","570","564","36","10","1165","2","2","100.0","0","0.0","577","3269","1960","17","10","0","6","4","619","3",
"Léo Duarte","brBRA","DF","Milan","itSerie A","24","1996","0.2","14","1","12","2","0","0","14","0","0","","0","","8","31","11","0","1","0","0","0","11","0",
"Óscar Duarte","crCRC","DF","Levante","esLa Liga","31","1989","22.9","1446","251","816","611","28","15","1446","3","3","100.0","0","0.0","818","3399","1818","6","5","0","5","3","920","3",
"Rubén Duarte","esESP","DF","Alavés","esLa Liga","24","1995","28.3","1662","93","542","764","359","12","1662","13","5","38.5","8","61.5","659","2703","1383","27","21","0","16","9","762","54",
"Leo Dubois","frFRA","DF","Lyon","frLigue 1","25","1994","32.3","2585","95","574","1144","887","67","2585","53","30","56.6","23","43.4","1369","7397","4336","111","85","19","43","15","1555","239",
"Martin Dúbravka","skSVK","GK","Newcastle Utd","engPremier League","31","1989","13.0","467","400","465","2","0","0","467","0","0","","0","","232","1356","698","0","0","0","1","0","165","0",
"Ondrej Duda","skSVK","FW,MF","Köln","deBundesliga","25","1994","28.2","1592","23","165","907","537","40","1588","72","51","70.8","21","29.2","853","4054","1463","32","25","11","88","30","1069","132",
"Unai Dufur","esESP","DF","Eibar","esLa Liga","21","1999","0.7","51","1","13","25","13","0","51","0","0","","0","","13","50","19","0","0","0","1","0","21","0",
"Haris Duljević","baBIH","MF,FW","Nîmes","frLigue 1","26","1993","8.6","403","4","38","213","170","19","403","49","31","63.3","18","36.7","268","1888","970","27","35","5","23","17","287","52",
"Paul Dummett","wlsWAL","DF","Newcastle Utd","engPremier League","28","1991","13.9","717","85","367","294","59","5","717","4","3","75.0","1","25.0","317","1091","621","2","2","0","9","0","416","5",
"Alfred Duncan","ghGHA","MF","Fiorentina","itSerie A","27","1993","1.8","105","0","14","66","26","1","105","1","1","100.0","0","0.0","66","281","76","1","3","0","2","2","68","2",
"Alfred Duncan","ghGHA","MF","Cagliari","itSerie A","27","1993","11.9","705","28","134","443","136","5","705","27","18","66.7","9","33.3","390","2003","1069","16","14","3","22","8","483","24",
"Lewis Dunk","engENG","DF","Brighton","engPremier League","28","1991","32.6","2511","361","1412","997","114","48","2511","8","6","75.0","2","25.0","1514","7618","3763","27","15","0","12","1","1743","7",
"Jimmy Dunne","ieIRL","DF","Burnley","engPremier League","22","1997","3.0","194","27","103","72","20","14","194","2","1","50.0","1","50.0","85","344","43","0","0","0","1","1","96","1",
"Erik Durm","deGER","DF","Eint Frankfurt","deBundesliga","28","1992","16.4","893","43","224","429","252","31","893","21","11","52.4","10","47.6","426","2315","898","25","18","6","27","11","482","90",
"Hugo Duro","esESP","FW","Real Madrid","esLa Liga","20","1999","0.6","12","0","1","3","8","3","12","1","1","100.0","0","0.0","6","20","10","0","0","0","2","0","9","4",
"Jean-Kevin Duverne","htHAI","DF","Brest","frLigue 1","23","1997","22.5","1557","196","780","718","70","16","1557","19","18","94.7","1","5.3","967","5694","3639","39","19","3","12","10","1069","10",
"Paulo Dybala","arARG","FW","Juventus","itSerie A","26","1993","12.6","880","2","53","367","467","61","880","47","27","57.4","20","42.6","496","2886","1214","39","35","14","35","18","687","97",
"Edin Džeko","baBIH","FW","Roma","itSerie A","34","1986","20.3","731","15","29","325","386","131","730","55","27","49.1","28","50.9","353","2316","1062","50","29","24","56","31","589","174",
"Steeve-Mike Ebongue","frFRA","MF","Genoa","itSerie A","19","2001","0.6","33","1","14","14","6","0","33","0","0","","0","","19","60","26","1","0","0","2","1","16","0",
"Enzo Ebosse","cmCMR","DF","Angers","frLigue 1","21","1999","2.9","177","13","83","84","12","2","177","0","0","","0","","83","259","115","1","1","0","4","0","119","7",
"Bruno Ecuele Manga","gaGAB","DF","Dijon","frLigue 1","32","1988","38.0","2351","390","1510","795","60","40","2351","13","11","84.6","2","15.4","1424","6146","3172","10","6","3","16","6","1479","2",
"Simone Edera","itITA","DF,MF","Torino","itSerie A","23","1997","0.6","34","2","9","14","11","0","34","2","2","100.0","0","0.0","11","64","41","1","1","0","2","0","14","2",
"Ederson","brBRA","GK","Manchester City","engPremier League","26","1993","36.0","1174","948","1169","5","0","0","1174","0","0","","0","","755","3576","2401","0","0","0","2","0","669","0",
"Kyle Edwards","engENG","MF,FW","West Brom","engPremier League","22","1998","1.3","50","0","10","22","19","4","50","4","1","25.0","3","75.0","28","258","142","5","2","2","1","1","33","4",
"John Egan","ieIRL","DF","Sheffield Utd","engPremier League","27","1992","29.2","1435","207","741","656","50","25","1435","0","0","","0","","732","4302","2399","11","9","1","5","1","789","2",
"Johannes Eggestein","deGER","FW,MF","Werder Bremen","deBundesliga","22","1998","0.4","19","2","5","10","4","1","19","0","0","","0","","6","55","15","1","1","0","0","0","10","2",
"Maximilian Eggestein","deGER","MF","Werder Bremen","deBundesliga","23","1996","32.7","1677","67","382","984","328","23","1677","20","12","60.0","8","40.0","848","3708","1899","45","43","2","41","22","1020","68",
"Lilian Egloff","deGER","MF","Stuttgart","deBundesliga","17","2002","0.2","7","0","3","0","4","0","7","0","0","","0","","5","13","4","0","0","0","1","1","6","2",
"Kingsley Ehizibue","nlNED","DF","Köln","deBundesliga","25","1995","12.6","758","48","250","334","181","13","758","31","19","61.3","12","38.7","328","2060","1026","25","13","0","15","10","349","44",
"Albin Ekdal","seSWE","MF","Sampdoria","itSerie A","31","1989","25.5","1326","62","345","808","192","22","1326","24","20","83.3","4","16.7","613","3158","1473","22","18","1","22","18","740","18",
"Hugo Ekitike","frFRA","FW,MF","Reims","frLigue 1","18","2002","1.0","46","0","2","14","30","9","46","9","2","22.2","7","77.8","23","141","46","3","0","2","2","1","35","9",
"Anthony Elanga","seSWE","FW","Manchester Utd","engPremier League","18","2002","1.7","84","2","15","33","39","5","84","7","3","42.9","4","57.1","57","262","68","2","3","0","8","2","65","13",
"Niclas Eliasson","seSWE","MF,FW","Nîmes","frLigue 1","24","1995","20.0","752","15","111","255","398","40","752","23","10","43.5","13","56.5","385","2105","889","27","15","7","46","13","409","141",
"Elif Elmas","mkMKD","MF,FW","Napoli","itSerie A","20","1999","8.2","446","8","65","225","160","25","446","16","12","75.0","4","25.0","276","1492","737","27","17","9","18","9","344","35",
"Ahmed Elmohamady","egEGY","DF","Aston Villa","engPremier League","32","1987","9.3","693","36","228","273","195","14","693","3","2","66.7","1","33.3","314","1108","567","10","6","1","5","3","374","36",
"Mohamed Elneny","egEGY","MF","Arsenal","engPremier League","28","1992","17.2","1119","59","327","659","138","6","1119","7","4","57.1","3","42.9","755","3331","1583","17","15","1","7","4","848","12",
"Aritz Elustondo","esESP","DF","Real Sociedad","esLa Liga","26","1994","20.9","1401","114","578","769","64","13","1401","8","4","50.0","4","50.0","896","5468","3621","27","14","1","10","2","918","12",
"Nico Elvedi","chSUI","DF","Gladbach","deBundesliga","23","1996","28.2","2225","268","1204","997","32","20","2225","6","4","66.7","2","33.3","1372","6674","3421","10","9","0","11","1","1481","3",
"Rodrigo Ely","brBRA","DF","Alavés","esLa Liga","26","1993","5.2","210","32","128","72","11","8","210","1","1","100.0","0","0.0","89","290","94","1","1","0","3","0","99","0",
"Breel Embolo","chSUI","FW,MF","Gladbach","deBundesliga","23","1997","16.0","692","8","43","371","291","83","692","65","40","61.5","25","38.5","392","2139","992","36","20","27","66","46","543","124",
"Emerson","brBRA","DF","Betis","esLa Liga","21","1999","33.2","2362","115","636","1018","721","80","2362","47","24","51.1","23","48.9","1183","5785","3241","90","62","19","54","34","1383","186",
"Renaud Emond","beBEL","FW,MF","Nantes","frLigue 1","28","1991","3.9","121","0","8","63","51","18","121","0","0","","0","","65","223","71","2","1","2","8","3","102","27",
"Alan Empereur","brBRA","DF","Hellas Verona","itSerie A","26","1994","2.4","129","9","39","81","10","1","129","0","0","","0","","73","389","264","2","2","0","0","2","94","3",
"Youssef En-Nesyri","maMAR","FW","Sevilla","esLa Liga","23","1997","25.7","679","26","64","313","304","138","679","36","15","41.7","21","58.3","320","1511","585","29","14","22","62","23","458","114",
"Keita Endo","jpJPN","MF,FW","Union Berlin","deBundesliga","22","1997","5.1","168","5","31","71","69","16","168","12","5","41.7","7","58.3","91","659","344","16","6","2","8","4","103","33",
"Wataru Endo","jpJPN","MF","Stuttgart","deBundesliga","27","1993","32.8","2202","116","581","1391","253","22","2202","53","39","73.6","14","26.4","1178","5513","2914","35","31","4","50","53","1483","39",
"Sergi Enrich","esESP","FW","Eibar","esLa Liga","30","1990","15.6","637","7","41","266","333","94","636","15","7","46.7","8","53.3","284","1105","335","14","9","5","47","18","440","91",
"Christian Eriksen","dkDEN","MF","Inter","itSerie A","28","1992","15.4","1185","23","233","562","399","24","1185","15","11","73.3","4","26.7","665","3038","1582","28","34","3","18","19","860","49",
"Martin Erlic","hrCRO","DF","Spezia","itSerie A","22","1998","20.0","1268","139","644","604","32","16","1268","5","3","60.0","2","40.0","724","3742","1897","15","7","0","9","1","756","2",
"Patrick Erras","deGER","FW,MF","Werder Bremen","deBundesliga","25","1995","0.3","33","0","7","15","11","0","33","0","0","","0","","18","52","38","0","0","0","0","0","23","7",
"Gonzalo Escalante","arARG","MF","Lazio","itSerie A","27","1993","8.1","573","16","141","382","56","3","573","9","8","88.9","1","11.1","302","1481","697","11","11","0","6","2","353","7",
"Aarón Escandell","esESP","GK","Granada","esLa Liga","24","1995","5.0","176","133","174","2","0","0","176","0","0","","0","","79","522","309","0","0","0","0","0","49","0",
"Dani Escriche","esESP","FW,MF","Huesca","esLa Liga","22","1998","9.5","400","7","53","220","142","24","400","42","16","38.1","26","61.9","220","1530","821","28","23","7","26","14","264","48",
"Sergio Escudero","esESP","DF","Sevilla","esLa Liga","30","1989","6.3","451","16","126","223","110","8","451","4","2","50.0","2","50.0","254","1160","578","8","15","0","7","2","296","32",
"Alfonso Espino","uyURU","DF","Cádiz","esLa Liga","28","1992","28.9","1363","93","586","548","250","17","1363","28","16","57.1","12","42.9","506","2606","1191","31","17","4","32","16","515","59",
"Vicente Esquerdo","esESP","MF","Valencia","esLa Liga","21","1999","2.6","130","4","39","68","23","2","130","4","2","50.0","2","50.0","58","253","67","0","0","0","4","1","79","3",
"Nahuel Estévez","arARG","MF","Spezia","itSerie A","24","1995","19.6","1093","30","139","582","390","34","1093","19","11","57.9","8","42.1","603","2903","1367","32","30","4","31","13","747","80",
"Pervis Estupiñán","ecECU","DF","Villarreal","esLa Liga","22","1998","13.0","831","43","250","298","289","28","831","21","9","42.9","12","57.1","437","2276","1156","39","27","8","28","18","471","120",
"Yoann Etienne","frFRA","DF","Lorient","frLigue 1","23","1997","1.0","47","3","17","21","9","0","47","1","0","0.0","1","100.0","14","70","29","0","0","0","4","0","18","1",
"Xabier Etxeita","esESP","DF","Getafe","esLa Liga","32","1987","9.8","406","46","177","211","21","10","406","2","1","50.0","1","50.0","147","854","394","2","2","0","6","0","159","1",
"Jonny Evans","nirNIR","DF","Leicester City","engPremier League","32","1988","27.5","2065","247","1093","943","44","18","2065","9","8","88.9","1","11.1","1251","5620","2951","7","5","0","5","4","1394","5",
"Edu Expósito","esESP","MF","Eibar","esLa Liga","23","1996","27.3","1440","24","183","779","496","45","1438","56","41","73.2","15","26.8","758","3645","1684","45","36","8","46","34","866","81",
"Valentin Eysseric","frFRA","MF,FW","Fiorentina","itSerie A","28","1992","8.1","444","11","72","208","166","13","444","6","3","50.0","3","50.0","255","1176","592","14","12","3","11","7","298","45",
"Eberechi Eze","engENG","MF","Crystal Palace","engPremier League","22","1998","28.4","1473","22","215","708","591","42","1473","118","64","54.2","54","45.8","967","6917","3318","79","70","18","57","37","1042","126",
"Jokin Ezkieta","esESP","GK","Athletic Club","esLa Liga","23","1996","1.0","24","21","24","0","0","0","24","0","0","","0","","14","62","35","0","0","0","0","0","9","0",
"Łukasz Fabiański","plPOL","GK","West Ham","engPremier League","35","1985","35.0","1077","934","1075","2","0","0","1077","0","0","","0","","560","3883","2240","0","0","0","1","0","356","0",
"Fabinho","brBRA","DF,MF","Liverpool","engPremier League","26","1993","28.5","2386","164","810","1430","155","12","2386","11","7","63.6","4","36.4","1469","6982","3870","27","20","3","17","7","1721","13",
"Fábio","brBRA","DF","Nantes","frLigue 1","30","1990","16.7","1107","59","332","561","222","11","1107","18","7","38.9","11","61.1","484","2524","1088","24","19","3","15","14","538","59",
"Cesc Fàbregas","esESP","MF,FW","Monaco","frLigue 1","33","1987","9.7","897","8","127","495","280","27","895","11","6","54.5","5","45.5","457","1696","858","10","6","2","17","9","662","48",
"Bandiougou Fadiga","frFRA","FW,MF","Paris S-G","frLigue 1","19","2001","0.7","44","2","13","18","15","2","44","6","2","33.3","4","66.7","30","219","114","3","1","0","3","0","36","7",
"Bandiougou Fadiga","frFRA","MF,FW","Brest","frLigue 1","19","2001","0.5","35","0","5","21","9","0","35","1","0","0.0","1","100.0","24","106","62","0","0","0","3","1","28","3",
"Wout Faes","beBEL","DF","Reims","frLigue 1","22","1998","32.2","1969","303","1173","776","31","20","1969","16","12","75.0","4","25.0","1155","5544","3180","22","10","3","11","9","1286","2",
"Nicolò Fagioli","itITA","MF","Juventus","itSerie A","19","2001","0.2","23","1","7","14","2","0","23","2","2","100.0","0","0.0","15","65","28","0","0","0","0","0","17","0",
"Ralf Fährmann","deGER","GK","Schalke 04","deBundesliga","31","1988","20.8","898","725","889","11","1","1","898","0","0","","0","","462","2566","1552","0","1","1","0","1","361","0",
"Romain Faivre","frFRA","MF,FW","Brest","frLigue 1","22","1998","32.1","1869","33","299","830","796","77","1868","132","89","67.4","43","32.6","1188","8828","4590","141","115","26","74","34","1239","166",
"Fali","esESP","DF,MF","Cádiz","esLa Liga","26","1993","29.3","995","161","424","484","96","19","995","5","4","80.0","1","20.0","418","1764","859","10","12","2","11","4","470","12",
"Iago Falque","esESP","MF,FW","Benevento","itSerie A","30","1990","4.0","266","1","24","124","123","16","266","17","7","41.2","10","58.8","162","1105","554","16","11","7","11","6","186","31",
"Andri Fannar Baldursson","isISL","MF","Bologna","itSerie A","18","2002","2.4","106","7","34","53","20","3","106","2","1","50.0","1","50.0","52","233","62","1","2","0","6","4","64","8",
"Paolo Faragò","itITA","DF","Bologna","itSerie A","27","1993","0.3","16","2","4","6","6","2","16","0","0","","0","","13","35","10","0","0","0","0","0","13","1",
"Paolo Faragò","itITA","DF","Cagliari","itSerie A","27","1993","4.1","280","27","81","119","81","6","280","5","2","40.0","3","60.0","132","626","252","2","4","1","5","1","161","10",
"Davide Faraoni","itITA","DF","Hellas Verona","itSerie A","28","1991","32.1","1845","132","560","824","482","63","1845","45","17","37.8","28","62.2","838","3650","1380","26","26","3","46","15","972","100",
"Mohamed Fares","dzALG","DF","Lazio","itSerie A","24","1996","12.7","685","27","167","262","263","21","685","18","6","33.3","12","66.7","362","1753","916","26","20","4","19","6","409","114",
"Diego Farias","brBRA","FW","Spezia","itSerie A","30","1990","16.8","785","5","78","337","376","78","785","26","18","69.2","8","30.8","521","2834","1261","47","21","26","26","11","640","132",
"Wuilker Faríñez","veVEN","GK","Lens","frLigue 1","22","1998","1.2","33","30","32","1","0","0","33","0","0","","0","","16","61","47","0","0","0","0","0","5","0",
"Noah Fatar","frFRA","FW,MF","Angers","frLigue 1","18","2002","0.2","14","0","2","5","7","0","14","2","0","0.0","2","100.0","10","53","21","0","1","0","1","1","9","2",
"Ansu Fati","esESP","FW","Barcelona","esLa Liga","17","2002","4.8","270","0","12","86","174","39","270","23","11","47.8","12","52.2","183","1296","700","32","16","21","11","8","226","60",
"Julien Faussurier","frFRA","DF","Brest","frLigue 1","33","1987","10.6","688","30","196","291","205","16","688","9","5","55.6","4","44.4","364","1606","922","28","8","5","14","3","389","63",
"Andrea Favilli","itITA","FW","Hellas Verona","itSerie A","23","1997","3.8","143","2","4","61","81","22","143","7","3","42.9","4","57.1","89","427","104","7","6","3","22","15","127","37",
"Federico Fazio","arARG","DF","Roma","itSerie A","33","1987","4.5","361","40","136","197","32","6","361","3","3","100.0","0","0.0","191","1087","751","4","9","0","2","1","252","2",
"Nabil Fekir","frFRA","MF,FW","Betis","esLa Liga","27","1993","29.1","1670","4","83","722","893","106","1667","117","85","72.6","32","27.4","1054","6535","3180","104","89","39","78","83","1325","182",
"Felipe","brBRA","DF","Atlético Madrid","esLa Liga","31","1989","22.9","1301","185","669","603","39","24","1301","3","3","100.0","0","0.0","701","3635","1638","5","2","0","3","1","753","3",
"Luiz Felipe","itITA","DF","Lazio","itSerie A","23","1997","10.1","669","62","305","333","35","4","669","5","2","40.0","3","60.0","400","2810","1410","9","6","0","7","2","445","2",
"João Félix","ptPOR","FW,MF","Atlético Madrid","esLa Liga","20","1999","17.5","865","6","67","429","376","54","863","60","30","50.0","30","50.0","578","3145","1640","49","54","10","40","34","749","94",
"Ohis Felix Uduokhai","deGER","DF","Augsburg","deBundesliga","22","1997","29.0","1858","279","1029","768","77","29","1858","19","15","78.9","4","21.1","1064","5880","3331","21","9","4","17","10","1103","13",
"Zinedine Ferhat","dzALG","FW,MF","Nîmes","frLigue 1","27","1993","32.9","1686","43","227","700","780","109","1685","128","64","50.0","64","50.0","982","5803","2524","92","73","37","88","48","1242","266",
"Bruno Fernandes","ptPOR","MF","Manchester Utd","engPremier League","25","1994","34.4","2710","40","284","1165","1279","124","2700","45","23","51.1","22","48.9","1496","6475","3529","80","76","10","56","37","2063","263",
"Edimilson Fernandes","chSUI","MF,FW","Mainz 05","deBundesliga","24","1996","9.3","462","34","126","241","98","5","462","5","3","60.0","2","40.0","244","1074","450","6","6","0","12","14","266","19",
"Aitor Fernández","esESP","GK","Levante","esLa Liga","29","1991","29.0","990","855","983","7","0","0","990","1","0","0.0","1","100.0","512","2230","1504","0","0","0","2","0","425","0",
"Álex Fernández","esESP","MF","Cádiz","esLa Liga","27","1992","21.6","1086","26","194","587","322","16","1084","22","15","68.2","7","31.8","537","2738","1188","26","21","3","33","16","628","43",
"Álvaro Fernández","esESP","GK","Huesca","esLa Liga","22","1998","22.0","869","740","862","5","2","2","869","0","0","","0","","416","1901","1181","0","0","0","0","0","416","0",
"Andrés Fernández","esESP","GK","Huesca","esLa Liga","33","1986","16.0","602","543","600","2","0","0","602","3","3","100.0","0","0.0","306","1232","769","0","0","0","1","0","280","0",
"Augusto Fernández","arARG","MF","Cádiz","esLa Liga","34","1986","4.1","160","8","48","104","12","1","160","3","2","66.7","1","33.3","73","390","167","2","2","1","6","5","68","3",
"Carlos Fernández","esESP","FW","Sevilla","esLa Liga","24","1996","1.6","53","1","6","27","20","4","53","3","2","66.7","1","33.3","32","172","100","3","1","1","4","2","42","10",
"Carlos Fernández","esESP","FW,MF","Real Sociedad","esLa Liga","24","1996","4.3","175","7","22","91","63","13","175","10","4","40.0","6","60.0","101","416","140","3","3","2","19","8","127","33",
"Federico Fernández","arARG","DF","Newcastle Utd","engPremier League","31","1989","23.1","1169","268","719","377","76","14","1169","1","0","0.0","1","100.0","553","2133","858","1","0","0","8","2","619","7",
"Joaquín Fernández","esESP","DF","Valladolid","esLa Liga","24","1996","23.0","1022","173","604","387","36","12","1022","1","1","100.0","0","0.0","494","2189","973","0","2","1","5","6","526","2",
"Fernandinho","brBRA","MF","Manchester City","engPremier League","35","1985","13.2","1143","31","161","813","181","13","1143","13","10","76.9","3","23.1","703","3633","2218","31","42","4","7","4","867","5",
"Fernando","brBRA","MF","Sevilla","esLa Liga","33","1987","28.3","1837","135","593","1065","194","12","1837","19","11","57.9","8","42.1","973","4313","2052","17","17","1","25","10","1191","22",
"Alex Ferrari","itITA","DF","Sampdoria","itSerie A","26","1994","9.8","602","59","301","241","65","7","602","2","1","50.0","1","50.0","307","1299","611","1","1","0","9","4","345","8",
"David Ferreiro","esESP","MF,FW","Huesca","esLa Liga","32","1988","28.1","1325","13","180","522","650","43","1325","64","44","68.8","20","31.3","788","5102","2301","68","47","12","41","36","845","182",
"Salvador Ferrer","esESP","DF","Spezia","itSerie A","22","1998","13.2","1037","49","341","462","243","6","1037","8","5","62.5","3","37.5","547","2541","1299","28","19","0","12","7","601","49",
"Facundo Ferreyra","arARG","FW","Celta Vigo","esLa Liga","29","1991","3.3","86","2","9","39","39","12","86","1","0","0.0","1","100.0","33","89","33","1","1","1","5","7","54","10",
"Jordan Ferri","frFRA","MF","Montpellier","frLigue 1","28","1992","28.6","1855","32","457","1164","257","14","1855","28","16","57.1","12","42.9","1154","5707","2736","36","32","6","37","27","1319","41",
"Marco Festa","itITA","GK","Crotone","itSerie A","28","1992","1.0","39","35","39","0","0","0","39","0","0","","0","","21","123","103","0","0","0","0","0","10","0",
"Fidel","esESP","MF,DF","Elche","esLa Liga","30","1989","26.6","1510","33","388","669","481","53","1507","88","51","58.0","37","42.0","883","5125","2658","82","52","19","62","40","1011","123",
"Sam Field","engENG","MF","West Brom","engPremier League","22","1998","0.7","43","4","17","24","2","0","43","1","1","100.0","0","0.0","9","25","1","0","0","0","2","1","10","0",
"Alfreð Finnbogason","isISL","FW","Augsburg","deBundesliga","31","1989","6.0","243","6","27","116","104","30","241","5","4","80.0","1","20.0","127","706","287","5","7","3","21","10","175","47",
"Roberto Firmino","brBRA","FW","Liverpool","engPremier League","28","1991","31.5","1663","18","104","789","788","176","1663","83","59","71.1","24","28.9","989","4862","2379","66","44","22","80","47","1279","222",
"Junior Firpo","doDOM","DF,MF","Barcelona","esLa Liga","23","1996","3.2","265","12","61","121","84","12","265","5","1","20.0","4","80.0","155","718","358","8","8","3","6","0","193","22",
"Will Fish","engENG","FW","Manchester Utd","engPremier League","17","2003","0.0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"John Fleck","sctSCO","MF","Sheffield Utd","engPremier League","28","1991","28.6","1476","36","248","744","502","25","1476","54","30","55.6","24","44.4","768","4026","2160","54","48","5","30","24","933","62",
"Mark Flekken","nlNED","GK","Freiburg","deBundesliga","27","1993","3.0","135","122","135","0","0","0","135","0","0","","0","","81","360","196","0","0","0","0","0","65","0",
"Florian Flick","deGER","MF","Schalke 04","deBundesliga","20","2000","4.0","135","13","55","73","8","1","135","3","0","0.0","3","100.0","63","235","88","1","0","0","2","1","59","1",
"Alexis Flips","frFRA","MF,FW","Reims","frLigue 1","20","2000","0.5","28","0","5","12","13","2","28","2","0","0.0","2","100.0","20","92","33","0","1","0","5","0","21","4",
"Alessandro Florenzi","itITA","DF","Paris S-G","frLigue 1","29","1991","17.1","1128","46","251","515","367","51","1128","11","5","45.5","6","54.5","623","2635","1388","27","20","9","9","2","780","148",
"Kingsley Fobi","ghGHA","DF","Granada","esLa Liga","21","1998","0.5","14","2","5","6","3","1","14","0","0","","0","","6","51","38","1","0","1","0","0","4","1",
"Phil Foden","engENG","FW,MF","Manchester City","engPremier League","20","2000","18.0","1065","14","93","373","615","121","1065","67","38","56.7","29","43.3","673","3812","2138","81","40","42","47","15","833","213",
"Mamadou Fofana","mlMLI","MF,DF","Metz","frLigue 1","22","1998","11.9","561","49","269","276","19","5","561","2","2","100.0","0","0.0","300","1103","530","2","2","0","6","3","306","2",
"Seko Fofana","ciCIV","MF","Lens","frLigue 1","25","1995","25.7","1497","32","217","929","372","54","1497","74","41","55.4","33","44.6","956","5893","2850","75","58","15","50","32","1122","126",
"Wesley Fofana","frFRA","DF","Leicester City","engPremier League","19","2000","25.1","2036","186","865","1118","78","20","2036","21","15","71.4","6","28.6","1273","8129","4806","37","23","1","27","12","1344","8",
"Wesley Fofana","frFRA","DF","Saint-Étienne","frLigue 1","19","2000","3.5","222","27","128","86","8","3","222","3","2","66.7","1","33.3","128","678","417","2","3","1","0","1","140","2",
"Youssouf Fofana","frFRA","MF","Monaco","frLigue 1","21","1999","31.9","2028","47","385","1327","345","12","2028","61","32","52.5","29","47.5","1101","5869","2967","57","52","4","45","26","1410","36",
"Thomas Foket","beBEL","DF","Reims","frLigue 1","25","1994","36.9","2266","121","884","896","504","24","2266","30","18","60.0","12","40.0","1140","6504","3751","90","60","3","37","17","1268","149",
"Ramón Folch","esESP","MF","Elche","esLa Liga","30","1989","0.0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Lamine Fomba","frFRA","MF","Nîmes","frLigue 1","22","1998","24.2","1027","65","280","542","211","28","1027","30","14","46.7","16","53.3","508","2539","1103","19","18","0","38","42","514","23",
"Thomas Fontaine","mgMAD","DF","Lorient","frLigue 1","29","1991","3.6","133","25","86","46","2","1","133","0","0","","0","","65","620","94","0","0","0","1","0","76","0",
"José Fontán","esESP","DF","Celta Vigo","esLa Liga","20","2000","7.2","434","45","176","195","64","5","434","6","5","83.3","1","16.7","231","1329","853","12","17","1","5","2","272","11",
"José Fonte","ptPOR","DF","Lille","frLigue 1","36","1983","35.4","2700","221","1188","1386","136","50","2700","6","6","100.0","0","0.0","1673","7111","4131","14","19","2","9","1","1915","14",
"Fernando Forestieri","itITA","FW,MF","Udinese","itSerie A","30","1990","6.1","259","0","18","109","133","25","259","20","10","50.0","10","50.0","173","786","308","8","8","1","15","7","192","47",
"Pablo Fornals","esESP","FW,MF","West Ham","engPremier League","24","1996","28.6","1407","22","229","690","511","66","1407","60","29","48.3","31","51.7","823","4358","2061","59","41","11","37","21","964","142",
"Emil Forsberg","seSWE","FW,MF","RB Leipzig","deBundesliga","28","1991","17.1","777","2","30","365","387","64","774","33","19","57.6","14","42.4","437","2060","897","36","31","15","38","22","595","112",
"Fraser Forster","engENG","GK","Southampton","engPremier League","32","1988","8.0","302","239","296","6","0","0","302","0","0","","0","","123","708","447","0","0","0","0","0","116","0",
"Philipp Förster","deGER","MF","Stuttgart","deBundesliga","25","1995","16.8","869","10","95","430","360","51","868","29","13","44.8","16","55.2","530","4034","2182","69","60","15","45","15","643","117",
"Steven Fortes","cvCPV","DF","Lens","frLigue 1","28","1992","15.9","1098","88","544","526","33","7","1098","7","3","42.9","4","57.1","643","4000","2404","18","5","0","4","1","741","0",
"Yassin Fortune","htHAI","FW","Angers","frLigue 1","21","1999","0.2","5","1","1","2","2","1","5","0","0","","0","","3","5","4","0","1","0","0","0","3","1",
"Timothy Fosu-Mensah","nlNED","DF","Manchester Utd","engPremier League","22","1998","0.9","84","1","15","38","31","4","84","2","2","100.0","0","0.0","45","202","94","2","2","1","0","2","65","13",
"Timothy Fosu-Mensah","nlNED","DF","Leverkusen","deBundesliga","22","1998","4.5","394","14","93","233","69","4","394","5","3","60.0","2","40.0","217","847","380","8","1","2","5","3","270","17",
"Daam Foulon","beBEL","DF","Benevento","itSerie A","21","1999","11.3","556","48","222","227","116","3","556","14","6","42.9","8","57.1","265","1420","871","16","11","1","11","4","316","20",
"Dimitri Foulquier","frFRA","DF","Granada","esLa Liga","27","1993","29.6","1407","76","430","634","360","23","1407","49","27","55.1","22","44.9","577","3557","1998","49","35","6","42","26","599","68",
"Juan Foyth","arARG","DF,MF","Villarreal","esLa Liga","22","1998","13.0","865","45","284","485","111","7","865","27","22","81.5","5","18.5","458","2669","1507","19","17","0","8","9","542","7",
