Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Max Aarons","engENG","DF","Bournemouth","engPremier League","23","2000","13.7","23","1.68","16","4","0","0","3","0","2","0.15","2","0","0","0","0","0",
"Brenden Aaronson","usUSA","MF,FW","Union Berlin","deBundesliga","22","2000","14.1","53","3.76","41","1","8","3","0","0","8","0.57","6","0","2","0","0","0",
"Paxten Aaronson","usUSA","MF","Eint Frankfurt","deBundesliga","19","2003","1.1","1","0.89","1","0","0","0","0","0","1","0.89","1","0","0","0","0","0",
"Keyliane Abdallah","frFRA","FW","Marseille","frLigue 1","17","2006","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","35","1987","30.9","24","0.78","19","1","0","3","1","0","1","0.03","0","0","0","1","0","0",
"Salis Abdul Samed","ghGHA","MF","Lens","frLigue 1","23","2000","16.9","27","1.60","27","0","0","0","0","0","3","0.18","3","0","0","0","0","0",
"Nabil Aberdin","frFRA","DF","Getafe","esLa Liga","20","2002","2.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","30","1993","31.8","81","2.55","67","3","2","1","2","6","5","0.16","3","0","1","0","0","1",
"Matthis Abline","frFRA","FW","Nantes","frLigue 1","20","2003","11.6","38","3.28","30","0","5","2","1","0","2","0.17","0","0","1","0","1","0",
"Abner","brBRA","DF","Betis","esLa Liga","23","2000","15.6","14","0.90","13","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Zakaria Aboukhlal","maMAR","MF,FW","Toulouse","frLigue 1","23","2000","8.4","20","2.39","10","0","2","3","3","2","2","0.24","0","0","0","1","1","0",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","24","1999","25.7","12","0.47","9","0","0","2","1","0","0","0.00","0","0","0","0","0","0",
"Tammy Abraham","engENG","FW","Roma","itSerie A","25","1997","2.7","3","1.12","1","0","0","0","1","1","1","0.37","0","0","0","0","1","0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","35","1988","26.5","22","0.83","19","0","0","3","0","0","1","0.04","1","0","0","0","0","0",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","17","2006","0.1","1","15.00","0","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","31","1991","14.4","49","3.42","28","15","3","0","2","1","4","0.28","1","3","0","0","0","0",
"Akor Adams","ngNGA","FW","Montpellier","frLigue 1","23","2000","25.0","43","1.72","29","0","5","8","1","0","3","0.12","0","0","2","1","0","0",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","24","1999","1.3","3","2.25","2","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Junior Adamu","atAUT","FW,MF","Freiburg","deBundesliga","22","2001","1.2","2","1.73","1","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Sargis Adamyan","amARM","FW,MF","Köln","deBundesliga","30","1993","8.9","31","3.48","22","0","1","1","6","1","3","0.34","1","0","0","1","1","0",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","25","1997","18.0","10","0.56","6","0","0","4","0","0","0","0.00","0","0","0","0","0","0",
"Elijah Adebayo","engENG","FW","Luton Town","engPremier League","25","1998","15.8","31","1.97","19","0","5","5","2","0","5","0.32","2","0","0","3","0","0",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","21","2002","10.1","25","2.46","13","1","3","2","6","0","2","0.20","2","0","0","0","0","0",
"Simon Adingra","ciCIV","FW","Brighton","engPremier League","21","2002","24.7","77","3.12","51","1","13","7","3","2","4","0.16","3","0","0","0","0","1",
"Nathaniel Adjei","ghGHA","DF","Lorient","frLigue 1","20","2002","13.8","11","0.80","8","0","0","0","1","2","0","0.00","0","0","0","0","0","0",
"Amine Adli","maMAR","MF,FW","Leverkusen","deBundesliga","23","2000","10.0","52","5.22","39","0","6","3","4","0","9","0.90","5","0","2","1","1","0",
"Yacine Adli","frFRA","MF","Milan","itSerie A","23","2000","15.6","62","3.97","41","18","3","0","0","0","8","0.51","4","3","1","0","0","0",
"Adryelson","brBRA","DF,FW","Lyon","frLigue 1","25","1998","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Adson","brBRA","MF,FW","Nantes","frLigue 1","22","2000","2.6","9","3.40","8","0","1","0","0","0","0","0.00","0","0","0","0","0","0",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","26","1997","24.8","40","1.61","32","2","2","2","2","0","1","0.04","1","0","0","0","0","0",
"Emmanuel Agbadou","ciCIV","DF","Reims","frLigue 1","26","1997","28.8","47","1.63","43","0","0","4","0","0","1","0.03","1","0","0","0","0","0",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","22","2000","2.6","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Lucien Agoume","frFRA","MF","Inter","itSerie A","21","2002","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","21","2002","8.6","21","2.43","19","0","2","0","0","0","1","0.12","1","0","0","0","0","0",
"Felix Agu","ngNGA","DF,MF","Werder Bremen","deBundesliga","23","1999","17.9","24","1.34","16","1","0","0","7","0","3","0.17","0","0","0","0","3","0",
"Nayef Aguerd","maMAR","DF","West Ham","engPremier League","27","1996","20.6","14","0.68","12","1","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Ruben Aguilar","frFRA","DF","Lens","frLigue 1","30","1993","21.4","47","2.20","43","1","1","2","0","0","5","0.23","5","0","0","0","0","0",
"Brandon Aguilera","crCRC","FW","Nott'ham Forest","engPremier League","20","2003","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
