Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","21","1999","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","29","1990","19.7","30","1.52","27","2","1","0","0","0","3","0.15","2","1","0","0","0","0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","32","1987","32.1","17","0.53","15","0","0","2","0","0","0","0.00","0","0","0","0","0","0",
"Sabit Abdulai","ghGHA","MF","Getafe","esLa Liga","21","1999","0.7","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","27","1992","14.7","31","2.11","18","5","3","1","2","2","1","0.07","1","0","0","0","0","0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","27","1993","32.9","59","1.79","45","0","3","6","4","1","9","0.27","6","0","1","1","1","0",
"Charles Abi","frFRA","FW,MF","Saint-Étienne","frLigue 1","20","2000","10.1","14","1.38","11","0","2","0","1","0","3","0.30","2","0","1","0","0","0",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","17","2003","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Pape Abou Cissé","snSEN","DF","Saint-Étienne","frLigue 1","24","1995","14.0","9","0.64","5","1","0","2","1","0","0","0.00","0","0","0","0","0","0",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","34","1986","13.6","5","0.37","3","1","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","22","1997","11.6","17","1.47","9","0","2","4","2","0","2","0.17","1","0","0","0","1","0",
"Amir Abrashi","alALB","MF,DF","Freiburg","deBundesliga","30","1990","0.7","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Gennaro Acampora","itITA","MF,FW","Spezia","itSerie A","26","1994","4.9","8","1.63","6","0","1","0","1","0","0","0.00","0","0","0","0","0","0",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","32","1988","31.3","31","0.99","26","1","0","2","0","2","5","0.16","5","0","0","0","0","0",
"Ragnar Ache","deGER","FW,DF","Eint Frankfurt","deBundesliga","22","1998","1.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","28","1991","25.9","68","2.63","47","12","6","2","0","1","8","0.31","5","2","0","1","0","0",
"Che Adams","sctSCO","FW","Southampton","engPremier League","24","1996","29.6","68","2.29","50","0","2","7","9","0","7","0.24","6","0","0","0","1","0",
"Tyler Adams","usUSA","MF,DF","RB Leipzig","deBundesliga","21","1999","20.6","37","1.80","31","0","0","0","3","3","3","0.15","2","0","0","0","0","1",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","27","1993","5.3","22","4.12","15","1","2","2","2","0","6","1.12","4","0","0","2","0","0",
"Tosin Adarabioyo","engENG","DF","Fulham","engPremier League","22","1997","32.8","18","0.55","18","0","0","0","0","0","1","0.03","1","0","0","0","0","0",
"Bobby Adekanye","nlNED","FW,MF","Cádiz","esLa Liga","21","1999","0.4","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","20","2000","26.9","104","3.87","78","10","8","2","3","3","10","0.37","7","1","0","1","1","0",
"Andrea Adorante","itITA","FW","Parma","itSerie A","20","2000","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Adrián","esESP","GK","Liverpool","engPremier League","33","1987","3.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Martin Agirregabiria","esESP","DF,MF","Alavés","esLa Liga","24","1996","17.3","28","1.62","16","9","0","0","3","0","3","0.17","2","1","0","0","0","0",
"Lucien Agoume","frFRA","MF","Spezia","itSerie A","18","2002","8.9","7","0.79","7","0","0","0","0","0","2","0.23","2","0","0","0","0","0",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","20","1999","7.8","8","1.03","4","1","1","0","2","0","0","0.00","0","0","0","0","0","0",
"Kevin Agudelo","coCOL","FW","Spezia","itSerie A","21","1998","15.1","38","2.52","19","1","3","8","4","3","7","0.46","5","1","0","1","0","0",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","24","1996","35.0","20","0.57","17","0","0","3","0","0","1","0.03","1","0","0","0","0","0",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","32","1988","6.2","18","2.90","13","0","3","1","0","1","3","0.48","2","0","1","0","0","0",
"Ruben Aguilar","frFRA","DF,MF","Monaco","frLigue 1","27","1993","24.7","78","3.15","56","10","2","1","7","2","7","0.28","4","1","1","0","1","0",
"Naouirou Ahamada","frFRA","MF","Stuttgart","deBundesliga","18","2002","2.8","2","0.71","1","0","1","0","0","0","0","0.00","0","0","0","0","0","0",
"Matteo Ahlinvi","bjBEN","MF","Nîmes","frLigue 1","21","1999","10.0","12","1.20","9","0","0","0","2","1","0","0.00","0","0","0","0","0","0",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","26","1994","23.8","33","1.38","25","0","1","2","3","2","4","0.17","2","0","0","1","0","1",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","26","1994","0.4","1","2.50","0","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","24","1995","14.3","10","0.70","7","0","1","2","0","0","2","0.14","2","0","0","0","0","0",
"Ola Aina","ngNGA","DF","Fulham","engPremier League","23","1996","29.6","27","0.91","23","3","0","0","1","0","4","0.14","4","0","0","0","0","0",
"Rayan Aït-Nouri","dzALG","DF","Wolves","engPremier League","19","2001","15.6","32","2.05","21","4","6","0","1","0","1","0.06","1","0","0","0","0","0",
"Rayan Aït-Nouri","dzALG","DF","Angers","frLigue 1","19","2001","2.1","10","4.84","8","0","2","0","0","0","2","0.97","1","0","1","0","0","0",
"Semi Ajayi","ngNGA","DF","West Brom","engPremier League","26","1993","30.9","14","0.45","13","0","1","0","0","0","2","0.06","2","0","0","0","0","0",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","26","1994","33.0","77","2.34","55","0","1","12","9","0","8","0.24","4","0","1","1","2","0",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","25","1995","26.1","22","0.84","16","1","0","3","1","1","2","0.08","2","0","0","0","0","0",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","27","1993","9.6","7","0.73","4","2","1","0","0","0","0","0.00","0","0","0","0","0","0",
"Marley Aké","frFRA","FW","Marseille","frLigue 1","19","2001","1.6","2","1.23","0","0","0","1","1","0","0","0.00","0","0","0","0","0","0",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","25","1995","8.9","5","0.56","4","0","0","0","1","0","1","0.11","1","0","0","0","0","0",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","22","1997","4.2","6","1.43","5","0","0","0","0","1","1","0.24","1","0","0","0","0","0",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","27","1992","11.7","19","1.62","16","0","1","0","0","2","1","0.09","1","0","0","0","0","0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","25","1995","13.2","7","0.53","5","2","0","0","0","0","0","0.00","0","0","0","0","0","0",
"David Alaba","atAUT","DF,MF","Bayern Munich","deBundesliga","28","1992","29.7","60","2.02","55","1","0","3","0","1","7","0.24","6","1","0","0","0","0",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","22","1998","16.7","21","1.25","14","2","2","0","3","0","3","0.18","2","0","0","0","1","0",
"Jony Álamo","esESP","MF","Elche","esLa Liga","18","2001","0.8","1","1.23","1","0","0","0","0","0","1","1.23","1","0","0","0","0","0",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","27","1992","13.8","30","2.17","22","0","2","3","3","0","3","0.22","2","0","0","1","0","0",
"Jordi Alba","esESP","DF,FW","Barcelona","esLa Liga","31","1989","33.6","96","2.86","93","2","1","0","0","0","9","0.27","8","0","1","0","0","0",
"Luis Alberto","esESP","MF","Lazio","itSerie A","27","1992","29.1","157","5.40","118","25","7","4","2","1","7","0.24","6","0","1","0","0","0",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","34","1985","34.6","18","0.52","18","0","0","0","0","0","1","0.03","1","0","0","0","0","0",
"Marc Albrighton","engENG","DF,FW","Leicester City","engPremier League","30","1989","19.4","77","3.97","59","5","5","2","3","3","12","0.62","8","2","0","1","0","1",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","26","1993","17.2","27","1.57","20","1","3","2","1","0","9","0.52","6","0","2","1","0","0",
"Pedro Alcalá","esESP","DF","Cádiz","esLa Liga","31","1989","10.1","1","0.10","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","29","1991","20.6","81","3.93","69","2","2","3","3","2","3","0.15","2","0","0","1","0","0",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","29","1991","24.1","28","1.16","23","0","0","1","3","1","2","0.08","2","0","0","0","0","0",
"Omar Alderete","pyPAR","DF","Hertha BSC","deBundesliga","23","1996","14.4","7","0.48","7","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","31","1989","24.9","22","0.88","19","0","0","3","0","0","3","0.12","3","0","0","0","0","0",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","25","1995","9.2","21","2.29","17","1","1","1","1","0","2","0.22","1","0","0","1","0","0",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","22","1998","0.5","1","1.87","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","22","1998","15.2","66","4.35","31","15","6","8","6","0","3","0.20","2","0","1","0","0","0",
"Rúnar Alex Rúnarsson","isISL","GK","Arsenal","engPremier League","25","1995","0.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","21","1998","33.7","131","3.89","84","34","6","7","0","0","13","0.39","8","2","1","2","0","0",
"Alfon","esESP","MF","Celta Vigo","esLa Liga","21","1999","0.4","1","2.65","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Mohamed Ali Cho","frFRA","FW,MF","Angers","frLigue 1","16","2004","3.9","4","1.04","3","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Ezgjan Alioski","mkMKD","DF,MF","Leeds United","engPremier League","28","1992","27.3","71","2.60","57","5","0","5","3","1","5","0.18","3","1","0","1","0","0",
"Rachid Alioui","maMAR","FW","Angers","frLigue 1","28","1992","0.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Alisson","brBRA","GK","Liverpool","engPremier League","27","1992","33.0","5","0.15","4","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Saturnin Allagbé","bjBEN","GK","Dijon","frLigue 1","26","1993","12.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Allan","brBRA","MF","Everton","engPremier League","29","1991","22.8","39","1.71","33","1","4","1","0","0","2","0.09","2","0","0","0","0","0",
"Dele Alli","engENG","MF","Tottenham","engPremier League","24","1996","6.9","22","3.19","19","0","0","1","1","1","0","0.00","0","0","0","0","0","0",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","26","1994","27.0","76","2.82","54","3","8","4","5","2","6","0.22","4","0","0","1","0","1",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","29","1990","10.7","36","3.38","29","2","0","5","0","0","3","0.28","2","0","0","1","0","0",
"Sergio Álvarez","esESP","MF,DF","Eibar","esLa Liga","28","1992","17.4","19","1.09","18","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","25","1995","21.6","12","0.55","10","1","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","38","1981","18.1","9","0.50","7","1","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","21","1998","10.0","24","2.41","20","0","1","3","0","0","1","0.10","1","0","0","0","0","0",
"Ibrahim Amadou","frFRA","MF","Angers","frLigue 1","27","1993","16.7","25","1.50","22","0","0","2","0","1","4","0.24","3","0","0","1","0","0",
"Romain Amalfitano","frFRA","FW,DF","Dijon","frLigue 1","30","1989","1.3","2","1.55","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","18","2001","0.5","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","25","1994","8.0","5","0.62","5","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","26","1994","9.0","17","1.88","8","1","1","1","6","0","4","0.44","2","0","0","0","2","0",
"Thierry Ambrose","gpGLP","FW","Metz","frLigue 1","23","1997","8.4","25","2.98","19","1","2","1","2","0","2","0.24","2","0","0","0","0","0",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","14","2005","0.0","1","45.00","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Nadiem Amiri","deGER","MF","Leverkusen","deBundesliga","23","1996","21.0","80","3.81","57","13","4","6","0","0","10","0.48","8","1","1","0","0","0",
"Ethan Ampadu","wlsWAL","DF,MF","Sheffield Utd","engPremier League","19","2000","23.2","20","0.86","17","2","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","23","1996","27.1","36","1.33","35","0","0","1","0","0","1","0.04","1","0","0","0","0","0",
"Jon Ander Garrido","esESP","MF","Cádiz","esLa Liga","30","1989","8.9","10","1.13","9","0","0","0","1","0","2","0.23","1","0","0","0","1","0",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","24","1996","30.3","30","0.99","28","0","0","1","1","0","3","0.10","3","0","0","0","0","0",
