Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Brenden Aaronson","usUSA","FW,MF","Leeds United","engPremier League","25-034","2000","8.8","28","3.19","15","0","4","5","3","1","4","0.46","2","0","0","2","0","0",
"Jones El-Abdellaoui","maMAR","MF,FW","Celta Vigo","esLa Liga","19-317","2006","1.3","4","3.05","4","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Himad Abdelli","dzALG","MF","Angers","frLigue 1","26-008","1999","7.9","20","2.55","14","3","2","1","0","0","2","0.25","2","0","0","0","0","0",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","31-340","1993","3.6","5","1.47","5","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Salis Abdul Samed","ghGHA","MF","Nice","frLigue 1","25-244","2000","4.6","4","0.86","4","0","0","0","0","0","1","0.22","1","0","0","0","0","0",
"Saud Abdulhamid","saKSA","DF","Lens","frLigue 1","26-130","1999","2.3","4","1.77","4","0","0","0","0","0","1","0.44","1","0","0","0","0","0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","32-297","1993","11.5","27","2.35","23","1","0","2","1","0","1","0.09","1","0","0","0","0","0",
"Matthis Abline","frFRA","FW,MF","Nantes","frLigue 1","22-242","2003","10.9","39","3.59","22","0","8","6","3","0","3","0.28","0","0","2","1","0","0",
"Abner","brBRA","DF","Lyon","frLigue 1","25-182","2000","6.0","12","2.00","7","0","3","2","0","0","1","0.17","1","0","0","0","0","0",
"Zakaria Aboukhlal","maMAR","FW,MF","Torino","itSerie A","25-280","2000","1.6","2","1.25","1","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Abdel Abqar","maMAR","DF","Getafe","esLa Liga","26-260","1999","6.5","2","0.31","1","0","0","0","1","0","1","0.15","1","0","0","0","0","0",
"Francis Abu","ghGHA","MF","Toulouse","frLigue 1","24-212","2001","5.8","7","1.20","6","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Giorgi Abuashvili","geGEO","FW,MF","Metz","frLigue 1","22-290","2003","3.1","6","1.94","2","2","1","0","0","1","1","0.32","1","0","0","0","0","0",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","37-288","1988","7.8","6","0.76","5","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Ragnar Ache","deGER","FW","Köln","deBundesliga","27-120","1998","4.6","13","2.80","8","0","0","2","3","0","4","0.86","3","0","0","0","1","0",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","19-204","2006","3.9","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","25-300","2000","6.5","7","1.08","5","0","0","2","0","0","0","0.00","0","0","0","0","0","0",
"Che Adams","sctSCO","FW,MF","Torino","itSerie A","29-135","1996","5.4","11","2.05","8","0","1","1","1","0","0","0.00","0","0","0","0","0","0",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","26-284","1999","11.5","10","0.87","9","0","0","0","0","1","3","0.26","2","0","0","0","0","1",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","24-172","2001","4.8","9","1.87","6","0","0","2","0","1","2","0.41","1","0","0","1","0","0",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","28-062","1997","5.2","1","0.19","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Jayden Addai","nlNED","FW","Como","itSerie A","20-091","2005","4.8","8","1.68","5","1","2","0","0","0","0","0.00","0","0","0","0","0","0",
"Karim Adeyemi","deGER","MF,FW","Dortmund","deBundesliga","23-311","2002","5.7","26","4.53","18","0","6","0","2","0","4","0.70","3","0","1","0","0","0",
"Simon Adingra","ciCIV","FW,MF","Sunderland","engPremier League","23-328","2002","3.3","8","2.39","7","0","1","0","0","0","1","0.30","1","0","0","0","0","0",
"Nathaniel Adjei","ghGHA","DF","Lorient","frLigue 1","23-096","2002","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Amine Adli","maMAR","FW,MF","Bournemouth","engPremier League","25-199","2000","2.7","13","4.76","9","0","1","1","1","1","0","0.00","0","0","0","0","0","0",
"Vasilije Adžić","meMNE","MF","Juventus","itSerie A","19-197","2006","1.4","5","3.60","5","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Michel Aebischer","chSUI","MF","Pisa","itSerie A","28-323","1997","9.9","24","2.43","18","4","1","0","0","1","2","0.20","2","0","0","0","0","0",
"David Affengruber","atAUT","DF","Elche","esLa Liga","24-251","2001","11.4","11","0.97","11","0","0","0","0","0","2","0.18","2","0","0","0","0","0",
"Oladapo Afolayan","engENG","MF,FW","St. Pauli","deBundesliga","27-286","1998","1.7","7","4.23","5","0","0","2","0","0","0","0.00","0","0","0","0","0","0",
"Emmanuel Agbadou","ciCIV","DF","Wolves","engPremier League","28-161","1997","7.2","7","0.97","7","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Julen Agirrezabala","esESP","GK","Valencia","esLa Liga","24-334","2000","13.0","2","0.15","1","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","23-289","2002","8.6","15","1.75","15","0","0","0","0","0","2","0.23","2","0","0","0","0","0",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","26-059","1999","5.4","6","1.12","6","0","0","0","0","0","1","0.19","1","0","0","0","0","0",
"Marc Aguado","esESP","MF","Elche","esLa Liga","25-276","2000","8.9","8","0.90","6","0","0","1","1","0","0","0.00","0","0","0","0","0","0",
"Pablo Agudín","esESP","MF,FW","Oviedo","esLa Liga","18-017","2007","0.6","1","1.55","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
