Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Yoann Andreu","frFRA","DF","Angers","frLigue 1","29","1989","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"José Ángel","esESP","DF","Eibar","esLa Liga","28","1989","33.6","92","2.73","59","25","4","2","1","1","5","0.15","4","1","0","0","0","0",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","34","1984","11.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Cristian Ansaldi","arARG","DF,MF","Torino","itSerie A","31","1986","20.1","66","3.29","40","10","9","4","2","1","5","0.25","3","0","1","0","0","1",
"Mirco Antenucci","itITA","FW","SPAL","itSerie A","33","1984","23.7","64","2.70","46","0","3","6","7","2","5","0.21","3","0","1","0","1","0",
"Waldemar Anton","deGER","DF","Hannover 96","deBundesliga","22","1996","34.0","27","0.79","21","2","2","1","1","0","0","0.00","0","0","0","0","0","0",
"Luca Antonelli","itITA","DF","Empoli","itSerie A","31","1987","8.4","11","1.31","8","0","0","1","1","1","2","0.24","2","0","0","0","0","0",
"Mauro Antonio Burruchaga","arARG","MF","Chievo","itSerie A","20","1998","0.6","1","1.55","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Michail Antonio","jmJAM","MF,FW","West Ham","engPremier League","28","1990","23.4","64","2.74","40","0","9","8","5","2","10","0.43","5","0","1","2","2","0",
"Antoñito","esESP","DF,MF","Valladolid","esLa Liga","30","1987","20.7","49","2.37","38","2","7","0","2","0","2","0.10","1","0","1","0","0","0",
"Vitorino Antunes","ptPOR","DF,MF","Getafe","esLa Liga","31","1987","24.2","68","2.81","37","21","4","3","2","1","6","0.25","5","1","0","0","0","0",
"Anuar","maMAR","MF,FW","Valladolid","esLa Liga","23","1995","12.0","10","0.83","9","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Dennis Aogo","deGER","MF","Stuttgart","deBundesliga","31","1987","11.4","26","2.28","15","8","1","2","0","0","1","0.09","0","0","0","1","0","0",
"Houssem Aouar","dzALG","MF","Lyon","frLigue 1","20","1998","34.0","123","3.62","97","0","5","11","9","1","20","0.59","11","0","0","3","5","1",
"Emmanuel Apeh","ngNGA","FW,MF","Celta Vigo","esLa Liga","21","1996","0.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","22","1995","29.7","38","1.28","21","1","4","2","9","1","3","0.10","1","0","0","0","1","1",
"Guilherme Arana","brBRA","DF","Sevilla","esLa Liga","21","1997","7.0","5","0.72","4","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","29","1989","21.0","72","3.42","64","4","0","3","1","0","13","0.62","12","0","0","1","0","0",
"Luiz Araújo","brBRA","FW,MF","Lille","frLigue 1","22","1996","8.7","30","3.46","23","3","1","2","1","0","3","0.35","2","0","1","0","0","0",
"Néstor Araujo","mxMEX","DF","Celta Vigo","esLa Liga","26","1991","29.8","11","0.37","10","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Anaitz Arbilla","esESP","DF","Eibar","esLa Liga","31","1987","21.7","16","0.74","14","0","0","1","1","0","3","0.14","3","0","0","0","0","0",
"Joaquín Ardaiz","uyURU","FW","Frosinone","itSerie A","19","1999","0.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","25","1993","21.0","3","0.14","2","1","0","0","0","0","1","0.05","1","0","0","0","0","0",
"Santiago Arias","coCOL","DF","Atlético Madrid","esLa Liga","26","1992","19.7","37","1.88","30","4","1","0","2","0","2","0.10","2","0","0","0","0","0",
"Lorenzo Ariaudo","itITA","DF","Frosinone","itSerie A","29","1989","18.7","14","0.75","13","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Nicolò Armini","itITA","DF","Lazio","itSerie A","17","2001","0.4","1","2.37","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Yoël Armougom","frFRA","DF","Caen","frLigue 1","20","1998","20.6","39","1.89","33","2","0","1","1","2","4","0.19","4","0","0","0","0","0",
"Stuart Armstrong","sctSCO","MF","Southampton","engPremier League","26","1992","15.9","61","3.83","43","2","3","5","7","1","8","0.50","6","0","0","0","2","0",
"José Arnaiz","esESP","MF,FW","Leganés","esLa Liga","23","1995","1.3","2","1.59","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marko Arnautović","atAUT","FW","West Ham","engPremier League","29","1989","22.1","66","2.99","52","0","5","7","2","0","8","0.36","7","0","0","1","0","0",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","24","1994","31.9","90","2.82","41","30","4","6","9","0","14","0.44","4","6","1","1","2","0",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","23","1994","36.0","1","0.03","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Harry Arter","ieIRL","MF","Cardiff City","engPremier League","28","1989","22.2","37","1.67","32","1","1","2","1","0","6","0.27","5","0","0","1","0","0",
"Kwadwo Asamoah","ghGHA","DF","Inter","itSerie A","29","1988","29.7","87","2.93","73","3","5","2","3","1","2","0.07","2","0","0","0","0","0",
"Takuma Asano","jpJPN","MF,FW","Hannover 96","deBundesliga","23","1994","7.8","14","1.81","6","0","1","4","3","0","0","0.00","0","0","0","0","0","0",
"Santiago Ascacíbar","arARG","MF","Stuttgart","deBundesliga","21","1997","27.0","45","1.67","39","0","0","5","1","0","4","0.15","3","0","0","1","0","0",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","29","1989","32.0","2","0.06","1","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marco Asensio","esESP","FW","Real Madrid","esLa Liga","22","1996","19.8","67","3.39","48","5","7","2","5","0","10","0.51","7","0","0","0","3","0",
"Iago Aspas","esESP","FW,MF","Celta Vigo","esLa Liga","30","1987","25.0","113","4.52","91","4","8","5","4","1","15","0.60","12","0","2","0","1","0",
"Simon Asta","deGER","DF","Augsburg","deBundesliga","17","2001","1.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Youcef Atal","dzALG","DF,FW","Nice","frLigue 1","22","1996","25.1","76","3.02","43","3","14","3","12","1","2","0.08","1","0","0","1","0","0",
"Christian Atsu","ghGHA","MF","Newcastle Utd","engPremier League","26","1992","16.6","42","2.53","32","0","1","4","5","0","5","0.30","3","0","1","1","0","0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Arsenal","engPremier League","29","1989","30.3","60","1.98","42","0","7","5","5","1","11","0.36","6","0","1","2","2","0",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","21","1997","36.0","6","0.17","3","3","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Jean-Kévin Augustin","frFRA","FW","RB Leipzig","deBundesliga","21","1997","5.1","17","3.32","9","0","3","1","4","0","2","0.39","0","0","1","1","0","0",
"Ludwig Augustinsson","seSWE","DF","Werder Bremen","deBundesliga","24","1994","33.6","82","2.44","65","12","1","3","1","0","9","0.27","8","0","0","1","0","0",
"Serge Aurier","ciCIV","DF","Tottenham","engPremier League","25","1992","6.3","12","1.91","9","1","1","0","0","1","3","0.48","3","0","0","0","0","0",
"Charlie Austin","engENG","FW","Southampton","engPremier League","29","1989","10.9","23","2.11","13","0","0","5","3","2","2","0.18","1","0","0","1","0","0",
"Ezequiel Ávila","arARG","FW,MF","Huesca","esLa Liga","24","1994","22.2","54","2.43","36","0","3","6","9","0","8","0.36","5","0","0","2","1","0",
"Jordan Ayew","ghGHA","FW","Crystal Palace","engPremier League","26","1991","13.1","33","2.51","21","0","1","5","4","2","5","0.38","3","0","0","1","0","1",
"Kaan Ayhan","trTUR","DF","Düsseldorf","deBundesliga","23","1994","27.2","25","0.92","21","1","0","3","0","0","1","0.04","1","0","0","0","0","0",
"Floyd Ayité","tgTOG","FW,MF","Fulham","engPremier League","29","1988","5.3","16","3.03","13","1","1","1","0","0","1","0.19","0","0","1","0","0","0",
"César Azpilicueta","esESP","DF","Chelsea","engPremier League","28","1989","37.8","67","1.77","60","2","1","1","2","1","10","0.26","9","0","0","0","1","0",
"Abdoulaye Ba","snSEN","DF","Rayo Vallecano","esLa Liga","27","1991","23.4","5","0.21","5","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Florian Baak","deGER","MF","Hertha BSC","deBundesliga","19","1999","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Ludovic Baal","gfGUF","DF","Rennes","frLigue 1","32","1986","1.4","1","0.71","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Khouma Babacar","snSEN","FW","Sassuolo","itSerie A","25","1993","16.5","37","2.24","24","0","2","9","2","0","10","0.60","5","0","0","4","1","0",
"Ryan Babel","nlNED","FW,MF","Fulham","engPremier League","31","1986","13.9","50","3.60","31","7","6","4","2","0","6","0.43","4","0","1","1","0","0",
"Carlos Bacca","coCOL","FW","Villarreal","esLa Liga","31","1986","14.1","44","3.12","33","0","6","4","1","0","4","0.28","1","0","1","1","1","0",
"Juninho Bacuna","cwCUW","MF,DF","Huddersfield","engPremier League","20","1997","15.7","41","2.61","30","6","2","0","3","0","0","0.00","0","0","0","0","0","0",
"Leandro Bacuna","cwCUW","MF","Cardiff City","engPremier League","26","1991","6.2","7","1.12","5","1","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Milan Badelj","hrCRO","MF","Lazio","itSerie A","29","1989","12.7","32","2.52","26","2","1","0","2","1","2","0.16","1","0","1","0","0","0",
"Benoît Badiashile","frFRA","DF","Monaco","frLigue 1","17","2001","19.6","14","0.72","11","1","0","0","1","1","2","0.10","1","0","0","0","1","0",
"Holger Badstuber","deGER","DF","Stuttgart","deBundesliga","29","1989","5.8","2","0.34","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Stéphane Bahoken","cmCMR","FW","Angers","frLigue 1","26","1992","27.4","49","1.79","36","1","1","4","4","3","4","0.15","3","0","0","1","0","0",
"Daniel Baier","deGER","MF","Augsburg","deBundesliga","34","1984","31.3","66","2.11","55","2","0","2","5","2","5","0.16","4","0","0","0","1","0",
"Leon Bailey","jmJAM","FW","Leverkusen","deBundesliga","20","1997","21.3","90","4.23","54","14","9","7","6","0","3","0.14","2","0","0","1","0","0",
"Eric Bailly","ciCIV","DF","Manchester Utd","engPremier League","24","1994","7.1","2","0.28","1","0","0","0","1","0","0","0.00","0","0","0","0","0","0",
"Leighton Baines","engENG","DF","Everton","engPremier League","33","1984","4.2","10","2.40","3","6","0","1","0","0","2","0.48","1","1","0","0","0","0",
"Marvin Bakalorz","deGER","MF","Hannover 96","deBundesliga","28","1989","16.3","18","1.10","13","0","1","0","4","0","2","0.12","1","0","0","0","1","0",
"Tiemoué Bakayoko","frFRA","MF","Milan","itSerie A","23","1994","25.6","76","2.97","60","0","5","1","5","5","7","0.27","6","0","0","0","0","1",
"Ridle Baku","deGER","MF","Mainz 05","deBundesliga","20","1998","10.4","22","2.12","20","0","1","0","1","0","0","0.00","0","0","0","0","0","0",
"Fabián Balbuena","pyPAR","DF","West Ham","engPremier League","26","1991","22.4","12","0.54","7","0","0","5","0","0","1","0.04","0","0","0","1","0","0",
"Keita Baldé","snSEN","FW","Inter","itSerie A","23","1995","9.9","43","4.35","31","0","6","2","4","0","5","0.51","3","0","2","0","0","0",
"Gareth Bale","wlsWAL","FW","Real Madrid","esLa Liga","29","1989","19.8","51","2.57","34","1","8","5","3","0","9","0.45","6","0","2","1","0","0",
"Mikel Balenziaga","esESP","DF","Athletic Club","esLa Liga","30","1988","5.8","3","0.52","3","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Andrija Balić","hrCRO","FW,MF","Udinese","itSerie A","20","1997","0.3","2","6.67","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Fodé Ballo-Touré","snSEN","DF","Lille","frLigue 1","21","1997","17.7","18","1.02","14","1","0","0","3","0","2","0.11","1","0","0","0","1","0",
"Fodé Ballo-Touré","snSEN","DF","Monaco","frLigue 1","21","1997","17.7","38","2.15","32","2","3","0","1","0","5","0.28","5","0","0","0","0","0",
"Florent Balmont","frFRA","MF","Dijon","frLigue 1","38","1980","12.0","33","2.76","27","6","0","0","0","0","1","0.08","1","0","0","0","0","0",
"Leon Balogun","ngNGA","DF","Brighton","engPremier League","30","1988","6.6","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Mario Balotelli","itITA","FW","Nice","frLigue 1","27","1990","8.4","16","1.91","13","0","0","0","3","0","2","0.24","2","0","0","0","0","0",
"Mario Balotelli","itITA","FW","Marseille","frLigue 1","27","1990","10.4","32","3.09","20","0","2","5","5","0","4","0.39","3","0","0","1","0","0",
"Abdoulaye Bamba","ciCIV","DF","Angers","frLigue 1","28","1990","28.6","31","1.08","27","3","0","0","0","1","4","0.14","4","0","0","0","0","0",
"Jonathan Bamba","ciCIV","FW,MF","Lille","frLigue 1","22","1996","33.4","102","3.06","83","2","7","4","6","0","9","0.27","6","0","1","1","1","0",
"Sol Bamba","ciCIV","DF","Cardiff City","engPremier League","33","1985","27.5","18","0.65","10","1","1","5","1","0","2","0.07","2","0","0","0","0","0",
