Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","19","1999","2.3","3","1.32","3","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","27","1990","35.5","86","2.42","67","8","2","7","2","0","6","0.17","4","1","0","1","0","0",
"Ignazio Abate","itITA","DF","Milan","itSerie A","31","1986","14.5","23","1.59","23","0","0","0","0","0","1","0.07","1","0","0","0","0","0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","30","1987","38.0","25","0.66","17","1","3","4","0","0","2","0.05","2","0","0","0","0","0",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","25","1992","22.5","41","1.82","30","4","4","1","1","1","2","0.09","2","0","0","0","0","0",
"Charles Abi","frFRA","DF,FW","Saint-Étienne","frLigue 1","18","2000","0.4","2","5.63","0","0","1","0","1","0","0","0.00","0","0","0","0","0","0",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","32","1986","15.8","12","0.76","9","0","1","1","1","0","1","0.06","0","0","0","1","0","0",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","28","1990","8.8","8","0.91","8","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","30","1988","36.8","31","0.84","27","0","0","1","3","0","2","0.05","1","0","0","1","0","0",
"Afriyie Acquah","ghGHA","MF","Empoli","itSerie A","26","1992","16.8","44","2.62","34","0","4","4","2","0","1","0.06","1","0","0","0","0","0",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","19","1999","8.0","12","1.50","10","0","1","0","1","0","3","0.37","3","0","0","0","0","0",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","31","1987","1.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Aday","esESP","DF,MF","Girona","esLa Liga","30","1987","7.2","28","3.91","18","6","1","2","1","0","2","0.28","2","0","0","0","0","0",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","33","1985","22.2","11","0.50","8","0","0","1","2","0","0","0.00","0","0","0","0","0","0",
"Claud Adjapong","itITA","MF,FW","Sassuolo","itSerie A","20","1998","3.0","1","0.33","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","18","2000","2.4","10","4.17","9","0","1","0","0","0","0","0.00","0","0","0","0","0","0",
"Ali Adnan Kadhim","iqIRQ","DF","Atalanta","itSerie A","24","1993","1.8","8","4.34","4","2","1","1","0","0","0","0.00","0","0","0","0","0","0",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","37","1981","10.5","19","1.81","14","0","0","3","2","0","1","0.10","1","0","0","0","0","0",
"Luis Advíncula","pePER","DF","Rayo Vallecano","esLa Liga","28","1990","26.5","50","1.88","33","4","5","1","7","0","11","0.41","6","0","2","0","3","0",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","22","1996","22.6","22","0.97","21","0","1","0","0","0","1","0.04","1","0","0","0","0","0",
"Nayef Aguerd","maMAR","DF","Dijon","frLigue 1","22","1996","11.7","8","0.69","5","1","1","0","1","0","0","0.00","0","0","0","0","0","0",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","30","1988","27.3","91","3.33","60","1","11","10","7","2","19","0.70","14","0","2","2","1","0",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","25","1993","28.1","103","3.67","80","8","6","2","7","0","7","0.25","6","0","0","1","0","0",
"Juan Aguilera","esESP","MF","Huesca","esLa Liga","32","1985","3.8","6","1.57","6","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Emmanuel Agyemang-Badu","ghGHA","MF","Udinese","itSerie A","27","1990","1.8","2","1.12","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","24","1994","11.9","28","2.34","20","0","3","3","1","1","3","0.25","2","0","0","1","0","0",
"Antonis Aidonis","deGER","DF","Stuttgart","deBundesliga","17","2001","0.9","1","1.13","0","0","0","0","0","1","0","0.00","0","0","0","0","0","0",
"Ola Aina","ngNGA","DF","Torino","itSerie A","21","1996","24.0","57","2.37","37","6","7","1","4","2","5","0.21","3","1","0","0","1","0",
"Youssef Aït Bennasser","maMAR","MF","Saint-Étienne","frLigue 1","22","1996","10.4","20","1.93","18","0","1","0","0","1","0","0.00","0","0","0","0","0","0",
"Youssef Aït Bennasser","maMAR","MF","Monaco","frLigue 1","22","1996","11.9","27","2.26","26","0","1","0","0","0","5","0.42","4","0","1","0","0","0",
"Rayan Aït-Nouri","dzALG","DF,MF","Angers","frLigue 1","17","2001","0.6","2","3.16","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","24","1994","17.0","35","2.06","22","1","1","3","6","2","4","0.24","3","0","0","1","0","0",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","23","1995","24.5","18","0.73","14","0","1","0","2","1","4","0.16","2","0","0","0","1","1",
"Carlos Akapo","gqEQG","DF","Huesca","esLa Liga","25","1993","11.4","17","1.51","11","2","2","1","1","0","2","0.18","1","0","0","0","1","0",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","23","1995","37.9","24","0.63","19","0","0","4","1","0","1","0.03","0","0","0","0","1","0",
"Sergio Akieme","esESP","DF","Rayo Vallecano","esLa Liga","20","1997","2.0","1","0.50","1","0","0","0","0","0","1","0.50","1","0","0","0","0","0",
"Chadrac Akolo","cdCOD","MF,FW","Stuttgart","deBundesliga","23","1995","5.8","21","3.60","15","0","3","2","1","0","1","0.17","1","0","0","0","0","0",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","23","1995","5.5","7","1.26","6","0","0","0","1","0","2","0.36","1","0","0","0","1","0",
"Kevin Akpoguma","ngNGA","DF","Hannover 96","deBundesliga","23","1995","3.5","4","1.15","4","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","26","1992","28.1","84","2.99","64","4","4","10","2","0","9","0.32","7","1","1","0","0","0",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","20","1998","21.1","56","2.66","37","6","7","0","6","0","5","0.24","4","0","0","0","1","0",
"Lucas Alario","arARG","FW,MF","Leverkusen","deBundesliga","25","1992","14.1","31","2.21","29","0","0","1","1","0","4","0.28","4","0","0","0","0","0",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","29","1989","33.2","84","2.53","76","3","1","0","3","1","13","0.39","12","0","0","0","1","0",
"Luis Alberto","esESP","MF,FW","Lazio","itSerie A","25","1992","22.1","154","6.97","103","34","4","10","2","1","10","0.45","4","4","0","2","0","0",
"Raúl Albiol","esESP","DF","Napoli","itSerie A","32","1985","19.0","20","1.05","20","0","0","0","0","0","2","0.11","2","0","0","0","0","0",
"Miiko Albornoz","clCHI","DF,MF","Hannover 96","deBundesliga","27","1990","18.4","37","2.01","27","5","2","2","0","1","4","0.22","4","0","0","0","0","0",
"Marc Albrighton","engENG","FW,MF","Leicester City","engPremier League","28","1989","18.1","47","2.60","37","4","3","3","0","0","4","0.22","4","0","0","0","0","0",
"Paco Alcácer","esESP","FW","Dortmund","deBundesliga","24","1993","13.5","40","2.97","29","0","2","5","2","2","7","0.52","4","0","0","1","1","1",
"Pedro Alcalá","esESP","DF","Girona","esLa Liga","29","1989","20.8","14","0.67","10","0","0","3","1","0","1","0.05","1","0","0","0","0","0",
"Thiago Alcántara","esESP","MF","Bayern Munich","deBundesliga","27","1991","26.8","98","3.66","71","16","4","1","4","2","9","0.34","7","2","0","0","0","0",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","27","1991","33.1","62","1.87","43","4","3","3","8","1","5","0.15","3","0","1","0","1","0",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","29","1989","32.5","34","1.05","29","0","1","4","0","0","2","0.06","2","0","0","0","0","0",
"Álex Alegría","esESP","FW,MF","Rayo Vallecano","esLa Liga","25","1992","1.6","4","2.57","3","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Alexis Alegue","frFRA","FW","Nantes","frLigue 1","21","1996","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Iván Alejo","esESP","MF","Getafe","esLa Liga","23","1995","1.6","1","0.62","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","20","1998","7.1","27","3.82","25","0","0","1","1","0","5","0.71","4","0","0","1","0","0",
"Rúnar Alex Rúnarsson","isISL","GK","Dijon","frLigue 1","23","1995","25.0","5","0.20","3","2","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Alexander","arARG","FW","Leganés","esLa Liga","29","1988","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","19","1998","27.4","96","3.51","62","24","6","2","1","1","18","0.66","13","5","0","0","0","0",
"Alfonso","mzMOZ","MF","Hoffenheim","deBundesliga","18","1999","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Rachid Alioui","maMAR","FW","Nîmes","frLigue 1","26","1992","13.9","41","2.95","29","1","2","7","1","1","1","0.07","1","0","0","0","0","0",
"Alisson","brBRA","GK","Liverpool","engPremier League","25","1992","38.0","4","0.11","1","3","0","0","0","0","1","0.03","0","1","0","0","0","0",
"Bobby Allain","frFRA","GK","Dijon","frLigue 1","26","1991","13.0","2","0.15","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Allan","brBRA","MF","Napoli","itSerie A","27","1991","29.1","88","3.03","75","0","7","2","2","2","10","0.34","9","0","1","0","0","0",
"Allan","brBRA","MF","Eint Frankfurt","deBundesliga","21","1997","2.0","7","3.58","4","1","1","0","1","0","0","0.00","0","0","0","0","0","0",
"Dele Alli","engENG","MF","Tottenham","engPremier League","22","1996","20.3","64","3.16","45","2","6","5","5","1","5","0.25","3","0","0","1","1","0",
"Miguel Almirón","pyPAR","MF","Newcastle Utd","engPremier League","24","1994","8.4","36","4.27","27","0","1","3","3","2","3","0.36","1","0","0","1","1","0",
"Júnior Alonso","pyPAR","DF,MF","Celta Vigo","esLa Liga","25","1993","6.0","6","1.01","6","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","27","1990","30.7","66","2.15","55","1","0","5","4","1","10","0.33","6","0","0","2","2","0",
"Mickaël Alphonse","gpGLP","DF","Dijon","frLigue 1","29","1989","6.3","16","2.52","13","2","1","0","0","0","0","0.00","0","0","0","0","0","0",
"Sergio Álvarez","esESP","DF,MF","Eibar","esLa Liga","26","1992","11.9","5","0.42","5","0","0","0","0","0","1","0.08","1","0","0","0","0","0",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","31","1986","13.0","1","0.08","0","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","23","1995","29.0","10","0.34","8","0","0","2","0","0","0","0.00","0","0","0","0","0","0",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","36","1981","32.5","24","0.74","18","3","1","1","0","1","2","0.06","2","0","0","0","0","0",
"Dani Alves","brBRA","MF,DF","Paris S-G","frLigue 1","35","1983","18.0","60","3.33","54","2","0","1","2","1","11","0.61","10","0","0","0","0","1",
"Ibrahim Amadou","frFRA","MF,DF","Sevilla","esLa Liga","25","1993","8.5","9","1.06","8","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Romain Amalfitano","frFRA","MF,FW","Dijon","frLigue 1","28","1989","28.0","40","1.43","36","0","0","1","2","1","1","0.04","0","0","0","1","0","0",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","23","1994","7.1","11","1.55","10","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Jordi Amat","idIDN","DF","Rayo Vallecano","esLa Liga","26","1992","30.7","16","0.52","11","2","0","1","1","1","1","0.03","1","0","0","0","0","0",
"Amath","snSEN","MF","Getafe","esLa Liga","22","1996","11.1","34","3.05","23","0","3","4","3","1","3","0.27","2","0","0","1","0","0",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","24","1994","24.2","53","2.19","41","5","2","3","0","2","3","0.12","3","0","0","0","0","0",
"Kelvin Amian","frFRA","DF","Toulouse","frLigue 1","20","1998","32.0","38","1.19","26","5","5","2","0","0","2","0.06","2","0","0","0","0","0",
"Nadiem Amiri","deGER","MF","Hoffenheim","deBundesliga","21","1996","8.4","28","3.34","21","1","4","1","1","0","3","0.36","1","0","1","0","1","0",
"Yanis Ammour","frFRA","MF","Montpellier","frLigue 1","19","1999","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Luke Amos","engENG","MF","Tottenham","engPremier League","21","1997","0.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Joachim Andersen","dkDEN","DF","Sampdoria","itSerie A","22","1996","32.0","27","0.84","23","1","0","2","0","1","3","0.09","3","0","0","0","0","0",
"Felipe Anderson","brBRA","MF,FW","West Ham","engPremier League","25","1993","33.8","139","4.11","95","17","11","5","7","4","15","0.44","10","0","3","2","0","0",
"Florin Andone","roROU","FW","Brighton","engPremier League","25","1993","9.8","13","1.33","7","0","1","3","2","0","1","0.10","0","0","0","1","0","0",
"Benjamin André","frFRA","MF","Rennes","frLigue 1","27","1990","27.7","67","2.42","50","1","4","1","7","4","6","0.22","4","0","1","0","1","0",
"Marco Andreolli","itITA","DF","Cagliari","itSerie A","32","1986","1.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marco Andreolli","itITA","DF","Chievo","itSerie A","32","1986","7.2","2","0.28","2","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
